period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1004c484,growth1004c484,Y1611c32,Y1771c818,Y1811c484,growth1811c484,Y1855c586,growth1855c586,Y1909c124,growth1909c124,Y1911c381,Y1913c484,growth1913c484,Y2307c222,growth2307c222,Y2404c484,growth2404c484,Y2419c124,growth2419c124,Y2635c586,growth2635c586,Y2768c251,growth2768c251,Y2797c152,growth2797c152,Y2882c246,growth2882c246,Y2897c300,growth2897c300,Y2939c124,growth2939c124,Y2984c124,growth2984c124,Y3019c484,growth3019c484,Y3069c233,Y3127c586,growth3127c586,Y3235c586,growth3235c586,Y325c68,Y3260c124,growth3260c124,Y3343c484,growth3343c484,Y3495c586,growth3495c586,Y3541c124,growth3541c124,Y3623c484,growth3623c484,Y3754c124,growth3754c124,Y3762c484,growth3762c484,Y3771c826,growth3771c826,Y4093c484,growth4093c484,Y4153c752,growth4153c752,Y4231c222,Y4291c484,growth4291c484,Y451c792,growth451c792,Y4564c484,growth4564c484,Y4604c586,growth4604c586,Y4735c352,growth4735c352,Y4923c752,growth4923c752,Y4924c586,Y4933c124,growth4933c124,Y4943c124,growth4943c124,Y4954c586,growth4954c586,Y583c752,growth583c752,Y599c586,growth599c586,Y613c616,growth613c616,Y724c484,growth724c484,Y726c218,Y785c484,growth785c484,_merge,x,r2,s,sf
201204,731816,627,3463,22829832,04,0,0,1,0,0,0,0,0,0,0,0,878697,-.2465095520019531,864597,244392,2607370,.4178409576416016,212912,.5728874206542969,33187692,.1054039001464844,14081945,815537,.300628662109375,635081,-.843287467956543,1287711,.0161170959472656,500951,-.0782651901245117,1252098,.4486856460571289,37024312,-.3830280303955078,115251,1.253851890563965,288235,.7149238586425781,283720,-.7207117080688477,10660543,.27874755859375,7083313,.1006965637207031,1558887,.0216283798217773,101611,94567,.9949321746826172,9582142,-.2395820617675781,31045,1372416,.2281684875488281,2337940,.1148433685302734,26679,.3830595016479492,10176506,.0277175903320313,4188065,.2039308547973633,7788034,.0655183792114258,500770,.1322336196899414,2463564,.2360601425170898,813358,.9640092849731445,354071,-.4810705184936523,46418,23543338,.2279701232910156,8496456,.227086067199707,2183968,-.6299123764038086,214523,.1226520538330078,16478,.716975212097168,4110229,-.1252880096435547,0,27656992,.0393867492675781,26967090,.0890636444091797,2543349,.3221797943115234,1522067,.0200910568237305,174815,1.400367736816406,75269,.1754283905029297,118447,.5164718627929688,250519,5560934,.3360328674316406,matched (3),21761254,.85882908,863884,1798919.3
201205,731816,628,3463,23373880,05,0,0,0,1,0,0,0,0,0,0,0,1292302,.3857402801513672,2832003,721463,3054728,.1583490371704102,291410,.3138523101806641,43526868,.2711982727050781,17404948,950947,.1536121368408203,1305514,.7206001281738281,1563333,.1939544677734375,387639,-.256434440612793,1044926,-.1808738708496094,45618388,.2087364196777344,134755,.156346321105957,322027,.1108589172363281,415975,.3826370239257813,11747163,.0970611572265625,12668759,.5813980102539063,2299160,.3885717391967773,105062,98204,.0377388000488281,14419030,.4086494445800781,99648,487308,-1.035430908203125,2046086,-.1333417892456055,42203,.4586143493652344,10474224,.0288372039794922,4482209,.0678768157958984,9573958,.2064571380615234,772782,.4338502883911133,3068527,.2195892333984375,1123725,.3232326507568359,910526,.9445247650146484,170129,22920282,-.0268211364746094,13073741,.4309558868408203,3048345,.3334550857543945,139601,-.4296293258666992,18335,.106785774230957,4807973,.1567964553833008,78025,33279706,.1850681304931641,25404716,-.0596828460693359,2757532,.0808544158935547,1764869,.1480073928833008,221181,.2352533340454102,52724,-.3559980392456055,57823,-.7170782089233398,219055,6170998,.1040945053100586,matched (3),23264644,.85882908,794867.38,1766813.3
201206,731816,629,3463,23091120,06,0,0,0,0,1,0,0,0,0,0,0,833252,-.4388446807861328,1990079,408885,1950211,-.4487533569335938,278827,-.0441389083862305,50058200,.1398086547851563,17217976,1064918,.113194465637207,1207187,-.0783042907714844,1238982,-.2325305938720703,448454,.1457319259643555,1409088,.2989959716796875,78742272,.545867919921875,105623,-.2435817718505859,870958,.9949588775634766,582822,.3372564315795898,11173256,-.0500869750976563,10296306,-.2073554992675781,2480446,.0758943557739258,102801,57383,-.5372991561889648,18564780,.252716064453125,69381,143462,-1.222826957702637,1946879,-.0497007369995117,35132,-.1833791732788086,10309701,-.0158329010009766,4413498,-.0154476165771484,8760376,-.0888071060180664,558312,-.3250789642333984,2747031,-.1106767654418945,392099,-1.052889823913574,756320,-.1855583190917969,4098,22533980,-.016998291015625,16361889,.2243499755859375,2506996,-.1955127716064453,195878,.3387041091918945,24881,.3052921295166016,3572152,-.2971076965332031,44496,32743252,-.0162506103515625,25116572,-.0114078521728516,2465532,-.1119279861450195,1481500,-.1750211715698242,52828,-1.431940078735352,11849,-1.492826461791992,91910,.4634227752685547,171598,4448034,-.3273983001708984,matched (3),22972804,.85882908,974005.69,1854319.8
201207,731816,630,3463,24056548,07,0,0,0,0,0,1,0,0,0,0,0,925285,.1047658920288086,3295098,663240,2705822,.3274679183959961,245508,-.1272621154785156,42394828,-.1661605834960938,25336240,1257435,.1661758422851563,2307855,.6480255126953125,1368304,.0992822647094727,502356,.1135034561157227,1302854,-.0783853530883789,113491008,.3655433654785156,96479,-.0905513763427734,1863127,.7604179382324219,887924,.4210042953491211,11792000,.0538978576660156,7479883,-.3195676803588867,3245632,.2688722610473633,47883,26894,-.7578449249267578,31096514,.5158290863037109,75532,2577439,2.888482093811035,2657105,.311009407043457,27745,-.2360563278198242,9806560,-.0500335693359375,4121957,-.0683403015136719,9434300,.0741128921508789,572939,.0258607864379883,2593319,-.0575828552246094,682980,.5549516677856445,970829,.2496862411499023,112976,20073304,-.1156330108642578,15641000,-.0450592041015625,3485831,.329620361328125,276262,.3438577651977539,5886,-1.441527366638184,3058286,-.1553134918212891,71020,35670496,.0856285095214844,27348496,.0851345062255859,2532063,.0266265869140625,1586245,.0683145523071289,129479,.8964767456054688,44305,1.318853378295898,115653,.2297849655151367,195891,4210410,-.0549020767211914,matched (3),23828982,.85882908,764596.38,1753403.1
201208,731816,631,3463,23182122,08,0,0,0,0,0,0,1,0,0,0,0,920031,-.0056943893432617,2564746,483455,2296610,-.163970947265625,213637,-.1390514373779297,4618651,-2.216922760009766,18630540,1342843,.0657148361206055,2143861,-.0737094879150391,1541406,.1191225051879883,182461,-1.012772560119629,1107704,-.1622676849365234,110893360,-.0231533050537109,30975,-1.136144638061523,820049,-.8206472396850586,526454,-.5227212905883789,962958,-2.505167007446289,192398,-3.660406112670898,3198967,-.0144824981689453,83043,24297,-.1015501022338867,28160204,-.0991859436035156,20466,136143,-2.94084644317627,2038275,-.2651329040527344,35052,.2337770462036133,2435829,-1.392764091491699,4937109,.1804523468017578,4407532,-.7610368728637695,545719,-.0486745834350586,1884093,-.3194913864135742,1060345,.4398832321166992,512765,-.6383333206176758,4379,19093100,-.0500640869140625,10520001,-.3966178894042969,3462157,-.0068140029907227,211342,-.2678718566894531,4613,-.2436981201171875,2901364,-.05267333984375,93235,12724864,-1.030767440795898,2962566,-2.222605705261231,2327382,-.0842905044555664,2077893,.269984245300293,125987,-.0273399353027344,55549,.2261686325073242,35239,-1.188441276550293,1069833,4444357,.0540752410888672,matched (3),20989462,.85882908,1013666.9,1875456.1
201209,731816,632,3463,19407980,09,0,0,0,0,0,0,0,1,0,0,0,822121,-.1125192642211914,1043403,370627,2001556,-.1375093460083008,148904,-.3609762191772461,29619904,1.858343124389648,14746621,1248149,-.0731267929077148,1237230,-.5497341156005859,1687639,.0906362533569336,282461,.4370040893554688,1072000,-.0327634811401367,98373032,-.1198024749755859,60796,.6743431091308594,690076,-.1725625991821289,343907,-.4257926940917969,11391714,2.470630645751953,5569227,3.365446090698242,1810793,-.5690631866455078,114066,87577,1.28216552734375,21775712,-.2571144104003906,29900,982745,1.976644515991211,1527235,-.2886447906494141,33201,-.0542526245117188,9484347,1.359354972839356,4081329,-.1903572082519531,8146226,.6142396926879883,567594,.039301872253418,2213268,.1610231399536133,652151,-.4860734939575195,529546,.0322027206420898,243356,16732399,-.1319789886474609,8888597,-.1685085296630859,4422015,.2447032928466797,372819,.5676145553588867,12996,1.035762786865234,2527647,-.1378917694091797,0,34077568,.9850826263427734,28148650,2.251442909240723,1700083,-.3140668869018555,1723840,-.1868000030517578,27901,-1.507515907287598,23631,-.8547067642211914,134643,1.340473175048828,216214,2425365,-.6056537628173828,matched (3),18733702,.85882908,795222.5,1766973
201210,731816,633,3463,17512860,10,0,0,0,0,0,0,0,0,1,0,0,1115588,.3052492141723633,776914,364794,2563636,.2475013732910156,278406,.6257781982421875,36024284,.1957473754882813,17199060,1658687,.2843647003173828,2388388,.6577444076538086,1614275,-.0444450378417969,472193,.5138463973999023,1304437,.1962451934814453,90228472,-.0864219665527344,105750,.5535545349121094,161941,-1.449569702148438,403063,.1587209701538086,11769185,.0325984954833984,5547555,-.0038995742797852,1659364,-.0873298645019531,50676,52681,-.5082635879516602,40081288,.6101150512695313,27130,612995,-.4719934463500977,1841056,.1868801116943359,35450,.0655431747436523,9517059,.0034427642822266,5146973,.2319860458374023,9398456,.1429901123046875,430299,-.2769260406494141,2292132,.0350122451782227,1816270,1.024264335632324,504235,-.0489778518676758,281022,20162162,.1864604949951172,5509194,-.4783515930175781,3692528,-.1802845001220703,136181,-1.007107734680176,12543,-.0354785919189453,2595708,.0265703201293945,43129,34601444,.0152549743652344,30997164,.0963973999023438,2986178,.5633172988891602,1796030,.0410251617431641,107705,1.350733757019043,70481,1.092783927917481,150108,.1087284088134766,176830,2798816,.1432151794433594,matched (3),19592666,.85882908,750275.94,1747206
201211,731816,634,3463,17054898,11,0,0,0,0,0,0,0,0,0,1,0,979295,-.1303043365478516,1448270,232892,1677721,-.4239902496337891,204974,-.3061971664428711,34331624,-.048126220703125,15956018,1104890,-.406280517578125,1593255,-.4048395156860352,1030273,-.4490623474121094,310446,-.419377326965332,928099,-.340388298034668,79718120,-.1238479614257813,92883,-.1297378540039063,149934,-.0770368576049805,274750,-.3832311630249023,10550376,-.1093215942382813,10448468,.6330986022949219,2399656,.3688907623291016,62472,45310,-.1507272720336914,11085442,-1.285276412963867,13083,236803,-.9511280059814453,1793638,-.0260934829711914,32366,-.0910148620605469,9059217,-.0493030548095703,4104628,-.2262935638427734,8337719,-.1197547912597656,497354,.1448221206665039,2119924,-.0781021118164063,1998555,.0956392288208008,390343,-.256016731262207,18124,18354272,-.0939464569091797,3800941,-.3711690902709961,2564248,-.3646459579467773,125909,-.078425407409668,4321,-1.065675735473633,3207103,.2115087509155273,49138,34369736,-.0067176818847656,26459162,-.158294677734375,2098449,-.3527956008911133,1861022,.0355463027954102,30814,-1.251426696777344,51196,-.3196821212768555,82104,-.6033687591552734,346628,2675844,-.0449323654174805,matched (3),16455342,.85882908,668493.13,1713679.6
201212,731816,635,3463,17689740,12,0,0,0,0,0,0,0,0,0,0,1,812761,-.1863956451416016,2956087,252449,2020588,.1859521865844727,134630,-.4203529357910156,28918176,-.1715965270996094,15933747,1150846,.0407514572143555,503214,-1.152519226074219,1031312,.0010080337524414,356797,.1391572952270508,1381801,.3980045318603516,104780232,.2733669281005859,46475,-.6924257278442383,779897,1.648966789245606,425665,.4377908706665039,8924090,-.1674079895019531,14269183,.3116455078125,2401461,.0007514953613281,89600,127020,1.030817031860352,11793422,.0619087219238281,366247,485479,.7179079055786133,1654437,-.080784797668457,32345,-.0006494522094727,7664995,-.1671180725097656,4152589,.0116167068481445,7771084,-.0703802108764648,398062,-.2226943969726563,1473208,-.3639373779296875,807591,-.906123161315918,1074968,1.013020515441895,790374,14107336,-.2631664276123047,13616821,1.276057243347168,2583260,.0073871612548828,241799,.6525468826293945,5410,.224761962890625,2918328,-.0943574905395508,100058,33293516,-.0318145751953125,25596848,-.0331325531005859,1737201,-.1889238357543945,1890159,.0155353546142578,121836,1.374706268310547,46838,-.0889663696289063,129142,.4529266357421875,133331,3171622,.169978141784668,matched (3),16987924,.85882908,926501.44,1829814.1
201301,731816,636,3463,18476004,01,0,0,0,0,0,0,0,0,0,0,0,959490,.1659650802612305,3604026,317651,2155140,.0644674301147461,214172,.4642496109008789,39237496,.3051624298095703,21226956,1441212,.2249870300292969,635480,.2333650588989258,1100507,.0649394989013672,698413,.6716432571411133,779374,-.5726518630981445,125505024,.18048095703125,80988,.5553865432739258,1223995,.4507131576538086,632939,.3967218399047852,8490218,-.049839973449707,14223465,-.0032081604003906,3102686,.2561912536621094,402852,112883,-.1179924011230469,16583088,.3408412933349609,385810,1182016,.8898401260375977,2105992,.2413253784179688,98114,1.109670639038086,10119449,.2777957916259766,3848499,-.0760488510131836,10070623,.2592134475708008,584612,.3843402862548828,2154550,.3801393508911133,825735,.0222177505493164,401457,-.9849452972412109,393683,20002208,.3491477966308594,14179805,.0405120849609375,2843864,.0961112976074219,320372,.281376838684082,8657,.4701194763183594,4797907,.4971685409545898,119046,32028276,-.0387439727783203,31503148,.2076187133789063,1338877,-.2604436874389648,2413517,.2444238662719727,122688,.0069684982299805,61467,.2718057632446289,108266,-.1763219833374023,225924,4198914,.280583381652832,matched (3),19448872,.85882908,1033015.7,1885984.1
201302,731816,637,3463,16698151,02,1,0,0,0,0,0,0,0,0,0,0,1142009,.1741418838500977,2522965,319896,1839815,-.1581907272338867,336912,.4530420303344727,33624168,-.154388427734375,16649602,1087414,-.281682014465332,1799039,1.040627479553223,1125518,.0224723815917969,474244,-.3870887756347656,1136771,.3774566650390625,83058192,-.4128036499023438,31363,-.9486722946166992,303864,-1.393295288085938,487754,-.2605628967285156,7342610,-.1452198028564453,9780796,-.3744716644287109,1625808,-.6462631225585938,66261,77707,-.3734073638916016,14801983,-.1136226654052734,55334,489614,-.8813591003417969,1575672,-.290104866027832,49874,-.6766300201416016,8525341,-.171417236328125,5269045,.3141660690307617,8016720,-.228093147277832,562862,-.0379142761230469,1571716,-.3154144287109375,813194,-.0153045654296875,989263,.9018592834472656,23387,19054480,-.0485401153564453,10631703,-.2879772186279297,3026846,.0623579025268555,201203,-.4651689529418945,727,-2.477197647094727,4152833,-.1443881988525391,56167,28812162,-.1058216094970703,27217000,-.1462459564208984,1547215,.1446256637573242,1558392,-.4374303817749023,509498,1.423781394958496,23918,-.9438686370849609,219276,.7057399749755859,187148,1367803,-1.121620178222656,matched (3),17400134,.85882908,846691.5,1790726.5
