period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1200c300,growth1200c300,Y1469c203,Y1524c36,Y1616c826,growth1616c826,Y1738c807,growth1738c807,Y1740c703,growth1740c703,Y1889c826,growth1889c826,Y2085c826,growth2085c826,Y2114c372,growth2114c372,Y2117c792,growth2117c792,Y2229c792,growth2229c792,Y2548c705,growth2548c705,Y2633c484,growth2633c484,Y2635c233,Y2652c616,growth2652c616,Y2742c124,growth2742c124,Y2758c703,growth2758c703,Y2793c124,growth2793c124,Y2798c752,growth2798c752,Y2808c222,growth2808c222,Y2829c440,growth2829c440,Y2845c703,growth2845c703,Y2883c222,growth2883c222,Y2884c300,growth2884c300,Y2934c152,growth2934c152,Y3089c152,growth3089c152,Y3129c68,growth3129c68,Y3152c826,growth3152c826,Y3285c233,Y3704c372,growth3704c372,Y4093c484,growth4093c484,Y414c705,Y4198c616,growth4198c616,Y425c616,growth425c616,Y4347c688,growth4347c688,Y4358c826,growth4358c826,Y4382c484,growth4382c484,Y4482c428,growth4482c428,Y4488c300,growth4488c300,Y4522c372,growth4522c372,Y4631c484,growth4631c484,Y4710c428,Y474c442,Y4847c705,growth4847c705,Y4889c246,growth4889c246,Y4943c152,growth4943c152,Y4961c124,growth4961c124,Y4977c152,growth4977c152,Y5028c222,growth5028c222,Y912c152,growth912c152,_merge,x,r2,s,sf
201209,760719,632,3588,2027951,09,0,0,0,0,0,0,0,1,0,0,0,94343,1.212555885314941,62124,123730,3905490,.1883106231689453,38533,1.611723899841309,151186,2.6181640625,407563,.1206884384155273,1096470,-.349888801574707,287283,.4175891876220703,41722,-.7929315567016602,1124399,-.4345760345458984,158044,-.4003143310546875,1228881,-.2273283004760742,202032,1891302,-.1603994369506836,5045196,2.083980560302734,290417,.6895208358764648,9199370,2.699610710144043,1867617,-.1200046539306641,3919,.054534912109375,47579,-.2676582336425781,32304,.7039155960083008,2820964,-.0305862426757813,324737,.7260055541992188,248300,-.7377653121948242,2368701,-.1530046463012695,94496,.0822477340698242,1482580,-.1215410232543945,233544,62426,.537602424621582,652151,-.4860734939575195,38110,13995014,-.0290870666503906,155511,.559575080871582,3152,-1.975691795349121,7607356,.1903858184814453,2227578,.0090627670288086,1334104,-.5302066802978516,782208,.0487470626831055,4503592,-.4756631851196289,4048208,.1577596664428711,1112,2533,12048,.2790870666503906,32888,.3153038024902344,6391059,-.2590465545654297,20477328,2.995661735534668,2698242,-.5597343444824219,64595,.1709461212158203,279964,-1.05718994140625,matched (3),2008289.5,.88228881,179299.92,351133.03
201210,760719,633,3588,2049084,10,0,0,0,0,0,0,0,0,1,0,0,102417,.0821161270141602,62625,76728,4731353,.1918277740478516,33924,-.1273918151855469,76528,-.6808538436889648,669553,.4964151382446289,2899962,.9726018905639648,310325,.0771522521972656,72000,.5456380844116211,1220070,.0816593170166016,269834,.5349330902099609,1799096,.3811798095703125,394565,2477332,.2699165344238281,4310639,-.1573495864868164,307210,.0562143325805664,7964897,-.1440906524658203,2034012,.0853462219238281,1721,-.8229312896728516,55002,.1449785232543945,10431,-1.13040828704834,2971069,.0518426895141602,177848,-.6020870208740234,297807,.1818084716796875,3314907,.3360872268676758,99091,.047480583190918,1574105,.0599031448364258,241654,1165,-3.981261253356934,1816270,1.024264335632324,42725,17078576,.1991233825683594,138571,-.1153335571289063,3183,.0097866058349609,9323479,.2034196853637695,3887024,.5567293167114258,1666427,.2224216461181641,875511,.1126871109008789,6118093,.3063755035400391,3803563,-.0623359680175781,20336,3724,12699,.0526247024536133,8563,-1.345656394958496,6424032,.0051460266113281,14627657,-.3364048004150391,4401348,.4893102645874023,46686,-.3246927261352539,389650,.3305873870849609,matched (3),2410771.8,.88228881,167133.08,345078.84
201211,760719,634,3588,2967023,11,0,0,0,0,0,0,0,0,0,1,0,94876,-.076481819152832,152705,213082,5989283,.2357606887817383,63260,.6231307983398438,148574,.663426399230957,261151,-.9415121078491211,240430,-2.490023612976074,264907,-.1582412719726563,134367,.6239089965820313,2147174,.5652446746826172,297499,.0976047515869141,1806483,.0040979385375977,209892,2850954,.1404714584350586,3623563,-.1736288070678711,106615,-1.058307647705078,9338415,.1590919494628906,1331559,-.4236593246459961,2346,.3098063468933106,31699,-.5510845184326172,24101,.8374710083007813,3140322,.0554037094116211,190483,.068634033203125,632434,.7531299591064453,3490460,.0516042709350586,161469,.4882745742797852,1702261,.0782709121704102,297468,51182,3.78266716003418,1998555,.0956392288208008,5288,17518576,.0254364013671875,129937,-.0643329620361328,3584,.1186552047729492,6888659,-.3026590347290039,2663998,-.3778162002563477,1616837,-.0302095413208008,748642,-.1565465927124023,7907505,.256561279296875,3512270,-.0796756744384766,68932,1052,47322,1.315451622009277,8043,-.0626487731933594,3729442,-.5437870025634766,6844008,-.7595405578613281,4303872,-.0223960876464844,63903,.3139219284057617,815070,.7380256652832031,matched (3),3035904.8,.88228881,205953.94,365462.69
201212,760719,635,3588,1721837,12,0,0,0,0,0,0,0,0,0,0,1,28723,-1.194872856140137,122216,67010,3968880,-.4114875793457031,4938,-2.55029296875,119881,-.2145833969116211,668770,.9403419494628906,1506354,1.835018157958984,144562,-.6056699752807617,80705,-.5097751617431641,1849852,-.1490468978881836,181110,-.4963064193725586,1145907,-.4551858901977539,243917,1423200,-.6947450637817383,4715692,.2634382247924805,34213,-1.136618614196777,6204501,-.4088611602783203,1021823,-.2647619247436523,5751,.8966622352600098,29346,-.0771284103393555,13591,-.572845458984375,2156717,-.3757381439208984,128747,-.3917131423950195,278564,-.8199281692504883,1605339,-.7766990661621094,122832,-.2734956741333008,777325,-.7838544845581055,176351,13438,-1.337301254272461,807591,-.906123161315918,46413,22167384,.2353610992431641,90962,-.3566083908081055,63137,2.868827819824219,4573213,-.4096603393554688,2851969,.0681819915771484,1145448,-.3446760177612305,410927,-.5998449325561523,3913004,-.7035064697265625,2181012,-.4764738082885742,17767,581,3429,-2.624706268310547,2824,-1.046648025512695,3619558,-.0299062728881836,5752435,-.1737499237060547,3147067,-.3130435943603516,27997,-.8252687454223633,282689,-1.058926582336426,matched (3),1678488.1,.88228881,147049.94,335811.91
201301,760719,636,3588,2289119,01,0,0,0,0,0,0,0,0,0,0,0,62597,.7790193557739258,11868,205152,5482320,.3230447769165039,113624,3.135933876037598,254190,.751582145690918,194835,-1.233286857604981,2694275,.5814371109008789,208534,.3663930892944336,43130,-.6265811920166016,2230658,.1871910095214844,229393,.2363319396972656,1538467,.2945899963378906,215133,2322045,.4895401000976563,6264635,.2840242385864258,118554,1.242762565612793,7945103,.2472810745239258,591320,-.5469865798950195,7680,.28924560546875,46814,.4670257568359375,55544,1.407767295837402,2937152,.3088531494140625,173892,.3005847930908203,359819,.2559528350830078,1614276,.0055522918701172,45738,-.9878883361816406,1562945,.6984682083129883,299073,50837,1.330537796020508,825735,.0222177505493164,4478,20993396,-.0544147491455078,105800,.1511087417602539,2713,-3.147252082824707,5918228,.2578210830688477,3187944,.1113662719726563,1603844,.3366079330444336,1014906,.9041357040405273,5521023,.3442573547363281,1619151,-.297886848449707,20554,1427,11323,1.19456672668457,7017,.910181999206543,5243147,.3705692291259766,6134214,.0642585754394531,4129562,.2716999053955078,75161,.9875345230102539,643367,.8223676681518555,matched (3),1967074.1,.88228881,137454.92,331722.47
201302,760719,637,3588,2375012,02,1,0,0,0,0,0,0,0,0,0,0,180500,1.059013366699219,112769,124091,4768258,-.1395473480224609,49531,-.8302955627441406,107163,-.8637304306030273,617513,1.153546333312988,1570557,-.539698600769043,323417,.4388408660888672,128841,1.0943603515625,2279915,.0218410491943359,239385,.0426359176635742,997010,-.4337806701660156,399661,2334545,.0053682327270508,6092855,-.0278034210205078,50811,-.8472557067871094,9190039,.145564079284668,593464,.0036191940307617,5196,-.3907308578491211,46643,-.0036592483520508,14334,-1.354540824890137,2698085,-.0848979949951172,164913,-.0530166625976563,712055,.6825542449951172,2670382,.5033349990844727,62618,.3141241073608398,1418938,-.0966625213623047,301820,3636,-2.637740135192871,813194,-.0153045654296875,83289,18538908,-.1243362426757813,92852,-.1305437088012695,1960,-.3251104354858398,5371511,-.0969276428222656,2439343,-.2676477432250977,1695115,.0553464889526367,1085241,.0670051574707031,3599681,-.4277181625366211,1750188,.0778207778930664,201520,1697,6653,-.5317678451538086,18441,.9662399291992188,7543747,.3637971878051758,5313635,-.1436061859130859,5067206,.2046184539794922,22554,-1.203720092773438,352359,-.6020650863647461,matched (3),2348076,.88228881,149905.97,337072.31
201303,760719,638,3588,1730671,03,0,1,0,0,0,0,0,0,0,0,0,41159,-1.478287696838379,105669,249216,3491335,-.3116970062255859,45534,-.0841398239135742,178064,.5077915191650391,472815,-.2669954299926758,2251137,.3600053787231445,227750,-.3506937026977539,55379,-.8443784713745117,2772024,.1954402923583984,244287,.0202713012695313,976662,-.0206203460693359,202264,697422,-1.208181381225586,4754984,-.2479228973388672,16367,-1.132845878601074,4374683,-.7422857284545898,523989,-.1245059967041016,881,-1.774586200714111,59171,.2379083633422852,8449,-.5285863876342773,2430704,-.1043615341186523,229283,.3295392990112305,203024,-1.254830360412598,2252614,-.170130729675293,38870,-.4768304824829102,1203556,-.1646289825439453,187874,4272,.1611976623535156,738780,-.0959692001342773,170,16558251,-.1129875183105469,87246,-.0622749328613281,4997,.9358930587768555,4870390,-.097935676574707,2017983,-.1896305084228516,1439532,-.1634321212768555,773863,-.3381624221801758,2648685,-.3067817687988281,1057520,-.5037965774536133,779,625,2582,-.9465036392211914,16422,-.1159543991088867,6028965,-.2241430282592773,5298632,-.0028276443481445,3736663,-.3045969009399414,49959,.7952909469604492,402388,.1327667236328125,matched (3),1917436.6,.88228881,135769.88,331027.81
201304,760719,639,3588,2996400,04,0,0,1,0,0,0,0,0,0,0,0,81254,.6801366806030273,57208,75419,2836388,-.2077531814575195,90266,.6843013763427734,213389,.180974006652832,663381,.3386449813842773,1251496,-.5870962142944336,179282,-.2392892837524414,73730,.2862091064453125,7254208,.9620037078857422,229429,-.0627508163452148,1164437,.1758527755737305,215722,2985153,1.454015731811523,4764548,.0020084381103516,18987,.1484880447387695,4659722,.0631217956542969,576869,.0961446762084961,18024,3.018401622772217,28875,-.7174558639526367,8571,.0143365859985352,3199619,.2748508453369141,180767,-.2377481460571289,354112,.5562887191772461,1001122,-.810969352722168,58253,.4045734405517578,1592801,.2802143096923828,139898,52287,2.504665374755859,832550,.1194934844970703,40060,20632820,.2199993133544922,705821,2.090630531311035,3526,-.3486738204956055,4363773,-.1098365783691406,3408964,.5243101119995117,1516695,.052215576171875,922614,.175816535949707,2076106,-.2435693740844727,1468407,.328251838684082,2014,4373,1940,-.2858762741088867,10016,-.4944381713867188,5989468,-.0065727233886719,6129449,.1456565856933594,3790780,.0143795013427734,24691,-.7047643661499023,627536,.4443836212158203,matched (3),3157798,.88228881,277077,409777.53
201305,760719,640,3588,3602508,05,0,0,0,1,0,0,0,0,0,0,0,84670,.0411815643310547,20767,212716,3027348,.0651559829711914,170732,.6373348236083984,247955,.1501302719116211,345007,-.6537847518920898,2162929,.547123908996582,206698,.142298698425293,117432,.465449333190918,13259657,.6031436920166016,318921,.329350471496582,1433912,.2081680297851563,168766,2818514,-.0574407577514648,4929794,.0340948104858398,51796,1.003558158874512,8514864,.6028575897216797,634782,.0956668853759766,526,-3.534158229827881,54619,.6374063491821289,6817,-.2289648056030273,3273713,.022892951965332,251433,.3299674987792969,435075,.2059049606323242,2162923,.7703390121459961,62236,.0661373138427734,1026343,-.4394922256469727,180112,72460,.3262872695922852,635817,-.2695827484130859,31770,20997308,.0175113677978516,155821,-1.510654449462891,7420,.7440147399902344,4899560,.1158084869384766,4081241,.17999267578125,1622210,.067255973815918,886982,-.0393867492675781,6564385,1.151165008544922,2370859,.4790735244750977,11508,6948,12228,1.84104061126709,73695,1.99575138092041,5363092,-.1104621887207031,7061528,.1415567398071289,5555133,.3821506500244141,55019,.8012399673461914,698886,.1076869964599609,matched (3),3976528,.88228881,228915.72,378877.75
201306,760719,641,3588,2642138,06,0,0,0,0,1,0,0,0,0,0,0,65155,-.2619924545288086,81467,37927,3529073,.1533479690551758,128151,-.2868862152099609,66271,-1.319494247436523,234712,-.3852052688598633,1238570,-.5575065612792969,194361,-.0615415573120117,30767,-1.33941650390625,6745213,-.6758928298950195,245745,-.2606496810913086,1184721,-.1908988952636719,124755,1896468,-.3962173461914063,4743363,-.0385503768920898,22350,-.8404865264892578,9249520,.082758903503418,767192,.1894550323486328,2616,1.604100704193115,67830,.2166223526000977,2503,-1.001929759979248,3048459,-.0712881088256836,313718,.221318244934082,144821,-1.100019454956055,1549056,-.3338146209716797,27583,-.8137340545654297,788928,-.2630825042724609,120508,9256,-2.05776309967041,1195318,.6312570571899414,3602,17725112,-.1694126129150391,122573,-.2400007247924805,2122,-1.251819610595703,4822022,-.0159521102905273,3741370,-.086949348449707,1745080,.0730104446411133,588483,-.4102764129638672,4202108,-.4460725784301758,2139344,-.102752685546875,5463,5861,9589,-.2431116104125977,24710,-1.092726707458496,5230414,-.025050163269043,9675076,.3148918151855469,3219206,-.545588493347168,44705,-.2075929641723633,197167,-1.265436172485352,matched (3),2298456.5,.88228881,164481.56,343802.47
201307,760719,642,3588,4296242,07,0,0,0,0,0,1,0,0,0,0,0,448771,1.929743766784668,10887,111284,3451977,-.0220880508422852,178572,.331782341003418,109782,.5047435760498047,413727,.5668468475341797,1850902,.4017162322998047,196776,.0123491287231445,71131,.8380804061889648,2506265,-.9900388717651367,414074,.5217504501342773,1203088,.0153846740722656,129937,3133253,.5020790100097656,5935150,.2241458892822266,52833,.8603096008300781,11443481,.2128486633300781,1691502,.7906351089477539,11328,1.465630531311035,76813,.1243696212768555,11728,1.54448938369751,3372883,.1011314392089844,372800,.1725473403930664,420941,1.066993713378906,2315527,.4019908905029297,199068,1.976447105407715,746625,-.0551118850708008,218449,47637,1.638338088989258,645087,-.6167831420898438,31994,20997044,.1693992614746094,184493,.408905029296875,2864,.2998604774475098,5206403,.076695442199707,2604724,-.3621244430541992,1891107,.0803623199462891,627347,.0639524459838867,6028807,.3609628677368164,2961247,.3251113891601563,19229,15892,15526,.4818992614746094,33197,.2952508926391602,7872167,.4088430404663086,23206284,.8748703002929688,4136471,.2507085800170898,32188,-.3284921646118164,599061,1.111311912536621,matched (3),4348113,.88228881,199421.75,361821.75
