period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1048c608,Y1080c484,growth1080c484,Y1157c757,growth1157c757,Y1426c752,growth1426c752,Y1427c152,growth1427c152,Y1487c246,growth1487c246,Y1601c705,Y1651c818,Y1712c152,Y1811c484,growth1811c484,Y1988c268,growth1988c268,Y2010c792,growth2010c792,Y2081c372,growth2081c372,Y2156c703,growth2156c703,Y2289c826,growth2289c826,Y2651c752,growth2651c752,Y2685c36,Y2691c124,growth2691c124,Y269c124,growth269c124,Y2899c818,Y2915c484,growth2915c484,Y3002c428,growth3002c428,Y3095c372,growth3095c372,Y3234c124,growth3234c124,Y3344c428,growth3344c428,Y3379c752,growth3379c752,Y3491c586,growth3491c586,Y3550c484,growth3550c484,Y3778c608,Y3832c600,Y3894c792,growth3894c792,Y4351c818,Y4408c428,growth4408c428,Y4589c32,Y4633c620,growth4633c620,Y4763c428,growth4763c428,Y4803c268,growth4803c268,Y4815c152,growth4815c152,Y4824c152,growth4824c152,Y4958c300,growth4958c300,Y4964c152,growth4964c152,Y4973c124,Y4973c428,growth4973c428,Y657c818,Y716c752,growth716c752,Y724c705,growth724c705,Y83c498,Y956c818,Y963c703,Y980c300,growth980c300,_merge,x,r2,s,sf
201206,293299,629,1288,27178804,06,0,0,0,0,1,0,0,0,0,0,0,253415,2531675,.1902713775634766,25894,-.0708446502685547,365897,.2223224639892578,69387,1.441017150878906,1174939,.0649929046630859,3735,18673422,322948,1950211,-.4487533569335938,114377,1.477295875549316,515575,.0902395248413086,234933,.0204782485961914,901,-1.779100894927979,647748,.246856689453125,1889547,-.0205936431884766,182166,794640,.3945169448852539,485598,-.1778087615966797,38758,675469,-.0573644638061523,14926,.9454193115234375,126906,-.7128639221191406,476477,.3345165252685547,2213,-3.093647003173828,600759,1.010763168334961,1133867,.9918622970581055,651417,.0248956680297852,1344762,515749,2540677,.2218160629272461,315973,1458119,1.098089218139648,7062202,1125004,.489924430847168,118189,-.2091684341430664,6662,.460383415222168,111876,.8016557693481445,3347656,.1725387573242188,204963,.4690589904785156,141525,-.7594461441040039,421591,14544,1.025447845458984,1286090,1083474,.1339006423950195,38584,.5878591537475586,18237,299717,5107,1204149,.7339334487915039,matched (3),25278620,.92032504,1261481.5,2145373
201207,293299,630,1288,26390816,07,0,0,0,0,0,1,0,0,0,0,0,216598,4178084,.500971794128418,24520,-.0545225143432617,118774,-1.125129699707031,29625,-.8510808944702148,1170886,-.0034551620483398,2734,20726396,153189,2705822,.3274679183959961,71197,-.4740486145019531,430455,-.1804399490356445,236379,.0061359405517578,1292,.3604412078857422,575746,-.1178350448608398,1997538,.0555782318115234,35871,651982,-.1978721618652344,469300,-.0341396331787109,11903,556106,-.1944484710693359,19909,.2880668640136719,97944,-.2590503692626953,302946,-.4528646469116211,3962,.5823993682861328,718786,.1793699264526367,282817,-1.388589859008789,730964,.1152133941650391,1217837,237161,2148521,-.1676511764526367,248436,799863,-.6004619598388672,7066209,689588,-.4894475936889648,166299,.3415021896362305,3545,-.6308822631835938,82305,-.3069601058959961,3249569,-.0297384262084961,86553,-.8620729446411133,298332,.7457304000854492,358052,2905,-1.610745429992676,1014050,873417,-.21551513671875,20369,-.6388235092163086,17401,153022,732,2435512,.7043838500976563,matched (3),25830042,.92032504,964797.88,1985478.5
201208,293299,631,1288,18848740,08,0,0,0,0,0,0,1,0,0,0,0,208924,3557565,-.1607761383056641,5297,-1.5323486328125,217397,.6045026779174805,63709,.7657070159912109,1021574,-.1364164352416992,29579,14323249,0,2296610,-.163970947265625,30829,-.8369951248168945,349886,-.2072353363037109,295351,.2227277755737305,1312,.0153613090515137,349860,-.498133659362793,1830054,-.0875701904296875,186265,96992,-1.905388832092285,2907737,1.823888778686523,14906,649898,.1558570861816406,46050,.8385562896728516,227254,.8416719436645508,2781140,2.217061042785645,2128,-.6215662956237793,350511,-.7181720733642578,312797,.1007547378540039,895438,.2029495239257813,382311,323596,1057513,-.7088594436645508,419081,323701,-.9046201705932617,5828995,538109,-.2480335235595703,165856,-.0026674270629883,695,-1.62938117980957,266568,1.175197601318359,2284633,-.3523168563842773,124198,.3611202239990234,68346,-1.473623275756836,0,12709,1.475876808166504,1147257,841799,-.0368719100952148,17737,-.1383609771728516,24983,59085,5664,2316828,-.0499582290649414,matched (3),18489792,.92032504,1128714.8,2070093.5
201209,293299,632,1288,14862226,09,0,0,0,0,0,0,0,1,0,0,0,165015,1964379,-.5939006805419922,46376,2.169641494750977,159681,-.3085470199584961,53894,-.1673069000244141,1031321,.009495735168457,4222,18924904,149809,2001556,-.1375093460083008,18563,-.5072851181030273,38843,-2.198079109191895,212632,-.3286008834838867,968,-.3040757179260254,433527,.214421272277832,2159197,.1653909683227539,175688,376123,1.355287551879883,314954,-2.22270393371582,189980,386945,-.5185337066650391,1229,-3.623527050018311,92633,-.8974227905273438,389991,-1.964492797851563,3589,.5226912498474121,937299,.9836101531982422,249787,-.2249460220336914,461410,-.6630258560180664,735239,68738,1001232,-.0546884536743164,415513,1136381,1.255784034729004,4506071,946356,.5645580291748047,119603,-.3269414901733398,284,-.8949375152587891,115503,-.8363323211669922,2583099,.1227846145629883,228864,.6112508773803711,10761,-1.848654747009277,257213,3753,-1.219755172729492,984656,916690,.0852279663085938,14398,-.2085638046264648,15348,87302,5401,1446094,-.4713325500488281,matched (3),15666480,.92032504,1061803.6,2034383.6
201210,293299,633,1288,14706013,10,0,0,0,0,0,0,0,0,1,0,0,91203,5132498,.9604167938232422,19604,-.861048698425293,483930,1.108762741088867,105079,.6676931381225586,1299891,.231440544128418,719,13921724,326485,2563636,.2475013732910156,6853,-.9964847564697266,121341,1.139076232910156,233453,.0934171676635742,1100,.127833366394043,486957,.1162214279174805,1942039,-.1059980392456055,72313,512218,.3088340759277344,271164,-.1497030258178711,68060,540275,.333796501159668,11941,2.273777484893799,104904,.1244001388549805,289101,-.299346923828125,2500,-.3615827560424805,654979,-.3583984375,265803,.0621471405029297,536299,.1504039764404297,482098,526206,1457089,.375208854675293,404507,888213,-.2463922500610352,6050743,825847,-.1362094879150391,172138,.3641185760498047,21320,4.318426132202148,26103,-1.487246513366699,3812530,.3893032073974609,71409,-1.164704322814941,14433,.2935886383056641,225009,2588,-.3716697692871094,472937,872242,-.0497016906738281,29865,.7295980453491211,20449,272587,3711,997532,-.3713369369506836,matched (3),13236840,.92032504,1166067.3,2090694.4
201211,293299,634,1288,18404868,11,0,0,0,0,0,0,0,0,0,1,0,96745,2590733,-.6836519241333008,39910,.7108936309814453,574361,.1713171005249023,79395,-.2802772521972656,1378574,.0587692260742188,4982,16247723,302866,1677721,-.4239902496337891,41715,1.806174278259277,509319,1.434470176696777,383043,.4951667785644531,1238,.1181869506835938,412550,-.1658182144165039,2171768,.1118030548095703,131622,608452,.1721677780151367,557190,.7201824188232422,33519,481110,-.1159830093383789,5261,-.8196573257446289,125863,.1821489334106445,385829,.2886180877685547,6218,.9111576080322266,849919,.2605371475219727,344489,.2593069076538086,528899,-.0138940811157227,1735964,564932,1662279,.131749153137207,659159,1566886,.5676336288452148,4329565,470376,-.5628767013549805,235892,.3150768280029297,4330,-1.594078063964844,159080,1.807356834411621,3035112,-.2280445098876953,230314,1.171019554138184,23812,.5006723403930664,411108,5405,.7364387512207031,2091688,875998,.0042963027954102,37993,.2407150268554688,12446,255393,1790,178322,-1.721693992614746,matched (3),18701226,.92032504,1138773.1,2075594.9
201212,293299,635,1288,25799068,12,0,0,0,0,0,0,0,0,0,0,1,116026,1548967,-.5143527984619141,127572,1.162054061889648,451829,-.2399539947509766,55102,-.3652486801147461,1247730,-.0997238159179688,41049,13705044,185420,2020588,.1859521865844727,19903,-.739990234375,428780,-.1721305847167969,278996,-.3169498443603516,1152,-.0719976425170898,355600,-.1485509872436523,2397548,.0989046096801758,168743,470571,-.2569713592529297,519644,-.0697622299194336,71859,554851,.142603874206543,1796,-1.074759006500244,94839,-.2830133438110352,229950,-.5175323486328125,7502,.1877212524414063,1500831,.568634033203125,360409,.0451765060424805,607167,.1380062103271484,1258576,88185,1277158,-.2635517120361328,276776,1293538,-.1917095184326172,2428874,509789,.0804643630981445,284474,.1872682571411133,11881,1.009373664855957,235354,.3916835784912109,3216961,.0581884384155273,34265,-1.905319213867188,48550,.7124042510986328,193660,2199,-.8993215560913086,1445039,880977,.0056676864624023,11355,-1.207743644714356,19038,197532,3078,841170,1.551203727722168,matched (3),24998666,.92032504,960716.31,1983498.4
201301,293299,636,1288,23743876,01,0,0,0,0,0,0,0,0,0,0,0,215169,5128199,1.197166442871094,35970,-1.265995979309082,343203,-.2749814987182617,46827,-.1627264022827148,1329183,.0632381439208984,20429,12023352,446176,2155140,.0644674301147461,21836,.0926895141601563,256367,-.5143337249755859,312760,.1142387390136719,886,-.262537956237793,319444,-.1072244644165039,2243533,-.0663938522338867,110542,659836,.3380451202392578,510465,-.017822265625,48410,439689,-.2326316833496094,6434,1.276034832000732,248442,.9630289077758789,220502,-.0419549942016602,4505,-.5099821090698242,199264,-2.019144058227539,318233,-.124455451965332,484115,-.2264814376831055,589529,535857,1246288,-.0244684219360352,262489,1164029,-.1054935455322266,4630229,996426,.6701774597167969,283464,-.0035572052001953,8745,-.3064584732055664,130955,-.5862369537353516,2313945,-.3294830322265625,29550,-.1480398178100586,53903,.1045923233032227,863093,6339,1.058718681335449,1399596,836971,-.0512418746948242,16198,.355229377746582,16255,384974,12248,806334,-.0422964096069336,matched (3),22385128,.92032504,995190.44,2000423.5
201302,293299,637,1288,13764679,02,1,0,0,0,0,0,0,0,0,0,0,70195,2774062,-.6144418716430664,71524,.6873483657836914,490942,.3580036163330078,15622,-1.097780227661133,1097291,-.1917200088500977,3885,8777384,302947,1839815,-.1581907272338867,2109,-2.337345600128174,290980,.1266441345214844,262332,-.1758251190185547,637,-.3299474716186523,512631,.4729738235473633,1844605,-.1957874298095703,23876,570759,-.145024299621582,454976,-.115077018737793,40780,436072,-.0082607269287109,4978,-.2565689086914063,216043,-.1397323608398438,285324,.2577180862426758,4837,.0711069107055664,1152858,1.755369186401367,309797,-.0268659591674805,812541,.5178442001342773,1741043,491315,1808416,.3722820281982422,501382,780326,-.3999309539794922,4237750,871303,-.1341848373413086,196692,-.3654460906982422,515,-2.832070827484131,143626,.0923585891723633,1984788,-.1534423828125,215296,1.985929489135742,32328,-.5112524032592773,657432,36248,1.743662834167481,916428,938866,.1148834228515625,20747,.2475137710571289,14606,136955,4988,328050,-.8993320465087891,matched (3),14004607,.92032504,814926.13,1917131.9
201303,293299,638,1288,11303696,03,0,1,0,0,0,0,0,0,0,0,0,114712,2131081,-.2636833190917969,3678,-2.96766471862793,293365,-.5149078369140625,74068,1.556303977966309,1317734,.1830692291259766,16187,14452870,427927,1707484,-.0746440887451172,5892,1.027381420135498,261491,-.1068544387817383,224277,-.1567296981811523,952,.4017953872680664,587579,.1364545822143555,2018460,.0900697708129883,61543,291303,-.6726036071777344,381443,-.1762828826904297,4665,482664,.1015138626098633,4815,-.0332918167114258,307841,.3541059494018555,241403,-.1671571731567383,3552,-.3087835311889648,300354,-1.345038414001465,140727,-.7890958786010742,282117,-1.057844161987305,1598959,16157,805771,-.8084068298339844,287374,1332207,.5348806381225586,3458825,938840,.0746555328369141,216847,.0975532531738281,216,-.8688883781433106,42471,-1.218390464782715,3734349,.6320619583129883,131661,-.4917831420898438,18744,-.5450601577758789,538637,23977,-.4132890701293945,1034355,1128114,.1836299896240234,8263,-.9206142425537109,18184,270325,5611,235933,-.3296175003051758,matched (3),14353712,.92032504,996320.13,2000985.8
201304,293299,639,1288,12632570,04,0,0,1,0,0,0,0,0,0,0,0,148012,3005831,.3439245223999023,40691,2.403637886047363,435891,.3959741592407227,21609,-1.231873512268066,1123830,-.1591711044311523,35997,17131718,403313,2478013,.3724355697631836,10724,.5988883972167969,276881,.0571880340576172,171309,-.2694129943847656,1400,.3856625556945801,790395,.2965221405029297,2091535,.0355634689331055,54135,659018,.8163871765136719,466464,.2012195587158203,30400,555192,.1399927139282227,5435,.1211233139038086,179837,-.5375328063964844,300977,.2205657958984375,1622,-.7838511466979981,598154,.6888866424560547,270308,.652740478515625,610768,.772395133972168,1115268,11357,1331761,.5024576187133789,157913,338509,-1.370041847229004,4218582,1227170,.2678213119506836,132585,-.4919681549072266,2598,2.487218856811523,94198,.7965774536132813,2046156,-.6016111373901367,69407,-.6402425765991211,65232,1.247076988220215,539434,6187,-1.354644775390625,1141792,1209111,.0693378448486328,36560,1.487167358398438,20393,379096,20854,2155411,2.212188720703125,matched (3),15323477,.92032504,839231.13,1927588.9
201305,293299,640,1288,18320980,05,0,0,0,1,0,0,0,0,0,0,0,87323,5496669,.6035881042480469,33144,-.2051448822021484,347222,-.2274274826049805,45421,.7428646087646484,1133173,.0082798004150391,7490,14455746,235512,2827262,.1318521499633789,59890,1.720026016235352,442397,.4686193466186523,274076,.4699373245239258,981,-.3556547164916992,417646,-.6378984451293945,2241574,.0692806243896484,110488,600729,-.0926065444946289,626497,.2949628829956055,23093,432026,-.2508277893066406,58828,2.381758689880371,348939,.662846565246582,246121,-.2012100219726563,8830,1.694494724273682,671730,.1160087585449219,371356,.3175992965698242,528079,-.1454715728759766,1552568,119660,5610702,1.438173294067383,119711,327666,-.0325555801391602,5537028,739205,-.5068912506103516,157405,.1715984344482422,77486,3.395355224609375,285599,1.109189033508301,3315248,.482569694519043,103525,.3998250961303711,236246,1.286923408508301,742676,46312,2.012950897216797,1082698,1502762,.2174196243286133,29564,-.212397575378418,22952,144992,5066,2923675,.3048601150512695,matched (3),17100066,.92032504,1073834.4,2040688.6
201306,293299,641,1288,10104234,06,0,0,0,0,1,0,0,0,0,0,0,144437,2476061,-.7974729537963867,11378,-1.069180488586426,234040,-.3944730758666992,39279,-.1452846527099609,1011823,-.1132688522338867,5552,16186235,80990,1821261,-.4397792816162109,33375,-.5847024917602539,374775,-.1658821105957031,321221,.1587238311767578,766,-.2473907470703125,444549,.0624256134033203,2036630,-.0958824157714844,81857,510929,-.1619138717651367,320831,-.6692295074462891,9047,485181,.1160364151000977,5826,-2.312287330627441,335967,-.0378837585449219,170886,-.3648271560668945,6989,-.2338171005249023,441058,-.420680046081543,390654,.0506610870361328,482290,-.0907001495361328,1085445,23828,2633165,-.7564888000488281,183736,746235,.8230457305908203,3152379,298723,-.9060583114624023,186082,.1673650741577148,258,-5.704893112182617,100513,-1.04430103302002,3849564,.1494274139404297,62824,-.4994754791259766,160095,-.3891067504882813,387317,7478,-1.823435783386231,528552,917524,-.4933815002441406,27977,-.0551748275756836,22141,229270,4925,2314849,-.2334976196289063,matched (3),11063134,.92032504,1040813.1,2023507.4
201307,293299,642,1288,10976036,07,0,0,0,0,0,1,0,0,0,0,0,101337,2239662,-.1003437042236328,20105,.5692873001098633,335824,.3610954284667969,66750,.5302639007568359,1532531,.4151678085327148,2564,24885258,461149,2306380,.236149787902832,19741,-.5251092910766602,306096,-.2024269104003906,289051,-.1055269241333008,1151,.4072046279907227,222711,-.6911849975585938,1210416,-.5203323364257813,340865,708537,.3269720077514648,528609,.4993343353271484,86230,395112,-.205352783203125,43871,2.018922805786133,146713,-.8285350799560547,204291,.1785488128662109,5993,-.1537456512451172,385956,-.133453369140625,226678,-.5442924499511719,686669,.353306770324707,1869816,326957,2231737,-.1654062271118164,278130,275919,-.9949331283569336,5096714,803499,.9894590377807617,164372,-.1240549087524414,1930,2.01231575012207,75488,-.2863140106201172,4156939,.0768194198608398,100723,.4720363616943359,171064,.0662708282470703,707393,25353,1.220932006835938,1054268,1005056,.0911197662353516,22158,-.2331838607788086,23013,216689,5330,1008525,-.8308553695678711,matched (3),11558563,.92032504,966245.38,1986182.3
