period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c484,growth1036c484,Y1312c484,growth1312c484,Y1323c484,growth1323c484,Y1384c752,growth1384c752,Y1451c484,growth1451c484,Y1749c554,Y1761c484,growth1761c484,Y1766c208,growth1766c208,Y1851c372,growth1851c372,Y2062c484,growth2062c484,Y2074c705,growth2074c705,Y2120c752,growth2120c752,Y2121c300,growth2121c300,Y2138c484,growth2138c484,Y2146c32,Y2293c300,growth2293c300,Y2443c752,growth2443c752,Y2540c484,growth2540c484,Y2732c251,growth2732c251,Y2883c208,growth2883c208,Y3120c208,growth3120c208,Y3227c124,growth3227c124,Y3275c484,growth3275c484,Y3534c705,growth3534c705,Y3603c208,growth3603c208,Y3703c233,Y3916c191,growth3916c191,Y3949c484,growth3949c484,Y3974c352,growth3974c352,Y3974c484,growth3974c484,Y408c191,growth408c191,Y4291c484,growth4291c484,Y4415c484,growth4415c484,Y4452c752,growth4452c752,Y4456c246,growth4456c246,Y4480c705,growth4480c705,Y4606c68,growth4606c68,Y4645c484,growth4645c484,Y4681c372,growth4681c372,Y4682c222,growth4682c222,Y4753c222,growth4753c222,Y4758c222,growth4758c222,Y4761c428,growth4761c428,Y4989c152,growth4989c152,Y5003c616,growth5003c616,Y630c233,Y644c826,growth644c826,Y647c600,growth647c600,Y699c705,growth699c705,Y946c203,_merge,x,r2,s,sf
201604,300490,675,1384,32690312,04,0,0,1,0,0,0,0,0,0,0,0,2195689,.1212873458862305,1461493,.1736679077148438,1754322,.2035675048828125,195136464,.0071220397949219,9366253,-.0263614654541016,153577,12806995,-.119140625,3931163,.0229768753051758,1355990,.322331428527832,2100385,.0013027191162109,25706,-.2974758148193359,3655789,.1120748519897461,1677933,.0483570098876953,17160604,.0211448669433594,100244,64449,-.1691398620605469,116192,-1.518644332885742,1056298,.130610466003418,2294411,-.1679830551147461,6129091,.0962858200073242,802063,.0061664581298828,4021968,-.0204095840454102,59749000,.038116455078125,403544,-.1223735809326172,725901,.5243167877197266,528150,298276,.1565637588500977,27655446,.4730644226074219,631281,.1902589797973633,16780076,.0461158752441406,135074,.4850559234619141,27631336,.0576190948486328,12489175,.0213966369628906,554960,.1044082641601563,153506,.4398326873779297,2458080,.0807943344116211,502266,-.1171855926513672,28923756,-.0708408355712891,464485,.2715244293212891,569449,.9370355606079102,440626,-.1304931640625,199225,1.696711540222168,66063,.4168596267700195,1370809,-.1114387512207031,981906,-.1797208786010742,325232,7190973,.09759521484375,309377,-.9312458038330078,479810,-.1910610198974609,16874,matched (3),30527060,.92451733,1861570.9,4209956
201605,300490,676,1384,11592946,05,0,0,0,1,0,0,0,0,0,0,0,2067753,-.0600337982177734,1174701,-.21844482421875,1379387,-.240443229675293,206719392,.0576629638671875,8486908,-.0985879898071289,158517,12662353,-.0113582611083984,3410984,-.1419353485107422,1066759,-.2399072647094727,1685553,-.220026969909668,39713,.4349536895751953,3405749,-.0708465576171875,1340128,-.2247982025146484,15965330,-.0721969604492188,26893,89256,.3256349563598633,320243,1.013835906982422,713279,-.3926534652709961,2228977,-.0289335250854492,6286881,.0254182815551758,528862,-.4164590835571289,4655572,.1462936401367188,61807816,.0338783264160156,252880,-.4673709869384766,808378,.1076164245605469,474803,251922,-.1689004898071289,29949944,.0797042846679688,607279,-.038762092590332,16328836,-.0272598266601563,98777,-.312957763671875,25949158,-.0628108978271484,9998566,-.2224197387695313,484137,-.1365280151367188,86757,-.5706281661987305,2598974,.0557355880737305,516203,.027369499206543,29008492,.0029258728027344,259146,-.5835371017456055,287702,-.682744026184082,248488,-.5728015899658203,203181,.0196619033813477,33372,-.682891845703125,1744201,.2408952713012695,979934,-.0020103454589844,276548,7359142,.0231170654296875,593977,.6522798538208008,279133,-.5417013168334961,37948,matched (3),20634854,.92451733,2381207,4464127
201606,300490,677,1384,42790024,06,0,0,0,0,1,0,0,0,0,0,0,2167206,.0469760894775391,1264179,.0734090805053711,1642709,.1747074127197266,199726128,-.0344161987304688,9571191,.1202325820922852,103554,12518877,-.0113945007324219,4035676,.1681737899780273,1148958,.0742301940917969,1855378,.0959949493408203,21627,-.6077356338500977,4031866,.1687641143798828,1706705,.2417993545532227,15260530,-.0451488494873047,32396,38072,-.8520298004150391,464665,.3722372055053711,1044766,.3816757202148438,3046010,.3122901916503906,5544588,-.1256427764892578,924044,.5580320358276367,4841786,.0392189025878906,54666756,-.1227741241455078,371422,.3844242095947266,577246,-.336761474609375,318932,273829,.0833845138549805,38458596,.2500553131103516,2034894,1.209210395812988,17156204,.0494289398193359,144231,.3785514831542969,23004502,-.1204490661621094,8565305,-.1547222137451172,530582,.0916070938110352,67518,-.2507171630859375,2306212,-.1195096969604492,812584,.4537200927734375,33624604,.1476688385009766,400818,.4361152648925781,302845,.0512962341308594,286321,.141718864440918,160934,-.2331027984619141,33342,-.0008993148803711,1827370,.0465812683105469,1230341,.2275619506835938,145540,6505856,-.1232404708862305,713494,.1833333969116211,356891,.2457418441772461,8845,matched (3),38401804,.92451733,2375409.3,4461037
201607,300490,678,1384,45679920,07,0,0,0,0,0,1,0,0,0,0,0,2640041,.1973562240600586,1438451,.1291437149047852,1512042,-.0828857421875,203066048,.0165843963623047,10416984,.0846805572509766,223229,10939639,-.1348457336425781,4384875,.0829868316650391,1457630,.2379570007324219,2062461,.1058111190795898,34923,.4792032241821289,3793743,-.0608758926391602,1219788,-.3358869552612305,13764398,-.1031856536865234,48173,252908,1.893546104431152,194395,-.871424674987793,1527726,.3799877166748047,3285872,.0757989883422852,6236001,.1175165176391602,1204173,.2647886276245117,2316721,-.7371311187744141,57055904,.0427761077880859,456707,.2067031860351563,681320,.1657638549804688,672938,155480,-.5659866333007813,27948150,-.3192329406738281,314774,-1.866344451904297,17303112,.0085258483886719,129280,-.1094350814819336,21225394,-.0804920196533203,10142930,.1690578460693359,694752,.2695798873901367,34379,-.6749486923217773,2423558,.0496301651000977,631399,-.2522821426391602,29388912,-.1346397399902344,442944,.0999364852905273,468144,.4355545043945313,179449,-.4672222137451172,144664,-.1065807342529297,69076,.7283897399902344,1641907,-.1070194244384766,880705,-.3343238830566406,309603,7401145,.128931999206543,930674,.2657356262207031,1293258,1.28748893737793,10064,matched (3),44682628,.92451733,2892142,4756340
201608,300490,679,1384,30429320,08,0,0,0,0,0,0,1,0,0,0,0,2508220,-.0512218475341797,2082125,.3698225021362305,791388,-.6474275588989258,208346320,.0256710052490234,10603582,.0177536010742188,175214,13182958,.1865329742431641,4796776,.08978271484375,1243221,-.1591062545776367,1673335,-.2090816497802734,15271,-.8271903991699219,4600656,.192845344543457,1075081,-.1262807846069336,16820496,.2005138397216797,109656,33124,-2.032767295837402,299907,.4335803985595703,1202272,-.239567756652832,3333339,.01434326171875,6147076,-.0143623352050781,952415,-.2345476150512695,3669537,.4599123001098633,55774260,-.0227203369140625,176398,-.9512996673583984,705220,.0344772338867188,419809,316785,.7117061614990234,22711336,-.2074851989746094,508910,.4804162979125977,19887272,.1391925811767578,69276,-.6238822937011719,24773172,.1545639038085938,9556126,-.0595951080322266,552920,-.2283411026000977,92984,.9949817657470703,2765059,.1318254470825195,650077,.0291528701782227,39458656,.2946357727050781,314879,-.3412551879882813,410431,-.1315679550170898,293340,.4914407730102539,41280,-1.254034996032715,85080,.2083845138549805,1561414,-.0502662658691406,674413,-.2668800354003906,297730,6478683,-.13311767578125,879783,-.0562343597412109,467126,-1.018320083618164,80581,matched (3),24693590,.92451733,2613318.3,4592136
201609,300490,680,1384,16146129,09,0,0,0,0,0,0,0,1,0,0,0,2313015,-.0810213088989258,1818028,-.1356363296508789,1578538,.6904659271240234,182013824,-.1351203918457031,10794969,.0178890228271484,125295,13209372,.0020008087158203,4151371,-.144505500793457,1250256,.0056419372558594,1318965,-.237971305847168,4562,-1.208194732666016,4028694,-.132756233215332,1047942,-.0255680084228516,16258995,-.0339527130126953,41487,90628,1.006505012512207,217311,-.3221435546875,1157364,-.0380678176879883,2522892,-.278569221496582,6384678,.0379247665405273,882793,-.0759096145629883,2714122,-.3015966415405273,64328432,.1426906585693359,341037,.6592483520507813,545735,-.2563762664794922,398125,50153,-1.843144416809082,25228172,.1050968170166016,356854,-.3549442291259766,15293826,-.2626304626464844,110475,.4666900634765625,21502966,-.141571044921875,6714863,-.3528585433959961,1109412,.6963720321655273,72210,-.2528486251831055,2484017,-.1071853637695313,528520,-.2070102691650391,27525860,-.3601284027099609,255654,-.2083635330200195,298047,-.3199567794799805,212529,-.3222541809082031,77836,.6342258453369141,25424,-1.207898139953613,972936,-.4730291366577148,1161049,.5432357788085938,189499,4852379,-.2890481948852539,335450,-.9642019271850586,365439,-.2454996109008789,21835,matched (3),19675028,.92451733,2294455.8,4418462.5
201610,300490,681,1384,18077120,10,0,0,0,0,0,0,0,0,1,0,0,2351679,.0165777206420898,1823646,.0030851364135742,568629,-1.021026611328125,202240688,.105377197265625,9534259,-.1241893768310547,264273,12148898,-.0836868286132813,3735299,-.1056108474731445,1068568,-.1570281982421875,1385455,.0491819381713867,15922,1.249940872192383,3560553,-.1235265731811523,1548817,.3906631469726563,15007323,-.0801067352294922,50261,227380,.9198598861694336,316171,.3749542236328125,1895139,.4931468963623047,3409849,.3012619018554688,5107319,-.2232265472412109,907343,.0274295806884766,2978838,.0930643081665039,62282976,-.0323143005371094,103732,-1.190179824829102,358817,-.4193210601806641,512843,182474,1.291528701782227,25986244,.0296058654785156,746231,.7377090454101563,17032380,.1076679229736328,111635,.0104455947875977,25448432,.1684627532958984,9023245,.2954797744750977,1608222,.3712987899780273,199069,1.014072418212891,2508166,.0096750259399414,486937,-.0819454193115234,31230496,.1262702941894531,392349,.4283266067504883,469251,.4538869857788086,310818,.3801298141479492,77216,-.0079975128173828,70243,1.016266822814941,1480002,.4194803237915039,914319,-.2388992309570313,179670,7496171,.4349231719970703,411405,.2041053771972656,524035,.3604583740234375,12076,matched (3),21078624,.92451733,1690038.9,4136969.3
201611,300490,682,1384,42655836,11,0,0,0,0,0,0,0,0,0,1,0,2258964,-.0402231216430664,1592935,-.1352596282958984,1278034,.8098506927490234,215062592,.0614700317382813,9947818,.0424613952636719,139483,12585001,.0352668762207031,3798244,.0167112350463867,1205675,.1207199096679688,2664893,.6541347503662109,44504,1.027877807617188,4637438,.2642459869384766,1069612,-.3701953887939453,15672475,.0433673858642578,156450,28134,-2.089644432067871,330228,.0434999465942383,3209083,.5266933441162109,3231834,-.0536174774169922,7117440,.331873893737793,979473,.0764942169189453,2675323,-.1074628829956055,70497856,.1238937377929688,416965,1.391191482543945,406800,.1255092620849609,531161,56719,-1.168498039245606,29151280,.1149311065673828,564385,-.2792987823486328,19838952,.1525306701660156,140214,.227935791015625,22364502,-.1291790008544922,11864196,.2737216949462891,1404975,-.1351099014282227,110153,-.5917806625366211,2545547,.0147933959960938,456358,-.0648574829101563,28337974,-.0971927642822266,263146,-.3994426727294922,366957,-.2458934783935547,538408,.5494089126586914,208331,.9925212860107422,75346,.0701303482055664,1605260,.081242561340332,1009954,.0994806289672852,263192,5300462,-.3465976715087891,740380,.58758544921875,557294,.0615348815917969,26092,matched (3),40484116,.92451733,2090263.1,4315956.5
201612,300490,683,1384,22401336,12,0,0,0,0,0,0,0,0,0,0,1,1885766,-.180572509765625,1073565,-.3945932388305664,1295029,.013209342956543,171395680,-.2269535064697266,9330633,-.0640506744384766,115273,11351393,-.1031665802001953,3192546,-.1737203598022461,1146157,-.0506248474121094,1167583,-.8252277374267578,4036,-2.400325775146484,4648053,.0022869110107422,999820,-.0674762725830078,14596567,-.0711193084716797,76180,123118,1.476164817810059,142666,-.8392772674560547,1148649,-1.027399063110352,2738853,-.1655111312866211,6269501,-.1268520355224609,762229,-.250767707824707,990768,-.9933452606201172,69623280,-.0124835968017578,103108,-1.397225379943848,399334,-.0185232162475586,468360,95282,.5187311172485352,59487288,.7132644653320313,389905,-.3698339462280273,18456410,-.072235107421875,88815,-.4566144943237305,24802600,.1034736633300781,10249268,-.1463184356689453,1336220,-.0501747131347656,53608,-.7201719284057617,2093971,-.1952829360961914,628882,.3206663131713867,26383292,-.07147216796875,182029,-.3685426712036133,373837,.0185756683349609,139085,-1.353531837463379,52059,-1.386750221252441,88755,.1637887954711914,1147188,-.3359718322753906,607607,-.5081319808959961,233699,5299172,-.000244140625,396207,-.6252269744873047,338968,-.497187614440918,29496,matched (3),24301592,.92451733,3041276.8,4848468.5
201701,300490,684,1384,29580312,01,0,0,0,0,0,0,0,0,0,0,0,2289757,.1941118240356445,1149345,.068206787109375,1758813,.3061065673828125,177078784,.0326194763183594,8459620,-.0979976654052734,334458,11704840,.0306625366210938,3803794,.1751804351806641,1654322,.3669767379760742,1376163,.164362907409668,70085,2.85445499420166,5573622,.1815967559814453,1412191,.3453226089477539,13474272,-.0800056457519531,168093,219577,.5785598754882813,345366,.884099006652832,1234620,.0721769332885742,2750289,.0041666030883789,180305,-3.548801422119141,862457,.1235380172729492,3649085,1.303751945495606,80496304,.1451129913330078,822025,2.075993537902832,639725,.4712400436401367,332708,171130,.5855827331542969,27314300,-.7783527374267578,668438,.5390405654907227,16592187,-.1064796447753906,150682,.5286159515380859,26395384,.0622406005859375,6830787,-.405766487121582,1701390,.2416009902954102,88396,.5001277923583984,2253771,.073542594909668,650770,.0342130661010742,24279156,-.0831127166748047,463409,.9344444274902344,491250,.2731332778930664,471089,1.219962120056152,85460,.4956703186035156,107422,.1908855438232422,2235774,.6672735214233398,1061489,.5578994750976563,206798,5827752,.0950813293457031,557427,.3413944244384766,429370,.2364139556884766,0,matched (3),29278130,.92451733,2155400.3,4347877
