period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1159c246,growth1159c246,Y1317c705,growth1317c705,Y1418c826,growth1418c826,Y1468c705,growth1468c705,Y1470c208,growth1470c208,Y1712c124,growth1712c124,Y1971c348,growth1971c348,Y2017c251,growth2017c251,Y2072c152,growth2072c152,Y2117c246,growth2117c246,Y2124c752,growth2124c752,Y2209c246,growth2209c246,Y2307c208,growth2307c208,Y25c152,growth25c152,Y2671c703,growth2671c703,Y2731c440,growth2731c440,Y2763c268,growth2763c268,Y2960c752,growth2960c752,Y3110c752,growth3110c752,Y3142c484,growth3142c484,Y3209c268,growth3209c268,Y3340c752,growth3340c752,Y3427c484,growth3427c484,Y3452c348,growth3452c348,Y3501c752,growth3501c752,Y3604c752,growth3604c752,Y3709c484,growth3709c484,Y3981c752,growth3981c752,Y4071c152,growth4071c152,Y408c600,growth408c600,Y4252c208,growth4252c208,Y4267c586,growth4267c586,Y4420c68,growth4420c68,Y4431c792,growth4431c792,Y4437c152,growth4437c152,Y4579c600,growth4579c600,Y4701c246,growth4701c246,Y4763c554,Y4777c703,growth4777c703,Y4851c344,Y4886c807,growth4886c807,Y4894c792,growth4894c792,Y533c705,growth533c705,Y583c32,Y633c616,growth633c616,Y641c440,growth641c440,Y890c703,growth890c703,Y913c251,growth913c251,Y915c251,growth915c251,Y959c222,growth959c222,_merge,x,r2,s,sf
201011,841350,610,3837,23789460,11,0,0,0,0,0,0,0,0,0,1,0,137096,1.604896545410156,13502,-.9616680145263672,359431,-.456298828125,156850,.0380229949951172,135730,-1.328810691833496,4055180,-.183476448059082,190195,-.7444839477539063,378464,-.7149753570556641,713496,-.5939064025878906,666200,-.0417051315307617,425064,-.0821943283081055,223305,.0251169204711914,33561,-.3947906494140625,72938296,.5227794647216797,38967,-.8252573013305664,52634,-.3674497604370117,294102,.1732759475708008,195165,.4394063949584961,757952,-.4558076858520508,699299,-.0921401977539063,142322,.1959609985351563,5213641,-.2301349639892578,2750035,.2224359512329102,4588,-3.239550590515137,3422835,-.0353822708129883,699010,-.2427177429199219,959152,.3387699127197266,2270307,-.1396036148071289,54460,-.3018980026245117,4824,-1.57536506652832,3313169,.3036279678344727,140330,-.1338424682617188,317925,.5373115539550781,256814,-.0515804290771484,798321,-.3438138961791992,11393193,.0306396484375,4014,-1.263665199279785,678582,89568,-.3624858856201172,271415,15946,.1343021392822266,153886,1.697458267211914,385282,.165618896484375,34609,7032997,-.0142974853515625,3123,-1.294467926025391,154982,.8388547897338867,365357,-.0308475494384766,246,-4.500351428985596,308929,.3393106460571289,matched (3),26340954,.92411417,3294266.8,5465856
201012,841350,611,3837,28834590,12,0,0,0,0,0,0,0,0,0,0,1,148695,.0812158584594727,25057,.6183147430419922,876149,.8910140991210938,73177,-.7624082565307617,320073,.8578815460205078,4124283,.0168972015380859,265903,.3350811004638672,827187,.7819099426269531,555961,-.2494783401489258,752384,.1216564178466797,338010,-.2291641235351563,235236,.0520505905151367,26662,-.2301254272460938,105996664,.3737945556640625,43502,.1100912094116211,8001,-1.883795738220215,462054,.4517555236816406,224146,.1384525299072266,944501,.2200374603271484,726841,.0386295318603516,125404,-.126551628112793,5697742,.0887908935546875,2854127,.0371522903442383,8804,.6517620086669922,2984764,-.1369485855102539,728339,.0411014556884766,966366,.0074930191040039,2388358,.0506906509399414,100239,.6100902557373047,13576,1.034700393676758,2091035,-.4602460861206055,181654,.2581071853637695,512460,.4774074554443359,602481,.8527040481567383,2096833,.965672492980957,13572857,.1750545501708984,4494,.1129550933837891,548298,137803,.4308261871337891,340839,29662,.6206588745117188,183452,.1757402420043945,300332,-.2490863800048828,65818,6332944,-.1048479080200195,35891,2.441692352294922,172369,.1063289642333984,509229,.3320226669311523,92027,5.924505710601807,111647,-1.017768859863281,matched (3),44392348,.92411417,2381265.5,4969287
201101,841350,612,3837,26482992,01,0,0,0,0,0,0,0,0,0,0,0,79171,-.6302871704101563,37251,.3965263366699219,584801,-.4042644500732422,106656,.3767271041870117,99225,-1.171159744262695,3805637,-.080409049987793,346625,.2651119232177734,219385,-1.327202796936035,1305765,.8538455963134766,408602,-.6105051040649414,399718,.1676836013793945,143981,-.4909076690673828,87254,1.18558406829834,42266848,-.9194049835205078,38824,-.1137685775756836,15829,.682276725769043,123987,-1.315505027770996,376792,.5193958282470703,740932,-.2427482604980469,710499,-.022740364074707,97539,-.2512884140014648,5142611,-.102508544921875,2601036,-.0928564071655273,10969,.2198677062988281,3861134,.2574405670166016,537793,-.3032932281494141,532551,-.5958633422851563,2482769,.0387687683105469,60846,-.4992103576660156,21275,.4492292404174805,3214389,.4299783706665039,146133,-.2175874710083008,252887,-.7062807083129883,161915,-1.313984870910645,1463819,-.359379768371582,9142144,-.3951759338378906,9285,.7256565093994141,400427,65036,-.7508840560913086,222067,4267,-1.938955307006836,141263,-.2613296508789063,286630,-.046696662902832,16728,5278584,-.1821069717407227,27039,-.2832069396972656,118744,-.3726682662963867,324247,-.4513921737670898,9285,-2.293682098388672,505860,1.510917663574219,matched (3),38335616,.92411417,2500892.5,5027708.5
201102,841350,613,3837,32067132,02,1,0,0,0,0,0,0,0,0,0,0,355966,1.503225326538086,14575,-.9383716583251953,601581,.028289794921875,140406,.2749300003051758,17334,-1.744719505310059,4504620,.1686201095581055,502147,.3706493377685547,675871,1.125174522399902,384237,-1.223284721374512,477469,.1557579040527344,401281,.0039024353027344,117750,-.2011175155639648,169057,.6614131927490234,42606580,.0080070495605469,50843,.2697038650512695,19846,.2261590957641602,340078,1.008997917175293,752155,.691248893737793,851779,.1394186019897461,732764,.0308561325073242,66791,-.3786840438842773,7556318,.3848228454589844,3631436,.3337182998657227,15915,.3721885681152344,3965307,.0266227722167969,634242,.1649570465087891,590804,.1038055419921875,3773771,.4187002182006836,103240,.5287094116210938,17754,-.1809225082397461,3080784,-.0424528121948242,168460,.142181396484375,292964,.1471071243286133,224510,.3268489837646484,2412569,.4996433258056641,10524033,.1407661437988281,4381,-.7511224746704102,1259280,160553,.9036836624145508,237971,17817,1.429242134094238,177026,.2256736755371094,256407,-.1114263534545898,38698,3739690,-.3446559906005859,40250,.3978300094604492,109697,-.0792474746704102,782879,.8814725875854492,41875,1.506289482116699,834641,.5007419586181641,matched (3),70505936,.92411417,4295358,6121559.5
201103,841350,614,3837,24315780,03,0,1,0,0,0,0,0,0,0,0,0,48073,-2.002115249633789,73655,1.620084762573242,1725365,1.053632736206055,114886,-.2005987167358398,158581,2.213595390319824,5773186,.2481212615966797,505658,.0069675445556641,504664,-.292109489440918,861099,.806950569152832,685657,.3618783950805664,370400,-.080078125,116402,-.0115137100219727,66607,-.931427001953125,59934696,.3412456512451172,28614,-.5748462677001953,79391,1.386383056640625,628996,.6149501800537109,1022585,.3071460723876953,1095982,.2520790100097656,903437,.2093830108642578,192907,1.060640335083008,7381407,-.0234193801879883,2808754,-.2568874359130859,6944,-.8293838500976563,3912343,-.0134468078613281,520091,-.1984262466430664,1038254,.5638113021850586,3895418,.0317258834838867,85349,-.1903076171875,13137,-.301177978515625,2087167,-.3893766403198242,250308,.3959941864013672,255843,-.1354856491088867,175885,-.2440900802612305,2330440,-.0346345901489258,11342948,.0749340057373047,32716,2.010586738586426,1285947,134558,-.1766290664672852,513413,11653,-.4245891571044922,127492,-.3282432556152344,271713,.0579805374145508,42083,6513683,.5549030303955078,50717,.2311515808105469,205155,.6260433197021484,579405,-.3009757995605469,35599,-.1623716354370117,682227,-.2016391754150391,matched (3),39563660,.92411417,2833841.3,5201350.5
201104,841350,615,3837,31200918,04,0,0,1,0,0,0,0,0,0,0,0,885930,2.913917541503906,22291,-1.195209503173828,2444445,.3483791351318359,35455,-1.175675392150879,248547,.449366569519043,6122792,.0587940216064453,512662,.0137567520141602,572539,.1261882781982422,863284,.0025339126586914,443745,-.4351282119750977,408694,.0983829498291016,228400,.6740484237670898,78276,.1614322662353516,67662856,.1212825775146484,30458,.0624532699584961,28815,-1.013489723205566,670225,.0634889602661133,689865,-.3935928344726563,799899,-.3149213790893555,627670,-.364192008972168,227891,.1666593551635742,6154155,-.1818370819091797,2449941,-.1366767883300781,19482,1.031612396240234,5002449,.2457904815673828,442734,-.1610345840454102,1047122,.0085048675537109,3499138,-.1072835922241211,57337,-.3978023529052734,41980,1.161761283874512,2594043,.2174100875854492,345528,.3223810195922852,221191,-.1455373764038086,508543,1.06171989440918,2620420,.1172771453857422,13095565,.1436786651611328,43658,.2885227203369141,1690769,282168,.7405071258544922,519993,11110,-.0477180480957031,163761,.2503547668457031,462396,.5316753387451172,44889,8356163,.2490940093994141,54179,.0660314559936523,211099,.0285615921020508,561895,-.0306873321533203,36278,.0188941955566406,806217,.1669902801513672,matched (3),47371752,.92411417,3153207.3,5382017
201105,841350,616,3837,28904850,05,0,0,0,1,0,0,0,0,0,0,0,101897,-2.162674903869629,41473,.6208600997924805,1945959,-.2280635833740234,61020,.5429372787475586,175458,-.3482322692871094,4898400,-.2231101989746094,700555,.312255859375,445883,-.2500247955322266,556896,-.4383649826049805,619892,.3342952728271484,495857,.1933212280273438,296467,.2608375549316406,38179,-.7179555892944336,53690288,-.2313060760498047,38007,.2214212417602539,21614,-.2875547409057617,381949,-.5623264312744141,669808,-.0295047760009766,1292140,.4795703887939453,1045494,.5102300643920898,191108,-.1760292053222656,5761577,-.0659160614013672,2756988,.1180744171142578,36558,.6294097900390625,4077344,-.2044811248779297,420359,-.0518608093261719,1020844,-.0254154205322266,5329209,.4206857681274414,76320,.2859888076782227,34621,-.1927328109741211,2806238,.0786266326904297,304558,-.1262121200561523,289872,.2704133987426758,380575,-.2898664474487305,2202203,-.1738758087158203,10999069,-.1744632720947266,5596,-2.05433464050293,1572318,100204,-1.035294532775879,499189,9084,-.2013311386108398,120689,-.3051910400390625,384690,-.1839838027954102,38175,6098873,-.3148956298828125,11547,-1.545866966247559,157136,-.2952156066894531,933920,.5080757141113281,21909,-.5043144226074219,698550,-.143345832824707,matched (3),39253056,.92411417,3492940.5,5587846
201106,841350,617,3837,36554152,06,0,0,0,0,1,0,0,0,0,0,0,827713,2.094703674316406,66734,.4756717681884766,1990401,.0225820541381836,130050,.7567167282104492,185303,.0545921325683594,5250210,.0693597793579102,840173,.1817350387573242,469926,.0525188446044922,929998,.5128040313720703,497796,-.2193546295166016,380102,-.2658481597900391,330795,.109562873840332,59494,.4435892105102539,56351144,.048370361328125,93205,.8970308303833008,36568,.5258321762084961,508852,.286870002746582,666913,-.0043315887451172,803541,-.4750270843505859,920500,-.1273269653320313,328901,.5429182052612305,5897958,.0233945846557617,2720997,-.0131397247314453,364635,2.299996376037598,4387333,.0732755661010742,370203,-.1270570755004883,1723833,.5239200592041016,3770332,-.3460397720336914,85555,.1142244338989258,81735,.8590211868286133,2285390,-.2053079605102539,196027,-.4406089782714844,145442,-.6896629333496094,408921,.07183837890625,2292696,.0402698516845703,9405046,-.1565647125244141,12072,.7688369750976563,1624394,341931,1.227400779724121,600472,44696,1.593369483947754,169742,.3410625457763672,496398,.2549400329589844,56184,6025266,-.0121421813964844,19361,.5168342590332031,124269,-.2346630096435547,463538,-.7005023956298828,42214,.6558542251586914,551288,-.2367496490478516,matched (3),34313844,.92411417,4475766.5,6249470
201107,841350,618,3837,31983418,07,0,0,0,0,0,1,0,0,0,0,0,673689,-.2058982849121094,11113,-1.792598724365234,1392031,-.3575725555419922,59517,-.7816562652587891,163565,-.124781608581543,4786398,-.0924901962280273,401532,-.7383203506469727,465006,-.0105247497558594,606096,-.4281444549560547,402544,-.2123861312866211,203119,-.62664794921875,164706,-.6973371505737305,50323,-.1674127578735352,53497564,-.0519657135009766,19898,-1.544181823730469,12902,-1.041790962219238,215262,-.8603010177612305,432028,-.434168815612793,371905,-.7703895568847656,673428,-.3125362396240234,112994,-1.068422317504883,4042960,-.377629280090332,2470881,-.0964241027832031,76726,-1.558655738830566,3062352,-.3595390319824219,424440,.13671875,1454677,-.1697664260864258,4018112,.0636491775512695,115947,.3039741516113281,15646,-1.653266906738281,1701253,-.2951717376708984,225956,.1420879364013672,195198,.2942371368408203,161601,-.9283914566040039,1725977,-.2839345932006836,8694926,-.0785064697265625,28699,.8659734725952148,1661163,271316,-.2313241958618164,628610,20233,-.7925691604614258,84277,-.7001705169677734,401329,-.2125968933105469,25944,5179665,-.1512212753295898,48146,.9109773635864258,66756,-.621403694152832,271487,-.5349740982055664,927,-3.818553447723389,280837,-.6744832992553711,matched (3),25263476,.92411417,2253491,4909339.5
201108,841350,619,3837,37540692,08,0,0,0,0,0,0,1,0,0,0,0,886068,.2740249633789063,21251,.6482877731323242,845620,-.4984493255615234,79580,.2905006408691406,378010,.8377103805541992,5513798,.1414756774902344,386644,-.0377826690673828,451059,-.030451774597168,464718,-.2656078338623047,419920,.0422601699829102,175730,-.1448431015014648,204244,.215153694152832,47834,-.0507259368896484,86774880,.4836807250976563,16896,-.1635427474975586,17169,.2857236862182617,342829,.4653759002685547,199769,-.7713289260864258,886068,.8681545257568359,691049,.0258293151855469,212168,.6300439834594727,7619346,.6337137222290039,2244760,-.0959758758544922,178585,.8448238372802734,3942087,.2525272369384766,597271,.3416004180908203,849766,-.5375776290893555,3318841,-.1911964416503906,90059,-.2526683807373047,39601,.9286394119262695,2080108,.2010555267333984,356234,.4552478790283203,345221,.5701704025268555,235635,.3771533966064453,2063269,.1784982681274414,12493669,.3624820709228516,9337,-1.122878074645996,2290946,159437,-.5316352844238281,820568,1732,-2.458038330078125,218171,.9511699676513672,432077,.0738229751586914,45051,4746334,-.0873680114746094,6989,-1.929900169372559,174755,.9623403549194336,1039638,1.342714309692383,63310,4.2238450050354,1035151,1.30452823638916,matched (3),46410532,.92411417,2832251.8,5200484.5
