period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c218,Y1146c616,Y1271c152,Y1310c705,growth1310c705,Y1769c124,growth1769c124,Y1826c218,Y1850c484,growth1850c484,Y1898c344,Y206c246,growth206c246,Y2079c428,growth2079c428,Y2089c203,Y2307c222,growth2307c222,Y266c246,growth266c246,Y2738c826,growth2738c826,Y2813c381,Y2872c344,Y2888c124,growth2888c124,Y2c757,growth2c757,Y3013c300,Y3017c752,growth3017c752,Y3087c124,growth3087c124,Y3235c586,growth3235c586,Y3347c703,growth3347c703,Y3391c440,growth3391c440,Y3532c705,growth3532c705,Y3541c124,growth3541c124,Y3564c124,growth3564c124,Y3578c124,growth3578c124,Y3773c124,growth3773c124,Y3906c32,Y3925c826,growth3925c826,Y4163c32,Y4429c376,Y4761c352,growth4761c352,Y4950c600,growth4950c600,Y4951c124,growth4951c124,Y4952c752,growth4952c752,Y4974c705,growth4974c705,Y5014c208,growth5014c208,Y5026c484,growth5026c484,Y561c428,growth561c428,Y570c757,growth570c757,Y583c826,growth583c826,Y588c752,growth588c752,Y636c124,growth636c124,Y656c484,growth656c484,Y663c246,growth663c246,Y768c348,growth768c348,Y916c616,growth916c616,Y920c124,growth920c124,_merge,x,r2,s,sf
201611,841490,682,3852,23805972,11,0,0,0,0,0,0,0,0,0,1,0,174660,14618,1072401,4270158,.8811473846435547,3577758,-.2034940719604492,4335540,732629,-.2479324340820313,1137697,153532,-.0797214508056641,7057,-1.88097095489502,170317,853060,-.3883380889892578,1027141,-.1680736541748047,24811650,.0689754486083984,7389247,98426,3726508,-.2909250259399414,1019485,-2.333431243896484,15447,653332,-.3085250854492188,4987677,-.1599550247192383,29863532,.3196659088134766,339223,-.2650995254516602,34712,-1.587229728698731,95040,-.5175075531005859,8788948,-.1019306182861328,41225,-.2473335266113281,19372714,-.0129604339599609,19137520,-.2360439300537109,6035810,2403119,.5466175079345703,352368,174000,53951,-.007258415222168,10215,.5216522216796875,1553194,-.0770378112792969,4841295,.1378231048583984,49354,-1.05568790435791,496470,-.3915119171142578,357867,-.3833026885986328,74082,-.5637531280517578,18744594,.0604209899902344,16602351,-.0411720275878906,157058,-.1236610412597656,836448,-.3704929351806641,588637,-.4423284530639648,307540,.0413618087768555,215541,.5264005661010742,582839,.213165283203125,471592,-.2318668365478516,matched (3),24480674,.91219002,862318.25,2046445.4
201612,841490,683,3852,31141980,12,0,0,0,0,0,0,0,0,0,0,1,345536,105466,1008428,4882438,.1339941024780273,3200353,-.111475944519043,7721152,780821,.0637063980102539,861601,173831,.1241741180419922,17359,.9000911712646484,155459,1284779,.4095125198364258,1090194,.0595760345458984,27210072,.0922756195068359,7795920,76368,4444248,.1761388778686523,1814668,.5766048431396484,12583,133220,-1.590084075927734,5439113,.0866460800170898,36081796,.1891498565673828,443678,.2684412002563477,63130,.5981111526489258,118266,.2186384201049805,9123678,.0373783111572266,90559,.786956787109375,16497403,-.1606636047363281,17836140,-.0704231262207031,8250705,3109836,.2578029632568359,700050,204000,58551,.081822395324707,1081,-2.245970249176025,1612435,.0374317169189453,3726477,-.26171875,103411,.7396926879882813,610921,.2074451446533203,594385,.5073652267456055,131446,.5734233856201172,12100820,-.4376316070556641,17129440,.0312538146972656,118671,-.2802600860595703,896067,.0688505172729492,724188,.2072410583496094,276431,-.1066436767578125,88390,-.891392707824707,550556,-.0569820404052734,1006197,.7578191757202148,matched (3),29829612,.91219002,863650.94,2047007.4
201701,841490,684,3852,33447004,01,0,0,0,0,0,0,0,0,0,0,0,205424,15698,2193684,6979710,.3573627471923828,4229520,.2788276672363281,6160228,1105220,.3474540710449219,873841,87740,-.6837053298950195,24945,.3625621795654297,0,1750844,.3095111846923828,1797153,.4998483657836914,34316572,.2320404052734375,14013102,82731,5979639,.2967491149902344,9535398,1.659109115600586,22744,223847,.5189609527587891,5911689,.0833158493041992,38346492,.0608749389648438,353445,-.2273712158203125,116738,.6147356033325195,201799,.5343360900878906,8540107,-.0661001205444336,83046,-.0866069793701172,19736524,.1792678833007813,22199872,.2188606262207031,4052166,1162085,-.9843549728393555,1306676,224000,165988,1.042016983032227,1638,.4155893325805664,1301506,-.2142229080200195,4397033,.16546630859375,125470,.1933555603027344,396884,-.4313240051269531,555761,-.0671882629394531,148196,.1199398040771484,15777854,.2653331756591797,18710166,.0882682800292969,961670,2.092315673828125,1055330,.1635932922363281,1065104,.3857765197753906,369745,.2908525466918945,136976,.4380474090576172,577661,.0480585098266602,942509,-.0653877258300781,matched (3),32577512,.91219002,657095.5,1968786.6
201702,841490,685,3852,29203422,02,1,0,0,0,0,0,0,0,0,0,0,125291,1345,1523280,1519778,-1.524443626403809,3141247,-.2974681854248047,4998737,634129,-.5555477142333984,576364,66343,-.2795400619506836,19608,-.2407360076904297,312913,877466,-.6908149719238281,1414834,-.239192008972168,28406292,-.1890182495117188,7511077,48444,3936267,-.4181270599365234,4192569,-.8216981887817383,20084,322931,.3664760589599609,6116076,.0339889526367188,31366578,-.2009201049804688,283095,-.2219457626342773,52946,-.7906599044799805,137599,-.3829288482666016,9088313,.0622148513793945,48869,-.5302515029907227,18633366,-.0575160980224609,20358110,-.08660888671875,4388752,1171187,.0078020095825195,372833,321000,41020,-1.397855758666992,2537,.4375061988830566,1687372,.2596502304077148,3753854,-.158146858215332,230425,.6078586578369141,604342,.4204959869384766,585543,.0522012710571289,120672,-.2054595947265625,12769080,-.2115802764892578,11649054,-.4738426208496094,94300,-2.322190284729004,921575,-.1355247497558594,559769,-.6433038711547852,353993,-.0435361862182617,156232,.131535530090332,735639,.2417516708374023,625379,-.4101877212524414,matched (3),30378834,.91219002,796672.19,2019661.5
201703,841490,686,3852,28239692,03,0,1,0,0,0,0,0,0,0,0,0,216075,3690,943772,5281472,1.245640754699707,4732219,.4097738265991211,7129133,1272601,.6965665817260742,1017244,88347,.2864341735839844,9795,-.6940650939941406,160989,450127,-.6675081253051758,1275947,-.1033229827880859,34192380,.1853923797607422,6591010,55625,1931708,-.7118282318115234,4442373,.0578746795654297,8249,714689,.7944087982177734,5928039,-.0312271118164063,41230000,.2734241485595703,350014,.2121906280517578,58901,.1065855026245117,299244,.7769155502319336,8722677,-.0410623550415039,19112,-.9388275146484375,20700528,.1052055358886719,22628996,.1057529449462891,5012729,1286860,.0941877365112305,494581,234000,45757,.1092853546142578,679,-1.318116188049316,1481268,-.1302738189697266,4946766,.2759513854980469,162726,-.3478584289550781,472437,-.2462358474731445,357866,-.4923810958862305,155735,.2550792694091797,13704195,.0706748962402344,20049872,.542999267578125,106615,.1227436065673828,1004095,.0857582092285156,910804,.4868040084838867,350994,-.0085086822509766,145304,-.0725135803222656,678452,-.0809249877929688,892435,.355595588684082,matched (3),29388762,.91219002,800163.19,2021041.1
201704,841490,687,3852,33971884,04,0,0,1,0,0,0,0,0,0,0,0,310381,13408,1395622,1350415,-1.363792419433594,3205059,-.3896636962890625,5532322,813672,-.447260856628418,1063164,92298,.0437498092651367,16786,.5386724472045898,249478,594351,.2779397964477539,1636805,.2490577697753906,30887568,-.1016483306884766,5148623,68813,2224558,.1411533355712891,4864545,.090785026550293,8473,1187705,.5079307556152344,6265160,.0553102493286133,45163636,.09112548828125,266702,-.2718410491943359,117011,.6864099502563477,187563,-.4671440124511719,9319186,.0661497116088867,37029,.6613855361938477,20731660,.0015010833740234,21410168,-.0553646087646484,6371540,1958972,.4202146530151367,540505,244000,112274,.8975973129272461,6659,2.283102989196777,1572656,.0598669052124023,3837020,-.2540378570556641,176122,.0791091918945313,547755,.147923469543457,405554,.1250953674316406,198309,.2416706085205078,11682938,-.1595726013183594,17045664,-.1623268127441406,125498,.1630659103393555,960757,-.0441207885742188,488788,-.6223993301391602,351923,.0026435852050781,169573,.1544551849365234,635367,-.0656108856201172,1063224,.1751079559326172,matched (3),33715180,.91219002,613473.75,1954660.1
201705,841490,688,3852,40936532,05,0,0,0,1,0,0,0,0,0,0,0,362157,646,1633931,6571692,1.582359313964844,5661139,.5688943862915039,7775814,948868,.153712272644043,1384130,127411,.3223962783813477,32644,.6651163101196289,392361,856433,.3653059005737305,2303211,.341557502746582,39801900,.2535610198974609,9690489,78084,4363310,.6736726760864258,5209517,.0685138702392578,13244,1352776,.1301355361938477,6477514,.0333328247070313,45848668,.0150527954101563,503548,.6355476379394531,127024,.0821084976196289,241884,.2543430328369141,11001487,.16595458984375,42913,.1474733352661133,22051012,.0616970062255859,24935888,.1524410247802734,12106856,1513613,-.2579202651977539,856551,280000,172618,.4301385879516602,2071,-1.167937278747559,2516177,.469975471496582,5103656,.2852611541748047,284518,.4796199798583984,759229,.3264760971069336,470770,.1491155624389648,182126,-.0851268768310547,14782896,.2353420257568359,18982394,.1076145172119141,237647,.6384963989257813,1216093,.2356777191162109,886097,.5948982238769531,713476,.7067365646362305,187691,.1015138626098633,749385,.1650495529174805,640585,-.5066795349121094,matched (3),39439500,.91219002,818796.5,2028490.5
201706,841490,689,3852,38886440,06,0,0,0,0,1,0,0,0,0,0,0,132852,48405,2398405,5771636,-.1298160552978516,4936695,-.1369285583496094,8200121,1108814,.1557760238647461,859741,77242,-.5004749298095703,8320,-1.366998672485352,172488,664011,-.2544775009155273,2039053,-.1218185424804688,40222468,.0105094909667969,14151875,182680,10127417,.842015266418457,6377767,.2023305892944336,10290,1236596,-.0897960662841797,6690962,.0324211120605469,40589352,-.1218395233154297,441237,-.1320972442626953,269431,.7519359588623047,171540,-.3436422348022461,10221956,-.0734920501708984,82221,.6502361297607422,22289092,.0107383728027344,23678606,-.0517368316650391,11201430,1571502,.0375328063964844,781471,178000,43628,-1.375381469726563,613,-1.217422008514404,2489115,-.0108137130737305,4964911,-.027562141418457,218184,-.2654581069946289,730001,-.0392580032348633,464076,-.0143213272094727,205727,.1218509674072266,15890034,.0722217559814453,18300750,-.0365695953369141,192405,-.2111845016479492,1006754,-.1889123916625977,812397,-.0868377685546875,747945,.04718017578125,162780,-.1423978805541992,762989,.0179910659790039,1251473,.6696949005126953,matched (3),38120984,.91219002,717705.94,1989836.1
201707,841490,690,3852,36953780,07,0,0,0,0,0,1,0,0,0,0,0,104822,731,930817,5284293,-.0882167816162109,4671302,-.0552577972412109,7350805,816065,-.3065519332885742,851182,91447,.1688165664672852,14881,.5814228057861328,573842,687050,.0341091156005859,1239728,-.497593879699707,39464236,-.0190296173095703,26877608,122474,14123751,.332611083984375,3363304,-.6398935317993164,3379,961224,-.2519102096557617,7179086,.0704145431518555,62549720,.4324569702148438,349296,-.2336626052856445,95391,-1.038328170776367,157730,-.0839309692382813,10082744,-.0137138366699219,39265,-.7390775680541992,19555192,-.1308555603027344,25167360,.0609760284423828,5149282,2008783,.2454967498779297,365839,180000,37420,-.1534938812255859,665,.0814218521118164,2054046,-.1921157836914063,3437935,-.3675241470336914,272411,.2219734191894531,633107,-.1424064636230469,512074,.0984201431274414,201210,-.0222005844116211,13852278,-.1372432708740234,17504308,-.04449462890625,83794,-.8312406539916992,1104677,.0928220748901367,531684,-.4239397048950195,563048,-.2839641571044922,142298,-.1344757080078125,642479,-.1719093322753906,615515,-.7096176147460938,matched (3),34506408,.91219002,721345.5,1991151.8
201708,841490,691,3852,38735400,08,0,0,0,0,0,0,1,0,0,0,0,151721,22085,2246121,9200273,.5544948577880859,4575749,-.0206680297851563,9375401,932368,.1332330703735352,1150285,115342,.2321414947509766,36925,.9088039398193359,777803,1712861,.91351318359375,665010,-.6228446960449219,35045312,-.1187534332275391,33131980,201044,15410803,.0872116088867188,3965636,.1647424697875977,7828,1260316,.2709102630615234,7057961,-.0170164108276367,67247336,.0724143981933594,369766,.056950569152832,205660,.7682399749755859,150028,-.0500631332397461,10680472,.0575923919677734,135235,1.23668098449707,22895492,.1576995849609375,26995390,.0701198577880859,2721251,3322834,.5032892227172852,924903,178000,51460,.3185997009277344,3686,1.712510585784912,2032478,-.0105562210083008,6673626,.6632919311523438,236868,-.1398086547851563,757221,.17901611328125,562273,.0935192108154297,487555,.8850536346435547,17295934,.2220211029052734,19037074,.0839405059814453,111528,.285914421081543,1192271,.0763063430786133,577816,.0832061767578125,548162,-.02679443359375,217144,.4226369857788086,566178,-.1264257431030273,869939,.3459634780883789,matched (3),38300716,.91219002,1023781.9,2119546
201709,841490,692,3852,30871652,09,0,0,0,0,0,0,0,1,0,0,0,62379,15830,1445962,3334447,-1.014926910400391,4735163,.034245491027832,8078652,726732,-.2491693496704102,842044,82041,-.3406820297241211,34344,-.0724620819091797,618964,666559,-.9437923431396484,897582,.2999019622802734,27856384,-.2295799255371094,28147344,99149,12772379,-.1877841949462891,5615771,.3479118347167969,4324,1093740,-.1417598724365234,6635960,-.0616531372070313,53392292,-.2307109832763672,378072,.0222148895263672,139401,-.3888692855834961,164322,.0910062789916992,10164618,-.0495033264160156,39607,-1.228008270263672,21863904,-.0461044311523438,24392424,-.1013946533203125,18018624,2073407,-.4716253280639648,734877,172000,50808,-.012751579284668,1228,-1.099155426025391,1855921,-.0908746719360352,4368712,-.4236946105957031,156187,-.4164495468139648,588848,-.2514877319335938,375928,-.4025907516479492,298279,-.4913740158081055,16083269,-.0726909637451172,17728640,-.0712051391601563,188205,.5232563018798828,1034678,-.1417694091796875,503027,-.1386117935180664,123535,-1.490046501159668,162032,-.2927665710449219,659478,.1525402069091797,508105,-.5377349853515625,matched (3),34032704,.91219002,611781.81,1954129.8
201710,841490,693,3852,35667024,10,0,0,0,0,0,0,0,0,1,0,0,214236,32780,1574354,4144430,.2174587249755859,4737892,.0005769729614258,8362154,857660,.1656503677368164,854051,136402,.5083866119384766,33534,-.0238676071166992,963523,990688,.3962717056274414,1530771,.5338230133056641,26535654,-.0485725402832031,15405623,76776,7093342,-.5881280899047852,13527681,.8791589736938477,8328,1533195,.3377513885498047,7296557,.0948991775512695,39701576,-.2962760925292969,401631,.0604486465454102,170924,.2038640975952148,166822,.0150995254516602,9608083,-.0563087463378906,113885,1.056182861328125,23434088,.0693550109863281,23343336,-.0439605712890625,4708665,1447519,-.3593416213989258,354729,215000,77467,.4217987060546875,2675,.7785625457763672,2260235,.1970882415771484,5024610,.1398792266845703,111819,-.334172248840332,490310,-.1831302642822266,379874,.0104427337646484,145248,-.7195863723754883,16690077,.0370349884033203,19363064,.0881843566894531,246627,.2703447341918945,983574,-.0506525039672852,628008,.2219095230102539,283764,.8316183090209961,176785,.0871400833129883,873503,.281062126159668,770817,.4167633056640625,matched (3),33486620,.91219002,634553.81,1961378.3
201711,841490,694,3852,29045998,11,0,0,0,0,0,0,0,0,0,1,0,150929,1895,1215426,5167589,.2206411361694336,3394674,-.3333854675292969,9613927,838765,-.02227783203125,734802,78953,-.5467529296875,28736,-.1544084548950195,822618,573317,-.5469608306884766,1111637,-.3199386596679688,26422524,-.0042724609375,14819962,73517,5047861,-.3401918411254883,2337691,-1.755574226379395,5443,710014,-.7698249816894531,6908281,-.0546817779541016,36518360,-.0835742950439453,1358601,1.218677520751953,123427,-.3255691528320313,247594,.394862174987793,10398056,.0790138244628906,5306,-3.066350936889648,22369912,-.0464744567871094,21427542,-.0856342315673828,5704371,1468398,.0143203735351563,735700,248000,67114,-.1434593200683594,780,-1.232410430908203,2124603,-.0618839263916016,4018246,-.2235021591186523,98478,-.1270484924316406,517492,.0539569854736328,532215,.3372077941894531,128785,-.1202983856201172,19170030,.1385326385498047,18893492,-.0245494842529297,390108,.4585466384887695,911002,-.0766477584838867,511024,-.2061367034912109,318618,.1158504486083984,129975,-.307591438293457,738974,-.1672487258911133,694846,-.1037607192993164,matched (3),29487230,.91219002,913320.5,2068453.6
