period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1209c372,growth1209c372,Y1323c208,growth1323c208,Y1427c586,growth1427c586,Y1430c152,growth1430c152,Y1661c152,growth1661c152,Y1682c372,growth1682c372,Y1734c222,growth1734c222,Y1848c440,growth1848c440,Y1901c484,growth1901c484,Y1904c616,growth1904c616,Y1905c352,growth1905c352,Y2043c757,growth2043c757,Y2120c152,growth2120c152,Y2203c554,Y2419c208,growth2419c208,Y2433c203,Y2498c233,Y2521c381,Y2690c124,growth2690c124,Y2829c208,growth2829c208,Y2967c792,growth2967c792,Y3140c152,growth3140c152,Y3421c554,Y3439c372,growth3439c372,Y3482c372,growth3482c372,Y3489c152,growth3489c152,Y3521c124,growth3521c124,Y3568c251,growth3568c251,Y3571c344,Y3738c381,Y3850c818,Y3949c68,growth3949c68,Y4002c620,growth4002c620,Y4019c608,Y4089c191,growth4089c191,Y4142c222,growth4142c222,Y4197c688,growth4197c688,Y4272c600,growth4272c600,Y4276c554,Y4311c68,growth4311c68,Y4375c428,growth4375c428,Y4378c440,growth4378c440,Y4419c32,Y4450c440,growth4450c440,Y4524c554,Y4730c442,Y4763c554,Y4992c251,growth4992c251,Y543c348,growth543c348,Y651c251,growth651c251,_merge,x,r2,s,sf
201609,722240,680,3347,93325,09,0,0,0,0,0,0,0,1,0,0,0,89977,.0087852478027344,200742,-.8411750793457031,542687,.0510416030883789,90448,-1.078074455261231,157748,-.3903741836547852,1233513,-.2575159072875977,62560,-.9911003112792969,51079,-.4421195983886719,100968,-2.029913902282715,818851,-.9392671585083008,41022,-.4072675704956055,1530574,-.1857213973999023,598031,-.5197134017944336,1677,93239,-.5134706497192383,28150,1523,116276,664196,-.4101924896240234,864955,-.53436279296875,657742,.0380897521972656,144475,.0685291290283203,206834,87745,.3677167892456055,588269,.2778387069702148,4745933,-.0153961181640625,312974,-.0508098602294922,260594,.2142534255981445,5694004,293754,454712,36590,-3.790881156921387,88863,-2.418203353881836,147854,10004,-.6216812133789063,32,-5.971660137176514,1848047,5.049556732177734,275589,.2016687393188477,224534,84626,-.3960781097412109,177522,-.1449441909790039,15791,.8484172821044922,4686233,13856,-1.553362846374512,12351,67500,2097027,3153272,-.2777996063232422,560757,-.4051904678344727,5963456,-.1524686813354492,matched (3),61121.988,.85648978,32933.664,67819.008
201610,722240,681,3347,179611,10,0,0,0,0,0,0,0,0,1,0,0,89751,-.0025148391723633,522038,.9557199478149414,593406,.0893468856811523,70608,-.2476310729980469,257228,.4889640808105469,594557,-.7298040390014648,204794,1.185878753662109,88396,.5484533309936523,197411,.6704835891723633,1914919,.8495283126831055,47909,.1551952362060547,1875943,.2034683227539063,715394,.1791906356811523,17771,151857,.4877729415893555,84222,38870,231537,725434,.0881919860839844,1041131,.1853847503662109,746036,.1259613037109375,127842,-.1223115921020508,298263,94431,.0734348297119141,622026,.0557975769042969,3921377,-.1908454895019531,280949,-.1079473495483398,307464,.1653938293457031,4853373,387793,550691,196921,1.683027267456055,303098,1.226961135864258,987471,40342,1.394408226013184,19863,6.430878162384033,2004700,.0813655853271484,283256,.0274410247802734,267868,154613,.6026840209960938,288468,.4854888916015625,21515,.3093099594116211,7826934,97821,1.954421043395996,46619,229125,2577373,3204990,.0162687301635742,1456285,.9543561935424805,4760027,-.2253971099853516,matched (3),286745.34,.85648978,34968.398,68830.086
201611,722240,682,3347,99249,11,0,0,0,0,0,0,0,0,0,1,0,48210,-.6214733123779297,290507,-.5861129760742188,625622,.0528669357299805,78568,.1068210601806641,242208,-.0601654052734375,2936681,1.59721851348877,140915,-.3738479614257813,77427,-.1324911117553711,171445,-.1410245895385742,1140067,-.5185880661010742,66156,.3227119445800781,1638698,-.1352090835571289,535715,-.2892313003540039,24159,85084,-.5792999267578125,61594,32538,191135,722541,-.0039958953857422,700457,-.3963298797607422,638669,-.1553878784179688,151939,.1726837158203125,251027,68255,-.3246183395385742,562123,-.1012611389160156,2777174,-.3450088500976563,333508,.1714944839477539,230712,-.2871875762939453,1718403,209380,498114,523837,.9783782958984375,238850,-.2382211685180664,412514,19537,-.7250833511352539,14019,-.348444938659668,8783,-5.430432319641113,234899,-.1871957778930664,226876,191643,.2147083282470703,415416,.3646965026855469,957,-3.112701892852783,4752206,39367,-.9102115631103516,24800,38859,2106223,2428244,-.2775411605834961,732773,-.6868085861206055,5151895,.0791110992431641,matched (3),67574.586,.85648978,24883.684,64296.105
201612,722240,683,3347,172042,12,0,0,0,0,0,0,0,0,0,0,1,114298,.8632431030273438,229577,-.2353887557983398,1096717,.5613307952880859,185088,.8568668365478516,480481,.6849908828735352,809233,-1.288949012756348,53889,-.9612302780151367,63176,-.2034111022949219,231318,.299530029296875,1977654,.5508241653442383,62301,-.0600376129150391,1650565,.0072154998779297,865628,.4798526763916016,6405,116172,.3114328384399414,82079,38704,167660,935607,.2584218978881836,733653,.0463037490844727,783678,.2046117782592773,165182,.0835685729980469,280961,58906,-.147308349609375,605229,.0738859176635742,5448185,.6738481521606445,554617,.508610725402832,850322,1.304444313049316,2927018,213269,743555,620822,.1698637008666992,290050,.1942176818847656,688892,28442,.3755569458007813,13747,-.0195932388305664,2409312,5.614278793334961,313716,.289332389831543,780309,915951,1.564329147338867,186144,-.802760124206543,4373,1.519401073455811,7973257,13343,-1.081935882568359,54114,50100,2328564,2300676,-.0539655685424805,728082,-.0064220428466797,4860126,-.0583000183105469,matched (3),135110.89,.85648978,48180.395,76394.648
201701,722240,684,3347,130080,01,0,0,0,0,0,0,0,0,0,0,0,63583,-.5864629745483398,220334,-.0410938262939453,893340,-.2051095962524414,30637,-1.798623085021973,916687,.6459779739379883,1680354,.7306728363037109,166669,1.129083633422852,103504,.4936857223510742,199091,-.1500310897827148,914300,-.7715082168579102,36019,-.5479307174682617,1344659,-.2049770355224609,837602,-.0329122543334961,30322,85843,-.3025522232055664,0,18607,221543,969853,.0359487533569336,889921,.1930961608886719,531768,-.3877906799316406,163935,-.0075778961181641,418854,37602,-.4488849639892578,583209,-.0370616912841797,4162535,-.2691583633422852,504643,-.0944271087646484,284263,-1.095714569091797,6275033,107097,490397,769293,.2144279479980469,191504,-.4151439666748047,361452,24141,-.1639547348022461,30723,.8041906356811523,1611561,-.4021377563476563,292681,-.0694046020507813,469168,259076,-1.26284122467041,359550,.6583328247070313,4988,.1315860748291016,7696644,15738,.1650867462158203,14003,34968,1566113,2292116,-.0037269592285156,436098,-.5125465393066406,4105357,-.1687717437744141,matched (3),223449.47,.85648978,28854.076,65934.43
201702,722240,685,3347,74570,02,1,0,0,0,0,0,0,0,0,0,0,30778,-.7255458831787109,379912,.544795036315918,776928,-.1396198272705078,154033,1.614958763122559,277397,-1.195316314697266,1718522,.0224609375,104754,-.4643955230712891,127462,.2082080841064453,150202,-.2817811965942383,1337018,.3800382614135742,53155,.389164924621582,1312457,-.0242395401000977,858078,.0241518020629883,3136,51215,-.5164871215820313,56579,123047,497966,763612,-.2390842437744141,504980,-.5666141510009766,509750,-.0422868728637695,132233,-.2149038314819336,383096,37277,-.0086812973022461,346820,-.5197391510009766,2964963,-.339259147644043,302823,-.5107021331787109,237914,-.1779909133911133,4557736,167086,475282,88151,-2.166420936584473,267425,.3339300155639648,105428,19609,-.2079229354858398,36387,.1691999435424805,1560750,-.0320367813110352,180763,-.4818964004516602,156499,92868,-1.025942802429199,108215,-1.200733184814453,27897,1.721484184265137,6260197,9575,-.496922492980957,16196,15421,2237613,3363162,.3834056854248047,808212,.6169576644897461,3992876,-.0277805328369141,matched (3),80362.633,.85648978,27148.15,65205.934
201703,722240,686,3347,179852,03,0,1,0,0,0,0,0,0,0,0,0,58352,.6396932601928711,585283,.4321556091308594,477698,-.4863691329956055,66598,-.8384923934936523,270848,-.0238924026489258,933933,-.6098155975341797,107891,.0295066833496094,83577,-.4220495223999023,176189,.159576416015625,2103096,.4529685974121094,59499,.1127471923828125,2133455,.4858417510986328,911374,.0602588653564453,20082,157288,1.122045516967773,133146,166363,222942,627579,-.1961908340454102,829058,.4957714080810547,566324,.1052455902099609,37726,-1.254216194152832,157536,78393,.7433586120605469,862908,.9115018844604492,4016291,.3034944534301758,550431,.5975532531738281,337252,.3489208221435547,6630332,209233,530667,155734,.5690984725952148,618020,.837681770324707,128621,22955,.1575469970703125,206635,1.736742973327637,2603321,.5116214752197266,276223,.4240217208862305,215827,839090,2.201138496398926,131173,.1923971176147461,31902,.1341495513916016,8722003,17831,.6217823028564453,43828,28686,2333498,3469424,.0311069488525391,720115,-.1154136657714844,5177958,.2598981857299805,matched (3),32257.475,.85648978,34104.836,68395.406
201704,722240,687,3347,165094,04,0,0,1,0,0,0,0,0,0,0,0,181340,1.133879661560059,483569,-.1909017562866211,781757,.4925661087036133,41464,-.4738492965698242,267418,-.0127439498901367,865592,-.0759906768798828,147047,.3096303939819336,87505,.0459270477294922,113517,-.4396047592163086,1606059,-.2696266174316406,87104,.3811435699462891,1853687,-.1405668258666992,703285,-.2591915130615234,6153,59813,-.9668550491333008,62607,145800,153533,578822,-.0808744430541992,399638,-.7297306060791016,848109,.4038429260253906,165646,1.479503631591797,332599,112085,.3575229644775391,550838,-.4488668441772461,2590721,-.4384231567382813,472590,-.1524734497070313,252147,-.2908172607421875,3787626,149186,474187,277501,.5776748657226563,182795,-1.218155860900879,192818,14417,-.4651279449462891,86383,-.8721628189086914,1161930,-.8067054748535156,255564,-.0777359008789063,381015,242362,-1.241885185241699,72254,-.5963296890258789,16429,-.6636209487915039,3456303,10912,-.4910755157470703,96134,11235,1853969,3283593,-.0550498962402344,452166,-.4653615951538086,4967662,-.0414609909057617,matched (3),164771.09,.85648978,21405.264,63031.555
201705,722240,688,3347,251543,05,0,0,0,1,0,0,0,0,0,0,0,27295,-1.893670082092285,848425,.5621881484985352,817621,.0448541641235352,53910,.2624902725219727,444724,.5086402893066406,2372542,1.008303642272949,270800,.6106290817260742,117433,.2941722869873047,816927,1.973597526550293,1750563,.0861539840698242,58694,-.3947649002075195,1993197,.0725631713867188,833410,.1697635650634766,12957,118637,.684844970703125,87333,203495,262180,692060,.1786775588989258,851339,.756251335144043,1218949,.3627347946166992,86113,-.6541929244995117,296849,20488,-1.699419021606445,574792,.042567253112793,4774441,.6113405227661133,665387,.3421401977539063,390567,.437586784362793,6289204,272980,454258,496446,.5816497802734375,120435,-.4172544479370117,278852,18262,.2364139556884766,29774,-1.065155982971191,1364583,.1607656478881836,295728,.1459674835205078,718746,100201,-.8832540512084961,76452,.0564756393432617,105881,1.86326789855957,4569270,13500,.2128267288208008,87256,14562,3259073,3858496,.1613388061523438,926388,.7172431945800781,7322370,.3879842758178711,matched (3),277283.28,.85648978,31159.898,66975.602
201706,722240,689,3347,244851,06,0,0,0,0,1,0,0,0,0,0,0,66542,.8911304473876953,389125,-.7794818878173828,757673,-.0761470794677734,222209,1.416302680969238,253778,-.5609941482543945,1107945,-.7614555358886719,159703,-.5280647277832031,92130,-.2426671981811523,323275,-.9270467758178711,899515,-.665837287902832,49893,-.1624574661254883,1697810,-.160400390625,840028,.0079097747802734,1648,9752,-2.49859619140625,57127,282726,126824,843725,.1981544494628906,1082153,.2398977279663086,1210830,-.0066823959350586,123998,.3646049499511719,187700,19024,-.0741376876831055,934087,.4855613708496094,4301309,-.1043567657470703,451282,-.3882761001586914,359172,-.0837984085083008,4431340,171190,359180,41463,-2.482672691345215,417582,1.243370056152344,129079,26063,.3556947708129883,55503,.6228017807006836,1627078,.1759376525878906,378256,.2461309432983398,459612,100639,.0043611526489258,144541,.6368999481201172,75848,-.3335847854614258,11783544,119748,2.182700157165527,16903,13261,2914891,4866925,.2321853637695313,681376,-.3071784973144531,9572414,.2679519653320313,matched (3),201227.14,.85648978,32384.938,67554.242
201707,722240,690,3347,126399,07,0,0,0,0,0,1,0,0,0,0,0,35649,-.6241121292114258,651292,.5150575637817383,554152,-.3128128051757813,70347,-1.150177955627441,253642,-.0005359649658203,1613700,.3760232925415039,184059,.1419401168823242,62615,-.3861961364746094,471844,.3781452178955078,1793244,.6899261474609375,113600,.8228034973144531,1832278,.0762205123901367,670406,-.2255516052246094,538,10911,.1122989654541016,14563,110328,66356,789099,-.0669355392456055,804488,-.2965021133422852,1311147,.0795955657958984,178384,.363673210144043,236604,118335,1.827817916870117,472969,-.6805400848388672,4383082,.0188322067260742,371715,-.193964958190918,485102,.3005580902099609,3000002,145462,285679,349950,2.132988929748535,346715,-.1859779357910156,202959,17423,-.4027252197265625,7896,-1.950080871582031,1735528,.0645256042480469,256356,-.3890037536621094,400257,56822,-.5716161727905273,163378,.1225032806396484,29669,-.9386281967163086,7580223,15022,-2.075873374938965,11986,203768,2803612,4922045,.0112619400024414,667954,-.0198945999145508,6752345,-.3489961624145508,matched (3),54856.688,.85648978,40088.434,71567.273
201708,722240,691,3347,356097,08,0,0,0,0,0,0,1,0,0,0,0,108006,1.108465194702148,501652,-.2610511779785156,561640,.0134220123291016,100046,.3521900177001953,268917,.0584793090820313,1735250,.0726213455200195,161043,-.1335849761962891,129976,.7303457260131836,583198,.211878776550293,830103,-.7702322006225586,64139,-.5716314315795898,2102799,.1377096176147461,777251,.1478796005249023,9422,10058,-.0814027786254883,172123,40551,197772,787658,-.0018272399902344,1179006,.3822212219238281,1737004,.2812595367431641,228682,.2483940124511719,240164,96158,-.2075262069702148,1005225,.753936767578125,4587003,.0454750061035156,596683,.4732580184936523,238599,-.7095746994018555,7721677,177833,375290,58472,-1.789242744445801,503570,.3732204437255859,280006,21477,.2091913223266602,76224,2.267319679260254,1858842,.0686416625976563,322430,.2293186187744141,611002,117440,.7260046005249023,169621,.0375003814697266,22768,-.2647466659545898,8122092,148183,2.288931846618652,35358,110198,3030379,4553407,-.0778484344482422,913720,.3133049011230469,7750485,.1378660202026367,matched (3),351185.13,.85648978,39146.418,71043.883
201709,722240,692,3347,70367,09,0,0,0,0,0,0,0,1,0,0,0,35915,-1.101031303405762,491982,-.0194644927978516,402843,-.3323135375976563,100731,.0068235397338867,344115,.2465734481811523,1266490,-.3149023056030273,84348,-.6467199325561523,62027,-.7397804260253906,330097,-.5691404342651367,1730732,.7347497940063477,35158,-.6012001037597656,1680198,-.2243576049804688,786890,.0123252868652344,4243,4057,-.9079246520996094,57591,27814,137361,565106,-.3320512771606445,954171,-.2115840911865234,1446431,-.1830625534057617,153352,-.3995962142944336,163798,13012,-2.000121116638184,468602,-.7632122039794922,4559142,-.0060920715332031,467374,-.2442560195922852,201223,-.1703710556030273,2148161,194505,289658,72013,.2082986831665039,482482,-.0427799224853516,167713,27778,.2572612762451172,1618,-3.852485179901123,1610014,-.1437101364135742,278033,-.1481466293334961,408465,40363,-1.068014144897461,369753,.7792682647705078,2585,-2.175630569458008,11551525,145895,-.0155611038208008,105360,20583,3545437,3492185,-.2653484344482422,702947,-.2622432708740234,6995237,-.1025257110595703,matched (3),83917.578,.85648978,37291.645,70038.977
201710,722240,693,3347,328363,10,0,0,0,0,0,0,0,0,1,0,0,95368,.9765872955322266,910216,.6152400970458984,631456,.4494810104370117,90255,-.1098146438598633,440470,.2468662261962891,1655927,.2681121826171875,128455,.4206275939941406,108153,.5559768676757813,345600,.0458955764770508,2125269,.2053546905517578,98096,1.026094436645508,1682903,.0016088485717773,1023104,.262507438659668,4732,12483,1.123924255371094,101440,89902,151877,656720,.1502447128295898,849845,-.1157894134521484,1565719,.0792465209960938,228976,.4008808135986328,269934,76972,1.777569770812988,701046,.4028196334838867,4762829,.0437068939208984,351877,-.2838478088378906,377324,.6286907196044922,7183960,199695,574529,98852,.316777229309082,133218,-1.286956787109375,345051,42506,.4254007339477539,52335,3.476474285125732,2386803,.393712043762207,409704,.3876953125,529877,239842,1.782066345214844,455980,.2096138000488281,68624,3.278916358947754,11217341,95980,-.4187469482421875,6041,26186,4052617,3890895,.1081113815307617,861619,.2035322189331055,5786329,-.1897315979003906,matched (3),318519.31,.85648978,35500.191,69101.773
