period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1055c826,growth1055c826,Y1400c152,Y1424c554,Y1540c586,growth1540c586,Y1686c440,growth1686c440,Y1752c440,growth1752c440,Y1980c484,growth1980c484,Y2080c826,growth2080c826,Y2120c372,growth2120c372,Y2327c208,Y2560c191,growth2560c191,Y2603c586,growth2603c586,Y2764c208,growth2764c208,Y2897c300,growth2897c300,Y2945c381,Y2968c484,growth2968c484,Y2984c124,growth2984c124,Y3007c757,growth3007c757,Y3260c428,growth3260c428,Y3394c554,Y3406c381,Y3453c152,growth3453c152,Y3454c498,Y3455c203,Y3465c300,growth3465c300,Y365c376,Y3681c484,growth3681c484,Y3738c208,growth3738c208,Y3820c826,growth3820c826,Y4077c218,Y4138c233,Y4173c586,growth4173c586,Y4181c826,growth4181c826,Y4210c376,Y4277c191,growth4277c191,Y4306c152,growth4306c152,Y4329c352,growth4329c352,Y4634c300,growth4634c300,Y4681c642,Y4711c348,growth4711c348,Y4757c152,growth4757c152,Y4760c620,growth4760c620,Y4793c688,growth4793c688,Y4838c246,growth4838c246,Y4922c428,growth4922c428,Y5009c222,growth5009c222,Y619c233,Y663c440,growth663c440,Y679c792,growth679c792,Y686c251,growth686c251,_merge,x,r2,s,sf
201601,901831,672,4753,6429980,01,0,0,0,0,0,0,0,0,0,0,0,99666,-.4732866287231445,609913,156472,703164,-.1845216751098633,1238084,-.3138084411621094,29189,-1.662998199462891,4241960,-.0919790267944336,296451,.3351583480834961,8663472,-.122802734375,980,649,-1.919592380523682,745261,.0345306396484375,14481240,.1345367431640625,952317,-.4311685562133789,718672,147024,-.2900466918945313,23564448,.144744873046875,365983,-.288212776184082,29406,-.8081378936767578,36239,213446,265902,-.5283842086791992,0,107525,13201,.0666360855102539,1129000,100489,-.8239889144897461,55268,-.5335445404052734,2905549,-1.031216621398926,47868,0,129476,.0254535675048828,184406,-1.185091018676758,1659000,210283,-.4027338027954102,1078343,-1.85556697845459,174350,-.6668157577514648,119354,1.118890762329102,26542,16757,-.9178533554077148,1339573,-.1560754776000977,464677,-.6746988296508789,146110,-.372283935546875,8680,-.722996711730957,112245,-.6102895736694336,7353,-.3363561630249023,0,1004735,-.2639741897583008,56892,-2.281807899475098,2112034,-.3066492080688477,matched (3),6810449.5,.92764288,280227.25,518744.06
201602,901831,673,4753,7535432,02,1,0,0,0,0,0,0,0,0,0,0,328534,1.192815780639648,778920,358933,602391,-.1546831130981445,1462678,.1667041778564453,183100,1.836239814758301,4538779,.0676326751708984,380615,.2499065399169922,8734765,.0081949234008789,1683,1449,.8031959533691406,931977,.2235736846923828,13253769,-.0885734558105469,930726,-.0229330062866211,1216963,253475,.5446701049804688,23907440,.0144500732421875,147664,-.9076471328735352,131160,1.495219230651856,61821,513006,283487,.0640382766723633,32252,182013,56649,1.456582069396973,1665000,227279,.8161306381225586,128501,.8437423706054688,11446824,1.371090888977051,182378,87084,228401,.5676078796386719,624866,1.220396995544434,2712000,274343,.265925407409668,1351002,.2254209518432617,251239,.3653402328491211,48578,-.8989229202270508,32081,33454,.6913557052612305,1419521,.0579681396484375,821119,.5693254470825195,261765,.5830879211425781,8291,-.0458507537841797,145890,.2621688842773438,2963,-.9089059829711914,136719,1043283,.0376491546630859,5689,-2.302619934082031,2619119,.2151870727539063,matched (3),7611385,.92764288,274690.72,515774.25
201603,901831,674,4753,5269243,03,0,1,0,0,0,0,0,0,0,0,0,538194,.4935789108276367,2854302,295917,711575,.1665735244750977,1845921,.2327089309692383,77879,-.8548755645751953,6024682,.2832059860229492,274296,-.327580451965332,9676488,.1023874282836914,19173,4628,1.161251544952393,244738,-1.337120056152344,13474822,.0165424346923828,861953,-.0767641067504883,942988,90481,-1.030125617980957,17071092,-.3368034362792969,270270,.6044816970825195,44643,-1.077720642089844,61301,236863,186220,-.4202375411987305,16434,149316,35163,-.4768800735473633,1244000,229710,.0106391906738281,75741,-.5286169052124023,3346449,-1.229812622070313,121304,140982,111570,-.7164506912231445,481389,-.2608613967895508,450000,294040,.0693359375,1225569,-.0974407196044922,226091,-.1054677963256836,69392,.3566007614135742,29704,12118,-1.01547908782959,2416262,.5319023132324219,725260,-.1241378784179688,153150,-.5360298156738281,24220,1.07200813293457,27971,-1.651684761047363,2264,-.2690691947937012,128301,1171005,.1154890060424805,9878,.5517759323120117,3431331,.2701101303100586,matched (3),5000445,.92764288,204637.38,482125.03
201604,901831,675,4753,6208667,04,0,0,1,0,0,0,0,0,0,0,0,96323,-1.720512390136719,1520666,410454,729856,.0253667831420898,1955763,.0578022003173828,10423,-2.011141777038574,4958733,-.1947135925292969,438388,.4688968658447266,8814586,-.0932903289794922,41918,1857,-.9131627082824707,201383,-.1949796676635742,11846462,-.1287937164306641,879816,.020512580871582,1062790,225892,.9149169921875,16327257,-.0445499420166016,186386,-.3716011047363281,143764,1.169475555419922,101419,568028,313417,.5206060409545898,17529,197718,12152,-1.062500953674316,979000,230166,.0019826889038086,73386,-.0315866470336914,1032702,-1.175721168518066,124793,80178,117660,.0531463623046875,859031,.5791292190551758,2158000,259122,-.1264162063598633,1648655,.2965545654296875,221988,-.0183134078979492,52065,-.2872781753540039,38201,32835,.9968023300170898,1698761,-.3523225784301758,728286,.0041637420654297,205361,.2933521270751953,10168,-.8679332733154297,45841,.4940109252929688,5752,.9324145317077637,171883,1777634,.4174213409423828,87842,2.185229301452637,3739531,.0860118865966797,matched (3),6570967,.92764288,206204.25,482792.16
201605,901831,676,4753,6610497,05,0,0,0,1,0,0,0,0,0,0,0,202822,.7446222305297852,2803110,515315,1154382,.4584732055664063,2249762,.1400442123413086,20925,.696929931640625,6285706,.2371273040771484,793562,.5934267044067383,9406312,.0649738311767578,12477,3341,.5873074531555176,417915,.7300691604614258,12018601,.0144252777099609,1219426,.3264226913452148,1151295,262654,.1507806777954102,26273616,.4757289886474609,213722,.1368560791015625,144794,.0071392059326172,761272,456584,555190,.5717763900756836,13879,145775,39275,1.173094749450684,781000,261139,.1262521743774414,89230,.1954841613769531,13952097,2.603449821472168,149729,140302,251701,.7604427337646484,809526,-.0593557357788086,2669000,248267,-.0427942276000977,3234658,.6739625930786133,294391,.2822847366333008,96518,.6172361373901367,38050,59147,.588531494140625,1866776,.0943136215209961,934675,.2495050430297852,800334,1.360260009765625,17406,.5375690460205078,96969,.7492122650146484,1711,-1.212469577789307,168380,1904141,.0687475204467773,172540,.6750888824462891,5459203,.3783426284790039,matched (3),7245864,.92764288,213573.86,485985.47
201606,901831,677,4753,5527856,06,0,0,0,0,1,0,0,0,0,0,0,220797,.0849151611328125,743487,251882,1008131,-.135467529296875,1706743,-.2762374877929688,54472,.9567422866821289,9267160,.3881998062133789,325320,-.8917217254638672,8752725,-.072016716003418,999,3529,.0547447204589844,495993,.1712837219238281,14583785,.1934547424316406,1816264,.3984012603759766,1100486,228631,-.138728141784668,30528456,.1500930786132813,72788,-1.07712459564209,233523,.4779691696166992,37138,338666,273493,-.7080345153808594,16934,334664,15306,-.9423427581787109,353000,126023,-.7285881042480469,121956,.3124427795410156,231062,-4.100698471069336,111435,79623,530043,.7447166442871094,549681,-.387110710144043,1181000,226897,-.0900087356567383,1083922,-1.093337059020996,161650,-.5994749069213867,18984,-1.626132965087891,30240,403,-4.988844871520996,1835882,-.0166873931884766,867759,-.0742855072021484,286399,-1.027643203735352,9081,-.6506309509277344,38537,-.9227724075317383,4000,.8492159843444824,147746,1807381,-.0521516799926758,84119,-.7183961868286133,4430633,-.2087602615356445,matched (3),5848109,.92764288,203755.91,481751.56
201607,901831,678,4753,8045090,07,0,0,0,0,0,1,0,0,0,0,0,225111,.0193490982055664,205623,239532,760441,-.2819547653198242,1987231,.1521549224853516,49368,-.0983848571777344,6910316,-.2934627532958984,330224,.0149612426757813,9131329,.0423460006713867,742,4691,.2846307754516602,315655,-.4519119262695313,14718687,.0092086791992188,920821,-.6792716979980469,1308306,100194,-.8250007629394531,21396704,-.3554210662841797,126122,.5496978759765625,125360,-.6220912933349609,75546,445920,202165,-.3021917343139648,6863,168375,34985,.8266744613647461,444000,175794,.3328485488891602,84282,-.3694915771484375,4775933,3.028658866882324,111054,11420,122932,-1.461326599121094,327931,-.5165348052978516,1681000,262281,.1449203491210938,1104062,.0184106826782227,262969,.486602783203125,102016,1.681532859802246,30783,33180,4.410765647888184,1479977,-.2154989242553711,971739,.1131734848022461,104414,-1.00902271270752,15914,.5610151290893555,121546,1.148674011230469,5133,.2493963241577148,125746,1675017,-.0760555267333984,232519,1.016739845275879,5049137,.1306743621826172,matched (3),7485849,.92764288,209771.14,484326.34
201608,901831,679,4753,7265276,08,0,0,0,0,0,0,1,0,0,0,0,247851,.0962343215942383,342412,251486,1022704,.2963066101074219,2300656,.1464519500732422,28260,-.5578546524047852,6466413,-.0663938522338867,249169,-.2816390991210938,10060814,.0969371795654297,1385,2366,-.6844444274902344,1056758,1.208311080932617,14218447,-.0345783233642578,799824,-.140873908996582,999102,197942,.6808652877807617,18593218,-.1404399871826172,36885,-1.22944450378418,172955,.3218412399291992,20862,769978,356106,.5661439895629883,15398,285216,22870,-.4250936508178711,580000,243186,.3245134353637695,82209,-.0249032974243164,17079552,1.274292945861816,168629,91348,240958,.6729907989501953,793139,.8831949234008789,1882000,271079,.0329933166503906,1396681,.235102653503418,122261,-.7658786773681641,25617,-1.38187313079834,137425,13009,-.9363059997558594,1972009,.2870264053344727,737208,-.2762174606323242,591,-5.17430305480957,8574,-.618464469909668,101693,-.1783342361450195,8706,.5283222198486328,163121,1406569,-.1746702194213867,22431,-2.338528633117676,3889880,-.260838508605957,matched (3),7332610.5,.92764288,257987.84,507075.75
201609,901831,680,4753,6976264,09,0,0,0,0,0,0,0,1,0,0,0,214788,-.1431760787963867,2853131,375622,702740,-.375218391418457,2017045,-.1315603256225586,94874,1.211102485656738,6133938,-.0527839660644531,259369,.0401201248168945,8782009,-.1359434127807617,19082,1093,-.7722744941711426,637631,-.5052013397216797,11849795,-.1822299957275391,608650,-.2731485366821289,1445160,196507,-.0072755813598633,15810150,-.1621456146240234,7764,-1.558307647705078,319286,.6130561828613281,131110,586112,427562,.1828708648681641,8258,223208,16317,-.3376188278198242,405000,226806,-.0697317123413086,146126,.5752038955688477,13195042,-.2580413818359375,76201,55246,250457,.0386648178100586,714327,-.1046571731567383,2414000,155497,-.5557832717895508,2294257,.4963102340698242,271809,.7989416122436523,29094,.1272754669189453,29316,35733,1.010433197021484,1313165,-.4066123962402344,723288,-.0190620422363281,188504,5.765058517456055,39948,1.538844108581543,66409,-.4261255264282227,7770,-.1137428283691406,142438,1036551,-.3052549362182617,77827,1.244044303894043,4312509,.1031408309936523,matched (3),6942859,.92764288,263335.63,509817.34
201610,901831,681,4753,6668038,10,0,0,0,0,0,0,0,0,1,0,0,115717,-.6185035705566406,471366,311151,525994,-.2896966934204102,1797768,-.1150875091552734,35539,-.9819192886352539,4776523,-.2501239776611328,184894,-.3384695053100586,8388561,-.0458354949951172,4154,2557,.8499083518981934,658358,.0319890975952148,10494707,-.1214389801025391,588380,-.033869743347168,1084386,114372,-.5412416458129883,13435998,-.1627140045166016,195494,3.226032257080078,163027,-.6721715927124023,77104,389878,303374,-.3431329727172852,5647,248477,24545,.4083003997802734,637000,286106,.2322673797607422,118226,-.2118711471557617,8874,-7.304470062255859,67857,116840,103175,-.8868608474731445,540115,-.2795591354370117,1108000,262455,.5234527587890625,1027109,-.8036613464355469,198469,-.3144664764404297,28847,-.0085258483886719,23404,29752,-.1831779479980469,1552120,.1671819686889648,800367,.1012630462646484,173065,-.0854520797729492,5176,-2.043546676635742,85173,.2488517761230469,6920,-.1158542633056641,128477,997484,-.0384178161621094,27625,-1.0357666015625,2951151,-.3793239593505859,matched (3),6562902.5,.92764288,148998.95,461268.66
201611,901831,682,4753,6709544,11,0,0,0,0,0,0,0,0,0,1,0,46904,-.9030447006225586,1059305,379847,559269,.06134033203125,1398816,-.250920295715332,38196,.0720996856689453,6250438,.2689380645751953,177034,-.0434408187866211,8937756,.0634145736694336,969,3790,.3935308456420898,846825,.2517452239990234,11508855,.0922451019287109,779799,.2816629409790039,1104850,141240,.2110042572021484,19710580,.3832168579101563,485680,.9100208282470703,32487,-1.613075256347656,139646,194062,405850,.2910175323486328,5850,423869,16435,-.4010944366455078,582000,249255,-.1378860473632813,74241,-.4652814865112305,8484166,6.862831115722656,108192,37731,181237,.5633792877197266,668486,.2132329940795898,2110000,271083,.0323457717895508,2256592,.7871074676513672,222704,.1152105331420898,113158,1.366779327392578,21570,31503,.0571861267089844,1733574,.1105632781982422,818924,.0229206085205078,2862,-4.102146625518799,24934,1.572199821472168,68656,-.215576171875,12248,.5709476470947266,116655,1279248,.2487916946411133,179981,1.874130249023438,2917348,-.0115203857421875,matched (3),6932750,.92764288,265601.53,510991.44
201612,901831,683,4753,7953720,12,0,0,0,0,0,0,0,0,0,0,1,78658,.5170059204101563,1925899,203657,763130,.3107986450195313,1846325,.2775716781616211,86015,.8117914199829102,5547981,-.1192169189453125,78466,-.8136758804321289,8137279,-.0938282012939453,63183,3836,.0120649337768555,1206293,.3538131713867188,10568064,-.0852794647216797,610618,-.2445650100708008,988967,113680,-.2170734405517578,27135816,.3197002410888672,547439,.1197004318237305,72488,.8025808334350586,95140,226039,444073,.0900049209594727,8857,312092,85514,1.649267196655273,736000,220462,-.1227512359619141,78061,.0501737594604492,1395047,-1.80527400970459,81722,47821,177610,-.0202159881591797,642758,-.0392465591430664,981000,324787,.1807441711425781,864189,-.9598188400268555,251815,.1228513717651367,30822,-1.300556182861328,20620,14177,-.7984619140625,2423668,.3350963592529297,865816,.0556812286376953,767777,5.591978549957275,27832,.109954833984375,90203,.272953987121582,27489,.8084230422973633,166956,169347,-2.022077560424805,54279,-1.198714256286621,2159539,-.3007802963256836,matched (3),8130615,.92764288,339419.06,552967.81
201701,901831,684,4753,8479497,01,0,0,0,0,0,0,0,0,0,0,0,213225,.9972391128540039,2003940,302895,573317,-.2859897613525391,2078285,.1183452606201172,10693,-2.084932327270508,5744002,.0347213745117188,340599,1.468040466308594,7215876,-.1201725006103516,946,2205,-.5537028312683106,1459541,.1905698776245117,15831482,.4041633605957031,667080,.0884389877319336,1366622,123109,.0796823501586914,30751484,.1250839233398438,114341,-1.566065788269043,88390,.1983375549316406,79614,347353,620081,.3338613510131836,7696,0,38378,-.8011960983276367,799000,136087,-.4824304580688477,201799,.9497823715209961,8466427,1.803180694580078,101124,75375,312154,.5639066696166992,863002,.2946481704711914,2128000,338321,.0408258438110352,4626117,1.677680969238281,296060,.1618671417236328,76867,.9138479232788086,30768,14497,.0223217010498047,1797667,-.2987918853759766,706904,-.2027778625488281,285989,-.9875459671020508,2096,-2.586155891418457,99555,.0986480712890625,6929,-1.378070831298828,134068,1080997,1.853689193725586,85034,.44891357421875,3043775,.3432035446166992,matched (3),8785504,.92764288,336736.53,551325.31
201702,901831,685,4753,7115085,02,1,0,0,0,0,0,0,0,0,0,0,68638,-1.133502006530762,1166250,230179,1101732,.6531991958618164,3543936,.5336952209472656,90894,2.140104293823242,4299312,-.2897005081176758,231479,-.3862171173095703,6984358,-.0326099395751953,10429,4921,.8027844429016113,663966,-.7876462936401367,11694694,-.3028659820556641,621072,-.0714635848999023,1427333,117592,-.0458488464355469,23925146,-.2510089874267578,106945,-.0668706893920898,37368,-.8609437942504883,38113,229124,406862,-.4213762283325195,6953,197180,15789,-.8881711959838867,719000,249776,.6072702407836914,110591,-.6014337539672852,82111,-4.635791778564453,71604,44157,237181,-.2746725082397461,1030336,.1772232055664063,1853000,263355,-.2504920959472656,2372257,-.6678752899169922,222487,-.2856931686401367,43459,-.5702590942382813,22933,10436,-.3286809921264648,1498409,-.1820859909057617,684445,-.0322866439819336,83464,-1.231537818908691,2074,-.010551929473877,83936,-.1706562042236328,2594,-.9825143814086914,111134,1285154,.1729946136474609,5255,-2.783870697021484,2624729,-.1481208801269531,matched (3),7274711.5,.92764288,248915.19,502520.5
