period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1071c152,growth1071c152,Y1079c792,growth1079c792,Y1201c152,growth1201c152,Y1447c32,Y1459c554,Y1498c600,growth1498c600,Y1606c608,Y1699c442,Y2011c620,growth2011c620,Y2108c554,Y2269c792,growth2269c792,Y2419c124,growth2419c124,Y2560c344,Y2565c484,growth2565c484,Y2602c376,Y2686c344,Y2717c124,growth2717c124,Y2717c752,growth2717c752,Y2757c68,growth2757c68,Y2775c344,Y2882c246,growth2882c246,Y2926c348,growth2926c348,Y2965c586,growth2965c586,Y2986c268,growth2986c268,Y3024c705,growth3024c705,Y313c376,Y319c344,Y3453c32,Y3473c152,growth3473c152,Y3501c600,growth3501c600,Y3689c218,Y3743c600,growth3743c600,Y3765c586,growth3765c586,Y3848c300,growth3848c300,Y3897c818,Y4225c484,growth4225c484,Y4376c344,Y4544c68,growth4544c68,Y4579c152,growth4579c152,Y4584c376,Y4745c152,growth4745c152,Y476c208,growth476c208,Y4777c246,growth4777c246,Y48c484,Y4927c826,growth4927c826,Y4994c484,growth4994c484,Y632c222,growth632c222,Y640c826,growth640c826,Y679c792,growth679c792,Y843c484,growth843c484,_merge,x,r2,s,sf
201011,300510,610,1385,6063313,11,0,0,0,0,0,0,0,0,0,1,0,2382201,2.626554489135742,41245,-.4487619400024414,1238347,-.6184892654418945,1866735,662555,112998,-.5105495452880859,35032,81771,12415,-2.874408721923828,3851,7034532,-.1609020233154297,460282,.4479913711547852,58926,114327,-1.607473373413086,150000,5811428,21583,-2.260199546813965,73552,1.639692306518555,7788,-.5082798004150391,490332,137287,.0097570419311523,70316,-.5723342895507813,10202859,.0094871520996094,2053,-3.180708408355713,426831,-.3586788177490234,910000,2456012,160656,218490,-.1738605499267578,62211,-.3245010375976563,328977,98451,-1.12294864654541,3094,.9801831245422363,168499,-.0091276168823242,1488718,19694928,.1112728118896484,4686981,12800,1.165653228759766,78375960,.1628608703613281,5102000,453561,.397526741027832,11565,-1.755215644836426,529364,-.2654581069946289,10240930,2690811,-.2209444046020508,2312333,.0045461654663086,84538,.1820993423461914,365111,-.1579465866088867,49424,-1.745102882385254,375773440,-.1202964782714844,matched (3),6659540.5,.92444021,337232.97,700473.5
201012,300510,611,1385,6264071,12,0,0,0,0,0,0,0,0,0,0,1,102874,-3.142275810241699,68795,.511601448059082,1237658,-.0005569458007813,2016332,915432,118780,.0499029159545898,66501,92358,39017,1.145092010498047,25865,8182207,.1511306762695313,356293,-.2560863494873047,35170,939075,2.105832099914551,96000,6017464,14677,-.3856239318847656,103858,.3450326919555664,19631,.924525260925293,344224,331718,.8822116851806641,65154,-.0762453079223633,10300187,.0094947814941406,44607,3.078588962554932,491479,.1410303115844727,663000,4149312,189966,444322,.7098093032836914,177692,1.049519538879395,35640,98870,.004246711730957,3325,.0720052719116211,104373,-.4789590835571289,1971438,29601650,.4074687957763672,4082978,15021,.1600046157836914,83058080,.0580215454101563,7288000,579278,.2446527481079102,64652,1.721035957336426,748445,.3463211059570313,11285204,2967791,.0979757308959961,2422430,.0465145111083984,108868,.2529354095458984,544285,.3992719650268555,109752,.7977876663208008,728445056,.66192626953125,matched (3),7537583.5,.92444021,309670.25,687628.31
201101,300510,612,1385,8229156,01,0,0,0,0,0,0,0,0,0,0,0,1862180,2.895998954772949,68029,-.0111970901489258,1116847,-.1027116775512695,1787285,830936,308560,.9546432495117188,125315,162765,138404,1.266180038452148,1320,8886929,.0826187133789063,387426,.0837717056274414,33950,653802,-.3620901107788086,98000,4739122,3064,-1.566560745239258,128510,.212982177734375,13633,-.3646163940429688,414002,816683,.900965690612793,106947,.495579719543457,10840588,.0511360168457031,11740,-1.33488941192627,295878,-.507472038269043,2194000,3267904,259731,179819,-.9045991897583008,42356,-1.433940887451172,30358,214970,.7766923904418945,3528,.0592613220214844,303299,1.06674861907959,1128207,30160476,.0187015533447266,4543822,19461,.2589626312255859,80883056,-.0265350341796875,7608000,724899,.2242498397827148,72652,.1166620254516602,962895,.2519464492797852,11294717,3674814,.21368408203125,2157448,-.1158456802368164,110013,.0104618072509766,629837,.1459875106811523,248312,.816462516784668,611151040,-.1755695343017578,matched (3),8811085,.92444021,358669.22,711041.94
201102,300510,613,1385,5639751,02,1,0,0,0,0,0,0,0,0,0,0,36949,-3.919964790344238,133457,.6738452911376953,941132,-.1711807250976563,1966141,692819,241122,-.246612548828125,116395,113055,24129,-1.746763229370117,19735,9579650,.0750598907470703,338369,-.1353874206542969,810,414493,-.4557485580444336,87000,4049508,2120,-.3683047294616699,114133,-.1186428070068359,12767,-.0656290054321289,326602,308740,-.9727516174316406,51539,-.7299947738647461,8526815,-.240081787109375,18519,.4557952880859375,415499,.339533805847168,2062000,1906140,164729,410419,.8252277374267578,62171,.3837785720825195,250944,282123,.2718448638916016,1496,-.8579363822937012,373287,.2076282501220703,857288,15641344,-.6566143035888672,3065567,1274,-2.726250648498535,49594176,-.4891319274902344,8341000,517215,-.3375740051269531,143970,.6839237213134766,1019922,.0575370788574219,9628059,2230962,-.4990692138671875,2075836,-.0385618209838867,103247,-.0634737014770508,625569,-.0067996978759766,129241,-.6530075073242188,492849472,-.2151393890380859,matched (3),7578661,.92444021,367807.69,715695.13
201103,300510,614,1385,5860964,03,0,1,0,0,0,0,0,0,0,0,0,2020276,4.001450538635254,194470,.3764982223510742,1200412,.2433366775512695,2569145,828678,346336,.3621063232421875,88108,157433,11007,-.7848825454711914,1510,17636802,.6103477478027344,298619,-.1249685287475586,38638,330125,-.2275848388671875,128000,5943317,7522,1.266416072845459,120503,.0543098449707031,16240,.2406129837036133,564125,150657,-.717494010925293,39435,-.2676849365234375,12499873,.3825016021728516,14372,-.2535152435302734,607525,.3799123764038086,2387000,3899173,230451,293676,-.3347005844116211,96750,.4422416687011719,34043,96694,-1.070792198181152,2160,.3673133850097656,503418,.2990732192993164,1034834,16709070,.0660343170166016,4197596,3130,.8988714218139648,60500648,.1987819671630859,6943000,495194,-.0435085296630859,155487,.0769567489624023,1363349,.2902183532714844,11693408,3711101,.5088949203491211,2691804,.2598476409912109,107089,.0365352630615234,797035,.2422370910644531,292461,.8166522979736328,602293696,.2005405426025391,matched (3),7816621.5,.92444021,427725.38,748255.31
201104,300510,615,1385,7168568,04,0,0,1,0,0,0,0,0,0,0,0,318626,-1.84697151184082,185783,-.0456981658935547,1814023,.4128818511962891,2179953,915969,255890,-.3026618957519531,63882,131206,11311,.0272445678710938,35347,19887240,.1200904846191406,423313,.348942756652832,41119,736990,.8031024932861328,149000,6503601,2529,-1.09000825881958,55746,-.7708683013916016,5837,-1.023260116577148,634383,114973,-.2703084945678711,33520,-.1625118255615234,12784969,.022552490234375,21844,.4186439514160156,794319,.268092155456543,1527000,5293015,103527,429861,.3809843063354492,170851,.5686607360839844,257317,127988,.2803859710693359,3765,.5556397438049316,1197502,.866572380065918,920172,17008872,.0177841186523438,3300023,11186,1.273630142211914,59937784,-.0093479156494141,6114000,381957,-.2596416473388672,210117,.3011026382446289,1261913,-.0773153305053711,10097847,2320335,-.4696168899536133,2334285,-.1425056457519531,112411,.0485019683837891,869150,.0866174697875977,169684,-.5443935394287109,662396992,.0951213836669922,matched (3),7080568,.92444021,449624.47,760985.69
201105,300510,616,1385,7721623,05,0,0,0,1,0,0,0,0,0,0,0,2025162,1.849387168884277,213198,.1376419067382813,2337917,.2537136077880859,2961729,870481,259044,.0122499465942383,96444,108067,62718,1.712872505187988,2190,20043884,.0078449249267578,376834,-.1163063049316406,53236,640071,-.1409950256347656,104000,6208608,26454,2.347583293914795,87119,.4464693069458008,17854,1.118010520935059,904587,712464,1.824031829833984,102184,1.114633560180664,11173696,-.1347084045410156,9237,-.8607082366943359,1218894,.4282140731811523,2120000,7319478,397136,341617,-.229771614074707,280362,.4952898025512695,201034,133290,.0405902862548828,13415,1.270625114440918,2528438,.7473640441894531,1011844,21026806,.2120628356933594,3853279,2379,-1.547982692718506,43666216,-.3167324066162109,10988000,474485,.2169218063354492,217712,.0355091094970703,1488445,.1651029586791992,12153955,2457183,.0573043823242188,2493006,.0657835006713867,127832,.1285552978515625,479273,-.595245361328125,595843,1.256039619445801,563888896,-.1610088348388672,matched (3),9077670,.92444021,506811.06,796112.13
201106,300510,617,1385,7878469,06,0,0,0,0,1,0,0,0,0,0,0,46773,-3.768098831176758,206962,-.0296859741210938,1443514,-.4821796417236328,3153282,984515,736838,1.045370101928711,46862,142038,260636,1.424476623535156,12593,20343524,.0148391723632813,680526,.5910606384277344,40401,1266176,.6821775436401367,106000,6464222,46938,.573420524597168,217115,.913151741027832,3641,-1.589968681335449,1402816,1170809,.4967212677001953,160887,.4539270401000977,11822975,.0564823150634766,15210,.4987354278564453,1130554,-.0752363204956055,2130000,23804736,312026,748763,.7847318649291992,120745,-.8424005508422852,360401,112288,-.1714601516723633,21915,.4907979965209961,2012478,-.2282352447509766,1720367,17432608,-.1874561309814453,3163031,24644,2.337852954864502,57099096,.2682132720947266,7312000,719857,.4168224334716797,222424,.0214118957519531,1029404,-.3687515258789063,12612342,2138585,-.1388711929321289,2839966,.1303024291992188,138666,.0813512802124023,792686,.5031566619873047,755729,.237706184387207,951055104,.5227146148681641,matched (3),8532881,.92444021,690851.19,924236.13
201107,300510,618,1385,7497037,07,0,0,0,0,0,1,0,0,0,0,0,2756457,4.076395034790039,100022,-.7271451950073242,1247128,-.1462373733520508,1912030,798028,446975,-.4998655319213867,74244,98293,15373,-2.830512046813965,897,12726000,-.4691162109375,292444,-.8445930480957031,48162,870838,-.3743009567260742,98000,6244509,17653,-.9779224395751953,161212,-.2977066040039063,19251,1.665304183959961,1139053,1341700,.1362428665161133,221449,.3194894790649414,9873030,-.18023681640625,5558,-1.006714820861816,1035371,-.0879478454589844,1618000,10498341,198446,405578,-.6131086349487305,96658,-.2225017547607422,163342,173220,.4334955215454102,14720,-.3979644775390625,847439,-.864903450012207,1280452,22936836,.2744026184082031,4157950,8364,-1.080595970153809,81110808,.3510284423828125,6109000,491373,-.3818492889404297,185218,-.1830520629882813,1300249,.2335748672485352,12130909,2751191,.2518892288208008,2787298,-.0187196731567383,121453,-.1325407028198242,572264,-.3258266448974609,206354,-1.298089981079102,810526016,-.1598892211914063,matched (3),7921464.5,.92444021,544641.56,820714
201108,300510,619,1385,5964363,08,0,0,0,0,0,0,1,0,0,0,0,258185,-2.368024826049805,57062,-.5612516403198242,1864211,.4019947052001953,1842594,760714,714070,.4684782028198242,30495,137894,23545,.426300048828125,1267,4167481,-1.116334915161133,391518,.2917585372924805,15634,1412510,.483668327331543,70000,5780268,14122,-.2231712341308594,157113,-.0257549285888672,4830,-1.382716178894043,868066,1293653,-.0364675521850586,101003,-.7850418090820313,10403038,.0522899627685547,24085,1.466351509094238,834235,-.2159996032714844,987000,4661856,166359,336368,-.187108039855957,182897,.6377439498901367,324132,286097,.5017681121826172,10048,-.3818330764770508,212047,-1.385410308837891,1462131,20783176,-.0986003875732422,3716488,14813,.5715675354003906,57102780,-.3509635925292969,7592000,693594,.3446836471557617,181252,-.0216445922851563,1152087,-.1209802627563477,11060666,1948200,-.345128059387207,2706463,-.0294294357299805,135754,.1113166809082031,452620,-.2345476150512695,379392,.6089763641357422,822088064,.0141658782958984,matched (3),5548352,.92444021,320043.47,692361.81
201109,300510,620,1385,6175526,09,0,0,0,0,0,0,0,1,0,0,0,401045,.4403972625732422,161804,1.042246818542481,2726599,.3802165985107422,2196972,940266,756981,.0583572387695313,117212,255905,134499,1.742643356323242,25657,5203022,.2219276428222656,399513,.0202150344848633,81333,757066,-.6236734390258789,126000,7540690,2417,-1.765207290649414,131039,-.1814708709716797,7042,.3770456314086914,748474,536452,-.8802480697631836,102545,.0151519775390625,13093472,.2300167083740234,15824,-.4200620651245117,844607,.0123558044433594,2071000,2348692,329630,541534,.4762001037597656,407409,.8008947372436523,174142,496931,.5521202087402344,12375,.2083044052124023,205958,-.0291357040405273,1586864,21497220,.0337791442871094,5132729,33746,.8233575820922852,67823984,.1720638275146484,5161000,901135,.2617683410644531,129011,-.339991569519043,1245731,.0781478881835938,12334980,2042799,.0474157333374023,2730043,.0086746215820313,130212,-.0416803359985352,548489,.1921148300170898,231487,-.4940462112426758,967753024,.1631278991699219,matched (3),9485151,.92444021,489088.75,784948.94
201110,300510,621,1385,5359341,10,0,0,0,0,0,0,0,0,1,0,0,528710,.2763662338256836,15851,-2.323152542114258,1072020,-.9335098266601563,1396853,823521,276100,-1.008574485778809,17225,178137,19027,-1.955698013305664,26330,5481629,.0521621704101563,384578,-.0380992889404297,468,525712,-.3646965026855469,97000,6577920,3290,.3083610534667969,262127,.6933345794677734,17636,.9180498123168945,712618,211525,-.9306344985961914,46258,-.7960672378540039,12423818,-.0524978637695313,3838,-1.416576385498047,711209,-.1719045639038086,1661000,2347280,273178,353737,-.4258518218994141,71389,-1.741673469543457,43947,242645,-.7168512344360352,6625,-.6248273849487305,180152,-.1338720321655273,1364523,28566152,.2842979431152344,3332554,15611,-.7708864212036133,52902088,-.24847412109375,3863000,421939,-.7587947845458984,112225,-.1393918991088867,902444,-.3223714828491211,11688670,1743856,-.1582221984863281,2161117,-.2336921691894531,129369,-.006495475769043,612525,.1104221343994141,168245,-.3191022872924805,667322816,-.3717021942138672,matched (3),5484061,.92444021,317150.94,691029.5
201111,300510,622,1385,6781589,11,0,0,0,0,0,0,0,0,0,1,0,1882995,1.27017879486084,77291,1.584344863891602,1524005,.3517971038818359,2132826,940926,536662,.6646051406860352,58862,212572,38891,.7149038314819336,26522,4586055,-.1783819198608398,494446,.2512912750244141,21153,1069067,.7097873687744141,65000,5452100,31630,2.263217926025391,551743,.7442531585693359,4554,-1.353936195373535,927633,180729,-.1573448181152344,62466,.3003873825073242,12913951,.0386924743652344,21768,1.735489845275879,440879,-.4781961441040039,2103000,3071786,77075,170017,-.7326555252075195,135940,.6440696716308594,299527,155101,-.4475231170654297,16201,.8942222595214844,159839,-.119633674621582,1792874,17044126,-.5164165496826172,4391687,278,-4.028110027313232,64255296,.1944217681884766,7085000,604152,.3589649200439453,126206,.1174097061157227,592424,-.4208841323852539,12794809,1466869,-.172968864440918,2594198,.182652473449707,147443,.130772590637207,560465,-.0888233184814453,151741,-.103245735168457,619722688,-.0740013122558594,matched (3),6983546,.92444021,315030.47,690058.88
201112,300510,623,1385,7878006,12,0,0,0,0,0,0,0,0,0,0,1,135207,-2.633811950683594,78440,.0147562026977539,464460,-1.18822193145752,2270681,544207,472773,-.1267528533935547,22002,211734,86923,.80426025390625,2916,3701419,-.2143039703369141,433903,-.1306171417236328,49544,480635,-.7994327545166016,31000,4812591,26949,-.1601600646972656,179353,-1.123726844787598,11493,.9257316589355469,1057535,207859,.139862060546875,67015,.0702943801879883,12405961,-.0401325225830078,15191,-.3597383499145508,349653,-.2318296432495117,1695000,7370515,294177,257046,.4133567810058594,185605,.3114070892333984,139962,358938,.8390731811523438,18789,.1481990814208984,266453,.5110311508178711,1645212,29074132,.5340442657470703,5791039,17274,4.129336833953857,64770276,.0079822540283203,6482000,445755,-.3040561676025391,42977,-1.077249526977539,910076,.4293050765991211,13653803,1609921,.0930547714233398,2157092,-.1845169067382813,179982,.1994152069091797,324885,-.5452947616577148,100607,-.4109535217285156,842350400,.3069229125976563,matched (3),7918799,.92444021,358588.75,711001.38
201201,300510,624,1385,8132865,01,0,0,0,0,0,0,0,0,0,0,0,295982,.7834920883178711,146655,.6257486343383789,1144543,.9018850326538086,2280564,758234,426063,-.1040287017822266,96641,256655,14035,-1.823468208312988,11466,4888155,.2780990600585938,532456,.2046794891357422,7663,930053,.6601333618164063,88000,3193138,22451,-.1826105117797852,201512,.1164932250976563,5663,-.7077836990356445,610685,986845,1.557652473449707,111873,.5124473571777344,13115597,.0556259155273438,6217,-.8934154510498047,353738,.0116157531738281,2462000,9872244,173235,231942,-.1027679443359375,241135,.2617359161376953,165409,334444,-.0706806182861328,18910,.0064191818237305,167146,-.4663305282592773,4202351,31312440,.0741653442382813,7142673,21951,.2396097183227539,78820888,.1963310241699219,8925000,543530,.1983156204223633,136612,1.156478881835938,1373892,.4118747711181641,0,2870255,.5782155990600586,2505644,.149785041809082,219546,.1987056732177734,335827,.0331249237060547,176680,.5631179809570313,732718464,-.139434814453125,matched (3),8661514,.92444021,365130.31,714322.88
