period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c705,growth1036c705,Y1188c705,growth1188c705,Y1472c554,Y1485c300,growth1485c300,Y1596c705,growth1596c705,Y1672c705,growth1672c705,Y1685c688,growth1685c688,Y1711c348,Y1751c191,growth1751c191,Y1807c705,growth1807c705,Y1851c586,growth1851c586,Y1856c705,growth1856c705,Y1858c191,growth1858c191,Y2052c620,growth2052c620,Y2105c440,growth2105c440,Y2565c757,growth2565c757,Y2636c348,growth2636c348,Y2739c705,growth2739c705,Y2967c642,Y2987c251,growth2987c251,Y3029c352,growth3029c352,Y303c440,growth303c440,Y3072c642,Y3304c300,growth3304c300,Y3313c620,growth3313c620,Y342c440,growth342c440,Y3458c620,growth3458c620,Y3461c620,growth3461c620,Y3476c372,growth3476c372,Y3520c191,growth3520c191,Y3532c372,growth3532c372,Y3583c703,growth3583c703,Y3689c208,growth3689c208,Y3750c792,growth3750c792,Y3775c372,growth3775c372,Y3839c372,growth3839c372,Y3893c124,growth3893c124,Y38c208,Y3926c203,Y3968c705,growth3968c705,Y4223c344,Y4405c344,Y4506c616,growth4506c616,Y4564c124,growth4564c124,Y4620c616,growth4620c616,Y4649c757,growth4649c757,Y829c381,Y907c208,growth907c208,Y907c616,growth907c616,Y958c826,growth958c826,_merge,x,r2,s,sf
201111,730419,622,3386,1116731,11,0,0,0,0,0,0,0,0,0,1,0,283157,-.1984586715698242,485785,.4992246627807617,137315,689851,-.0191850662231445,152538,-.0044345855712891,254867,.3627290725708008,689531,-.0144748687744141,19087,961842,-.0729255676269531,266578,-.2971401214599609,108780,-.0452642440795898,2058105,.1772136688232422,79826,-.4511966705322266,688826,-.6045331954956055,1902648,-.0198068618774414,23342,-1.146174430847168,2613963,-.0460424423217773,34747,-.2209129333496094,90659,2337502,-.2582340240478516,42900,.0676202774047852,354324,-.0426340103149414,547947,105601,-.5022859573364258,266130,-.273951530456543,84184,.726801872253418,172985,2.272939682006836,699662,-.3719377517700195,1543753,-.013031005859375,229805,-.2328672409057617,187345,-.7271146774291992,1803260,-.0225963592529297,161127,-.1476955413818359,6119485,-.1627311706542969,145545,-.0148401260375977,1535655,.0957012176513672,92640,-.3481616973876953,202134,834629,891133,.4196891784667969,1349,54720552,19655,.1067466735839844,4379547,.1716804504394531,519739,.0272750854492188,1577823,1.180073738098145,2544909,94499,.9137172698974609,114915,5.102297306060791,29197,-1.107274055480957,matched (3),1030402.1,.80936474,332459.59,921037.63
201112,730419,623,3386,682355,12,0,0,0,0,0,0,0,0,0,0,1,160550,-.5673961639404297,265400,-.604527473449707,118945,536306,-.2517709732055664,110222,-.3249177932739258,181012,-.3421783447265625,265312,-.9551048278808594,2043,886607,-.0814485549926758,225194,-.1687049865722656,59460,-.6040239334106445,1537223,-.2918081283569336,45260,-.5674257278442383,596445,-.1440019607543945,1655587,-.1390914916992188,11439,-.7132253646850586,1618408,-.4794244766235352,21915,-.4609222412109375,45115,2266630,-.0307893753051758,24453,-.5621185302734375,243329,-.3757972717285156,534288,154432,.3800859451293945,190044,-.3367290496826172,59947,-.3395442962646484,5414,-3.464216232299805,922886,.2769079208374023,1310364,-.1639118194580078,562,-6.013484001159668,102510,-.6029911041259766,1392744,-.2583198547363281,106737,-.4118251800537109,5695090,-.071873664855957,93431,-.4432621002197266,1366652,-.1165933609008789,104549,.1209344863891602,244484,348940,611948,-.3758459091186523,119136,44989748,12740,-.4335851669311523,3298088,-.2836017608642578,598555,.1411914825439453,1208192,-.2669210433959961,965441,10187,-2.227477073669434,83212,-.3228015899658203,3955,-1.999085426330566,matched (3),171916.28,.80936474,404340.53,949353.56
201201,730419,624,3386,737414,01,0,0,0,0,0,0,0,0,0,0,0,225002,.3375043869018555,409959,.434819221496582,382987,744554,.3280801773071289,124293,.1201457977294922,243619,.2970418930053711,310203,.1563205718994141,6891,1102121,.21759033203125,230924,.0251264572143555,111407,.6278858184814453,1825921,.1721067428588867,36052,-.2274608612060547,605735,.0154552459716797,1779577,.0722208023071289,24308,.7537765502929688,2532464,.4477500915527344,57246,.9601869583129883,29136,3112957,.3172788619995117,30177,.2103271484375,286911,.1647567749023438,740595,95136,-.4844465255737305,146411,-.260838508605957,49539,-.1907005310058594,12931,.8706388473510742,556709,-.505462646484375,1626368,.2160444259643555,33673,4.092949867248535,148223,.3687572479248047,1507739,.0793352127075195,128018,.1818027496337891,5349189,-.0626592636108398,107121,.1367359161376953,1453950,.061920166015625,84884,-.2083702087402344,89832,374180,634664,.0364484786987305,129100,45360152,29240,.8307905197143555,4492019,.3089590072631836,1099748,.6083183288574219,548996,-.7887897491455078,1252882,64486,1.845335960388184,190617,.8288755416870117,10739,.9989013671875,matched (3),196680.55,.80936474,395446.97,945599.94
201202,730419,625,3386,1496740,02,1,0,0,0,0,0,0,0,0,0,0,244266,.082148551940918,333434,-.2066125869750977,286105,496733,-.4047327041625977,125561,.0101499557495117,169420,-.3632240295410156,686316,.7941112518310547,4496,987740,-.1095724105834961,265024,.1377315521240234,100049,-.1075296401977539,1844445,.0100936889648438,187622,1.649466514587402,724872,.1795530319213867,2115455,.1728935241699219,20592,-.1659021377563477,2680121,.0566692352294922,45320,-.2336101531982422,40105,3391229,.0856199264526367,39157,.2604990005493164,531984,.6174421310424805,513764,51071,-.6220903396606445,2250093,2.732309341430664,47329,-.0456371307373047,16377,.2362508773803711,626197,.1176223754882813,2009678,.2116250991821289,266040,2.066949844360352,128705,-.1411952972412109,1946263,.2552995681762695,158450,.2132682800292969,5477081,.0236272811889648,137095,.2467145919799805,1230362,-.1669759750366211,221416,.9587574005126953,343388,323261,650014,.0238981246948242,177947,46912420,272,-4.677490711212158,4449267,-.0095634460449219,416901,-.9699878692626953,1996948,1.291284561157227,1950381,41510,-.4405136108398438,110175,-.5481967926025391,43119,1.390081405639648,matched (3),2290215.8,.80936474,409785.44,951685.31
201203,730419,626,3386,1743745,03,0,1,0,0,0,0,0,0,0,0,0,344664,.3443117141723633,454321,.3093585968017578,692374,954287,.6529121398925781,133576,.0618791580200195,286713,.5261011123657227,934000,.3081378936767578,13227,1174618,.17327880859375,333220,.2289829254150391,78850,-.2381124496459961,1990048,.0759811401367188,138922,-.3005161285400391,867432,.1795415878295898,2516965,.1737842559814453,37377,.5961523056030273,2700397,.0075368881225586,116530,.9444007873535156,53283,2576452,-.2747793197631836,47900,.2015361785888672,378425,-.3405961990356445,578683,163666,1.164610862731934,384339,-1.76720142364502,92724,.6725044250488281,12373,-.2803611755371094,842539,.2967548370361328,2428551,.1893205642700195,476169,.5821266174316406,90443,-.3528032302856445,2272523,.1549797058105469,193579,.2002468109130859,6502416,.1716012954711914,62820,-.780400276184082,1132687,-.0827150344848633,73363,-1.104623794555664,584606,564712,834255,.2495450973510742,108586,50148776,17826,4.182610988616943,4857324,.0877485275268555,1379780,1.196830749511719,5008990,.9196138381958008,1870912,59497,.3599910736083984,82124,-.2938394546508789,27444,-.4518156051635742,matched (3),1774289.9,.80936474,442780.66,966351.69
201204,730419,627,3386,295109,04,0,0,1,0,0,0,0,0,0,0,0,387859,.1180715560913086,496458,.0886955261230469,295825,479926,-.6873321533203125,97233,-.317561149597168,150330,-.6456489562988281,924169,-.0105810165405273,9924,1219573,.0375576019287109,331619,-.0048160552978516,74389,-.0582399368286133,1655435,-.1840953826904297,27956,-1.603281021118164,728577,-.174443244934082,2184045,-.1418752670288086,29127,-.2493896484375,2755833,.0203208923339844,82711,-.3427963256835938,76422,2392457,-.074091911315918,26370,-.596888542175293,152653,-.9078502655029297,603942,89133,-.6076974868774414,800926,.7342433929443359,47241,-.6743650436401367,33886,1.007485389709473,357358,-.8576822280883789,1640895,-.3920536041259766,247368,-.6548957824707031,80583,-.1154317855834961,1617952,-.3397293090820313,119550,-.4819507598876953,6305452,-.0307588577270508,70159,.1104907989501953,761538,-.397007942199707,42926,-.5359420776367188,257857,178227,454781,-.6067228317260742,88571,35961684,2906,-1.81387996673584,3683180,-.2767105102539063,782887,-.5666913986206055,846461,-1.777925491333008,979477,71312,.1811389923095703,47541,-.5466375350952148,90502,1.19322395324707,matched (3),383850.97,.80936474,482371.78,985121
201205,730419,628,3386,2751654,05,0,0,0,1,0,0,0,0,0,0,0,264438,-.3830347061157227,530437,.0662021636962891,378134,842143,.5623178482055664,207620,.7585992813110352,351769,.8501415252685547,993043,.0718784332275391,11024,1256251,.0296306610107422,386857,.1540679931640625,102150,.3171348571777344,2054915,.2161703109741211,66235,.8625774383544922,1019354,.3358306884765625,1818390,-.1832275390625,32682,.1151590347290039,3426736,.2178888320922852,81473,-.015080451965332,77915,1919923,-.220036506652832,62600,.8645381927490234,487245,1.160599708557129,815739,83819,-.0614700317382813,676709,-.1685276031494141,53430,.1231098175048828,79542,.8532829284667969,643036,.5874624252319336,1562587,-.0488986968994141,490014,.6835565567016602,117239,.3749265670776367,2164573,.2910614013671875,119360,-.0015907287597656,8255260,.2694358825683594,157816,.8106651306152344,910926,.1791210174560547,117429,1.006356239318848,349907,310555,598019,.2738065719604492,344024,43152080,13218,1.514801979064941,3851404,.0446605682373047,548146,-.3564462661743164,4297113,1.624634742736816,2316970,78665,.0981340408325195,68268,.3618478775024414,4942,-2.907601356506348,matched (3),3450542.3,.80936474,569830.69,1030770.5
201206,730419,629,3386,339530,06,0,0,0,0,1,0,0,0,0,0,0,342985,.2600803375244141,460337,-.1417427062988281,227991,341897,-.9014406204223633,135765,-.4247837066650391,144273,-.8912677764892578,890734,-.1087274551391602,11273,1099175,-.1335716247558594,263229,-.3850307464599609,71968,-.3502206802368164,1829645,-.1161117553710938,65904,-.0050106048583984,982031,-.0373010635375977,1648347,-.0981779098510742,7808,-1.431675910949707,2331940,-.3849077224731445,47536,-.5387849807739258,70787,1744859,-.0956106185913086,27452,-.8243265151977539,258553,-.6336660385131836,567608,51570,-.4857196807861328,278204,-.8888864517211914,22252,-.8759403228759766,6787,-2.461276054382324,378787,-.5292263031005859,1320646,-.1682214736938477,44411,-2.400946617126465,62939,-.6220483779907227,2134606,-.0139408111572266,147331,.2105379104614258,7864050,-.048548698425293,63869,-.9045953750610352,866253,-.0502843856811523,173400,.3897676467895508,255555,412857,536919,-.1077756881713867,73269,31918188,159,-4.420430660247803,3427296,-.1166658401489258,1130719,.7240667343139648,1904120,-.8139228820800781,673648,70972,-.1029129028320313,95653,.3372859954833984,31785,1.861224174499512,matched (3),631605.25,.80936474,352970.22,928638.19
201207,730419,630,3386,4157274,07,0,0,0,0,0,1,0,0,0,0,0,302626,-.1251897811889648,472442,.0259561538696289,428990,549463,.4744319915771484,132638,-.0233020782470703,228998,.4620065689086914,845217,-.0524530410766602,0,1202388,.0897493362426758,183739,-.3595085144042969,89458,.2175474166870117,2016567,.0972738265991211,110673,.5183811187744141,1053588,.0703334808349609,2455084,.3983879089355469,7175,-.0845460891723633,2708769,.1497936248779297,36448,-.2656002044677734,96044,2469747,.3474416732788086,36086,.2734661102294922,380210,.3856229782104492,446166,54344,.052393913269043,456620,.4954967498779297,69811,1.143360137939453,6503,-.0427455902099609,535848,.3468761444091797,1321819,.0008878707885742,280699,1.843795776367188,107747,.5376205444335938,2389973,.1129999160766602,204086,.3258590698242188,6074528,-.2581977844238281,68254,.066401481628418,811706,-.0650386810302734,49515,-1.253325462341309,486594,260310,556503,.0358257293701172,134169,29909630,20304,4.849668979644775,3992443,.1526317596435547,529586,-.7585134506225586,1905882,.0009250640869141,771570,40414,-.5631093978881836,190299,.6878700256347656,35408,.1079435348510742,matched (3),4183138.5,.80936474,590324.75,1042240
201208,730419,631,3386,4719856,08,0,0,0,0,0,0,1,0,0,0,0,268262,-.1205329895019531,349085,-.3025989532470703,495653,320689,-.5384693145751953,128322,-.0330810546875,251933,.0954494476318359,806808,-.0465078353881836,9548,1243477,.0336027145385742,258967,.3431844711303711,22067,-1.399685859680176,1607909,-.2264614105224609,125092,.1224699020385742,484684,-.7764596939086914,1753345,-.3366355895996094,25198,1.256161689758301,2036477,-.285273551940918,41262,.1240549087524414,114287,2168735,-.1299715042114258,48441,.2944421768188477,317620,-.1798686981201172,406174,111203,.7160234451293945,318841,-.3591585159301758,75427,.0773735046386719,16227,.9144134521484375,256334,-.7373685836791992,1338523,.0125579833984375,215562,-.2640342712402344,139888,.2610559463500977,2160471,-.1009559631347656,188616,-.0788278579711914,4531795,-.2929859161376953,69053,.0116386413574219,874176,.0741434097290039,644,-4.342332363128662,220336,286936,534489,-.0403614044189453,73124,38048028,3640,-1.71883487701416,1621071,-.9013166427612305,584910,.0993623733520508,1199076,-.4633941650390625,1310122,80104,.6841497421264648,5970,-3.461850166320801,27586,-.2496299743652344,matched (3),4387980.5,.80936474,511246.06,999576.63
201209,730419,632,3386,5374130,09,0,0,0,0,0,0,0,1,0,0,0,320829,.1789436340332031,365277,.0453405380249023,247173,383300,.1783456802368164,156996,.2016782760620117,227599,-.1015777587890625,972917,.1872138977050781,32669,1355713,.0864152908325195,271028,.0455217361450195,89156,1.396304130554199,1658986,.0312719345092773,69867,-.5824565887451172,755637,.4440641403198242,2067564,.1648454666137695,47228,.6282224655151367,2471000,.1934022903442383,37600,-.0929374694824219,230971,2277531,.0489473342895508,30628,-.4584321975708008,457543,.365015983581543,483837,26536,-1.432855606079102,405878,.2413597106933594,75856,.005671501159668,38597,.8664979934692383,499758,.6676425933837891,1044610,-.2479238510131836,278151,.2549152374267578,64044,-.7812719345092773,2042012,-.0563898086547852,246722,.2685489654541016,5592622,.2103300094604492,121490,.5649576187133789,1070100,.2022256851196289,115288,5.187489986419678,285357,672141,689577,.2547664642333984,625404,38067440,22809,1.835171699523926,2562309,.4578218460083008,550764,-.0601511001586914,950056,-.2327852249145508,1751315,235472,1.078266143798828,42146,1.95439338684082,37241,.3001022338867188,matched (3),4602869.5,.80936474,494563.38,991147.75
201210,730419,633,3386,3697177,10,0,0,0,0,0,0,0,0,1,0,0,387991,.1900739669799805,329813,-.1021308898925781,430449,521685,.3082456588745117,142958,-.0936698913574219,272901,.1815242767333984,690068,-.3435087203979492,34290,1630655,.1846542358398438,252061,-.0725507736206055,106623,.1789121627807617,1484300,-.1112632751464844,163357,.8493452072143555,911544,.1875782012939453,2069595,.0009822845458984,9471,-1.606752395629883,2260149,-.0891923904418945,20333,-.6147594451904297,307642,2014162,-.1228885650634766,28427,-.0745754241943359,453587,-.0086841583251953,775950,174163,1.881489753723145,418720,.0311498641967773,71834,-.054478645324707,3528,-2.392443656921387,727028,.3748407363891602,2187855,.7392787933349609,20705,-2.597788810729981,104734,.4918537139892578,2545605,.2204322814941406,160151,-.4321451187133789,5705345,.0199556350708008,101323,-.1815185546875,1021015,-.0469551086425781,115160,-.0011110305786133,380618,434045,731461,.0589656829833984,662209,37459232,22111,-.0310792922973633,3921165,.4254798889160156,662794,.1851577758789063,329476,-1.059018135070801,1366071,50547,-1.538688659667969,152160,1.283792495727539,24919,-.4017801284790039,matched (3),3731993.8,.80936474,505468.31,996633.88
