period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1162c554,Y1359c203,Y1382c251,growth1382c251,Y1499c620,growth1499c620,Y1702c616,growth1702c616,Y1714c68,growth1714c68,Y1731c440,growth1731c440,Y1822c554,Y1847c757,growth1847c757,Y1913c222,growth1913c222,Y1944c372,Y2084c688,growth2084c688,Y2089c484,growth2089c484,Y2151c440,growth2151c440,Y2165c203,Y2584c705,growth2584c705,Y2623c642,Y2641c246,growth2641c246,Y2653c300,growth2653c300,Y2661c484,growth2661c484,Y2852c642,Y3069c484,growth3069c484,Y3178c484,growth3178c484,Y3311c807,growth3311c807,Y3385c484,growth3385c484,Y3392c826,growth3392c826,Y3413c246,growth3413c246,Y3422c586,growth3422c586,Y3429c372,growth3429c372,Y3475c600,growth3475c600,Y3531c642,Y3542c32,Y3572c807,growth3572c807,Y3709c642,Y3732c688,growth3732c688,Y382c442,Y3867c484,growth3867c484,Y3941c705,growth3941c705,Y3945c620,growth3945c620,Y4138c703,growth4138c703,Y415c757,growth415c757,Y4284c246,growth4284c246,Y4313c703,growth4313c703,Y4383c600,growth4383c600,Y4483c218,Y4980c440,Y4993c440,growth4993c440,Y667c246,growth667c246,Y841c152,growth841c152,Y975c484,growth975c484,_merge,x,r2,s,sf
201408,722850,655,3372,905235,08,0,0,0,0,0,0,1,0,0,0,0,114860,70,5925861,-.9512491226196289,440692,-.6049070358276367,354449,-.5513343811035156,32547,-1.195409774780273,3228358,-.2168254852294922,8533,221701,.4403114318847656,47902,1.794477462768555,9208,112811,-.20599365234375,1310091,-.3444185256958008,46809,2.937413692474365,1557612,231013,-.4507074356079102,323102,215144,-.1966590881347656,797694,.047821044921875,586748,-.0860071182250977,291504,3859683,.163121223449707,4354860,-.393193244934082,13306,-.5667829513549805,248623,-.3542823791503906,5140709,-1.069068908691406,162283,-.3824033737182617,448618,1.787990570068359,4868311,-.0673646926879883,18701,-1.137591361999512,394631,12997,591066,-.1612586975097656,18171,620975,-.5006065368652344,116054,1491164,-.7800674438476563,356198,-.4796876907348633,74255,-1.616660118103027,100512,-3.054248809814453,30385,-.7557039260864258,3120924,-.1827259063720703,18259,-1.065728187561035,11914,-2.160649299621582,1580428,11144,152762,-.0654458999633789,4527399,-.3306970596313477,473453632,-.4111785888671875,96811,-.858119010925293,matched (3),1017777.3,.87216765,431091.69,744177.56
201409,722850,656,3372,929300,09,0,0,0,0,0,0,0,1,0,0,0,52249,1846,9662751,.4889535903930664,658786,.4020528793334961,331712,-.0662965774536133,172365,1.666928291320801,3223531,-.0014963150024414,5851,104188,-.7551326751708984,93404,.6677770614624023,5660,141175,.2242860794067383,1508531,.1410388946533203,21299,-.7874155044555664,1786959,348297,.4105815887451172,692640,427678,.6870622634887695,882320,.100830078125,772982,.275660514831543,357039,4365191,.1230764389038086,4735985,.0838966369628906,29982,.8123817443847656,509774,.7180299758911133,6552951,.2427244186401367,472784,1.069296836853027,620008,.3235597610473633,4613524,-.0537548065185547,30219,.479893684387207,465432,40826,628019,.0606422424316406,32560,730094,.1618824005126953,163709,2024925,.3059749603271484,490353,.3196382522583008,50568,-.384185791015625,283256,1.036074638366699,66953,.7900419235229492,4753593,.420771598815918,34981,.6501474380493164,115576,2.272213935852051,2820978,59464,104410,-.3805551528930664,3605501,-.227686882019043,396443968,-.1775188446044922,38605,-.9193782806396484,matched (3),1202390.1,.87216765,327643.44,689427.63
201410,722850,657,3372,2150574,10,0,0,0,0,0,0,0,0,1,0,0,60563,9933,11320965,.1583766937255859,663997,.007878303527832,445701,.2953805923461914,215450,.2231149673461914,3386653,.0493650436401367,3577,142520,.3132858276367188,54826,-.5327701568603516,5233,185743,.2743635177612305,1569787,.0398044586181641,26941,.2349891662597656,1430321,323516,-.0738067626953125,631911,292161,-.3810653686523438,1195026,.3033676147460938,781939,.0115213394165039,363322,4049484,-.0750722885131836,4304834,-.0954504013061523,18219,-.4981317520141602,347014,-.3846025466918945,5855472,-.1125392913818359,375634,-.2300233840942383,1021713,.4995040893554688,8860589,.6526212692260742,81116,.9874095916748047,462997,32642,640534,.0197315216064453,17909,798193,.089177131652832,219887,4963486,.896575927734375,272617,-.5870571136474609,170898,1.217747688293457,545139,.6546897888183594,71476,.0653715133666992,3195951,-.3970165252685547,41372,.1677989959716797,82642,-.3354101181030273,4545115,46272,328944,1.147562026977539,3676644,.0195398330688477,448303584,.1229343414306641,37853,-.0196714401245117,matched (3),1326043.9,.87216765,280680.78,668387.56
201411,722850,658,3372,1795838,11,0,0,0,0,0,0,0,0,0,1,0,62982,1598,10687097,-.0576190948486328,619402,-.0695228576660156,308257,-.3687143325805664,73022,-1.081968307495117,3180033,-.0629501342773438,9620,91743,-.4404916763305664,51656,-.0595579147338867,4479,143011,-.2614421844482422,1466615,-.0679836273193359,23217,-.1487646102905273,1148641,370231,.1348781585693359,468731,287737,-.0152578353881836,776316,-.4313631057739258,601218,-.2628192901611328,271883,3373044,-.1827735900878906,2843449,-.4147214889526367,26917,.3902921676635742,150105,-.8380298614501953,4676204,-.2248897552490234,294234,-.2442398071289063,116428,-2.171962738037109,5578535,-.4626865386962891,17890,-1.511638641357422,509823,492106,649821,.0143947601318359,20983,757551,-.0522594451904297,195984,3425916,-.3707389831542969,308507,.1236763000488281,237829,.3304843902587891,328294,-.5071315765380859,55327,-.2561006546020508,2942043,-.0827798843383789,6260,-1.888423919677734,47889,-.5456323623657227,1271273,22198,150676,-.7807559967041016,3103965,-.1693201065063477,353578688,-.2373638153076172,332928,2.174215316772461,matched (3),2353190.3,.87216765,315319.16,683656.63
201412,722850,659,3372,1348762,12,0,0,0,0,0,0,0,0,0,0,1,45401,38,9985165,-.0679359436035156,424306,-.3782997131347656,119404,-.9484214782714844,23842,-1.119312286376953,2341009,-.306309700012207,5207,61237,-.4042396545410156,78500,.418492317199707,26,145141,.0147838592529297,1323672,-.1025466918945313,21049,-.0980319976806641,979430,322124,-.139190673828125,248725,163556,-.5648918151855469,588418,-.2771224975585938,346997,-.5496416091918945,220074,3967346,.1622819900512695,3564431,.225987434387207,8116,-1.198920249938965,284584,.6396932601928711,4386441,-.0639686584472656,205188,-.3604488372802734,90968,-.24676513671875,3635676,-.428131103515625,16055,-.1082210540771484,436190,8182,443126,-.3828420639038086,10780,593390,-.2442398071289063,189804,3063333,-.1118659973144531,291055,-.058232307434082,275297,.1462993621826172,247995,-.2805013656616211,43824,-.2330799102783203,3602645,.2025632858276367,12094,.6585292816162109,51637,.075352668762207,1093997,1691,127580,-.1663875579833984,2863205,-.0807380676269531,424556288,.1829376220703125,157119,-.7509222030639648,matched (3),1255085.8,.87216765,271383.44,664536.81
201501,722850,660,3372,3373547,01,0,0,0,0,0,0,0,0,0,0,0,77357,10510,9571070,-.0423564910888672,366020,-.1477670669555664,440418,1.305212020874023,129569,1.692765235900879,2431819,.0380573272705078,4738,143522,.8517370223999023,64186,-.2013139724731445,12702,159253,.0927886962890625,1633980,.2106084823608398,18946,-.105259895324707,1592699,370386,.1396093368530273,535787,274569,.5180473327636719,961915,.4914884567260742,660492,.6436691284179688,270961,4672951,.1636934280395508,3491988,-.020533561706543,12788,.4546699523925781,93583,-1.112179756164551,5162419,.1628875732421875,230397,.1158771514892578,154053,.5267887115478516,3888705,.0672807693481445,18268,.1291303634643555,541948,239547,624072,.3424110412597656,9717,12361,-3.871305465698242,149106,4045890,.2781982421875,295997,.0168371200561523,525975,.6474027633666992,143939,-.5440187454223633,29024,-.4120588302612305,2976261,-.1909999847412109,22258,.6099920272827148,84199,.4889450073242188,718100,28664,133158,.0427923202514648,2659387,-.0738468170166016,236048256,-.5870075225830078,195883,.2205142974853516,matched (3),2594753.5,.87216765,357020.66,703863.56
201502,722850,661,3372,1844577,02,1,0,0,0,0,0,0,0,0,0,0,22730,551,8458625,-.1235580444335938,373981,.0215177536010742,382587,-.1407680511474609,56468,-.8305397033691406,2792954,.1384601593017578,19836,80130,-.5828380584716797,56681,-.1243457794189453,6110,145925,-.0874013900756836,1138321,-.3614645004272461,18611,-.0178403854370117,911370,459285,.2151250839233398,463348,124143,-.7937679290771484,763550,-.2309474945068359,555891,-.1724128723144531,210027,1863903,-.9191188812255859,3773365,.0774955749511719,5775,-.7949686050415039,78351,-.1776494979858398,6054476,.1593923568725586,193675,-.1736221313476563,2076612,2.6011962890625,4337590,.1092424392700195,46426,.932708740234375,427954,46492,544818,-.1358137130737305,27547,11845,-.0426397323608398,112933,2527553,-.4704494476318359,218291,-.3045206069946289,183015,-1.055685997009277,157270,.0885744094848633,1971,-2.689581871032715,3407926,.1354360580444336,460,-3.879230499267578,15166,-1.714127540588379,1572953,16103,86509,-.4312877655029297,3019118,.1268692016601563,208180128,-.1256332397460938,227833,.1510953903198242,matched (3),1408051.5,.87216765,253278.69,657351
201503,722850,662,3372,1914708,03,0,1,0,0,0,0,0,0,0,0,0,44125,747,12910194,.4228305816650391,519036,.3277673721313477,393350,.0277433395385742,121402,.7654333114624023,3122632,.1115760803222656,5635,154967,.6595621109008789,28695,-.6807165145874023,6254,241625,.5042943954467773,1782868,.44866943359375,18508,-.005549430847168,1429107,408402,-.1174182891845703,699497,183902,.3929681777954102,1018321,.2879323959350586,716591,.2539329528808594,329768,2076795,.1081533432006836,4476304,.1708307266235352,5268,-.0918874740600586,212465,.9975786209106445,6016427,-.0063037872314453,387906,.6945810317993164,24490,-4.440228462219238,5515391,.2402238845825195,32762,-.3485908508300781,516485,11503,658166,.1890048980712891,11744,21115,.5780773162841797,154602,3425247,.3039216995239258,354679,.4853849411010742,185641,.014246940612793,430999,1.00814151763916,39312,2.992988586425781,2930684,-.1508684158325195,24123,3.959694862365723,59078,1.359803199768066,2555832,372976,172643,.6909770965576172,3098481,.0259475708007813,313738368,.41015625,92670,-.8995685577392578,matched (3),1567849.9,.87216765,304045.59,678530.69
201504,722850,663,3372,3850645,04,0,0,1,0,0,0,0,0,0,0,0,27993,956,15752203,.1989631652832031,327679,-.4599380493164063,308139,-.2441482543945313,164359,.3029460906982422,3133735,.0035495758056641,13631,97399,-.4643964767456055,79270,1.01613712310791,24779,226828,-.0631952285766602,2449337,.3175935745239258,20666,.1102867126464844,1130164,324542,-.2298374176025391,621637,247331,.2963247299194336,812443,-.2258644104003906,537333,-.2878875732421875,299148,4606928,.7967357635498047,4212858,-.0606565475463867,7835,.3969497680664063,130650,-.4862556457519531,4779759,-.2301034927368164,289726,-.2918272018432617,205404,2.126713752746582,8665333,.4517879486083984,12298,-.979832649230957,282316,42625,738274,.1148586273193359,16156,19808,-.0638980865478516,191229,3697761,.0765533447265625,653510,.6111440658569336,761002,1.410820960998535,247458,-.5548648834228516,52881,.2965145111083984,2936651,.0020341873168945,39892,.5030097961425781,71013,.1840038299560547,3524827,47100,127522,-.3029365539550781,3836460,.2136383056640625,234940256,-.2892284393310547,240148,.9522104263305664,matched (3),3744695.3,.87216765,343837.81,697269.44
201505,722850,664,3372,1135865,05,0,0,0,1,0,0,0,0,0,0,0,32826,10491,11806296,-.2883472442626953,279971,-.1573486328125,244199,-.2325677871704102,5453,-3.405887603759766,2833961,-.1005496978759766,3440,57182,-.5325765609741211,78211,-.0134496688842773,4880,121899,-.6209993362426758,2416848,-.0133523941040039,17743,-.1524982452392578,1108426,393765,.1933393478393555,499085,150758,-.495051383972168,873907,.0729274749755859,476972,-.1191596984863281,264355,3744197,-.2073545455932617,3552613,-.1704578399658203,455,-2.84605884552002,144595,.101414680480957,3799267,-.2295818328857422,265676,-.0866575241088867,49967,-1.413615226745606,5530086,-.449127197265625,33543,1.003392219543457,342662,27967,662689,-.1080093383789063,20427,16011,-.2128095626831055,162599,1809708,-.7145614624023438,391808,-.5115852355957031,263622,-1.06011962890625,374853,.4152936935424805,19189,-1.013707160949707,2820559,-.0403347015380859,5685,-1.948345184326172,70,-6.922122955322266,896826,8602,107432,-.1714305877685547,3670105,-.0443296432495117,235484160,.0023136138916016,76205,-1.147828102111816,matched (3),1228390.5,.87216765,397494.06,725232.19
201506,722850,665,3372,1957152,06,0,0,0,0,1,0,0,0,0,0,0,38005,1021,20340338,.5439739227294922,432389,.4346399307250977,449906,.6110553741455078,178767,3.489917755126953,3273535,.1441946029663086,17184,261264,1.519291877746582,93319,.1766138076782227,27501,130128,.0653257369995117,1890356,-.2456998825073242,20075,.1234836578369141,1613880,272326,-.3687543869018555,550031,264971,.5639438629150391,864318,-.0110330581665039,622708,.2666196823120117,270166,4238908,.1240987777709961,4144545,.1541099548339844,6672,2.68537712097168,150927,.0428600311279297,4917763,.2580451965332031,286087,.0740184783935547,224872,1.504168510437012,4666478,-.1697988510131836,13861,-.8837490081787109,406213,29313,869312,.2713956832885742,34783,26562,.5062055587768555,214373,2272923,.2279014587402344,460744,.1620702743530273,917250,1.246864318847656,1407905,1.323324203491211,26406,.3192548751831055,4537806,.4755086898803711,38522,1.913398742675781,46002,6.487944602966309,1279154,21925,221393,.7230806350708008,4679056,.2428760528564453,364674400,.4373607635498047,91281,.1805152893066406,matched (3),1793672.8,.87216765,435604.72,746800.94
201507,722850,666,3372,919738,07,0,0,0,0,0,1,0,0,0,0,0,27453,154,12367669,-.4975204467773438,366363,-.1657009124755859,356902,-.2315778732299805,159176,-.1160726547241211,3329094,.0168294906616211,11237,134071,-.6671619415283203,58965,-.4590797424316406,2260,167927,.2550106048583984,2928250,.4376401901245117,20742,.0326852798461914,1094850,343460,.2320709228515625,539123,294252,.1048164367675781,638166,-.3033418655395508,573641,-.0820741653442383,266103,3739873,-.1252536773681641,4183837,.0094356536865234,11918,.5801305770874023,312060,.7263984680175781,3617309,-.3071231842041016,191154,-.4032173156738281,12550,-2.885810852050781,3828807,-.1978511810302734,10080,-.3185262680053711,150216,204916,775379,-.114349365234375,29436,15253,-.5547056198120117,159346,2118739,-.0702457427978516,521259,.1234045028686523,302551,-1.109129905700684,517901,-1.00007438659668,29498,.1107311248779297,2280120,-.6882152557373047,10545,-1.295578002929688,13266,-1.243479728698731,2155545,51431,120244,-.6104164123535156,3809065,-.2057132720947266,258769808,-.3430671691894531,218383,.8723077774047852,matched (3),435032.91,.87216765,280550.5,668332.88
201508,722850,667,3372,997136,08,0,0,0,0,0,0,1,0,0,0,0,71602,1118,17312456,.3363399505615234,294258,-.2191677093505859,193633,-.6114959716796875,181488,.1311788558959961,2455165,-.3045063018798828,150228,121748,-.0964164733886719,79567,.2996559143066406,8821,242172,.366119384765625,2358197,-.2165079116821289,21903,.0544633865356445,1475846,421555,.2048797607421875,300486,313131,.0621852874755859,565838,-.1202907562255859,420051,-.3116273880004883,423293,3272500,-.1334981918334961,4217728,.0080680847167969,6419,-.6187877655029297,107374,-1.066877365112305,3756378,.037724494934082,269399,.3431148529052734,733215,4.067718505859375,3981102,.0390052795410156,20156,.6929492950439453,205704,229009,871011,.116302490234375,43086,22873,.4051809310913086,161166,2424100,.134638786315918,322444,-.4803180694580078,60562,-1.608582496643066,725166,.3366165161132813,98133,1.202000617980957,2714485,.1743736267089844,140906,2.592441558837891,38650,1.069341659545898,3649396,20604,87879,-.3135614395141602,3954121,.0373744964599609,203956288,-.2380313873291016,137005,-.4662322998046875,matched (3),862073.94,.87216765,561273.44,826430.94
