period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1086c616,Y1449c826,growth1449c826,Y1463c208,growth1463c208,Y1503c208,growth1503c208,Y1665c233,Y1712c428,growth1712c428,Y1722c208,growth1722c208,Y1778c484,growth1778c484,Y1779c124,growth1779c124,Y1846c222,Y1898c268,Y1973c428,growth1973c428,Y2059c208,growth2059c208,Y2139c233,Y2141c616,growth2141c616,Y2174c703,growth2174c703,Y2190c792,growth2190c792,Y2203c191,growth2203c191,Y2322c233,Y2420c348,growth2420c348,Y2632c484,growth2632c484,Y2635c484,growth2635c484,Y2683c616,growth2683c616,Y2887c36,Y2922c440,growth2922c440,Y2958c826,growth2958c826,Y2982c68,growth2982c68,Y3115c246,growth3115c246,Y3157c705,growth3157c705,Y3233c251,growth3233c251,Y3435c246,growth3435c246,Y3521c826,growth3521c826,Y3584c826,growth3584c826,Y3597c428,growth3597c428,Y3752c757,growth3752c757,Y3900c792,growth3900c792,Y419c428,growth419c428,Y4256c616,growth4256c616,Y4276c68,growth4276c68,Y4437c376,Y4468c348,growth4468c348,Y4480c757,growth4480c757,Y4626c826,growth4626c826,Y4753c757,growth4753c757,Y4980c440,Y5003c222,growth5003c222,Y5012c586,growth5012c586,Y850c233,Y948c757,growth948c757,Y991c344,_merge,x,r2,s,sf
201011,760692,610,3586,3200161,11,0,0,0,0,0,0,0,0,0,1,0,58929,15742300,.0436077117919922,191028,.2599897384643555,3173534,-.0025930404663086,322676,1091001,.1264543533325195,3165219,.0515041351318359,19500082,.2073879241943359,7843224,-.0723371505737305,47528,3869,655097,.1559581756591797,1543116,.072509765625,183600,402617,-.3548650741577148,180842,1.035994529724121,7389102,.1650066375732422,110984,-.1042604446411133,177319,145315,-1.324654579162598,1965175,.0132961273193359,7616360,.0765247344970703,371119,-.1230249404907227,413688,216653,-1.019706726074219,597045,-.3272361755371094,53930,-.1318540573120117,1158426,.0314149856567383,308284,-.0474443435668945,5475462,.436335563659668,2679096,.0418329238891602,812321,-.4215593338012695,97347272,.2231273651123047,645196,.0784921646118164,1370366,.0677051544189453,24184448,-.0755519866943359,632595,-.2777175903320313,3022416,-.0131282806396484,29616,.6255874633789063,1593000,1108904,.4639167785644531,14940979,-.0394229888916016,2977359,.0628395080566406,7833466,-.1399469375610352,22007,468474,.4384613037109375,470393,.2297382354736328,80734,354251,.1123218536376953,19554,matched (3),2490825.8,.90899533,482269.5,789516.63
201012,760692,611,3586,2260631,12,0,0,0,0,0,0,0,0,0,0,1,91155,10969346,-.3612461090087891,87810,-.7772445678710938,2813703,-.1203441619873047,180010,804648,-.3044462203979492,3134728,-.0096797943115234,18742452,-.0396270751953125,12906227,.4980602264404297,53958,197,460397,-.3526945114135742,1007633,-.4261999130249023,128801,515892,.2479124069213867,134683,-.2946996688842773,7714139,.0430488586425781,58409,-.6419162750244141,99337,109185,-.2858600616455078,1494148,-.2740249633789063,7441438,-.0232343673706055,386694,.0411109924316406,378403,119621,-.5939693450927734,290252,-.7212429046630859,61373,.1292829513549805,735596,-.454136848449707,190445,-.4816579818725586,2497411,-.7850217819213867,2625987,-.0200223922729492,1007831,.2156600952148438,76767552,-.2375030517578125,796592,.2107877731323242,1067431,-.2498235702514648,30686760,.2381210327148438,575087,-.0953092575073242,1956576,-.4348602294921875,28053,-.0542192459106445,1005000,599829,-.6144828796386719,12345186,-.1908416748046875,2047294,-.3745183944702148,8035879,.0255117416381836,2547,197491,-.8637876510620117,464249,-.0131473541259766,142522,295525,-.1812515258789063,42397,matched (3),1828473.9,.90899533,428639.19,757947.31
201101,760692,612,3586,1313488,01,0,0,0,0,0,0,0,0,0,0,0,33766,12468975,.1281394958496094,131462,.4035425186157227,3277074,.1524496078491211,281575,772792,-.0403947830200195,2654351,-.1663417816162109,15779396,-.1720867156982422,11106157,-.1502094268798828,30517,27,194970,-.8592433929443359,1568958,.4428081512451172,177995,428622,-.1853227615356445,99692,-.3008384704589844,7586507,-.0166835784912109,41506,-.3416318893432617,75030,57234,-.6458950042724609,1774550,.1719903945922852,5692399,-.2679319381713867,257642,-.406062126159668,478130,269364,.8117351531982422,194139,-.4021749496459961,49532,-.214350700378418,942281,.2476224899291992,247952,.2638711929321289,2174955,-.1382465362548828,2754712,.0478553771972656,798645,-.2326393127441406,79523840,.0352745056152344,602253,-.2796649932861328,1463537,.3156013488769531,24711504,-.2165622711181641,528961,-.0836067199707031,2069579,.0561494827270508,27161,-.032313346862793,1371000,649189,.0790796279907227,13733180,.1065483093261719,2109787,.0300683975219727,7914688,-.0151968002319336,8341,182929,-.076594352722168,368983,-.229670524597168,60214,267669,-.0990028381347656,22021,matched (3),2389714.8,.90899533,424700.09,755726.63
201102,760692,613,3586,1941819,02,1,0,0,0,0,0,0,0,0,0,0,175895,14849971,.1747531890869141,69405,-.638758659362793,3669711,.1131620407104492,356212,803633,.0391330718994141,3020442,.1292028427124023,19729908,.2234306335449219,8692301,-.2450628280639648,93539,4578,245477,.2303571701049805,2012845,.2491369247436523,207533,336626,-.241602897644043,209771,.7439308166503906,7848944,.0340080261230469,157655,1.33457088470459,9595,119988,.7402429580688477,1861690,.047938346862793,6549593,.1402711868286133,337249,.2692499160766602,1074822,155165,-.5515737533569336,393174,.7056779861450195,60151,.1942386627197266,1008224,.0676422119140625,361192,.3761749267578125,4691298,.7687005996704102,2152570,-.2466497421264648,1361437,.5333795547485352,98782392,.2168636322021484,751768,.2217502593994141,1235244,-.1695871353149414,26760048,.0796413421630859,630617,.1757841110229492,2451398,.1693124771118164,56367,.7301015853881836,1047000,853390,.2734928131103516,14624594,.0628890991210938,2147960,.0179319381713867,9620222,.1951475143432617,5051,246570,.2985477447509766,399162,.0786161422729492,925743,382756,.3576469421386719,36958,matched (3),1316767.5,.90899533,557967.88,837902.63
201103,760692,614,3586,1134061,03,0,1,0,0,0,0,0,0,0,0,0,52342,14659748,-.0128917694091797,21824,-1.156949043273926,3546185,-.03424072265625,241805,1160268,.3672637939453125,3350003,.1035585403442383,17306630,-.1310462951660156,13243717,.421086311340332,48069,3185,81298,-1.105081558227539,1557543,-.256439208984375,214367,613229,.5997657775878906,88572,-.8622007369995117,9824234,.2244729995727539,286149,.5961036682128906,31862,122015,.0167522430419922,1590930,-.1571664810180664,7336094,.1134033203125,426532,.2348661422729492,518504,71898,-.7692413330078125,312136,-.2308130264282227,258382,1.457581520080566,1003280,-.0049161911010742,315489,-.1352853775024414,5377268,.1364717483520508,2987611,.3278112411499023,1413014,.0371847152709961,95513736,-.0336494445800781,878998,.1563549041748047,1315967,.0633029937744141,31141420,.1516284942626953,604374,-.0425052642822266,2781871,.1264657974243164,52072,-.0792560577392578,1004000,529316,-.477630615234375,16748279,.1355915069580078,2198004,.0230302810668945,8892916,-.07861328125,98332,233604,-.0540189743041992,230445,-.5493545532226563,76169,311772,-.2051258087158203,31034,matched (3),3783471.3,.90899533,459028.22,775538.19
201104,760692,615,3586,3223707,04,0,0,1,0,0,0,0,0,0,0,0,106712,15143041,.0324363708496094,156696,1.971297264099121,3765578,.0600290298461914,337047,1843173,.4628372192382813,3522404,.0501823425292969,21085980,.1975193023681641,14063321,.0600452423095703,186319,9309,326052,1.388935089111328,2475936,.4635086059570313,198924,357477,-.5396671295166016,47456,-.6240129470825195,9739150,-.008697509765625,342780,.1805763244628906,234769,77005,-.4602727890014648,2269063,.3550481796264648,7422595,.0117225646972656,545682,.2463493347167969,1366261,200086,1.023499488830566,811090,.9549398422241211,365943,.3480386734008789,1210398,.1876754760742188,438560,.3293724060058594,4101687,-.270782470703125,2060743,-.3714075088500977,2136924,.4136419296264648,110633736,.1469554901123047,716501,-.2044029235839844,992771,-.2818269729614258,31575588,.0138454437255859,1370551,.8187742233276367,2710531,-.0259790420532227,76479,.3843879699707031,1797000,986677,.6227569580078125,14443330,-.1480636596679688,2506823,.1314668655395508,7562345,-.1620731353759766,77277,326686,.3353719711303711,310652,.2986612319946289,22342,313942,.0069360733032227,28801,matched (3),1124892.5,.90899533,691937.25,932485.81
201105,760692,616,3586,5383765,05,0,0,0,1,0,0,0,0,0,0,0,121253,15833456,.0445823669433594,195674,.222142219543457,3940280,.0453510284423828,399741,1421187,-.2599964141845703,3652494,.0362663269042969,29032928,.3198223114013672,13234081,-.0607738494873047,28052,505,370732,.128422737121582,2453615,-.0090560913085938,184626,570750,.4678802490234375,98009,.7252569198608398,10537161,.0787525177001953,419980,.2031183242797852,53746,283209,1.302314758300781,2123831,-.0661449432373047,6957445,-.0647172927856445,631469,.1460123062133789,1677042,340674,.5321779251098633,635535,-.2439117431640625,564521,.4334993362426758,1724220,.353825569152832,498813,.1287345886230469,4485163,.0893764495849609,3305466,.4725112915039063,2190447,.0247383117675781,115793504,.0455837249755859,1308293,.6020994186401367,1443901,.3746042251586914,34359552,.0844955444335938,1589797,.1483936309814453,3308289,.1992864608764648,130785,.5365390777587891,3211000,1190802,.1880397796630859,17473300,.1904411315917969,2576321,.0273466110229492,8908175,.163787841796875,23457,463183,.3491230010986328,338721,.0865030288696289,78008,536326,.5355339050292969,47204,matched (3),6442394,.90899533,550937.13,833237.25
201106,760692,617,3586,4063809,06,0,0,0,0,1,0,0,0,0,0,0,26441,15905234,.0045242309570313,169519,-.1434850692749023,3663746,-.0727663040161133,44229,1971388,.3272457122802734,2932792,-.2194557189941406,24703858,-.1614704132080078,11397579,-.1493949890136719,15075,8979,359244,-.0314779281616211,1818471,-.2995662689208984,189173,421957,-.3020477294921875,91119,-.0728931427001953,11136026,.0552787780761719,398402,-.0527458190917969,16589,102356,-1.017728805541992,2360130,.1054954528808594,7325468,.0515451431274414,546533,-.1444540023803711,552598,92740,-1.301125526428223,388098,-.4932098388671875,173804,-1.178049087524414,1172593,-.3855581283569336,357214,-.3338966369628906,3140900,-.3562650680541992,2238643,-.3897075653076172,1661870,-.2761621475219727,124986336,.0763950347900391,1276917,-.0242748260498047,1423237,-.0144147872924805,29670170,-.1467380523681641,1797508,.1227951049804688,2478188,-.2889032363891602,27795,-1.548698425292969,1477000,898401,-.2817659378051758,14165479,-.2098655700683594,3570569,.3263626098632813,8580268,-.0375041961669922,7432,355929,-.2633905410766602,270233,-.2258920669555664,39855,477426,-.1163330078125,34470,matched (3),5213934.5,.90899533,470918.44,782634.5
201107,760692,618,3586,5867118,07,0,0,0,0,0,1,0,0,0,0,0,228442,16546405,.039520263671875,128832,-.2744550704956055,3314469,-.1001882553100586,220878,2115461,.0705347061157227,2829849,-.035731315612793,23122772,-.0661411285400391,14296720,.2266292572021484,120328,4722,266462,-.2987699508666992,1250767,-.3742389678955078,160670,502448,.1745891571044922,355002,1.359956741333008,12780408,.1377277374267578,413240,.0365667343139648,14150,113499,.103337287902832,2439984,.0332746505737305,7621016,.0395526885986328,904614,.5039129257202148,294626,106292,.1363897323608398,320813,-.190399169921875,186078,.0682382583618164,1187093,.0122900009155273,307451,-.1500186920166016,4320480,.3188571929931641,2536981,.1251049041748047,1560413,-.062993049621582,108650192,-.1400699615478516,1344759,.0517663955688477,1540168,.0789575576782227,24884144,-.1759109497070313,1533693,-.1587228775024414,3326259,.2943201065063477,90814,1.183957099914551,1053000,1164099,.2590856552124023,14908357,.0511150360107422,3293453,-.0807886123657227,8343575,-.0279731750488281,85244,474432,.2873868942260742,78851,-1.231724739074707,106823,743125,.4424552917480469,10777,matched (3),5712488,.90899533,447527.66,768787.06
201108,760692,619,3586,7784355,08,0,0,0,0,0,0,1,0,0,0,0,52381,15480960,-.0665569305419922,100917,-.2442111968994141,3666501,.1009397506713867,382614,2254882,.0638246536254883,2927076,.0337810516357422,27425980,.1706714630126953,11662713,-.2036323547363281,123600,4170,633539,.8660898208618164,1740365,.3303375244140625,170739,593498,.1665410995483398,159724,-.798675537109375,13552343,.0586452484130859,366226,-.1207780838012695,44176,251662,.7962932586669922,2918892,.1792125701904297,8366100,.0932779312133789,407269,-.7980337142944336,562255,414874,1.361784934997559,264282,-.1938419342041016,112855,-.5000629425048828,1285663,.0797672271728516,395485,.2517967224121094,3786767,-.1318540573120117,3823069,.4100780487060547,1728550,.1023330688476563,102125576,-.0619316101074219,1269938,-.0572471618652344,1641937,.0639848709106445,20151926,-.2109317779541016,1352128,-.1259984970092773,2718273,-.2018518447875977,65030,-.3339643478393555,1506000,1294169,.105921745300293,14358510,-.0375804901123047,3019230,-.0869350433349609,7581969,-.0957183837890625,54141,444350,-.0655059814453125,185046,.8530445098876953,163281,398288,-.6236886978149414,51769,matched (3),4837888.5,.90899533,517327.25,811406.25
201109,760692,620,3586,3449922,09,0,0,0,0,0,0,0,1,0,0,0,1095,14284742,-.0804195404052734,20366,-1.600431442260742,3820610,.041172981262207,353173,2200191,-.0245532989501953,2981164,.0183095932006836,22446110,-.2003726959228516,11083698,-.0509223937988281,95919,3180,617268,-.0260181427001953,1758085,.0101308822631836,176752,477326,-.2178335189819336,55792,-1.051816940307617,11560537,-.1589622497558594,146600,-.9155426025390625,11402,168421,-.4016208648681641,1717311,-.5304450988769531,7972619,-.0481748580932617,208879,-.6677188873291016,411536,331752,-.2235870361328125,83038,-1.157717704772949,69533,-.4843015670776367,1220476,-.0520334243774414,250164,-.4579963684082031,6550238,.5479888916015625,3093830,-.2116432189941406,1679316,-.0288963317871094,117054232,.1364345550537109,760217,-.5131196975708008,1618594,-.0143184661865234,36429792,.5920886993408203,406427,-1.202031135559082,3369417,.2147436141967773,60100,-.0788393020629883,1515000,926955,-.3337192535400391,14790294,.0296287536621094,2998070,-.0070333480834961,10997706,.3719139099121094,31726,360866,-.2081060409545898,191865,.0361871719360352,1670948,402214,.0098085403442383,21236,matched (3),5529859,.90899533,445486.63,767600.75
201110,760692,621,3586,2658573,10,0,0,0,0,0,0,0,0,1,0,0,53463,13935534,-.024749755859375,239704,2.465538024902344,4206001,.0961017608642578,286921,1564413,-.3410329818725586,2856344,-.0427713394165039,21980130,-.0209789276123047,8518816,-.2631978988647461,64364,1632,301256,-.7173423767089844,1468653,-.1798801422119141,170585,427346,-.1106061935424805,183606,1.191161155700684,8802685,-.2725400924682617,129862,-.1212348937988281,65556,87773,-.6517124176025391,1624846,-.0553464889526367,8354010,.0467290878295898,107107,-.6679267883300781,548566,64097,-1.643990516662598,207935,.9179267883300781,87197,.2263679504394531,1139448,-.0686969757080078,287044,.1375188827514648,7402062,.1222572326660156,2709758,-.1325502395629883,1583169,-.0589580535888672,95697040,-.2014503479003906,1060629,.3330135345458984,1474811,-.0930280685424805,37605540,.0317630767822266,784537,.6576900482177734,2570740,-.2705459594726563,33983,-.5701494216918945,893000,502777,-.6117582321166992,14188776,-.0415191650390625,3066435,.022547721862793,8337306,-.276947021484375,8092,336980,-.0684833526611328,148702,-.254847526550293,1016697,362240,-.1046772003173828,33148,matched (3),2676100.3,.90899533,416393.13,751089.75
