period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c428,growth1058c428,Y1383c344,Y1600c208,growth1600c208,Y1686c752,growth1686c752,Y1806c703,growth1806c703,Y1906c208,growth1906c208,Y1924c208,growth1924c208,Y1967c208,Y2073c124,growth2073c124,Y2093c268,growth2093c268,Y2361c752,growth2361c752,Y2364c752,growth2364c752,Y2380c484,growth2380c484,Y2404c554,Y2452c152,growth2452c152,Y2467c124,growth2467c124,Y2481c752,growth2481c752,Y2674c218,Y2764c484,growth2764c484,Y2795c208,growth2795c208,Y2816c344,Y2831c124,growth2831c124,Y2925c152,growth2925c152,Y2962c372,growth2962c372,Y3038c152,growth3038c152,Y3150c757,growth3150c757,Y3176c752,Y3238c484,growth3238c484,Y3291c372,growth3291c372,Y343c208,Y3465c32,Y3570c705,growth3570c705,Y3762c484,growth3762c484,Y3768c152,growth3768c152,Y3925c826,growth3925c826,Y3975c152,growth3975c152,Y4082c36,Y4163c32,Y4272c36,Y4391c428,growth4391c428,Y4514c348,growth4514c348,Y4584c376,Y4607c152,growth4607c152,Y4706c208,growth4706c208,Y4754c152,growth4754c152,Y4918c152,growth4918c152,Y4924c484,growth4924c484,Y573c757,growth573c757,Y664c124,growth664c124,Y873c124,growth873c124,_merge,x,r2,s,sf
201011,722300,610,3348,2015572,11,0,0,0,0,0,0,0,0,0,1,0,147703,4.272497653961182,9212380,15442,-.0827398300170898,5611616,.1649618148803711,423603,.142094612121582,737008,.1292171478271484,774951,.4930324554443359,0,2078566,-.1865749359130859,110038,.034419059753418,326171,-.1024255752563477,232944,-.4647893905639648,151214,.6953458786010742,75297,95928,.5104227066040039,62943,.2901906967163086,398453,-.1291322708129883,26244,4481520,.1169843673706055,1720217,.2684841156005859,2712330,10655075,.2745504379272461,1080653,.4355201721191406,26420,.6469917297363281,209085,-.4393634796142578,243514,.361018180847168,914791,2046475,-.1225547790527344,27229,1.279165267944336,1471940,432282,15794,-.2949371337890625,485569,-.2651901245117188,218171,.0548381805419922,646921,-1.018455505371094,27745,-1.668749809265137,291402,534705,3839104,2846697,-.6293497085571289,47091512,-.0264930725097656,5102000,3092316,.1448612213134766,388008,.3269433975219727,502654,.2765674591064453,330988,.176844596862793,3594577,.3897209167480469,909558,.056879997253418,87550,-.4221601486206055,599666,-.2667322158813477,matched (3),1478017.5,.87073952,186163.64,300898.41
201012,722300,611,3348,2457417,12,0,0,0,0,0,0,0,0,0,0,1,1176,-4.833084583282471,7464967,85550,1.712010383605957,5731898,.0212078094482422,885666,.737544059753418,746158,.0123386383056641,495786,-.4466562271118164,125179,1456838,-.3554096221923828,276906,.9228525161743164,353648,.0808801651000977,290648,.2213153839111328,195163,.2551383972167969,8335,290100,1.106627464294434,69101,.0933399200439453,321474,-.2146730422973633,4679,6627385,.3912487030029297,1269571,-.3037710189819336,2796189,10997659,.031646728515625,2135894,.6813201904296875,31935,.1895818710327148,212076,.0142040252685547,165956,-.3834514617919922,9438,1972506,-.0368137359619141,18926,-.3637456893920898,1359681,434507,3113,-1.624042510986328,532457,.0921802520751953,224220,.027348518371582,736112,.1291580200195313,74483,.9875154495239258,948920,1101992,3952637,5477398,.6544713973999023,29743264,-.4594898223876953,7288000,3349002,.0797414779663086,448253,.1443319320678711,683864,.3078575134277344,366328,.1014471054077148,4187599,.1527004241943359,986773,.08148193359375,227212,.9536733627319336,447529,-.2926311492919922,matched (3),1789940.6,.87073952,186108.27,300864.13
201101,722300,612,3348,2211630,01,0,0,0,0,0,0,0,0,0,0,0,5705,1.579224109649658,8268227,150394,.5641574859619141,4220798,-.3060216903686523,358355,-.9048166275024414,689884,-.0784139633178711,793651,.4704999923706055,170941,686074,-.7530384063720703,106702,-.9536380767822266,343793,-.0282621383666992,177314,-.4941911697387695,52682,-1.309560775756836,47746,226627,-.2469205856323242,29903,-.837611198425293,499530,.4407510757446289,245,5647936,-.1599206924438477,1680341,.2803173065185547,4032374,14431776,.2717494964599609,2525334,.1674880981445313,47059,.3876991271972656,154892,-.3142166137695313,409922,.9042444229125977,628014,1720319,-.1367959976196289,7353,-.9454288482666016,1297750,238505,24616,2.067809104919434,420144,-.2369041442871094,98794,-.8195905685424805,1287071,.5587425231933594,48076,-.4377880096435547,426615,1869851,3308251,2510946,-.7799711227416992,29493524,-.0084323883056641,7608000,4589446,.3150968551635742,249712,-.5850496292114258,271796,-.9227075576782227,243463,-.4085636138916016,3570820,-.159332275390625,696779,-.3479719161987305,220969,-.0278615951538086,409825,-.0880107879638672,matched (3),2796980,.87073952,195832.89,306974.69
201102,722300,613,3348,2303736,02,1,0,0,0,0,0,0,0,0,0,0,96875,2.832077980041504,9007440,186978,.2177324295043945,8506821,.7008438110351563,285851,-.2260532379150391,714225,.0346746444702148,661007,-.1828794479370117,39992,610844,-.1161441802978516,116090,.0843257904052734,331739,-.0356912612915039,319291,.5881814956665039,192363,1.295109748840332,23707,227143,.0022745132446289,89338,1.094468116760254,662550,.2824287414550781,2000,5886808,.0414237976074219,1515599,-.1031856536865234,1705504,15717374,.0853347778320313,1761986,-.3599319458007813,146222,1.133724212646484,242173,.4469242095947266,307528,-.2874011993408203,678929,1922553,.11114501953125,23254,1.151369094848633,1296437,265247,13947,-.5681324005126953,703537,.5155229568481445,140290,.3506746292114258,1581495,.2060012817382813,470458,2.280923843383789,200612,564856,3618335,2914495,.1490373611450195,40328848,.312896728515625,8341000,3110312,-.3890361785888672,285892,.1353063583374023,679532,.9163522720336914,266384,.0899734497070313,3738871,.0459890365600586,944912,.3046236038208008,325574,.3875675201416016,352299,-.151249885559082,matched (3),2182915.3,.87073952,195429.13,306717.28
201103,722300,614,3348,2005402,03,0,1,0,0,0,0,0,0,0,0,0,44617,-.7753057479858398,7438046,161352,-.1474027633666992,7960293,-.0664024353027344,631313,.7923316955566406,789866,.1006650924682617,530996,-.2190103530883789,122491,800002,.2697725296020508,183499,.4578437805175781,356667,.0724544525146484,232313,-.3180179595947266,168144,-.1345634460449219,13850,231800,.0202951431274414,71008,-.2296342849731445,362938,-.6018638610839844,1682,5951586,.0109434127807617,2136709,.3434562683105469,1312785,11814273,-.2854595184326172,963221,-.6039142608642578,38721,-1.328743934631348,321399,.2830314636230469,157800,-.6672372817993164,714509,2221546,.1445493698120117,8111,-1.053256034851074,1526507,392556,13336,-.0447969436645508,561317,-.225834846496582,138631,-.0118961334228516,2095337,.2813444137573242,56420,-2.120882987976074,955337,344284,4094292,4505764,.4356613159179688,44734632,.1036815643310547,6943000,3356983,.076319694519043,299061,.0450334548950195,494253,-.3183565139770508,252323,-.0542287826538086,3084074,-.1925325393676758,861703,-.0921812057495117,169361,-.6535568237304688,464590,.2766742706298828,matched (3),2268453.3,.87073952,147482.45,278628.81
201104,722300,615,3348,2870993,04,0,0,1,0,0,0,0,0,0,0,0,7103,-1.837597846984863,9188408,278268,.5449962615966797,8493889,.0648813247680664,643117,.018524169921875,656865,-.1843843460083008,676564,.2422733306884766,106495,1608402,.6983823776245117,283499,.4349994659423828,385630,.0780754089355469,356775,.4290199279785156,153825,-.0890045166015625,7547,478769,.7253437042236328,53012,-.2922735214233398,434054,.1789369583129883,712,5231696,-.1289215087890625,1088826,-.6741666793823242,1837400,12134986,.0267848968505859,1055249,.0912494659423828,103730,.9854087829589844,567963,.5693721771240234,335790,.755157470703125,1441153,2179699,-.019017219543457,9562,.1645755767822266,1758660,197212,7878,-.526392936706543,514322,-.0874357223510742,273782,.680516242980957,1272098,-.4990472793579102,263872,1.54263973236084,417395,612346,3156123,3930776,-.1365213394165039,48573272,.0823249816894531,6114000,2439083,-.3194208145141602,410485,.3166913986206055,508362,.0281467437744141,312214,.2129793167114258,3383661,.0927066802978516,883701,.0252084732055664,110921,-.4232149124145508,427836,-.0824146270751953,matched (3),2688724.3,.87073952,193450.09,305460.13
201105,722300,616,3348,2879378,05,0,0,0,1,0,0,0,0,0,0,0,115566,2.789324760437012,11546301,129201,-.7672147750854492,8126265,-.044245719909668,498009,-.2557077407836914,964194,.3838138580322266,628888,-.0730743408203125,217411,1785601,.1045141220092773,223403,-.2382316589355469,335019,-.140690803527832,331762,-.0726871490478516,188670,.2041835784912109,15201,282093,-.5289821624755859,133366,.9225788116455078,294946,-.3863773345947266,2003,6045088,.1445102691650391,1970599,.5932369232177734,1647519,11164332,-.0833683013916016,1641668,.4419355392456055,82598,-.2278051376342773,283078,-.6963338851928711,237665,-.3456239700317383,516187,2392035,.0929584503173828,4073,-.8534173965454102,2026082,215303,12093,.4285526275634766,651228,.2360095977783203,431888,.4558343887329102,1900763,.4015874862670898,285352,.0782594680786133,48492,630143,3588170,5188253,.2775602340698242,41371520,-.1604804992675781,10988000,3172919,.2630300521850586,330227,-.2175588607788086,583638,.138087272644043,187946,-.5075340270996094,3325618,-.0173025131225586,995007,.1186304092407227,435709,1.368156433105469,471329,.0968160629272461,matched (3),2594240.3,.87073952,140220.55,274854.03
201106,722300,617,3348,3187573,06,0,0,0,0,1,0,0,0,0,0,0,131713,.1307830810546875,7653259,177620,.3182764053344727,4305436,-.635223388671875,639575,.2501850128173828,744852,-.2581071853637695,732364,.1523246765136719,227676,1065370,-.5164327621459961,236176,.0556001663208008,397066,.1699151992797852,15899,-3.038162231445313,138041,-.3124485015869141,45564,245303,-.1397418975830078,109689,-.1954488754272461,372908,.2345399856567383,4533,7026685,.1504688262939453,1963761,-.0034761428833008,2407669,12235777,.0916385650634766,1496933,-.0922937393188477,130209,.4551553726196289,390158,.3208293914794922,183720,-.2574491500854492,1480583,2651994,.1031665802001953,30736,2.021055221557617,1739437,254488,12352,.0211915969848633,492842,-.2786712646484375,403786,-.0672817230224609,1336964,-.3518533706665039,148106,-.6557950973510742,113479,1082530,3631567,4229558,-.2042989730834961,49130936,.1718959808349609,7312000,2606407,-.1966791152954102,278753,-.1694545745849609,538822,-.0798959732055664,380725,.7059221267700195,3570565,.0710678100585938,825694,-.1865253448486328,700150,.4743204116821289,486105,.0308685302734375,matched (3),2271195.8,.87073952,170743.94,291610.06
201107,722300,618,3348,2666259,07,0,0,0,0,0,1,0,0,0,0,0,18589,-1.95805549621582,8806674,143111,-.2160253524780273,5797888,.2976160049438477,797315,.2204465866088867,815259,.0903205871582031,496715,-.3882617950439453,85841,501736,-.7530031204223633,33818,-1.943584442138672,219609,-.5922536849975586,103799,1.876200675964356,106056,-.2635831832885742,2809,483326,.678196907043457,244898,.8031930923461914,264041,-.3452272415161133,1583,6190351,-.1267232894897461,1624527,-.1896448135375977,3113203,10743239,-.1300868988037109,2799962,.6261873245239258,109465,-.1735363006591797,382153,-.0207300186157227,117150,-.4499578475952148,1034511,2378357,-.1089019775390625,20920,-.3847293853759766,1284017,154578,16321,.2786340713500977,637101,.256739616394043,291045,-.3274068832397461,3636581,1.000642776489258,315751,.7570257186889648,107327,642400,4137406,5054475,.1781759262084961,45841956,-.0692882537841797,6109000,2982155,.1346731185913086,1135172,1.404213905334473,336815,-.4698514938354492,297567,-.2464380264282227,3243344,-.0961189270019531,704316,-.1589975357055664,589239,-.1724634170532227,406418,-.1790428161621094,matched (3),2106492.5,.87073952,186063.03,300836.16
201108,722300,619,3348,3995145,08,0,0,0,0,0,0,1,0,0,0,0,14853,-.2243680953979492,8985720,169936,.1718015670776367,5998271,.0339775085449219,922269,.1455869674682617,961626,.1651191711425781,1468824,1.084201812744141,131827,1625106,1.175253868103027,286604,2.13710880279541,343228,.4465456008911133,229402,.7930192947387695,126517,.1764087677001953,27875,1129061,.8484506607055664,126879,-.6576080322265625,314069,.1735076904296875,5446,7087240,.1353044509887695,2132861,.2722482681274414,4219672,12637274,.1623744964599609,2626802,-.0638389587402344,49393,-.7957963943481445,409731,.0696792602539063,182658,.4441604614257813,5117482,2478277,.0411539077758789,32764,.4486246109008789,1392834,297696,19202,.162562370300293,693086,.0842266082763672,525611,.5910835266113281,3347249,-.0829057693481445,295185,-.0673513412475586,357211,930711,4626819,4872973,-.0365695953369141,50180520,.0904273986816406,7592000,3138637,.051142692565918,504960,-.8100605010986328,469664,.3324832916259766,516136,.5507307052612305,3615269,.1085615158081055,1118617,.4626216888427734,669509,.1277132034301758,432061,.0611848831176758,matched (3),2609153.5,.87073952,195970.2,307062.31
201109,722300,620,3348,2507305,09,0,0,0,0,0,0,0,1,0,0,0,2817,-1.662529468536377,7476549,185303,.0865697860717773,5148957,-.1526775360107422,879408,-.0475883483886719,918445,-.0459432601928711,886623,-.5047979354858398,75212,1839652,.1240034103393555,137238,-.7363853454589844,338795,-.0129995346069336,54404,-1.439038276672363,196864,.4421367645263672,24182,705602,-.4700908660888672,77469,-.4933557510375977,233824,-.2950439453125,3433,6550148,-.0788087844848633,2107664,-.0118846893310547,1946917,10056349,-.2284469604492188,1099107,-.8712692260742188,26470,-.6237964630126953,308048,-.2852449417114258,247459,.3036298751831055,2269264,2782962,.1159524917602539,28139,-.1521730422973633,1297850,172610,44808,.8473720550537109,508441,-.3098049163818359,161419,-1.180558204650879,2714353,-.2095851898193359,412718,.3351621627807617,161661,791480,4348538,4281677,-.129359245300293,53014912,.0549449920654297,5161000,2957545,-.0594291687011719,446065,-.1240148544311523,648271,.322291374206543,367196,-.3404741287231445,3674894,.0163583755493164,1078795,-.0362482070922852,631019,-.059208869934082,423672,-.0196075439453125,matched (3),2184129.8,.87073952,123319.9,266628.47
201110,722300,621,3348,1992741,10,0,0,0,0,0,0,0,0,1,0,0,1080,-.9587111473083496,8201881,155344,-.1763496398925781,4220859,-.1987552642822266,763753,-.1410045623779297,896838,-.0238065719604492,625761,-.3484516143798828,43654,1181474,-.4428138732910156,49711,-1.015490531921387,288676,-.160090446472168,184771,1.222679138183594,105611,-.6227502822875977,25477,213946,-1.193327903747559,77366,-.0013303756713867,404505,.548095703125,335,6565676,.0023679733276367,2055393,-.0251131057739258,1607333,9258375,-.0826759338378906,1001663,-.0928363800048828,32527,.2060585021972656,1040703,1.217395782470703,150378,-.4980936050415039,1238995,2761006,-.0079212188720703,26192,-.0717029571533203,1140819,195300,22471,-.6901617050170898,451039,-.1197957992553711,77758,-.7304019927978516,1542796,-.5649566650390625,30982,-2.589358329772949,681914,476911,4587869,5538258,.2573347091674805,46052420,-.1407928466796875,3863000,2383245,-.2158966064453125,345487,-.2555093765258789,443707,-.3791437149047852,259319,-.3478364944458008,3079914,-.1766223907470703,952728,-.1242704391479492,545525,-.1455869674682617,453083,.0671157836914063,matched (3),1981622.6,.87073952,122962.67,266463.44
201111,722300,622,3348,2499049,11,0,0,0,0,0,0,0,0,0,1,0,6272,1.759134292602539,9100925,251125,.4803085327148438,5780116,.3143844604492188,949869,.2180795669555664,1008078,.1169252395629883,987283,.455988883972168,67373,1544327,.2678260803222656,258754,1.649652481079102,317509,.0952014923095703,207597,.1164817810058594,251945,.8694477081298828,25675,268088,.2255916595458984,193387,.9161462783813477,428681,.058049201965332,25887,7059496,.0725183486938477,2294380,.1099958419799805,2696644,10607750,.1360569000244141,2199735,.7866754531860352,39857,.2032270431518555,337927,-1.124821662902832,151784,.0093069076538086,879459,2387023,-.1455478668212891,39562,.4124155044555664,1122735,338062,22077,-.0176887512207031,615922,.3115663528442383,94308,.1929645538330078,1368567,-.1198329925537109,97404,1.145461082458496,799129,1002137,4923032,5550114,.0021390914916992,49440968,.0709991455078125,7085000,3244205,.3084077835083008,376247,.0852909088134766,641767,.3690605163574219,453253,.5583915710449219,3726520,.1905727386474609,993133,.041534423828125,350611,-.4420719146728516,349993,-.2581615447998047,matched (3),2693724.8,.87073952,141871.39,275699.91
