period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1107c381,Y1222c586,Y1288c124,growth1288c124,Y1312c208,growth1312c208,Y1445c792,growth1445c792,Y1449c68,growth1449c68,Y1472c586,growth1472c586,Y1653c484,growth1653c484,Y1715c554,Y2000c246,growth2000c246,Y2052c705,growth2052c705,Y2266c152,growth2266c152,Y2284c688,growth2284c688,Y2298c251,Y2485c792,growth2485c792,Y2632c246,growth2632c246,Y2764c372,growth2764c372,Y2788c352,growth2788c352,Y2939c792,growth2939c792,Y3020c752,growth3020c752,Y3252c807,growth3252c807,Y327c124,growth327c124,Y3346c616,growth3346c616,Y3427c218,Y3434c124,growth3434c124,Y3467c68,growth3467c68,Y3476c586,growth3476c586,Y3591c222,growth3591c222,Y3701c191,growth3701c191,Y3708c484,growth3708c484,Y4240c348,growth4240c348,Y4291c792,growth4291c792,Y4422c757,growth4422c757,Y4515c616,growth4515c616,Y4528c372,growth4528c372,Y458c757,growth458c757,Y4654c620,growth4654c620,Y4700c251,growth4700c251,Y4801c484,growth4801c484,Y4818c616,growth4818c616,Y4819c208,growth4819c208,Y4894c208,growth4894c208,Y4929c344,Y496c826,growth496c826,Y4986c484,growth4986c484,Y561c208,growth561c208,Y648c792,Y723c484,growth723c484,Y862c600,growth862c600,Y864c124,growth864c124,_merge,x,r2,s,sf
201402,841231,649,3828,1721426,02,1,0,0,0,0,0,0,0,0,0,0,1796401,15920,1725130,.0943450927734375,189069,-.3360662460327148,1437102,-.0428466796875,540633,.2866487503051758,2638929,-.3214015960693359,28564052,-.2202281951904297,187550,369296,-.0259160995483398,273986,-.3597984313964844,14451,-.4523935317993164,32704,-.4256458282470703,58944,45066,-1.414436340332031,336312,-1.092226028442383,4267796,-.0916938781738281,56004,1.264527320861816,590172,.1148386001586914,236002,.4425878524780273,1098689,-.2715539932250977,4322569,.1178674697875977,1137245,-.2631435394287109,93374,9241936,-.0595340728759766,6911,-1.629265785217285,118026,-.5118007659912109,94280,3.413577079772949,80695,.3356456756591797,1809524,.4519443511962891,958,-3.973300457000732,11297688,-.1429023742675781,5074234,-.2941570281982422,368334,-.4875459671020508,3185085,-.0825481414794922,176606,-.0187520980834961,150909,-.2218952178955078,30081,.1036596298217773,15610633,.4838085174560547,1734584,.2463340759277344,5067768,.0446081161499023,112333,.4471092224121094,1146228,16275094,.9687881469726563,10115,-.6447887420654297,1968038,.0291900634765625,355340,310498,.2524480819702148,155194,-.6060781478881836,5183,-.5878505706787109,matched (3),1511061.1,.87895769,141633.81,246627.38
201403,841231,650,3828,1891557,03,0,1,0,0,0,0,0,0,0,0,0,3974539,31447,2610743,.414332389831543,151903,-.2188692092895508,1064757,-.2998819351196289,409912,-.2767982482910156,3204734,.1942558288574219,29341516,.0268535614013672,0,658333,.5781116485595703,485245,.5715770721435547,98554,1.919840812683106,2306,-2.651982307434082,88396,150855,1.20819091796875,885366,.967961311340332,6066825,.3517379760742188,96502,.5441408157348633,638348,.0784702301025391,297282,.2308406829833984,2812566,.9399795532226563,5170122,.1790456771850586,1060129,-.0702180862426758,48270,11285303,.1997489929199219,1411,-1.588816165924072,95915,-.2074422836303711,1300,-4.283904552459717,102413,.2383365631103516,1201614,-.409398078918457,105014,4.697000980377197,11291785,-.0005226135253906,5699163,.1161441802978516,780252,.7506265640258789,2830374,-.1180696487426758,328231,.6197967529296875,245435,.4863548278808594,19334,-.4420289993286133,20923728,.2929306030273438,2268043,.2681493759155273,6336239,.2233848571777344,58476,-.6528511047363281,2466073,11882849,-.3145389556884766,9085,-.1073951721191406,2281551,.1478176116943359,303061,316784,.0200424194335938,355235,.8281030654907227,3993,-.2608413696289063,matched (3),2021743.9,.87895769,157803.91,256255.72
201404,841231,651,3828,2310810,04,0,0,1,0,0,0,0,0,0,0,0,622033,71535,2160924,-.1890993118286133,240472,.4593610763549805,1384355,.2624883651733398,521448,.2406673431396484,2771746,-.1451520919799805,31926918,.0844459533691406,276340,312293,-.7457685470581055,301293,-.4765710830688477,39857,-.9053068161010742,25699,2.410937309265137,47383,26906,-1.723969459533691,336011,-.9688568115234375,6239415,.028050422668457,134285,.3304004669189453,616404,-.0349817276000977,643003,.7714681625366211,579324,-1.579990386962891,10219322,.6813850402832031,1348314,.2404642105102539,48055,11899255,.0529747009277344,6782,1.569973468780518,161561,.5214195251464844,1449,.1085090637207031,77137,-.2834300994873047,1768570,.3865060806274414,66598,-.455418586730957,12446119,.0973339080810547,6533808,.1366701126098633,398609,-.671635627746582,3379714,.1773815155029297,124564,-.9688987731933594,1121114,1.519045829772949,33760,.5574111938476563,1540686,-2.60865592956543,1927139,-.1628808975219727,6562445,.0350780487060547,109505,.6273536682128906,2623713,13062273,.0946311950683594,10680,.161747932434082,2149884,-.0594415664672852,218771,405413,.2466859817504883,214734,-.5033798217773438,8990,.8115701675415039,matched (3),2362066,.87895769,78852.039,216754.63
201405,841231,652,3828,2336905,05,0,0,0,1,0,0,0,0,0,0,0,1611734,33038,2337769,.0786609649658203,315911,.2728567123413086,2336884,.5235834121704102,601789,.1432971954345703,2991832,.0764083862304688,34036132,.0639743804931641,356613,356650,.1328134536743164,315578,.0463228225708008,59186,.3953876495361328,31741,.2111568450927734,47305,96525,1.27745246887207,620203,.6129026412963867,6364899,.0199127197265625,32112,-1.430734634399414,692697,.1166906356811523,782228,.1959972381591797,540898,-.0686311721801758,18625434,.6002464294433594,1381661,.0244312286376953,125518,10410849,-.1336269378662109,13379,.6794147491455078,172913,.067906379699707,2988,.7237305641174316,75420,-.0225114822387695,1942341,.0937223434448242,76207,.1347789764404297,11021021,-.1216049194335938,6709967,.0266046524047852,722906,.5952978134155273,3332622,-.0140314102172852,200823,.477604866027832,2254353,.6985397338867188,60694,.5865688323974609,6875348,1.495715141296387,2027879,.0509538650512695,5479776,-.1802988052368164,36429,-1.100605010986328,2341391,16057769,.2064647674560547,25063,.8530197143554688,1886138,-.1308822631835938,245896,342987,-.1672134399414063,262836,.2021303176879883,30512,1.222006797790527,matched (3),2301563.8,.87895769,82057.273,217941.09
201406,841231,653,3828,3091221,06,0,0,0,0,1,0,0,0,0,0,0,2113913,5565,1892402,-.2113494873046875,166962,-.6376943588256836,1224038,-.646662712097168,636825,.0565881729125977,2954634,-.0125102996826172,39802040,.156494140625,383339,446127,.2238483428955078,231989,-.3077154159545898,34423,-.5419607162475586,143427,1.508217811584473,34747,124854,.2573432922363281,738364,.1743898391723633,6103110,-.0420007705688477,68077,.7514104843139648,560536,-.2116994857788086,795238,.0164957046508789,167451,-1.172539710998535,21787170,.1567935943603516,1672372,.1909570693969727,126802,11142722,.0679378509521484,653,-3.019865036010742,205519,.1727495193481445,75826,3.233837127685547,71909,-.0476703643798828,1761870,-.0975179672241211,52634,-.370091438293457,10272575,-.0703258514404297,8014359,.1776409149169922,511845,-.3452577590942383,3510464,.0519886016845703,213056,.0591306686401367,668016,-1.216305732727051,64542,.0614709854125977,1343097,-1.632964134216309,2501840,.2100362777709961,6734551,.2061872482299805,60917,.5141468048095703,2144021,25673212,.4692554473876953,27612,.096858024597168,2048241,.0824499130249023,353009,315079,-.084869384765625,148887,-.5683422088623047,32233,.05487060546875,matched (3),3102915.5,.87895769,161492.36,258543.42
201407,841231,654,3828,3216382,07,0,0,0,0,0,1,0,0,0,0,0,2341297,86623,2931148,.4375467300415039,231499,.3268098831176758,1661299,.3054447174072266,455056,-.3360748291015625,3339595,.1224746704101563,40631152,.0206184387207031,189959,599741,.2958946228027344,363054,.4478616714477539,58733,.5342769622802734,15159,-2.247232437133789,45827,196280,.452397346496582,557502,-.280970573425293,7038028,.1425304412841797,145118,.7569074630737305,854976,.42218017578125,340789,-.8473787307739258,977712,1.764524459838867,22481918,.0313911437988281,1350139,-.2140359878540039,451302,12972267,.1520271301269531,1553,.8663668632507324,299408,.3762693405151367,6874,-2.400694847106934,88996,.2131900787353516,2974387,.5236616134643555,39485,-.2874412536621094,10611422,.0324516296386719,7174346,-.1107234954833984,747724,.3790121078491211,3423912,-.0249643325805664,105436,-.7034502029418945,240700,-1.020760536193848,87955,.30950927734375,2731899,.7100191116333008,3036894,.1938085556030273,7793690,.1460628509521484,82087,.2982673645019531,2526648,7970563,-1.169692993164063,77588,1.033162117004395,1990434,-.0286283493041992,297494,326761,.0364055633544922,494409,1.200175285339356,7432,-1.467195510864258,matched (3),2852961,.87895769,115311.35,232511.56
201408,841231,655,3828,2444952,08,0,0,0,0,0,0,1,0,0,0,0,237648,19060,2878062,-.0182771682739258,117045,-.6820173263549805,1098298,-.4138383865356445,647284,.3523654937744141,3340012,.0001249313354492,31074984,-.2681331634521484,312428,428838,-.335418701171875,200814,-.5921726226806641,61136,.0400991439819336,4722,-1.166361808776856,53406,128963,-.4200172424316406,1027862,.6117706298828125,5033906,-.3351325988769531,21561,-1.906661033630371,604963,-.3459062576293945,261164,-.2661142349243164,1098529,.1165122985839844,11212685,-.6956672668457031,1245100,-.0809917449951172,21978,9590871,-.302001953125,20030,2.557042598724365,185976,-.4761896133422852,50846,2.001054763793945,102821,.1443977355957031,2322511,-.2473888397216797,478,-4.414065837860107,11300715,.0629367828369141,6999403,-.0246868133544922,556326,-.2956790924072266,3327651,-.0285167694091797,309276,1.076129913330078,222723,-.0776224136352539,50690,-.5510969161987305,4407603,.4783334732055664,2234380,-.3068714141845703,6580954,-.1691350936889648,49832,-.4991216659545898,2564977,14595941,.6049880981445313,39906,-.6648855209350586,1795484,-.1030778884887695,313629,282805,-.1444711685180664,355559,-.3296718597412109,40290,1.690308570861816,matched (3),2441855.5,.87895769,121358.81,235569.28
201409,841231,656,3828,2704059,09,0,0,0,0,0,0,0,1,0,0,0,1869662,5987,5757693,.69342041015625,124098,.0585126876831055,1106755,.0076704025268555,862661,.287236213684082,3496239,.0457134246826172,38713968,.2197971343994141,353734,464431,.0797338485717773,231002,.1400470733642578,235534,1.3487548828125,8241,.556889533996582,33496,209385,.484649658203125,473459,-.7751712799072266,5633533,.1125411987304688,94248,1.475043296813965,658601,.0849504470825195,433607,.5069894790649414,1624198,.3910417556762695,4237601,-.9730472564697266,2302468,.6147661209106445,259643,12035270,.2270298004150391,18807,-.0630016326904297,188229,.0120410919189453,75361,.393488883972168,102958,.0013313293457031,1300086,-.5802183151245117,3725,2.053211688995361,10810441,-.0443553924560547,8134624,.1503047943115234,735780,.279576301574707,3864536,.1495742797851563,190086,-.4867582321166992,3003955,2.601756095886231,38831,-.2665090560913086,9730559,.7919406890869141,3700129,.5044040679931641,7883167,.1805505752563477,99904,.695551872253418,2731850,4894222,-1.09268856048584,78043,.6707334518432617,1913007,.0634012222290039,315440,317722,.1164188385009766,415933,.1568326950073242,61495,.4228525161743164,matched (3),2844002.3,.87895769,111186.41,230493.69
201410,841231,657,3828,2440446,10,0,0,0,0,0,0,0,0,1,0,0,1200858,23797,2971500,-.6614704132080078,119958,-.0339298248291016,1201223,.0819082260131836,876328,.0157184600830078,3441211,-.015864372253418,37176264,-.0405292510986328,273065,453252,-.0243654251098633,324250,.3390884399414063,54990,-1.454704284667969,11551,.3376502990722656,22057,205781,-.0173625946044922,347619,-.3089580535888672,5007177,-.1178646087646484,35409,-.9789638519287109,628823,-.0462675094604492,232475,-.6233558654785156,872871,-.6209812164306641,4262403,.0058355331420898,1184912,-.6643133163452148,6117,16109501,.2915668487548828,6689,-1.033764839172363,128788,-.3794918060302734,8049,-2.23674201965332,61162,-.5207948684692383,2506089,.6562929153442383,650,-1.745849609375,10238323,-.0543727874755859,5366095,-.4160289764404297,969982,.2763471603393555,3366882,-.1378536224365234,175189,-.0816106796264648,2164083,-.3279333114624023,19671,-.6800737380981445,7153443,-.30767822265625,3403021,-.0837039947509766,8083735,.0251245498657227,58122,-.5416650772094727,2362636,1916887,-.937352180480957,21677,-1.281008720397949,1382926,-.3244743347167969,228889,359809,.1243963241577148,348739,-.1761999130249023,11350,-1.689738273620606,matched (3),2495264.8,.87895769,114535.98,232128
201411,841231,658,3828,2576266,11,0,0,0,0,0,0,0,0,0,1,0,2427384,2718,4240082,.3555154800415039,166718,.32916259765625,1274257,.0590229034423828,670221,-.2681331634521484,2649527,-.2614431381225586,42777756,.1403484344482422,559174,406576,-.1086769104003906,220879,-.3838996887207031,14952,-1.302306175231934,23371,.7047233581542969,19954,118924,-.5483274459838867,397197,.1333255767822266,4162521,-.1847515106201172,110047,1.133941650390625,279848,-.8096036911010742,255694,.0951986312866211,956105,.0910797119140625,4298824,.0085086822509766,1754906,.3927469253540039,253294,10541367,-.4241008758544922,7431,.1051959991455078,105452,-.1999111175537109,17873,.7977428436279297,120483,.6779823303222656,1477505,-.5283679962158203,60141,4.527474403381348,9782249,-.0455684661865234,5791589,.0763063430786133,531606,-.6013755798339844,3293723,-.0219688415527344,221151,.2329797744750977,174481,-2.517935752868652,90225,1.523160934448242,4140699,-.5467290878295898,1810166,-.6312456130981445,6978901,-.1469631195068359,63937,.0953540802001953,2175093,27688372,2.670309066772461,13639,-.46331787109375,1905117,.3203420639038086,290123,361784,.0054740905761719,423694,.1946878433227539,8657,-.2708492279052734,matched (3),2611565.8,.87895769,122863.7,236348.06
201412,841231,659,3828,3168468,12,0,0,0,0,0,0,0,0,0,0,1,1317201,18475,2147289,-.6803760528564453,151576,-.0952167510986328,1856773,.3764772415161133,868654,.2593374252319336,3736092,.3436594009399414,47766020,.1102962493896484,188300,430590,.0573854446411133,302291,.3137750625610352,26972,.5899543762207031,25335,.0806913375854492,40168,147407,.2147121429443359,698830,.5649747848510742,4428367,.0619096755981445,132866,.1884336471557617,609369,.7781772613525391,218298,-.1581201553344727,1401368,.3823366165161133,4544653,.0556097030639648,925240,-.6401176452636719,343439,10835870,.0275535583496094,54878,1.999451637268066,200411,.6421136856079102,144751,2.091724395751953,60483,-.6891460418701172,1894209,.2484464645385742,566,-4.665853023529053,9944295,.0164279937744141,6735178,.1509370803833008,486530,-.0886039733886719,2564430,-.2502822875976563,133579,-.5041522979736328,929401,1.672723770141602,99097,.0937929153442383,4416723,.0645341873168945,2838786,.4499578475952148,7543217,.0777578353881836,83621,.2683963775634766,2810003,18940172,-.3797264099121094,23641,.550048828125,1863127,-.0222873687744141,298092,278117,-.263005256652832,502320,.1702251434326172,10482,.1912908554077148,matched (3),3090298.3,.87895769,130721.85,240526.77
