period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1074c372,growth1074c372,Y1090c620,growth1090c620,Y1120c688,growth1120c688,Y1516c251,growth1516c251,Y1656c554,Y1665c608,Y1703c484,growth1703c484,Y1745c300,growth1745c300,Y1766c608,Y1794c826,growth1794c826,Y1844c616,growth1844c616,Y2053c300,growth2053c300,Y2125c203,Y2224c484,growth2224c484,Y2565c752,growth2565c752,Y2637c208,growth2637c208,Y2674c807,growth2674c807,Y2731c233,Y2902c616,growth2902c616,Y3022c208,growth3022c208,Y3032c703,growth3032c703,Y3263c757,growth3263c757,Y3416c752,growth3416c752,Y3495c826,growth3495c826,Y3498c608,Y3542c703,growth3542c703,Y3561c484,growth3561c484,Y3592c352,growth3592c352,Y3701c600,growth3701c600,Y3728c484,growth3728c484,Y3778c484,growth3778c484,Y3789c36,Y3849c600,growth3849c600,Y3917c586,growth3917c586,Y3970c222,growth3970c222,Y3981c484,growth3981c484,Y4004c757,growth4004c757,Y4156c372,growth4156c372,Y422c484,growth422c484,Y4338c826,growth4338c826,Y4375c428,growth4375c428,Y4377c608,Y4386c608,Y4611c218,Y4822c348,growth4822c348,Y4943c36,Y883c251,Y963c348,growth963c348,Y969c32,Y980c218,_merge,x,r2,s,sf
201101,840910,612,3810,61582,01,0,0,0,0,0,0,0,0,0,0,0,1046731,1.922348976135254,80690,.0435295104980469,151265,.3995065689086914,1974381,.3091630935668945,2893569,1092270,1028621,.2108554840087891,56099,-.4531688690185547,2548175,3403406,.304875373840332,840423,.1926946640014648,1248586,.2751846313476563,1675157,719644,1.080515861511231,54148,.1752176284790039,1837067,.1666374206542969,81025,.4726066589355469,26426,628662,.7487707138061523,284528,.662632942199707,296859,.4469118118286133,3270213,.7255887985229492,1385739,.0076818466186523,4021850,.3207178115844727,181978,2381166,.8484687805175781,8106462,.6104879379272461,114662,1.264231681823731,56576,-.6719341278076172,654648,.1347846984863281,2672780,.0085792541503906,37066,444481,.0508813858032227,380725,1.593659400939941,109997,1.017064094543457,1382091,.3880128860473633,412621,.1600894927978516,577515,1.521017074584961,743197,.5393905639648438,3420664,.5199041366577148,315696,-.5055570602416992,78351,250807,1863885,155644,.3035526275634766,13338956,780197,5384,.1689634323120117,39994,119049,matched (3),286114,.70522672,38057.949,70310.508
201102,840910,613,3810,17790,02,1,0,0,0,0,0,0,0,0,0,0,1096963,.0468740463256836,73915,-.0876989364624023,87283,-.5498771667480469,2095231,.0594091415405273,1765034,768807,765451,-.2955093383789063,84132,.405268669128418,2021422,2288045,-.3970785140991211,805679,-.0422201156616211,2364498,.6385536193847656,1512473,340474,-.748417854309082,3194,-2.830447196960449,1514152,-.1933155059814453,22653,-1.274465560913086,19122,343953,-.60308837890625,50351,-1.731813430786133,221728,-.2918052673339844,2958309,-.1002368927001953,1603853,.1461753845214844,3630884,-.1022653579711914,44961,2210142,-.0745334625244141,6261109,-.2583036422729492,66492,-.5449075698852539,46914,-.1872692108154297,661893,.0110054016113281,2571320,-.0387001037597656,53008,260258,-.5352334976196289,254312,-.4035158157348633,40313,-1.003779411315918,1646391,.1749887466430664,161746,-.9365024566650391,1405313,.8892803192138672,423352,-.5627574920654297,3497858,.0223159790039063,190399,-.5056571960449219,38242,138788,1409276,170749,.0926227569580078,13764846,1132867,55,-4.583853244781494,32332,114058,matched (3),302311.38,.70522672,69512.008,91252.836
201103,840910,614,3810,23020,03,0,1,0,0,0,0,0,0,0,0,0,1239747,.1223611831665039,101001,.3122138977050781,221328,.9304895401000977,2795530,.2883577346801758,2689947,1028763,703071,-.0850076675415039,116570,.3261051177978516,2221886,4278478,.6258993148803711,1574405,.669947624206543,2569488,.0831413269042969,1818358,322648,-.053776741027832,65263,3.017151832580566,1819352,.1836252212524414,14455,-.4492521286010742,26136,353873,.0284328460693359,107596,.7593650817871094,412005,.6195840835571289,5289826,.5811672210693359,4041917,.9243106842041016,3124541,-.1501893997192383,240244,2526302,.1336994171142578,7851170,.2263050079345703,67464,.0145130157470703,119014,.9309253692626953,938647,.3493356704711914,3272104,.2410144805908203,160553,276215,.0595054626464844,52966,-1.568911552429199,18982,-.7531824111938477,1883146,.1343574523925781,192686,.1750354766845703,82496,-2.835265159606934,625020,.3895797729492188,3359041,-.0404949188232422,172034,-.1014299392700195,40493,272823,1853543,156131,-.0894994735717773,11983402,56584,9911,5.194067478179932,71197,128613,matched (3),40423.102,.70522672,49730.52,77254.672
201104,840910,615,3810,67615,04,0,0,1,0,0,0,0,0,0,0,0,1034876,-.1806249618530273,205085,.7082948684692383,133754,-.5036430358886719,1820717,-.4287919998168945,3315325,389313,1251784,.5768671035766602,142398,.20013427734375,3764436,3690071,-.1479511260986328,1363062,-.1441440582275391,2925877,.129887580871582,2657675,524333,.4855642318725586,54562,-.1790876388549805,1796570,-.0126008987426758,20111,.3302268981933594,39845,579469,.4931745529174805,224934,.7374238967895508,496357,.1862592697143555,7095447,.2936687469482422,1895339,-.7573213577270508,3681316,.1639833450317383,194950,2313132,-.0881538391113281,6890781,-.1304779052734375,76914,.1310939788818359,43358,-1.009750366210938,732273,-.2482852935791016,3957159,.1900930404663086,183252,133412,-.7277374267578125,183116,1.240469932556152,29277,.4333105087280273,1686540,-.1102638244628906,227950,.1680641174316406,1314917,2.768778800964356,837736,.2929191589355469,3814154,.1270627975463867,137900,-.2211637496948242,43113,190673,1972605,197104,.2330360412597656,17460460,1527516,1054,-2.241053104400635,23213,3232193,matched (3),211029.34,.70522672,68880.023,90772.344
201105,840910,616,3810,13441,05,0,0,0,1,0,0,0,0,0,0,0,181154,-1.742690086364746,272170,.2830018997192383,242422,.5946779251098633,2530418,.3291549682617188,3740368,192397,1162231,-.0742282867431641,71394,-.6904125213623047,4089884,4246250,.1403903961181641,1189758,-.1359834671020508,1887110,-.4385480880737305,1670244,456563,-.1384000778198242,58022,.0614843368530273,2460143,.3143396377563477,13404,-.4057140350341797,31292,427083,-.3051338195800781,253796,.1207237243652344,326697,-.4182615280151367,6957763,-.0195960998535156,1558246,-.1958370208740234,3542532,-.0384292602539063,132867,1821814,-.23876953125,5004317,-.3198833465576172,32499,-.8614788055419922,93917,.7729206085205078,836171,.1326789855957031,3640125,-.0835084915161133,123403,223657,.5166721343994141,41470,-1.485149383544922,18234,-.4735145568847656,1812476,.0720148086547852,327675,.3628959655761719,741001,-.5735263824462891,650106,-.2535676956176758,3913789,.025787353515625,249324,.5922250747680664,35445,245759,1828708,183837,-.0696811676025391,18462244,41637,2683,.9343433380126953,17019,277814,matched (3),-34956.648,.70522672,71543.992,92810.039
201106,840910,617,3810,117214,06,0,0,0,0,1,0,0,0,0,0,0,1312655,1.980460166931152,257984,-.0535287857055664,202374,-.1805629730224609,3112599,.2070732116699219,3218658,272976,894170,-.2622003555297852,76343,.0670223236083984,3371827,4070461,-.0422801971435547,1322911,.1060848236083984,2372610,.2289447784423828,1913417,636134,.3316831588745117,267732,1.52916431427002,1905820,-.2553071975708008,40185,1.097940444946289,8647,694977,.4869003295898438,185907,-.311284065246582,385296,.16497802734375,3795476,-.6060476303100586,1900871,.1987514495849609,6170920,.5550069808959961,167054,1842067,.0110559463500977,5132621,.0253152847290039,19143,-.5292720794677734,49935,-.6316890716552734,771606,-.0803585052490234,3230212,-.1194705963134766,164136,357438,.4688482284545898,155784,1.32349967956543,30135,.5023994445800781,1688651,-.0707645416259766,42859,-2.034106254577637,55584,-2.590106964111328,851379,.2697219848632813,4278842,.0891761779785156,272820,.0900583267211914,29365,531450,1886969,126557,-.373356819152832,15658876,375771,5252,.6716732978820801,64627,567946,matched (3),292320.56,.70522672,42187.52,72628.836
201107,840910,618,3810,102639,07,0,0,0,0,0,1,0,0,0,0,0,1084934,-.1905326843261719,110827,-.8449277877807617,133491,-.4160833358764648,3391309,.0857582092285156,1581288,118398,607896,-.3858919143676758,144723,.6395854949951172,4616442,3202387,-.2398595809936523,830052,-.4661016464233398,1260966,-.6321125030517578,1622116,562304,-.1233673095703125,95212,-1.033880233764648,1706887,-.1102409362792969,5406,-2.005984306335449,11440,534307,-.262908935546875,55787,-1.203705787658691,505587,.2717084884643555,2987735,-.2392940521240234,2246309,.1669759750366211,3765226,-.4940404891967773,35633,1455984,-.2352066040039063,5308825,.0337543487548828,3709,-1.641175270080566,77320,.437230110168457,555068,-.3293838500976563,2583226,-.2235088348388672,134070,242578,-.387639045715332,94025,-.5049095153808594,8074,-1.317037582397461,772988,-.7814216613769531,219251,1.632301330566406,41557,-.2908296585083008,635027,-.2931900024414063,4040265,-.0573720932006836,494023,.5937700271606445,19981,119621,1881314,149801,.168614387512207,15504584,317374,3024,-.5520286560058594,66674,31301,matched (3),44779.785,.70522672,45021.996,74311.102
201108,840910,619,3810,189441,08,0,0,0,0,0,0,1,0,0,0,0,255285,-1.446893692016602,195280,.5664644241333008,139442,.043614387512207,2965042,-.1343250274658203,1807514,320650,985239,.482879638671875,73422,-.6785984039306641,3180838,3654709,.1321201324462891,1213764,.3799934387207031,1768721,.3383779525756836,1712368,776199,.3223667144775391,107027,.1169748306274414,1646505,-.0360164642333984,33413,1.821435928344727,19048,511885,-.0428705215454102,179833,1.170487403869629,286501,-.5679779052734375,3463807,.1478519439697266,2205394,-.0183820724487305,3915770,.0392045974731445,193191,2337034,.473200798034668,5872837,.1009674072265625,11649,1.144458770751953,84078,.0837926864624023,717487,.2566642761230469,3063532,.1705293655395508,276758,576087,.8649358749389648,59110,-.4641609191894531,30601,1.332383155822754,1330693,.5431919097900391,255677,.1536979675292969,422547,2.319234848022461,995981,.4500608444213867,3898680,-.0356721878051758,606070,.2044134140014648,37457,140321,1906565,219376,.3814792633056641,17240036,975611,9309,1.124401092529297,66039,105250,matched (3),361553.53,.70522672,43979.16,73683.969
201109,840910,620,3810,78274,09,0,0,0,0,0,0,0,1,0,0,0,2231205,2.167916297912598,142255,-.3168134689331055,185303,.2843437194824219,1812518,-.4921741485595703,2272871,284736,1109620,.1188888549804688,54846,-.2916936874389648,2171013,3122357,-.1574287414550781,1935821,.4668045043945313,1850371,.0451297760009766,1514920,725721,-.0672435760498047,34660,-1.127494812011719,1768192,.0713033676147461,68041,.7111654281616211,10107,373032,-.3164358139038086,139215,-.2560091018676758,578408,.7025375366210938,4867156,.3401422500610352,2408277,.0880050659179688,3215804,-.196934700012207,219153,2235869,-.0442533493041992,4953057,-.1703329086303711,22805,.6717586517333984,71952,-.1557455062866211,1452003,.7049446105957031,2962613,-.0334968566894531,78748,339405,-.5290651321411133,301142,1.628182411193848,46991,.4289236068725586,1264230,-.0512371063232422,191108,-.29107666015625,70989,-1.783775329589844,1018966,.0228157043457031,3445940,-.1234407424926758,478738,-.2358417510986328,20428,564406,2315821,134946,-.4859123229980469,14484677,368857,5122,-.5974369049072266,219,72105,matched (3),96943.258,.70522672,45117.043,74368.727
201110,840910,621,3810,37571,10,0,0,0,0,0,0,0,0,1,0,0,234525,-2.252735137939453,127329,-.1108465194702148,106721,-.5517740249633789,1674202,-.079380989074707,2914288,900021,833942,-.285609245300293,125273,.8259658813476563,2881115,2609168,-.1795568466186523,1435716,-.2988672256469727,1386814,-.2883768081665039,1289022,705708,-.0279636383056641,37061,.0669794082641602,1608605,-.0945901870727539,46457,-.3815832138061523,9114,360744,-.0334949493408203,91748,-.4169740676879883,241760,-.8723344802856445,2311361,-.7446737289428711,1661606,-.3711261749267578,2889335,-.107050895690918,85974,1817621,-.2071008682250977,4821425,-.0269355773925781,3495,-1.875645637512207,64197,-.1140432357788086,640245,-.8188486099243164,4640286,.448704719543457,103584,271322,-.2238874435424805,230055,-.2692632675170898,35800,-.272007942199707,1604366,.2382659912109375,154917,-.2099494934082031,56149,-.2345161437988281,999667,-.0191211700439453,3685081,.0670957565307617,228381,-.740138053894043,20157,251958,1735471,88925,-.4170808792114258,13692380,195105,6702,.2688617706298828,73988,1904311,matched (3),129672.04,.70522672,29981.822,66287.781
201111,840910,622,3810,106743,11,0,0,0,0,0,0,0,0,0,1,0,1196789,1.62983512878418,168924,.2826738357543945,210030,.677032470703125,2424762,.3703975677490234,2720403,910797,848682,.0175209045410156,146473,.1563453674316406,2155615,2712461,.0388250350952148,1340748,-.0684366226196289,2023979,.3780555725097656,1229231,656198,-.0727396011352539,14491,-.9390382766723633,1814511,.120448112487793,71902,.4367771148681641,6656,746147,.7267541885375977,184253,.6972646713256836,592492,.8963918685913086,2897766,.2261037826538086,1581999,-.0490961074829102,3860561,.2897853851318359,125120,1868735,.0277328491210938,6080680,.2320470809936523,27437,2.060558319091797,88087,.3163681030273438,1246684,.6663913726806641,3087184,-.4075164794921875,55646,453805,.5143613815307617,254139,.0995626449584961,85233,.8674402236938477,1805382,.1180429458618164,196188,.2361841201782227,41026,-.3138027191162109,1030502,.0303783416748047,3043572,-.1912612915039063,174862,-.2670183181762695,53479,1276647,1959609,106415,.1795530319213867,17744956,21364,7036,.0486335754394531,51825,42063,matched (3),61010.281,.70522672,34945.777,68675.813
201112,840910,623,3810,24965,12,0,0,0,0,0,0,0,0,0,0,1,1006845,-.1728200912475586,107326,-.453577995300293,41641,-1.618165016174316,1556387,-.4433670043945313,1036241,882390,690975,-.2055807113647461,137338,-.0643959045410156,1855866,1817441,-.4004268646240234,1524671,.1285514831542969,1465228,-.323054313659668,1444353,561132,-.1565055847167969,9331,-.440185546875,1586580,-.1342353820800781,87097,.1917181015014648,5087,526254,-.3491392135620117,70218,-.9647054672241211,213289,-1.021689414978027,1453159,-.6902008056640625,1408361,-.1162624359130859,3059022,-.2327165603637695,116404,1344983,-.3288803100585938,3840665,-.4594717025756836,6446,-1.448431968688965,32233,-1.00533390045166,521412,-.8717012405395508,2844533,-.0818605422973633,43614,500626,.0981912612915039,108754,-.8487930297851563,225346,.9722490310668945,1588552,-.1279487609863281,115329,-.5312843322753906,40297,-.0179290771484375,808728,-.2423381805419922,2952455,-.0303945541381836,125634,-.3306245803833008,39336,310596,1480033,312421,1.077005386352539,11995106,15986,3993,-.5664968490600586,51632,353086,matched (3),-57302.805,.70522672,38346.848,70467.305
201201,840910,624,3810,147464,01,0,0,0,0,0,0,0,0,0,0,0,1143911,.1276311874389648,229501,.7600364685058594,174867,1.434940338134766,1832936,.1635522842407227,1690729,744869,990012,.3596134185791016,72462,-.6393823623657227,2213915,2885878,.4623994827270508,1743026,.1338434219360352,1516583,.034449577331543,1307741,375146,-.4026412963867188,29875,1.163680076599121,1607240,.0129375457763672,22492,-1.353862762451172,16970,779184,.3924636840820313,176231,.9201908111572266,355157,.5099124908447266,3457742,.8668766021728516,2005166,.3533000946044922,4203787,.3178901672363281,59483,2405982,.5815773010253906,6199601,.4788398742675781,4481,-.3636140823364258,56055,.5533428192138672,683006,.2699623107910156,3383116,.1733980178833008,106407,304512,-.4971485137939453,28208,-1.349482536315918,87495,-.9460554122924805,2542498,.4703235626220703,858791,2.007736206054688,308239,2.034598350524902,877537,.0816564559936523,3215497,.0853452682495117,167600,.2882070541381836,17872,258573,1939419,319296,.0217666625976563,15649412,720280,14157,1.265666007995606,17319,1427025,matched (3),73749.016,.70522672,32237.477,67338.07
