period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1083c642,Y1588c554,Y1682c233,Y1740c703,growth1740c703,Y1900c124,growth1900c124,Y1909c600,growth1909c600,Y2129c826,growth2129c826,Y2137c36,Y2162c826,growth2162c826,Y2654c484,growth2654c484,Y2758c372,growth2758c372,Y2761c826,growth2761c826,Y2765c792,growth2765c792,Y2765c826,growth2765c826,Y2796c124,growth2796c124,Y2800c348,growth2800c348,Y2800c826,growth2800c826,Y2811c792,growth2811c792,Y2815c124,growth2815c124,Y2889c152,growth2889c152,Y2919c124,growth2919c124,Y3089c124,growth3089c124,Y3091c826,growth3091c826,Y326c381,Y3451c616,growth3451c616,Y3482c642,Y3702c124,growth3702c124,Y3725c124,growth3725c124,Y3753c124,growth3753c124,Y4384c124,growth4384c124,Y4384c826,growth4384c826,Y4602c586,growth4602c586,Y4625c152,growth4625c152,Y4843c752,growth4843c752,Y4947c36,Y4954c36,Y4954c381,Y4954c826,growth4954c826,Y4960c191,growth4960c191,Y4960c203,Y4960c68,growth4960c68,Y4960c826,growth4960c826,Y4962c752,growth4962c752,Y4978c36,Y5026c124,growth5026c124,Y566c757,growth566c757,Y586c352,growth586c352,Y597c246,growth597c246,Y670c208,growth670c208,Y767c428,growth767c428,_merge,x,r2,s,sf
201101,901910,612,4760,20098860,01,0,0,0,0,0,0,0,0,0,0,0,241447,1695894,2142036,210781,.2017154693603516,9133523,.1794576644897461,459942,.0707302093505859,15245745,.1475505828857422,1802822,17584360,.0537757873535156,2378171,.2503118515014648,838442,-.4810152053833008,3413208,-.7796554565429688,844091,-.2135591506958008,14026281,-.4119777679443359,87130,-1.076248168945313,79064,-.8897762298583984,4469604,-.7311811447143555,98040,-1.655473709106445,654085,1.440637588500977,20801,-3.678409576416016,2751720,-.1973199844360352,5108517,-.2901687622070313,18005528,.2124385833740234,2553069,752604,.4680891036987305,728388,1889839,-.0613079071044922,2355194,-.1368188858032227,21509194,.1526546478271484,6435829,-.3272209167480469,19110056,-.15740966796875,322691,.3626718521118164,1013704,-1.217557907104492,235550,-.2413091659545898,13588324,50103840,85085752,169480432,-.2744979858398438,115105,-.5803794860839844,155711,18549,-1.136002540588379,1185582,-2.240718841552734,2437479,-.7663803100585938,8836966,1024874,.4420595169067383,12876397,.0196514129638672,978576,.2875089645385742,576925,-.1643600463867188,7058222,-.0491628646850586,178422,-.6812057495117188,matched (3),31066298,.90184456,2120160,5474430.5
201102,901910,613,4760,15554767,02,1,0,0,0,0,0,0,0,0,0,0,106697,918846,1828092,159802,-.2768840789794922,7152614,-.2444734573364258,299932,-.4275445938110352,14432014,-.0548515319824219,1137748,11305188,-.4417476654052734,2282105,-.0412330627441406,571796,-.3827629089355469,2130468,-.4713106155395508,318073,-.9759788513183594,9043944,-.4388370513916016,25321,-1.235767364501953,70265,-.1179838180541992,2401553,-.6211833953857422,78300,-.224827766418457,47812,-2.615960121154785,22913,.0967035293579102,3262305,.1702079772949219,5978751,.1573028564453125,15170002,-.1713600158691406,1846000,137876,-1.697184562683106,599027,2161600,.1343564987182617,2313706,-.0177726745605469,20610380,-.0426864624023438,5560045,-.1462745666503906,18777498,-.0175571441650391,61584,-1.656292915344238,1351010,.2872409820556641,176591,-.2880868911743164,13454426,54006868,82783192,149093344,-.1281642913818359,14718,-2.056773185729981,62581,29130,.4513530731201172,1498538,.2342557907104492,1512214,-.4773902893066406,7219744,938378,-.0881719589233398,12817444,-.0045890808105469,837108,-.1561450958251953,421727,-.3133544921875,7491295,.0595483779907227,396437,.798365592956543,matched (3),21747712,.90184456,1057845.1,5156873.5
201103,901910,614,4760,12546596,03,0,1,0,0,0,0,0,0,0,0,0,202062,766682,1952665,85632,-.623875617980957,5036102,-.3508453369140625,211891,-.3474836349487305,12572752,-.1379165649414063,961211,7616618,-.3949289321899414,1137652,-.696131706237793,390929,-.3802566528320313,2000178,-.063105583190918,226486,-.3395977020263672,8227623,-.0945987701416016,17478,-.3706903457641602,43901,-.4703369140625,1571897,-.423832893371582,51225,-.4243202209472656,30372,-.4537553787231445,43677,.6451168060302734,2465348,-.2801017761230469,4604887,-.2610940933227539,15065709,-.0068988800048828,1768564,81139,-.5301914215087891,681633,2009105,-.0731592178344727,2065425,-.1135139465332031,21026206,.0199756622314453,7408515,.2870244979858398,13969244,-.2958011627197266,46434,-.2823696136474609,1168487,-.1451425552368164,116864,-.4128255844116211,13138465,41051888,68327272,125770912,-.1701107025146484,80718,1.701889991760254,260213,3299,-2.178149223327637,1428832,-.0476322174072266,326877,-1.531745910644531,6400250,543567,-.5460004806518555,10188558,-.2295417785644531,1041014,.2179975509643555,695414,.5001497268676758,10343973,.322662353515625,182175,-.7775487899780273,matched (3),20553830,.90184456,1127807.4,5171678.5
201104,901910,615,4760,19349444,04,0,0,1,0,0,0,0,0,0,0,0,371524,1142684,2444626,182330,.7557582855224609,8105398,.4758977890014648,66304,-1.161821365356445,18019890,.3599452972412109,786499,12430319,.4898061752319336,1590856,.3353061676025391,278690,-.3384256362915039,1827969,-.0900306701660156,140033,-.4808053970336914,5886427,-.3348484039306641,42599,.8908872604370117,52352,.1760530471801758,1531620,-.0259571075439453,98026,.6490049362182617,111742,1.302671432495117,70300,.4759502410888672,3177190,.2536649703979492,5695270,.2125177383422852,12988279,-.1483726501464844,1701195,106709,.2739419937133789,616207,2412901,.183140754699707,2211839,.0684881210327148,23651296,.1176471710205078,6685734,-.1026544570922852,14335226,.0258617401123047,62359,.2948760986328125,1478857,.235560417175293,175095,.4043178558349609,14254649,63699444,56636772,157396496,.2243061065673828,6712,-2.487064361572266,364458,2545,-.259488582611084,930494,-.4288969039916992,113687,-1.056135177612305,7075335,636142,.1572694778442383,9819349,-.0369110107421875,1060184,.0182466506958008,594346,-.1570463180541992,11438439,.1005764007568359,529893,1.067707061767578,matched (3),20815316,.90184456,1302963,5212679
201105,901910,616,4760,22308828,05,0,0,0,1,0,0,0,0,0,0,0,278789,1318997,2871506,238358,.2679557800292969,9720072,.1816635131835938,161239,.888636589050293,15697929,-.1379470825195313,1163688,12407492,-.0018386840820313,2827196,.5750131607055664,209581,-.2849893569946289,1371124,-.2875747680664063,257347,.6085472106933594,11224538,.6454524993896484,71128,.5126504898071289,22928,-.8256311416625977,1946442,.2396774291992188,111537,.1291236877441406,141679,.2373714447021484,80115,.1306915283203125,3038679,-.0445747375488281,6921380,.1949796676635742,12196645,-.0628871917724609,2152428,157412,.3887605667114258,790702,2283377,-.0551748275756836,2847784,.2527170181274414,23409536,-.0102729797363281,7251596,.0812454223632813,16643078,.1492748260498047,81143,.2633047103881836,1827161,.2114934921264648,233681,.2886285781860352,17308268,106837176,68272096,136602848,-.1416912078857422,15863,.8600921630859375,327802,914,-1.024055480957031,2636704,1.041568756103516,69687,-.4894351959228516,9611860,461802,-.3202857971191406,12192968,.2165050506591797,1287350,.1941432952880859,710699,.1787881851196289,13782745,.1864376068115234,690083,.2641363143920898,matched (3),24394696,.90184456,896610.44,5126228.5
201106,901910,617,4760,21177380,06,0,0,0,0,1,0,0,0,0,0,0,411612,4473989,2510246,93853,-.9320440292358398,9498888,-.0230197906494141,160731,-.0031547546386719,14463978,-.0818691253662109,1144245,11435141,-.0816097259521484,2407457,-.1607151031494141,273480,.266118049621582,2012680,.3838357925415039,1462858,1.737722396850586,21438848,.6471023559570313,295328,1.423604965209961,73825,1.169338226318359,3396613,.5567750930786133,632153,1.734775543212891,845486,1.786347389221191,123870,.4357690811157227,4468709,.385676383972168,6563466,-.0530967712402344,15267767,.2245826721191406,3213517,154193,-.0206613540649414,867788,2705050,.1694650650024414,2424973,-.1607208251953125,22922180,-.0210399627685547,6825870,-.0605020523071289,16838732,.011688232421875,146849,.5931921005249023,1899744,.0389556884765625,232568,-.0047740936279297,15968178,98342504,91623536,162250064,.1720619201660156,10601,-.403040885925293,500228,1337,.3803529739379883,4683069,.5744247436523438,850619,2.501951217651367,12732543,766084,.5061559677124023,10954150,-.1071414947509766,1075819,-.1795034408569336,694811,-.0226097106933594,10622689,-.2604255676269531,774061,.1148395538330078,matched (3),27433646,.90184456,893758,5125730.5
201107,901910,618,4760,20813016,07,0,0,0,0,0,1,0,0,0,0,0,508598,4455534,2017999,32180,-1.070384025573731,10094661,.0608329772949219,74757,-.7654895782470703,14554059,.0062084197998047,1091123,17845976,.4450874328613281,2961291,.2070541381835938,702205,.9429969787597656,5329548,.9737997055053711,4491275,1.121744155883789,39992600,.6234912872314453,341260,.1445589065551758,88294,.1789751052856445,10760858,1.153136253356934,1713302,.9970464706420898,1953507,.8374700546264648,319836,.9485759735107422,4531332,.0139169692993164,6986282,.0624303817749023,14450914,-.0549850463867188,3509186,119435,-.25543212890625,1025146,2620467,-.0317678451538086,3173694,.2690753936767578,23910356,.0422077178955078,12262587,.5858335494995117,19296696,.1362514495849609,64361,-.8248977661132813,3128289,.4987668991088867,162310,-.359675407409668,18207552,60456900,75637344,174376496,.0720767974853516,72146,1.917743682861328,362106,12330,2.221606731414795,11697799,.9154472351074219,697096,-.1990413665771484,8517530,1192000,.4420957565307617,13562875,.2136192321777344,1178334,.0910196304321289,533331,-.2644977569580078,11871043,.1111087799072266,776453,.0030851364135742,matched (3),26673660,.90184456,1124390.9,5170934.5
201108,901910,619,4760,31045404,08,0,0,0,0,0,0,1,0,0,0,0,827814,4557982,2913178,39070,.1940097808837891,9731548,-.0366344451904297,225340,1.103367805480957,18597994,.2451839447021484,1937347,24965556,.3357200622558594,4734832,.4693212509155273,1774164,.9268589019775391,6095136,.1342248916625977,3591649,-.2235250473022461,52288008,.2680721282958984,918895,.9905271530151367,300529,1.224871635437012,16349541,.4182853698730469,1797239,.0478286743164063,2853577,.3789472579956055,2368228,2.00208854675293,8444351,.6224813461303711,7338342,.049163818359375,15790054,.0886211395263672,4428502,298692,.9166402816772461,1306327,3650306,.3314590454101563,3467255,.0884675979614258,23996160,.0035820007324219,12014317,-.0204544067382813,19670706,.0191974639892578,71314,.1025848388671875,7239659,.8390884399414063,315933,.6660223007202148,24591872,83558064,174063696,212568480,.1980476379394531,164613,.8249053955078125,2414214,79369,1.862072944641113,37661876,1.169246673583984,2955303,1.444433212280273,14913253,1038801,-.1375656127929688,17069498,.2299556732177734,1110907,-.058924674987793,859849,.4776144027709961,11914429,.0036487579345703,771932,-.0058393478393555,matched (3),29440008,.90184456,1741071.6,5339067.5
201109,901910,620,4760,31533252,09,0,0,0,0,0,0,0,1,0,0,0,1396552,6209224,3031562,22630,-.5460786819458008,8600371,-.1235675811767578,140393,-.4731655120849609,21774488,.1576862335205078,1635843,27576404,.0994625091552734,3809683,-.2174005508422852,2427338,.3134660720825195,12770154,.739619255065918,5149002,.3601913452148438,54666072,.0444755554199219,802511,-.1354265213012695,428894,.3556661605834961,22240870,.3077316284179688,1537793,-.1559028625488281,1859071,-.4284963607788086,2190285,-.0781097412109375,8797986,.0410251617431641,9076457,.2125711441040039,17317036,.0923118591308594,7361249,786562,.9682588577270508,1540919,3308739,-.0982446670532227,3861687,.1077404022216797,22583160,-.0606899261474609,13353412,.1056728363037109,21086450,.0694999694824219,3204065,3.805083274841309,11217355,.4378881454467773,447933,.3491134643554688,34259984,97221968,165033568,294046912,.3244762420654297,1038607,1.842038154602051,4607896,287315,1.286471366882324,60651144,.4764900207519531,5769106,.6689157485961914,17164116,835810,-.2174205780029297,18483960,.0796108245849609,1122330,.0102300643920898,1555982,.5931053161621094,11334748,-.0498771667480469,387007,-.6904544830322266,matched (3),157062800,.90184456,16000315,16777496
201110,901910,621,4760,47684072,10,0,0,0,0,0,0,0,0,1,0,0,1537179,5256712,2713377,266678,2.466765403747559,8364633,-.0277929306030273,190042,.302800178527832,21244896,-.0246219635009766,2408265,26693248,-.0325508117675781,3898343,.0230064392089844,3014572,.2166624069213867,14739185,.1433982849121094,4723119,-.0863332748413086,39964420,-.3132534027099609,360320,-.8007535934448242,686492,.4703845977783203,23339288,.0482063293457031,3213148,.7369022369384766,1054602,-.5669136047363281,2491213,.1287374496459961,6539338,-.296687126159668,10654761,.1603221893310547,19026670,.0941505432128906,11166799,880249,.1125326156616211,1608748,2783817,-.1727437973022461,3392040,-.1296720504760742,21913844,-.0300846099853516,15188431,.1287631988525391,23852740,.1232681274414063,136850,-3.153289794921875,8483826,-.2793006896972656,508164,.1261606216430664,24651766,96522880,150571312,337780896,.1386585235595703,2796996,.9906654357910156,4606929,612865,.7575654983520508,65523424,.0772705078125,9817402,.5316390991210938,18458004,1000892,.1802453994750977,17001990,-.0835723876953125,976409,-.1392812728881836,1154182,-.2987146377563477,10694353,-.0581569671630859,525572,.3060445785522461,matched (3),46562288,.90184456,2774189.5,5759378
