period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1829c826,growth1829c826,Y1855c792,growth1855c792,Y22c124,growth22c124,Y251c191,Y253c428,growth253c428,Y264c757,growth264c757,Y2728c757,growth2728c757,Y2735c251,growth2735c251,Y2738c752,growth2738c752,Y2738c792,growth2738c792,Y2739c752,growth2739c752,Y2741c251,growth2741c251,Y2763c705,growth2763c705,Y2778c251,growth2778c251,Y2780c620,growth2780c620,Y2780c757,growth2780c757,Y2846c251,growth2846c251,Y2846c757,growth2846c757,Y2857c792,growth2857c792,Y2865c620,growth2865c620,Y2955c251,growth2955c251,Y2955c826,growth2955c826,Y2973c203,Y2973c757,growth2973c757,Y2975c246,growth2975c246,Y2975c752,growth2975c752,Y2975c757,growth2975c757,Y2975c807,growth2975c807,Y328c757,growth328c757,Y336c442,Y3800c752,growth3800c752,Y3848c376,Y3977c251,growth3977c251,Y3982c703,growth3982c703,Y3992c440,growth3992c440,Y4620c703,growth4620c703,Y4632c792,growth4632c792,Y4644c208,growth4644c208,Y4691c124,growth4691c124,Y4691c826,growth4691c826,Y4743c705,growth4743c705,Y4924c792,growth4924c792,Y4942c251,growth4942c251,Y4966c251,growth4966c251,Y4992c246,growth4992c246,Y660c208,growth660c208,Y660c300,growth660c300,Y660c705,growth660c705,Y660c752,growth660c752,Y917c586,growth917c586,_merge,x,r2,s,sf
201603,841590,674,3858,73634992,03,0,1,0,0,0,0,0,0,0,0,0,4957525,.0862827301025391,110612,.8258676528930664,2719340,.6483573913574219,75218,274592,.3375139236450195,8167881,.1985301971435547,4737176,.2774877548217773,28968068,.0022697448730469,5176879,.0131759643554688,3403813,.0540590286254883,1074338,.2442970275878906,8935472,-.0344753265380859,4774531,-.0614347457885742,5870925,-.0813446044921875,3163826,.3523283004760742,10128895,.2240381240844727,26154052,.1328334808349609,6094707,.1167802810668945,3786745,.8068037033081055,344961,.6555423736572266,5804231,-.2257909774780273,11854427,.0467453002929688,748639,1132400,.7958192825317383,4655337,-.1436738967895508,12395347,.3500299453735352,16103995,.2517318725585938,697559,.1273221969604492,1475066,.8728713989257813,0,7652913,.6437482833862305,3312000,17169304,.1114768981933594,2537721,.4080486297607422,3716532,.5403985977172852,669960,-.2069406509399414,848107,.1236772537231445,2097807,-.1667137145996094,17706820,.1411838531494141,39982992,.3551464080810547,33721,.09112548828125,2970221,.1879491806030273,3770677,.1740903854370117,12096373,.3356246948242188,782703,-.1607513427734375,6173680,.262542724609375,1866354,.3864269256591797,1030573,1.008608818054199,6501844,.2054119110107422,626572,.3517971038818359,matched (3),75148824,.90805501,2241357,6629282.5
201604,841590,675,3858,71382424,04,0,0,1,0,0,0,0,0,0,0,0,4475218,-.102351188659668,8973,-2.511808395385742,5179621,.6443424224853516,62225,302350,.0962991714477539,7557297,-.0776958465576172,4561303,-.0378332138061523,26368698,-.0940170288085938,4687838,-.0992307662963867,3359323,-.0131568908691406,882589,-.1966009140014648,6732582,-.2830696105957031,4740757,-.0070991516113281,4550462,-.2547836303710938,2606867,-.1936330795288086,10308614,.0175876617431641,18269160,-.3587913513183594,4697769,-.2603330612182617,3284776,-.1422080993652344,335589,-.0275440216064453,7036875,.1925773620605469,13620179,.1388511657714844,603144,868729,-.2650632858276367,2407095,-.6595935821533203,8905118,-.3306961059570313,11216247,-.3617038726806641,613876,-.1277942657470703,3235896,.7856035232543945,1149236,8265139,.0769596099853516,2940000,12158594,-.3450870513916016,3204590,.2333183288574219,3552551,-.0451250076293945,1264590,.6352853775024414,587468,-.3671855926513672,1970923,-.0623903274536133,17761676,.0030937194824219,37425536,-.06610107421875,40095,.173130989074707,2699074,-.0957279205322266,2844262,-.2819509506225586,12028374,-.0056381225585938,658631,-.1725902557373047,8040970,.2642545700073242,3744996,.6964340209960938,2007343,.6666965484619141,6508340,.0009984970092773,693923,.1020975112915039,matched (3),71453448,.90805501,2171534.3,6606002.5
201605,841590,676,3858,71831200,05,0,0,0,1,0,0,0,0,0,0,0,3941465,-.1270027160644531,112196,2.526026725769043,6148757,.1715183258056641,65883,406680,.2964410781860352,7664996,.0141506195068359,5038199,.0994405746459961,28130120,.0646629333496094,4205384,-.1086063385009766,1717618,-.6708011627197266,948198,.0717039108276367,7414221,.0964412689208984,5199689,.092402458190918,4832371,.0601091384887695,2812918,.0760736465454102,11434754,.1036777496337891,15815877,-.1441993713378906,4102454,-.135502815246582,2835649,-.1470279693603516,320561,-.0458145141601563,10043145,.3557252883911133,13214967,-.0302028656005859,715400,805423,-.0756635665893555,2666360,.1022930145263672,7551878,-.1648292541503906,10260312,-.089080810546875,393978,-.4434976577758789,7000215,.7716350555419922,1641742,8475863,.0251760482788086,4359000,6886236,-.568511962890625,2648011,-.1907758712768555,3387763,-.0474958419799805,982419,-.2524852752685547,651086,.1028203964233398,2013926,.0215835571289063,19020728,.0684852600097656,47783900,.2443351745605469,41749,.0404243469238281,2451000,-.0964126586914063,4066397,.3574533462524414,15551146,.256866455078125,1180685,.5836868286132813,10298362,.2474346160888672,6167608,.4988908767700195,2038695,.015498161315918,8371346,.2517299652099609,735438,.05810546875,matched (3),77150928,.90805501,2661652,6782927
201606,841590,677,3858,61203076,06,0,0,0,0,1,0,0,0,0,0,0,3312928,-.1737203598022461,125151,.1092739105224609,2639680,-.8455924987792969,57336,553479,.308197021484375,7267637,-.0532331466674805,5601003,.1058969497680664,40821680,.3723716735839844,4152393,-.0126800537109375,1551223,-.1018953323364258,806999,-.1612405776977539,7728338,.0414934158325195,4727330,-.0952386856079102,5358807,.1034040451049805,3167310,.1186599731445313,11001716,-.0386066436767578,14529814,-.0848121643066406,4097704,-.0011577606201172,2073904,-.3128376007080078,168362,-.643956184387207,15761585,.4506855010986328,12204871,-.0795135498046875,372361,697886,-.1433115005493164,2906429,.0862112045288086,7465069,-.011561393737793,12438776,.192535400390625,601643,.4233694076538086,9107190,.26312255859375,992270,5739086,-.3899221420288086,3475000,8373779,.1955804824829102,2154353,-.2063179016113281,2858021,-.1700410842895508,965073,-.0178146362304688,734634,.1207304000854492,1775250,-.1261444091796875,20955460,.0968704223632813,47482240,-.0063323974609375,54899,.2738189697265625,1999791,-.2034530639648438,4487262,.0984859466552734,13376762,-.1506156921386719,977789,-.1885566711425781,11573349,.1167201995849609,5659244,-.0860214233398438,1909705,-.0653610229492188,9858881,.1635589599609375,652994,-.1188983917236328,matched (3),68319528,.90805501,1476928.4,6411320
201607,841590,678,3858,60263912,07,0,0,0,0,0,1,0,0,0,0,0,2358467,-.3398208618164063,104367,-.1816072463989258,2113218,-.2224454879760742,59607,281994,-.6743383407592773,6655403,-.0880022048950195,4641298,-.1879510879516602,35684064,-.1345081329345703,2981115,-.3313875198364258,1417935,-.0898418426513672,612391,-.2759513854980469,7131158,-.0804195404052734,4190192,-.1206140518188477,3820942,-.3382444381713867,1847774,-.5389013290405273,9381284,-.1593341827392578,12312452,-.1655902862548828,3478709,-.1637659072875977,1097793,-.6361312866210938,108892,-.4357595443725586,14580526,-.0778884887695313,8757136,-.3319673538208008,240097,440273,-.4606609344482422,2543715,-.1332998275756836,7485381,.0027170181274414,10339325,-.1848640441894531,560031,-.0716724395751953,9440731,.0359687805175781,821819,4564080,-.2290830612182617,1542000,7685804,-.0857305526733398,1390603,-.4377527236938477,4061345,.3513851165771484,648059,-.3982219696044922,617489,-.173710823059082,1486306,-.177647590637207,16796848,-.2212085723876953,31983740,-.3951282501220703,36439,-.4098548889160156,1184085,-.5240726470947266,3491615,-.2508783340454102,12401817,-.0756759643554688,671460,-.3758392333984375,7544101,-.4279394149780273,6094645,.0741205215454102,2963027,.4392623901367188,7600453,-.2601652145385742,426135,-.4268121719360352,matched (3),54969668,.90805501,1722589.4,6472327.5
201608,841590,679,3858,63358664,08,0,0,0,0,0,0,1,0,0,0,0,2096309,-.117833137512207,54805,-.6441316604614258,1802515,-.1590290069580078,77867,145353,-.6627197265625,6757624,.0152425765991211,4519533,-.026585578918457,42059824,.1643886566162109,2433036,-.2031574249267578,1686909,.1736965179443359,417082,-.3840885162353516,6336338,-.1181726455688477,4799532,.135772705078125,2731310,-.3357162475585938,989255,-.6247844696044922,5831552,-.4754343032836914,11755199,-.0463161468505859,4527064,.2634124755859375,971180,-.1225452423095703,191776,.5659713745117188,4628134,-1.147533416748047,6881632,-.2410125732421875,82275,370066,-.1737136840820313,3001761,.1655740737915039,7616614,.0173797607421875,11568767,.1123542785644531,650842,.1502752304077148,6941174,-.3075618743896484,537744,2682505,-.5314664840698242,910000,5471534,-.3398151397705078,1663937,.1794490814208984,2934721,-.3249015808105469,562207,-.1421117782592773,243546,-.9303560256958008,1517277,.0206232070922852,15899169,-.0549240112304688,23900340,-.2913360595703125,57596,.4578132629394531,1411295,.175537109375,2834909,-.2083549499511719,8481340,-.379974365234375,527626,-.2410669326782227,5345201,-.3445663452148438,6386436,.0467662811279297,1651763,-.5843677520751953,5561444,-.3123502731323242,647855,.4189109802246094,matched (3),56731880,.90805501,1525424.8,6422665
201609,841590,680,3858,42297464,09,0,0,0,0,0,0,0,1,0,0,0,1919696,-.0880117416381836,66465,.1928939819335938,1658728,-.0831317901611328,39239,144970,-.0026388168334961,6324315,-.0662698745727539,4100752,-.0972385406494141,28244168,-.3982067108154297,2059532,-.166661262512207,963914,-.5596513748168945,554882,.2854728698730469,5246383,-.1887626647949219,3961132,-.1919889450073242,1834727,-.3978853225708008,412606,-.8744592666625977,3231776,-.5902509689331055,7604047,-.4356145858764648,3942620,-.1382284164428711,816634,-.1733207702636719,85600,-.8066425323486328,1696304,-1.003701210021973,3454996,-.6890344619750977,53720,217604,-.5310049057006836,1506623,-.6893291473388672,5488804,-.3276214599609375,9992345,-.1464881896972656,330013,-.6791353225708008,2856080,-.8880205154418945,361232,2797499,.0419750213623047,183000,4484818,-.1988611221313477,883110,-.6334924697875977,1458721,-.6990528106689453,469764,-.1796388626098633,206988,-.1626443862915039,1579009,.0398807525634766,11548002,-.3197536468505859,20944984,-.1319923400878906,43011,-.291996955871582,1111239,-.2390317916870117,1516533,-.6255826950073242,5470707,-.4384603500366211,423311,-.220280647277832,3557032,-.4072723388671875,1942774,-1.190059661865234,721826,-.827815055847168,3498895,-.4634103775024414,485701,-.2880735397338867,matched (3),52289064,.90805501,1540162,6426181.5
201610,841590,681,3858,41600056,10,0,0,0,0,0,0,0,0,1,0,0,1421780,-.3002567291259766,4146,-2.774532318115234,1147331,-.3686132431030273,28216,159206,.0936717987060547,4543578,-.3306865692138672,4001366,-.0245342254638672,21293818,-.2824687957763672,2393652,.1503410339355469,1009121,.0458335876464844,515140,-.0743169784545898,4399366,-.1760778427124023,2967044,-.2889633178710938,2230366,.1952695846557617,1039603,.9241008758544922,1891719,-.5355463027954102,7263795,-.0457782745361328,2520747,-.4472904205322266,578947,-.3439798355102539,85317,-.0033121109008789,1359358,-.2214393615722656,2944497,-.1598834991455078,49426,52296,-1.425756454467773,858103,-.562901496887207,3143080,-.5575075149536133,7318694,-.3113880157470703,336289,.0188388824462891,708995,-1.393357276916504,219484,1371094,-.7131166458129883,90000,3420347,-.2709560394287109,589848,-.4035844802856445,863960,-.5237884521484375,506399,.0750942230224609,185265,-.1108741760253906,1765877,.1118497848510742,10515480,-.0936641693115234,15330335,-.3120670318603516,19073,-.8131828308105469,640151,-.5515270233154297,1429875,-.0588397979736328,5401063,-.0128116607666016,356924,-.1705837249755859,3070746,-.1470060348510742,380634,-1.630034446716309,283637,-.9340887069702148,3120935,-.1143150329589844,411174,-.1665763854980469,matched (3),43042516,.90805501,1437525.1,6402358
201611,841590,682,3858,47821920,11,0,0,0,0,0,0,0,0,0,1,0,1485255,.0436763763427734,5386,.2616596221923828,891838,-.2519092559814453,27248,71617,-.7988662719726563,4410906,-.0296344757080078,4366467,.0873184204101563,24029108,.1208477020263672,2135247,-.1142377853393555,575848,-.5609912872314453,333735,-.4340915679931641,4203338,-.0455818176269531,4623515,.4435882568359375,1708866,-.2663354873657227,816385,-.2417078018188477,2005027,.0581722259521484,8767310,.1881275177001953,1889663,-.2881565093994141,537516,-.0742530822753906,18923,-1.505995750427246,1615589,.1726865768432617,2174789,-.3030061721801758,80235,118830,.8207740783691406,1475986,.5423574447631836,2791209,-.1187276840209961,6667383,-.0932044982910156,128479,-.9622049331665039,488139,-.3732481002807617,153453,1764138,.2520532608032227,443000,3719457,.0838356018066406,770731,.2674741744995117,698479,-.2126216888427734,216992,-.8474645614624023,559333,1.104957580566406,1507045,-.1584968566894531,11561328,.0948162078857422,15874834,.0349025726318359,54285,1.045974731445313,380410,-.5204544067382813,1099373,-.2628469467163086,5850170,.0798749923706055,391570,.0926408767700195,2763775,-.1053228378295898,459556,.1884231567382813,158375,-.5827293395996094,3580555,.137385368347168,525971,.2462291717529297,matched (3),47267768,.90805501,1396795.1,6393336
201612,841590,683,3858,57812640,12,0,0,0,0,0,0,0,0,0,0,1,1101997,-.2984619140625,6006,.1089553833007813,901927,.0112495422363281,56492,116806,.4891824722290039,4823626,.0894451141357422,3887819,-.1161060333251953,33482662,.3317623138427734,2915429,.3114347457885742,1090436,.63848876953125,546019,.4923067092895508,6688591,.4645242691040039,3463999,-.288731575012207,1927966,.120635986328125,967269,.169590950012207,2813929,.338923454284668,11924000,.3075227737426758,2292357,.1931819915771484,723555,.2972183227539063,23479,.215728759765625,1355019,-.1758842468261719,3056754,.3404216766357422,119136,123416,.0378665924072266,1567006,.059840202331543,3667521,.273040771484375,7587964,.1293354034423828,137629,.0687961578369141,691982,.3489599227905273,169263,2774174,.4526910781860352,621000,4622514,.2173604965209961,1273631,.5022878646850586,992078,.3508968353271484,246967,.12939453125,581977,.0396862030029297,1576330,.0449485778808594,12863465,.1067256927490234,20074652,.2347221374511719,25064,-.7728157043457031,537380,.3454561233520508,1447640,.2751941680908203,3788417,-.4345226287841797,453494,.1468181610107422,3011444,.0858221054077148,148445,-1.130046844482422,192597,.1956338882446289,2929978,-.2005224227905273,562518,.0671768188476563,matched (3),51154280,.90805501,2123136.5,6590251.5
