period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1034c191,Y1038c218,Y1074c757,growth1074c757,Y1317c124,growth1317c124,Y1398c757,growth1398c757,Y1521c246,growth1521c246,Y1730c826,growth1730c826,Y1759c124,growth1759c124,Y1791c124,growth1791c124,Y1845c36,Y1965c484,growth1965c484,Y1969c124,growth1969c124,Y2038c372,growth2038c372,Y2073c620,growth2073c620,Y2091c484,growth2091c484,Y2161c300,growth2161c300,Y2858c208,growth2858c208,Y2932c752,growth2932c752,Y2936c124,growth2936c124,Y2938c344,Y3059c68,growth3059c68,Y3108c372,growth3108c372,Y3157c152,growth3157c152,Y3256c616,growth3256c616,Y3306c246,growth3306c246,Y3394c620,growth3394c620,Y342c352,growth342c352,Y3550c344,Y3709c124,growth3709c124,Y3755c826,growth3755c826,Y3952c68,growth3952c68,Y4063c586,growth4063c586,Y4219c191,growth4219c191,Y4262c826,growth4262c826,Y4263c600,growth4263c600,Y4348c222,growth4348c222,Y4475c208,growth4475c208,Y4480c152,growth4480c152,Y4522c792,growth4522c792,Y4666c124,growth4666c124,Y482c826,growth482c826,Y4997c348,growth4997c348,Y5005c616,growth5005c616,Y539c752,growth539c752,Y559c616,growth559c616,Y583c208,growth583c208,Y588c208,growth588c208,Y666c348,growth666c348,Y760c428,growth760c428,Y895c484,growth895c484,_merge,x,r2,s,sf
201011,292800,610,1268,915686,11,0,0,0,0,0,0,0,0,0,1,0,0,441883,742175,-.8796224594116211,817649,.4165019989013672,390296,.4739627838134766,473957,-.2323846817016602,41880820,.084991455078125,28134460,-.0304126739501953,4674485,-.1822805404663086,487736,3707715,.2820901870727539,2569354,-.253209114074707,34598,.7565650939941406,370680,.0626449584960938,14860102,.1187801361083984,129245,-.1453323364257813,9437805,-.2417449951171875,2765482,-.2163705825805664,427984,.2724428176879883,70006,37677,-.4944162368774414,1928657,.1142673492431641,146937,.5673751831054688,32523352,-.0623703002929688,382424,.6540393829345703,435748,.350428581237793,27154,-.7435245513916016,766088,9632206,.1543998718261719,11252273,-.1016597747802734,2240319,.2761898040771484,36097,.0522317886352539,179024,.6430978775024414,3983178,.1516733169555664,26895,-.3976888656616211,42019,-.0756931304931641,5155572,.2524423599243164,1544336,-.2162342071533203,149131,.7231712341308594,537949,-.2359819412231445,1308616,.2123727798461914,156020,.4849071502685547,3245652,.0622377395629883,1741366,.4790430068969727,231374,.0493173599243164,1359503,.0927801132202148,32209,-.379368782043457,3216570,.1011209487915039,88507,.1892032623291016,5931131,.0695323944091797,matched (3),2822596.3,.77977359,380367.5,655187.38
201012,292800,611,1268,98786,12,0,0,0,0,0,0,0,0,0,0,1,6155,502519,1801651,.8868732452392578,697717,-.1586189270019531,154264,-.9282398223876953,539738,.1299676895141602,31124596,-.2968292236328125,26176588,-.0721302032470703,4403044,-.0598230361938477,264107,3396689,-.0876140594482422,2424402,-.0580692291259766,20169,-.5396490097045898,296216,-.2242498397827148,13966545,-.0620155334472656,80487,-.4736146926879883,7306975,-.2558937072753906,2495507,-.1027231216430664,311795,-.3167390823364258,102345,4676,-2.086606979370117,758705,-.9329662322998047,173262,.1648006439208984,21642756,-.40728759765625,281303,-.3070974349975586,232467,-.6283159255981445,38037,.3370342254638672,615305,7868278,-.2022733688354492,8835457,-.2417964935302734,1140119,-.6754856109619141,20836,-.5495271682739258,122751,-.3773612976074219,2856187,-.3325929641723633,23789,-.1227169036865234,19913,-.7467489242553711,4231110,-.1976137161254883,1173239,-.2748260498046875,112915,-.2781896591186523,409345,-.2732057571411133,739179,-.5711851119995117,87692,-.5761537551879883,2789778,-.1513538360595703,1302630,-.2902841567993164,152978,-.4137411117553711,1071188,-.2383508682250977,43978,.3114433288574219,2506294,-.2495098114013672,57019,-.439697265625,5224959,-.1267671585083008,matched (3),1549845,.77977359,313411.13,618722.56
201101,292800,612,1268,163013,01,0,0,0,0,0,0,0,0,0,0,0,7534,422523,1090161,-.5023775100708008,879337,.231353759765625,402209,.9583063125610352,626985,.1498384475708008,37200764,.1783294677734375,27205250,.0385456085205078,4800895,.0865058898925781,205895,2704458,-.2278995513916016,3106698,.2479753494262695,21423,.0603179931640625,383198,.2574625015258789,14698363,.0510711669921875,70340,-.1347551345825195,11429079,.4473304748535156,2873415,.1410093307495117,181688,-.5400552749633789,69334,69541,2.699473381042481,791006,.041691780090332,179549,.0356435775756836,27827628,.2513599395751953,327467,.1519546508789063,135919,-.5366888046264648,48712,.2473669052124023,669627,8191643,.0402746200561523,13157955,.3982524871826172,1691974,.3947639465332031,503827,3.185550689697266,50952,-.8792743682861328,4585178,.4733419418334961,41920,.5665397644042969,21084,.0571413040161133,4755960,.1169347763061523,1103073,-.0616683959960938,45177,-.9160470962524414,726820,.5741205215454102,1156325,.4474620819091797,105624,.1860551834106445,3242375,.1503438949584961,1831910,.3409738540649414,203254,.2841625213623047,1117350,.0421915054321289,240881,1.700613975524902,2775861,.1021556854248047,80224,.3414382934570313,6098707,.1546297073364258,matched (3),2149530.3,.77977359,386020.41,658485.19
201102,292800,613,1268,319624,02,1,0,0,0,0,0,0,0,0,0,0,24879,174585,1550202,.3520593643188477,928282,.0541677474975586,161231,-.9141340255737305,574773,-.0869474411010742,41685672,.1138286590576172,25005332,-.0843219757080078,5289595,.0969400405883789,502497,2869672,.059295654296875,3311135,.0637302398681641,32037,.4024267196655273,402918,.0501813888549805,15727227,.067657470703125,165985,.8585567474365234,13151112,.1403465270996094,3180913,.1016674041748047,287063,.4574108123779297,51076,1551,-3.803016185760498,985587,.2199325561523438,141913,-.235234260559082,31061164,.1099281311035156,445312,.3073883056640625,7041305,3.947489738464356,48511,-.0041351318359375,360355,10038066,.2032699584960938,11021436,-.1771831512451172,732706,-.8369073867797852,23301,-3.073737144470215,51924,.0188970565795898,3389167,-.3022451400756836,24743,-.5272207260131836,44915,.7562580108642578,4441385,-.0684328079223633,1276774,.1462364196777344,84298,.6237697601318359,591445,-.2061100006103516,662690,-.5566949844360352,125612,.1733121871948242,2439828,-.2843780517578125,2085308,.1295576095581055,88489,-.831578254699707,1127844,.0093479156494141,55592,-1.466263771057129,2182693,-.2404012680053711,100694,.2272634506225586,6392724,.047083854675293,matched (3),-8269630,.77977359,3693347,3731675.5
201103,292800,614,1268,875612,03,0,1,0,0,0,0,0,0,0,0,0,16854,920591,1889583,.1979713439941406,431729,-.7655372619628906,222712,.3230419158935547,681135,.1697854995727539,49072768,.16314697265625,28114164,.1171855926513672,7113614,.2962684631347656,632033,3585504,.2227010726928711,3473155,.0477724075317383,14975,-.7605094909667969,373944,-.0746269226074219,18057104,.1381454467773438,191044,.1406068801879883,13471798,.0240917205810547,3652451,.1382303237915039,279189,-.0278129577636719,223283,2589,.5123715400695801,1370963,.3300313949584961,150309,.0574789047241211,38200440,.2068881988525391,595321,.2903251647949219,10982878,.4445428848266602,68878,.3505458831787109,519812,7925219,-.2363348007202148,11201956,.0162467956542969,999194,.3102045059204102,170362,1.989429473876953,159781,1.1240234375,3893949,.1388397216796875,32311,.2668657302856445,30498,-.387110710144043,5093746,.1370477676391602,1497987,.1597862243652344,97844,.1490163803100586,1293973,.7829036712646484,1368302,.7250185012817383,162080,.2548923492431641,2879473,.1656789779663086,1807845,-.1427812576293945,237492,.9872560501098633,1153224,.0222530364990234,73887,.2844972610473633,3643436,.5123672485351563,81857,-.2071123123168945,6746435,.0538530349731445,matched (3),-13720910,.77977359,5820427,5844823.5
201104,292800,615,1268,658528,04,0,0,1,0,0,0,0,0,0,0,0,15931,474709,1364838,-.3253211975097656,920358,.7569646835327148,130050,-.5379610061645508,406586,-.5159645080566406,48958184,-.0023384094238281,29564862,.0503120422363281,7658391,.07379150390625,510373,3368523,-.0624246597290039,3253303,-.0653924942016602,39184,.9618864059448242,676765,.5932178497314453,14431683,-.2241134643554688,155555,-.2055044174194336,10725655,-.2279605865478516,3385609,-.0758647918701172,251870,-.1029758453369141,90113,33842,2.570430755615234,1071788,-.246185302734375,99267,-.4148797988891602,32170998,-.1717815399169922,435773,-.3119792938232422,6994302,-.4512405395507813,31942,-.7684144973754883,430641,7309164,-.0809202194213867,11101993,-.0089645385742188,784466,-.2419452667236328,25643,-1.893654823303223,12881,-2.518051147460938,3873806,-.0051860809326172,23146,-.3335857391357422,23616,-.2557373046875,4536853,-.1157798767089844,1430524,-.04608154296875,38594,-.9302778244018555,1279946,-.010899543762207,755854,-.5934772491455078,135827,-.1767082214355469,2749565,-.0461645126342773,1772741,-.0196084976196289,239725,.0093584060668945,1106301,-.041539192199707,58172,-.2391328811645508,3124873,-.1535329818725586,55653,-.3858375549316406,6041112,-.1104259490966797,matched (3),-9441899,.77977359,3692395.3,3730733.5
201105,292800,616,1268,950397,05,0,0,0,1,0,0,0,0,0,0,0,9877,930786,1614545,.1680173873901367,938329,.0193376541137695,238994,.6085195541381836,993593,.8935317993164063,61387796,.2262458801269531,30898964,.0441360473632813,7835431,.0228538513183594,645569,3525927,.0456695556640625,3316898,.0193595886230469,28258,-.3268918991088867,770199,.1293249130249023,16031337,.1051197052001953,157437,.0120258331298828,10928571,.0187435150146484,4673778,.3224334716796875,244574,-.0293951034545898,81072,86121,.9340505599975586,1473888,.3185749053955078,134358,.3026943206787109,43564360,.3031749725341797,459241,.0524539947509766,3067900,-.8241033554077148,94967,1.089607238769531,541324,5057565,-.3682441711425781,13535923,.1982231140136719,1960498,.9159507751464844,55495,.7720222473144531,208356,2.78349494934082,3711628,-.0427675247192383,32798,.3485450744628906,36548,.4367027282714844,5073031,.1117048263549805,1738355,.1948986053466797,60853,.4553642272949219,1528095,.1772041320800781,1299099,.5415782928466797,166247,.202092170715332,3748260,.309849739074707,2786036,.4520931243896484,544569,.8205022811889648,1216312,.0948009490966797,46946,-.2144060134887695,3837350,.205388069152832,65036,.1558046340942383,6424968,.0616035461425781,matched (3),-2197537.8,.77977359,1542732.3,1632364.5
201106,292800,617,1268,1843637,06,0,0,0,0,1,0,0,0,0,0,0,16013,144875,2325770,.3649988174438477,709788,-.2791337966918945,175340,-.3097114562988281,485739,-.7156562805175781,55973356,-.0923366546630859,33304802,.0749797821044922,8404637,.0701274871826172,460374,3382024,-.0416688919067383,3676844,.1030244827270508,43230,.4251575469970703,614452,-.2259178161621094,14607963,-.0929775238037109,172944,.0939426422119141,7812871,-.3356084823608398,5155839,.0981626510620117,525682,.7651786804199219,141125,6495,-2.584720611572266,1640743,.1072454452514648,185930,.3248624801635742,51228332,.1620521545410156,403713,-.128870964050293,262559,-2.458271980285645,49543,-.6506881713867188,490753,5883027,.1511859893798828,12421660,-.085906982421875,1157893,-.5265970230102539,138859,.9171657562255859,106769,-.6685810089111328,4121208,.1046762466430664,22840,-.3618545532226563,25197,-.3719015121459961,5009067,-.0126886367797852,2209022,.2396106719970703,74508,.2024450302124023,1117974,-.3125038146972656,1080566,-.1841859817504883,218611,.2738189697265625,3827812,.021000862121582,2613451,-.0639486312866211,204914,-.9774045944213867,972758,-.2234430313110352,64286,.3143444061279297,4010396,.0441083908081055,72237,.1050119400024414,6340875,-.0131750106811523,matched (3),1559746.6,.77977359,307343.09,615671
201107,292800,618,1268,2004509,07,0,0,0,0,0,1,0,0,0,0,0,19023,457858,1753228,-.2825927734375,1064112,.4049291610717773,364530,.7318820953369141,716338,.3884811401367188,49554416,-.1218032836914063,34186916,.0261402130126953,6086944,-.3226375579833984,517857,3628754,.0704145431518555,3694737,.0048551559448242,20861,-.7286529541015625,811478,.2781257629394531,15528468,.0611076354980469,169756,-.0186061859130859,14192181,.596919059753418,4274393,-.1874885559082031,834487,.4621200561523438,57648,12345,.6422185897827148,1350829,-.1944303512573242,205918,.1021080017089844,45858564,-.1107292175292969,309015,-.2673149108886719,289110,.0963306427001953,61694,.2193450927734375,576990,7132374,.1925725936889648,14674700,.1666831970214844,1477804,.2439556121826172,196542,.347416877746582,253078,.8630304336547852,3595005,-.136601448059082,30119,.2766427993774414,36874,.3807811737060547,4955670,-.0107173919677734,1628358,-.3049783706665039,109340,.3835563659667969,569913,-.6737899780273438,1532328,.3493032455444336,123783,-.5687637329101563,4695230,.204254150390625,2546566,-.0259256362915039,277005,.3014450073242188,1199574,.2095861434936523,133796,.7329740524291992,4135447,.0307044982910156,96498,.2895698547363281,7187813,.1253700256347656,matched (3),986433.94,.77977359,266234.06,596214.38
201108,292800,619,1268,1329625,08,0,0,0,0,0,0,1,0,0,0,0,8168,1345362,965832,-.5962238311767578,854362,-.2195405960083008,884383,.8862810134887695,1100954,.4297800064086914,43719536,-.1252765655517578,35613816,.0408916473388672,6990940,.1384687423706055,782630,4221205,.1512317657470703,3262878,-.1243000030517578,53489,.941594123840332,785916,-.0320072174072266,17825784,.1379718780517578,47102,-1.282046318054199,12651028,-.1149539947509766,4747547,.1049861907958984,519637,-.4736862182617188,78919,59393,1.570925712585449,1772635,.2717485427856445,247862,.185394287109375,35242960,-.2632961273193359,247661,-.2213287353515625,210552,-.3170738220214844,41104,-.4060811996459961,2372051,7933072,.1063966751098633,13332997,-.0958824157714844,1228811,-.1845102310180664,92571,-.7529001235961914,184421,-.3164768218994141,4349730,.1905689239501953,69108,.8305149078369141,49697,.2984380722045898,5354514,.0774068832397461,2009476,.2103023529052734,95326,-.1371593475341797,487141,-.1569299697875977,1001337,-.4254522323608398,105077,-.1638364791870117,3640328,-.2544736862182617,2341566,-.0839262008666992,153937,-.5874919891357422,1350938,.1188335418701172,97217,-.3193702697753906,3949159,-.0460920333862305,97306,.0083379745483398,6725121,-.0665369033813477,matched (3),1119968,.77977359,341416.97,633369.25
