period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1159c484,growth1159c484,Y1167c792,growth1167c792,Y1247c752,growth1247c752,Y1390c222,growth1390c222,Y1429c440,Y1436c440,growth1436c440,Y1540c222,growth1540c222,Y1594c440,growth1594c440,Y1619c586,growth1619c586,Y1653c152,growth1653c152,Y1663c600,growth1663c600,Y1702c586,growth1702c586,Y1821c752,growth1821c752,Y1887c152,Y2056c586,growth2056c586,Y2439c792,growth2439c792,Y2736c32,Y2881c124,growth2881c124,Y2909c826,growth2909c826,Y2939c268,growth2939c268,Y2984c32,Y3066c620,growth3066c620,Y3228c124,growth3228c124,Y3318c208,growth3318c208,Y3414c586,growth3414c586,Y3462c152,growth3462c152,Y3497c826,growth3497c826,Y3772c348,growth3772c348,Y379c428,growth379c428,Y3924c752,growth3924c752,Y3962c344,Y4002c554,Y4141c616,growth4141c616,Y4177c600,growth4177c600,Y4215c268,growth4215c268,Y4270c372,growth4270c372,Y4489c222,growth4489c222,Y4608c222,growth4608c222,Y4634c300,growth4634c300,Y4749c757,growth4749c757,Y4881c752,growth4881c752,Y488c428,growth488c428,Y5019c554,Y610c757,growth610c757,Y655c484,growth655c484,Y810c203,Y853c826,growth853c826,Y88c300,growth88c300,Y970c616,growth970c616,Y984c124,_merge,x,r2,s,sf
201411,841221,658,3826,7674003,11,0,0,0,0,0,0,0,0,0,1,0,15474278,-.1390419006347656,1144642,.1201438903808594,1137662,-.2001409530639648,46080,-.0154190063476563,15736,223925,.0026645660400391,394311,.3575515747070313,59777,1.054562568664551,251492,-.1415939331054688,1095469,.180267333984375,776040,.1452741622924805,671788,.4404640197753906,60211,-.2711372375488281,44109,133435,-.6788206100463867,23681966,.1505012512207031,48903,1897027,-.3710765838623047,3789516,.2297039031982422,394,-1.883448600769043,3309867,146529,.0205259323120117,1366901,-.615478515625,170808,-1.028194427490234,187182,.3986282348632813,4933727,-.0456933975219727,328398,.1976509094238281,111867,-.2592296600341797,111909,.8608589172363281,818517,-.136448860168457,521918,107420,1813612,-.7994499206542969,781100,.55645751953125,662934,.0802545547485352,338597,-.4819536209106445,63042,-.5110063552856445,675449,-.2455234527587891,43449,-.1923255920410156,3673195,-1.311312675476074,5940,-.0882453918457031,130184,-.0658702850341797,293530,757002,-.0975399017333984,3346670,.0018892288208008,30218,821242,.0576572418212891,50302,-.5097675323486328,319991,-.7932929992675781,26925,matched (3),9410820,.92950249,492717,1262129
201412,841221,659,3826,11262680,12,0,0,0,0,0,0,0,0,0,0,1,19524680,.2325000762939453,1074390,-.0633392333984375,1545787,.3065576553344727,63602,.322265625,11464,170590,-.2720479965209961,166679,-.8610706329345703,29950,-.6910915374755859,280398,.1087989807128906,1031600,-.0600719451904297,585736,-.2813348770141602,709819,.0550670623779297,60048,-.002711296081543,151455,216307,.4830846786499023,26187740,.1005764007568359,233409,2213226,.1541633605957031,2886443,-.2722129821777344,46453,4.769845962524414,1948884,77616,-.6354494094848633,1292138,-.0562477111816406,196266,.1389312744140625,486724,.9556159973144531,6090968,.2107124328613281,1509853,1.525541305541992,134613,.185093879699707,80003,-.3356218338012695,759651,-.0746355056762695,645928,51995,2427403,.2915010452270508,297804,-.9642677307128906,379291,-.5583715438842773,379304,.1135272979736328,107720,.5357341766357422,642567,-.0499067306518555,74400,.537867546081543,5157906,.3394689559936523,8260,.3297157287597656,201639,.437530517578125,187522,559135,-.3029747009277344,3939641,.1631231307983398,67387,446720,-.6088857650756836,38993,-.2546625137329102,347274,.0818214416503906,36198,matched (3),11927841,.92950249,586610.25,1301657
201501,841221,660,3826,14094664,01,0,0,0,0,0,0,0,0,0,0,0,14176874,-.3200664520263672,1415963,.276057243347168,1445068,-.0673761367797852,114557,.5884275436401367,7391,317972,.6227006912231445,259368,.4421787261962891,35131,.1595544815063477,343289,.2023630142211914,1468319,.3530073165893555,1023666,.5582761764526367,591430,-.1824665069580078,78342,.2659397125244141,268957,321374,.3959064483642578,22542638,-.1498813629150391,391855,3885797,.5628767013549805,3111241,.0749959945678711,172997,1.31483268737793,5842692,71490,-.0822162628173828,1852150,.3600492477416992,298610,.4196672439575195,60324,-2.087966918945313,4784419,-.2414417266845703,884441,-.5348119735717773,69998,-.6539373397827148,95011,.1719284057617188,542718,-.3362693786621094,1098718,410996,2094836,-.1473464965820313,458050,.4305429458618164,426702,.1177825927734375,517154,.310002326965332,181184,.5199775695800781,1049217,.4903287887573242,75765,.0181808471679688,3477677,-.3941659927368164,51076,1.821889877319336,95859,-.7436008453369141,250278,581311,.0388946533203125,3364234,-.1578884124755859,7338,1117596,.9170026779174805,40944,.048823356628418,499335,.3631629943847656,142954,matched (3),12584738,.92950249,503352.41,1266318.8
201502,841221,661,3826,8474105,02,1,0,0,0,0,0,0,0,0,0,0,13783980,-.0281047821044922,1682572,.1725139617919922,432564,-1.206181526184082,56736,-.7026634216308594,11600,217941,-.3777389526367188,215798,-.1839056015014648,19704,-.5782623291015625,144189,-.8674478530883789,1341241,-.0905227661132813,563519,-.5969438552856445,371502,-.4649887084960938,59916,-.2681398391723633,82306,300626,-.0667381286621094,19295970,-.1555137634277344,152808,3558583,-.0879650115966797,2601862,-.1787939071655273,132247,-.2686023712158203,5491068,67446,-.0582304000854492,535812,-1.24031925201416,274166,-.0854043960571289,75382,.2228384017944336,5000191,.0441112518310547,531419,-.5094051361083984,96405,.3200912475585938,58824,-.4794425964355469,347774,-.4450368881225586,773856,240671,781789,-.9856462478637695,348002,-.2747707366943359,1177567,1.015119552612305,490204,-.0535182952880859,175855,-.0298528671264648,591301,-.5734748840332031,38751,-.6704797744750977,5041909,.3714199066162109,22244,-.831242561340332,122306,.243647575378418,152079,272081,-.759185791015625,3025967,-.1059703826904297,9202,907485,-.2082576751708984,37983,-.0750665664672852,1027034,.7211532592773438,10735,matched (3),10493527,.92950249,678498.31,1345570.3
201503,841221,662,3826,14914140,03,0,1,0,0,0,0,0,0,0,0,0,17769320,.2539653778076172,1342716,-.2256298065185547,962430,.7997312545776367,62011,.088902473449707,17848,359614,.5008068084716797,259921,.18603515625,40385,.7176370620727539,254193,.5669689178466797,1691726,.2321538925170898,1316736,.8487100601196289,512216,.3211917877197266,76882,.2493276596069336,260437,313563,.0421333312988281,20500372,.060546875,262541,2741969,-.260685920715332,2667539,.0249290466308594,23198,-1.740605354309082,5336470,71977,.0650196075439453,904368,.5234527587890625,307355,.1142692565917969,124781,.5039920806884766,5651183,.1223888397216797,723321,.3083028793334961,190594,.6815872192382813,25988,-.8169155120849609,418866,.1859989166259766,372322,179359,1491247,.6457834243774414,397408,.1327552795410156,1095013,-.0726842880249023,543772,.1037082672119141,160739,-.0898780822753906,637079,.0745687484741211,76404,.6788787841796875,8597314,.5336647033691406,5508,-1.395871162414551,190139,.4412298202514648,243392,402799,.3923377990722656,3044210,.0060110092163086,12273,959766,.0560121536254883,52453,.3227787017822266,1166526,.127354621887207,69426,matched (3),12321487,.92950249,452407.41,1246945
201504,841221,663,3826,15427049,04,0,0,1,0,0,0,0,0,0,0,0,16225702,-.0908756256103516,1284907,-.0440082550048828,606732,-.4613742828369141,82539,.2859592437744141,29668,405417,.1198844909667969,306045,.1633548736572266,72346,.5830020904541016,302429,.1737527847290039,2541676,.407073974609375,391308,-1.21341609954834,618896,.1891908645629883,192421,.917414665222168,294726,235006,-.2883892059326172,25386648,.2137813568115234,707100,2392411,-.1363754272460938,2030736,-.2727584838867188,96224,1.422612190246582,8049176,46144,-.444580078125,1108915,.2039012908935547,328114,.0653581619262695,176112,.3445596694946289,4703376,-.1835842132568359,1244553,.5426788330078125,114316,-.5111789703369141,21829,-.1743955612182617,438234,.045201301574707,2444241,333776,5335731,1.274813652038574,593734,.4014682769775391,1341140,.202754020690918,311250,-.5579338073730469,400271,.9123592376708984,749053,.1619157791137695,8537,-2.191625595092773,7270358,-.1676435470581055,9477,.5426664352416992,107494,-.5703201293945313,248138,266114,-.4145126342773438,3626560,.1750431060791016,51895,775375,-.2133426666259766,63780,.1955223083496094,1490044,.2447757720947266,132776,matched (3),15639089,.92950249,707387.63,1360366.4
201505,841221,664,3826,12507922,05,0,0,0,1,0,0,0,0,0,0,0,17817054,.0935592651367188,1084850,-.1692438125610352,900837,.3952369689941406,120650,.3796234130859375,12244,363129,-.1101579666137695,164816,-.6189031600952148,1887,-3.646471977233887,258054,-.1586780548095703,1386084,-.6063404083251953,526533,.296818733215332,682461,.0977678298950195,98136,-.6733322143554688,38732,226612,-.036372184753418,22384864,-.1258392333984375,131461,2333016,-.0251398086547852,2528377,.2191791534423828,38145,-.9252843856811523,5117150,60493,.2707605361938477,1320030,.1742725372314453,268955,-.198817253112793,57556,-1.118361473083496,4130242,-.1299448013305664,263095,-1.554017066955566,241935,.7497024536132813,33844,.4385223388671875,648128,.3913354873657227,1469890,192507,1063334,-1.613017082214356,357320,-.5077991485595703,829568,-.4803705215454102,326943,.049189567565918,26466,-2.716279983520508,638509,-.1596736907958984,65368,2.035623550415039,4552659,-.4680948257446289,4194,-.8152122497558594,148710,.3245630264282227,241725,132441,-.6977872848510742,3311856,-.0907754898071289,43338,865642,.1101245880126953,84540,.2817850112915039,1340804,-.1055364608764648,53156,matched (3),11045266,.92950249,669054.25,1340833
201506,841221,665,3826,11282769,06,0,0,0,0,1,0,0,0,0,0,0,13318494,-.2910022735595703,469968,-.8365325927734375,524076,-.5416879653930664,72872,-.5041894912719727,32035,207218,-.5609865188598633,159001,-.035919189453125,14020,2.005496025085449,225696,-.1339797973632813,1098973,-.2321071624755859,912380,.5497426986694336,820925,.1847267150878906,84887,-.1450328826904297,314793,213145,-.0612668991088867,21971608,-.0186328887939453,195735,2167103,-.0737705230712891,2409616,-.0481100082397461,4018,-2.2506103515625,4194892,86049,.3523893356323242,1214756,-.0831117630004883,316627,.1631803512573242,167289,1.066964149475098,5103664,.2116222381591797,734137,1.026180267333984,194570,-.2178773880004883,18843,-.5856199264526367,509323,-.2410058975219727,540948,127825,6002685,1.73079776763916,730137,.714599609375,546946,-.4165544509887695,636540,.6662616729736328,322069,2.498904228210449,1356003,.7531614303588867,38144,-.5386648178100586,9158170,.6989355087280273,4837,.14263916015625,165835,.1089944839477539,269591,248244,.6282749176025391,2947585,-.1165227890014648,40163,478028,-.5938014984130859,136149,.4765253067016602,1250912,-.0693960189819336,55611,matched (3),11819925,.92950249,659028.06,1335858.3
201507,841221,666,3826,10905930,07,0,0,0,0,0,1,0,0,0,0,0,19737088,.3933448791503906,935137,.6880283355712891,1320224,.9239206314086914,94469,.2595672607421875,34275,205854,-.0066041946411133,133866,-.1720705032348633,66936,1.563252449035645,82839,-1.002289772033691,864009,-.2405481338500977,898526,-.0153007507324219,475098,-.546910285949707,90787,.067194938659668,160144,119333,-.5800542831420898,17786770,-.2112960815429688,566250,3156126,.3759546279907227,2764108,.1372509002685547,10742,.9833774566650391,4529791,183373,.7566061019897461,976802,-.2180147171020508,214652,-.3887062072753906,56202,-1.090770721435547,5154482,.0099086761474609,645159,-.1291990280151367,168985,-.1409816741943359,14720,-.2469348907470703,690804,.3047733306884766,2020800,79379,1817701,-1.194634437561035,515374,-.3483390808105469,590172,.0760631561279297,508335,-.2249069213867188,138642,-.8428707122802734,909331,-.3995876312255859,28554,-.2895717620849609,8534156,-.0705699920654297,9137,.6360378265380859,102163,-.4844236373901367,200214,235899,-.0510091781616211,3418504,.1482172012329102,47146,464659,-.0283660888671875,67368,-.7035799026489258,1411040,.1204538345336914,101236,matched (3),9232167,.92950249,689570.88,1351187.4
201508,841221,667,3826,12259585,08,0,0,0,0,0,0,1,0,0,0,0,10864141,-.5970325469970703,1062881,.1280450820922852,1162860,-.1269187927246094,83642,-.1217260360717773,2944,422774,.719670295715332,216929,.4827308654785156,64976,-.029719352722168,164821,.6879606246948242,1433626,.5063791275024414,340259,-.9710493087768555,693819,.3786897659301758,129675,.3565149307250977,128062,252719,.7503604888916016,22959700,.2552852630615234,383915,2558459,-.2099409103393555,3282095,.1717634201049805,17538,.490208625793457,6747506,208337,.1276340484619141,1195034,.2016458511352539,242070,.120208740234375,578390,2.331295967102051,5150074,-.0008563995361328,539955,-.1780109405517578,186259,.0973281860351563,45978,1.138956069946289,664057,-.0394878387451172,796491,287435,2524523,.3284797668457031,256586,-.6974287033081055,1835739,1.134788513183594,382806,-.2836122512817383,192481,.3281021118164063,779641,-.1538763046264648,2387,-2.481759548187256,6411562,-.2859735488891602,15917,.5550556182861328,68467,-.4002170562744141,157536,803467,1.225532531738281,3571923,.0439004898071289,62693,312300,-.3973398208618164,97319,.367823600769043,1164085,-.1923913955688477,81793,matched (3),10929495,.92950249,725967.88,1370120
201509,841221,668,3826,9752658,09,0,0,0,0,0,0,0,1,0,0,0,10238728,-.0592899322509766,811987,-.2692537307739258,879375,-.2794265747070313,74800,-.1117277145385742,19590,321613,-.2734880447387695,186570,-.1507644653320313,42695,-.4199361801147461,247781,.4076852798461914,663474,-.770472526550293,1373251,1.395229339599609,692145,-.002415657043457,118269,-.0920696258544922,228414,228529,-.1006155014038086,17181476,-.2899093627929688,187848,2452745,-.0421972274780273,4576964,.332554817199707,10167,-.5452232360839844,4861275,249360,.1797409057617188,608226,-.6753826141357422,245268,.0131244659423828,243059,-.8669443130493164,5676600,.0973415374755859,390792,-.3233098983764648,96320,-.6594619750976563,44961,-.0223674774169922,1133952,.5350961685180664,2861628,159916,1770086,-.3550243377685547,457674,.5786933898925781,737375,-.9121055603027344,475499,.2168359756469727,118415,-.4858016967773438,982047,.2308063507080078,47662,2.994097232818604,8505754,.2826395034790039,56506,1.266959190368652,160395,.8512868881225586,237656,423028,-.6414976119995117,3310947,-.0758695602416992,73959,305008,-.023625373840332,47240,-.722752571105957,1283035,.0972929000854492,10656,matched (3),10617097,.92950249,575396.38,1296642
201510,841221,669,3826,7811748,10,0,0,0,0,0,0,0,0,1,0,0,10396662,.0153083801269531,1180941,.3745822906494141,747497,-.1624813079833984,71283,-.0481605529785156,43064,280724,-.1359777450561523,133736,-.3329381942749023,22017,-.662266731262207,209231,-.1691064834594727,2320481,1.252039909362793,748009,-.6075210571289063,659061,-.0489797592163086,101052,-.1573257446289063,167277,227078,-.0063695907592773,20898410,.1958427429199219,185032,1760478,-.3316221237182617,3389354,-.3003969192504883,13474,.2816152572631836,6840042,114450,-.7787599563598633,851279,.3361930847167969,280714,.1349849700927734,49192,-1.597573280334473,5217759,-.0842838287353516,1495747,1.342205047607422,111166,.1433486938476563,21494,-.7380218505859375,702198,-.4792490005493164,4665797,268211,1667382,-.0597734451293945,620699,.3046884536743164,548680,-.2955808639526367,416471,-.1325473785400391,60732,-.667724609375,664212,-.3910379409790039,9880,-1.57362174987793,6390661,-.2859048843383789,17303,-1.183466911315918,101855,-.4540891647338867,165094,510067,.1871042251586914,3931083,.1716804504394531,34326,253950,-.1832008361816406,18433,-.9410991668701172,442672,-1.064154624938965,80551,matched (3),9488550,.92950249,666641.94,1339630.9
