period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1021c218,Y1288c705,growth1288c705,Y1387c807,growth1387c807,Y1449c32,Y1479c124,growth1479c124,Y1492c124,growth1492c124,Y1661c484,growth1661c484,Y1730c32,Y1980c344,Y1982c203,Y1991c124,growth1991c124,Y1992c376,Y223c124,growth223c124,Y2282c484,growth2282c484,Y2362c208,Y245c352,growth245c352,Y266c554,Y2694c792,growth2694c792,Y2915c792,growth2915c792,Y2965c152,growth2965c152,Y3144c152,growth3144c152,Y326c208,Y3298c600,growth3298c600,Y3463c428,growth3463c428,Y3469c792,growth3469c792,Y3670c372,growth3670c372,Y3724c32,Y3835c376,Y3971c484,growth3971c484,Y3987c440,growth3987c440,Y4140c68,growth4140c68,Y4175c484,growth4175c484,Y4195c36,Y4198c348,growth4198c348,Y4292c124,growth4292c124,Y4322c344,Y4472c32,Y4478c818,Y4494c124,growth4494c124,Y4645c484,growth4645c484,Y4685c484,growth4685c484,Y4710c124,growth4710c124,Y4724c32,Y4806c484,growth4806c484,Y4926c352,growth4926c352,Y4976c246,growth4976c246,Y556c554,Y663c428,growth663c428,Y665c428,growth665c428,Y667c807,growth667c807,_merge,x,r2,s,sf
201204,901819,627,4751,33001500,04,0,0,1,0,0,0,0,0,0,0,0,265412,251627,.0842714309692383,117926,.3633871078491211,1739555,13067838,-.0692882537841797,15339701,-.2130489349365234,20626232,.0149803161621094,5006444,1257976,788707,2804812,.0363702774047852,1301000,5445556,.0232667922973633,242439,-.1249551773071289,0,50522,.0545673370361328,125268,8372,-.5441389083862305,1381330,.1964807510375977,3661818,-.3206892013549805,333100,.0260457992553711,1789176,5875172,.0370702743530273,106575,-.1437177658081055,2432215,-.3183736801147461,21882,-.212651252746582,2081616,636000,7157196,-.0322265625,3111791,-.9388914108276367,638,-2.606860637664795,7473664,-.083251953125,62842600,24165920,-.4399814605712891,4010364,-.0827407836914063,23164902,293181,3884206,543745,-.4351692199707031,15884717,-.0768356323242188,405097,-.5274696350097656,1363005,-.3328638076782227,3875,1097161,.360590934753418,73717,-.9234523773193359,659640,-.4232978820800781,70613,769469,.0066442489624023,1209960,.1210899353027344,518098,.4852085113525391,matched (3),35184448,.79738718,963642.88,2370518.3
201205,901819,628,4751,36274952,05,0,0,0,1,0,0,0,0,0,0,0,173780,13421,-2.931127548217773,165235,.3373117446899414,4094841,13536480,.0352344512939453,16976644,.1013927459716797,26034548,.2328624725341797,5822847,1493195,1337052,3806556,.3053874969482422,1577000,6211834,.1316566467285156,318434,.2726650238037109,28059,65621,.2614870071411133,309663,109701,2.57286548614502,1446049,.0457878112792969,5084252,.3281879425048828,335384,.0068330764770508,2438619,3254632,-.5906553268432617,111799,.0478544235229492,2655892,.087977409362793,44433,.708317756652832,2272224,1294000,7112941,-.0062017440795898,8239885,.9737873077392578,1337,.7398452758789063,9321135,.2208986282348633,74844960,26968906,.1097412109375,5022280,.2250022888183594,25681608,602470,6996924,589641,.0810337066650391,21190872,.2882137298583984,761077,.6306085586547852,1422706,.0428686141967773,103340,891211,-.2079000473022461,87479,.1711654663085938,1282200,.6646385192871094,183684,1009847,.2718534469604492,1452919,.1829872131347656,560420,.078521728515625,matched (3),37209812,.79738718,1486883.4,2627084.3
201206,901819,629,4751,35273988,06,0,0,0,0,1,0,0,0,0,0,0,210467,24559,.6042575836181641,126313,-.2686061859130859,2036564,15995058,.1668910980224609,17107364,.0076713562011719,20937904,-.217864990234375,3186066,1000368,808917,3470708,-.0923662185668945,1332000,6454478,.0383176803588867,309685,-.0278596878051758,13866,54288,-.1895923614501953,891530,24531,-1.497820854187012,748470,-.6585588455200195,4303697,-.1666727066040039,314331,-.0648288726806641,2154885,2956548,-.0960569381713867,123723,.1013422012329102,2642689,-.0049829483032227,54078,.1964454650878906,1762825,889000,7433680,.0441045761108398,13275735,.4769525527954102,4045,1.107053279876709,9808967,.0510139465332031,97603232,41359788,.4276237487792969,3915698,-.2488908767700195,22396124,482591,2913765,540381,-.0872402191162109,17176904,-.2100048065185547,443765,-.5394392013549805,971067,-.3819198608398438,7212,834161,-.0661544799804688,72640,-.1858835220336914,1442870,.1180572509765625,140685,998595,-.011204719543457,1078907,-.2976255416870117,596056,.0616483688354492,matched (3),35802272,.79738718,1065145.1,2413562.5
201207,901819,630,4751,46447648,07,0,0,0,0,0,1,0,0,0,0,0,223164,182407,2.005162239074707,113859,-.1038017272949219,2619239,13831510,-.1453304290771484,19979624,.1552028656005859,18875984,-.1036701202392578,3376383,1338347,1195295,4425527,.2430315017700195,1297000,5339676,-.1896085739135742,819710,.9733953475952148,3243,56823,.0456380844116211,918017,29948,.1995248794555664,1026967,.3163337707519531,4793472,.1077804565429688,549584,.5587148666381836,1895225,3537821,.1794881820678711,204037,.5002565383911133,3234687,.2021350860595703,8695,-1.827679634094238,1969358,1239000,6928339,-.0704002380371094,12239015,-.0813102722167969,11815,1.071887969970703,10280152,.0469169616699219,87511048,21845216,-.6383266448974609,4111044,.0486841201782227,25044740,603185,3005136,687440,.2407007217407227,23480288,.3125953674316406,361817,-.2041568756103516,1472372,.416234016418457,10074,1013261,.1945028305053711,92891,.2459115982055664,1566136,.0819768905639648,78430,1044630,.0450687408447266,1192098,.0997657775878906,902915,.4152936935424805,matched (3),44200228,.79738718,1304497.5,2528332.3
201208,901819,631,4751,40303820,08,0,0,0,0,0,0,1,0,0,0,0,279061,120703,-.412907600402832,114030,.001500129699707,2540888,6416137,-.768132209777832,3924483,-1.627477645874023,18663684,-.0113105773925781,2627600,1210858,1007302,5510865,.2193317413330078,1402000,4718616,-.1236495971679688,330640,-.9079208374023438,124,40897,-.3288850784301758,973968,26408,-.1257953643798828,941992,-.0863685607910156,5261305,.0931234359741211,274132,-.695551872253418,2232471,4146953,.1588630676269531,98083,-.732487678527832,2381922,-.3060245513916016,4987,-.555912971496582,1829199,961000,7620318,.0951976776123047,2920576,-1.43284797668457,29100,.9013690948486328,9903277,-.0373497009277344,63301720,24590204,.1183662414550781,1478145,-1.022889137268066,24147568,1233813,2775933,903050,.2728033065795898,19039056,-.2096691131591797,450810,.2199077606201172,667538,-.7910337448120117,110680,1265173,.2220344543457031,73784,-.2302846908569336,1423012,-.0958356857299805,69379,786436,-.2839069366455078,1110024,-.0713329315185547,606509,-.3979091644287109,matched (3),39355996,.79738718,1544009.3,2659833.5
201209,901819,632,4751,38747180,09,0,0,0,0,0,0,0,1,0,0,0,222180,13211,-2.212283134460449,73103,-.4445915222167969,2826243,11955074,.622340202331543,18054236,1.526145935058594,20468192,.0922927856445313,2513233,1093660,876718,4121016,-.2906217575073242,440000,4600375,-.0253782272338867,118278,-1.027992248535156,14747,41205,.0075035095214844,313630,17830,-.3927841186523438,900692,-.0448331832885742,4637785,-.1261415481567383,272405,-.0063199996948242,2626824,3018593,-.3175830841064453,84211,-.1524887084960938,2890783,.1936197280883789,3470,-.3626804351806641,1238650,614000,6337960,-.1842613220214844,631034,-1.532176017761231,3982,-1.988954544067383,8797395,-.1184091567993164,50817652,25689982,.0437526702880859,3967669,.9873905181884766,22542354,883118,3160878,515158,-.5613040924072266,15395367,-.2124252319335938,403548,-.1107511520385742,728368,.0872106552124023,8357,962611,-.2733144760131836,68997,-.0670795440673828,981912,-.3710289001464844,82783,493320,-.4663534164428711,801975,-.3250598907470703,331623,-.6037206649780273,matched (3),36962364,.79738718,1576837,2679023
201210,901819,633,4751,39128016,10,0,0,0,0,0,0,0,0,1,0,0,283363,108624,2.106842994689941,268317,1.300299644470215,3092623,12513289,.0456352233886719,16583395,-.0849781036376953,25256600,.2102146148681641,4510404,1388182,1155270,5408506,.2718734741210938,1027000,6062469,.2759799957275391,216065,.6025419235229492,16308,50065,.1947622299194336,422306,52849,1.086555480957031,1078314,.1799907684326172,5007949,.0767889022827148,340364,.2227258682250977,3264920,4230242,.337468147277832,138384,.4967069625854492,2716163,-.0623073577880859,26777,2.043388366699219,1405415,875000,6687531,.0536880493164063,1314899,.7341556549072266,3146,-.235651969909668,8277818,-.0608768463134766,60186024,25820880,.0050830841064453,4163352,.0481414794921875,18470034,1046703,3093990,668395,.2604055404663086,17318562,.1177120208740234,465211,.1421957015991211,1014937,.3317756652832031,24026,1152131,.1797189712524414,173436,.9217462539672852,1685777,.5404796600341797,115098,594304,.1862325668334961,868501,.0796918869018555,400972,.1898927688598633,matched (3),37354232,.79738718,1321993.1,2537403.3
201211,901819,634,4751,44908500,11,0,0,0,0,0,0,0,0,0,1,0,257983,142357,.2704458236694336,180272,-.3977022171020508,2014083,11142799,-.1159992218017578,17564016,.0574493408203125,30619130,.1925373077392578,4399110,2081627,911981,4248367,-.2414388656616211,1272000,4923376,-.2081232070922852,154126,-.3378086090087891,15291,43248,-.1463708877563477,454640,92900,.5640850067138672,1331289,.2107486724853516,4017124,-.2204599380493164,252161,-.2999477386474609,1644934,5502918,.2630195617675781,100292,-.3219461441040039,2873751,.0563983917236328,16363,-.4925203323364258,1337138,717000,7097597,.0595111846923828,4319130,1.18929386138916,54180,2.846179962158203,7599093,-.0855503082275391,58172848,29476064,.1323947906494141,4218827,.0132369995117188,21767312,899621,4504269,700032,.0462465286254883,12855081,-.2980403900146484,525121,.1211376190185547,568306,-.5799226760864258,115905,1212372,.0509653091430664,175357,.0110149383544922,983843,-.5385150909423828,279001,729736,.205291748046875,877295,.0100746154785156,473636,.1665477752685547,matched (3),44667148,.79738718,1399717.5,2578751.5
201212,901819,635,4751,41776372,12,0,0,0,0,0,0,0,0,0,0,1,123293,99211,-.3610897064208984,64570,-1.026717185974121,1966100,15523351,.3315525054931641,17688434,.0070590972900391,20782788,-.3874988555908203,3282126,1966987,621873,3045270,-.3329448699951172,1223000,4478009,-.0948162078857422,80020,-.6554946899414063,251,45407,.0487146377563477,145881,29056,-1.162298202514648,1201246,-.102787971496582,4889676,.1965599060058594,250637,-.0060625076293945,2309108,4948226,-.1062498092651367,80531,-.2194442749023438,2958583,.0290918350219727,13742,-.174565315246582,1247500,983000,5816336,-.1990852355957031,4298083,-.0048847198486328,33486,-.4811849594116211,9635579,.2374334335327148,62451028,40718992,.3231163024902344,3958453,-.0637035369873047,22991564,792209,4190430,846985,.190556526184082,12360612,-.0392246246337891,872148,.5073308944702148,941744,.5050735473632813,128304,1227382,.0123052597045898,71364,-.8990306854248047,744683,-.278508186340332,82501,795600,.0864143371582031,663252,-.279688835144043,385725,-.2053146362304688,matched (3),40578092,.79738718,1062587.1,2412434.8
201301,901819,636,4751,41489308,01,0,0,0,0,0,0,0,0,0,0,0,224045,8222,-2.490435600280762,116812,.5928153991699219,1689504,13794314,-.1180877685546875,18689226,.0550365447998047,18773206,-.1016941070556641,3252079,999352,903258,3225362,.0574560165405273,843000,4604049,.0277576446533203,126968,.4616584777832031,28330,58179,.247859001159668,130060,21881,-.2836065292358398,923559,-.2628803253173828,5212799,.063990592956543,289952,.1457099914550781,2152244,4632247,-.0659866333007813,86916,.0763006210327148,3382221,.1338224411010742,87864,1.85533332824707,1228112,927000,8216018,.3454151153564453,1613837,-.9795541763305664,73762,.7897167205810547,8864427,-.0834159851074219,58984368,35999600,-.1231861114501953,4825311,.1980218887329102,21477036,977953,3798274,846106,-.00103759765625,18005372,.3761558532714844,276560,-1.148531913757324,674187,-.3342256546020508,15444,1130748,-.0820045471191406,207294,1.06634521484375,507188,-.3840770721435547,169058,655211,-.1941394805908203,723735,.0872707366943359,225261,-.5378646850585938,matched (3),41812716,.79738718,1213262.9,2482490
201302,901819,637,4751,34445752,02,1,0,0,0,0,0,0,0,0,0,0,29255,88396,2.37501335144043,95961,-.1966238021850586,1537359,12752080,-.0785636901855469,15237245,-.2042045593261719,16949720,-.1021804809570313,2783277,361022,880713,2433947,-.2815313339233398,1403000,3612398,-.2425642013549805,64825,-.6722431182861328,227,57861,-.0054807662963867,102335,7960,-1.011189460754395,698850,-.2787981033325195,3786790,-.3195981979370117,302171,.0412778854370117,1349593,4650357,.003901481628418,78812,-.0978775024414063,2824679,-.1801376342773438,29633,-1.086901664733887,952090,739000,7629424,-.0740737915039063,3842969,.8676300048828125,675,-4.693886280059815,7331135,-.189915657043457,32934108,29609824,-.1954021453857422,3320131,-.3738718032836914,11384271,499315,2786092,770053,-.0941858291625977,15524631,-.1482429504394531,197910,-.3346147537231445,565786,-.1752920150756836,53759,815136,-.3272790908813477,201694,-.0273866653442383,598813,.1660680770874023,8319,651719,-.0053434371948242,670105,-.076991081237793,218067,-.0324573516845703,matched (3),29033952,.79738718,1171355.9,2462280.3
201303,901819,638,4751,36575364,03,0,1,0,0,0,0,0,0,0,0,0,253892,195415,.7932987213134766,118095,.2075481414794922,1878792,13262058,.0392131805419922,15816801,.0373306274414063,20786332,.2040443420410156,2311432,1102426,927491,2444131,.0041751861572266,858000,3329833,-.0814495086669922,244722,1.328431129455566,2100,64202,.1039905548095703,146935,18058,.8191595077514648,1593515,.8242616653442383,4072313,.07269287109375,249111,-.1930952072143555,2004481,7833747,.5214977264404297,144636,.6071548461914063,3455405,.2015447616577148,63743,.7659702301025391,1217773,829000,7662135,.0042781829833984,10135620,.9698114395141602,2479,1.300897598266602,8791338,.1816368103027344,47138864,40619900,.3161506652832031,3926218,.1676731109619141,22261632,654689,3663107,1076224,.3347549438476563,15900070,.0238971710205078,238187,.1852436065673828,1290487,.824559211730957,34183,849098,.0408191680908203,80845,-.9142179489135742,1052180,.5636701583862305,106908,831195,.243250846862793,848534,.2360754013061523,434932,.6903877258300781,matched (3),36929412,.79738718,1303384.8,2527758.3
201304,901819,639,4751,41963368,04,0,0,1,0,0,0,0,0,0,0,0,208124,466346,.8698024749755859,130703,.1014375686645508,2132288,13824347,.0415248870849609,17267756,.0877685546875,27153096,.2671966552734375,4516453,858963,796250,2930243,.1813955307006836,1116000,4851205,.3763046264648438,224009,-.0884361267089844,15123,102872,.4714508056640625,150903,42849,.8640937805175781,1347330,-.1678180694580078,4952399,.1956605911254883,375290,.4098005294799805,2092676,6426363,-.1980323791503906,236540,.4918975830078125,3279327,-.0523014068603516,56797,-.1153755187988281,1557356,850000,8015325,.0450649261474609,8570803,-.1676950454711914,120985,3.887811183929443,8673445,-.0135011672973633,63586532,35466304,-.1356735229492188,4746901,.1898155212402344,24222492,1238025,4728571,1018403,-.0552234649658203,19714386,.2150249481201172,411803,.5474882125854492,819706,-.4538288116455078,123214,1411029,.5079002380371094,144416,.5801639556884766,905196,-.1504678726196289,168697,865864,.040863037109375,1187630,.3362054824829102,688882,.4598798751831055,matched (3),40786672,.79738718,984242.19,2378966.8
201305,901819,640,4751,36833236,05,0,0,0,1,0,0,0,0,0,0,0,187365,21597,-3.072373390197754,98884,-.2789802551269531,2040044,13971078,.0105571746826172,18784466,.0841884613037109,24115008,-.1186580657958984,3846483,832539,636065,3714375,.2371253967285156,903000,4983333,.0268726348876953,255247,.1305456161499023,14799,55559,-.6160402297973633,370248,246393,1.749245643615723,1387035,.0290441513061523,5028820,.0153131484985352,280888,-.2897424697875977,2178029,4492957,-.3578977584838867,203673,-.149601936340332,3127227,-.0474920272827148,31993,-.5739669799804688,1553424,760000,5711928,-.3387985229492188,11917832,.3296747207641602,2083,-4.061857223510742,7948314,-.087306022644043,54745292,32537096,-.0862026214599609,4349257,-.0874872207641602,23697082,428568,3753680,600538,-.5281648635864258,20244498,.0265331268310547,301807,-.3107566833496094,543318,-.4112510681152344,8042,719944,-.6729011535644531,63186,-.8266153335571289,889932,-.0170068740844727,16823,1515171,.5595560073852539,1103012,-.0739154815673828,639315,-.0746726989746094,matched (3),38969864,.79738718,1138275.8,2446716.5
