period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1316c300,growth1316c300,Y1467c208,growth1467c208,Y1514c826,growth1514c826,Y1684c251,growth1684c251,Y1747c208,growth1747c208,Y1764c300,growth1764c300,Y1803c251,growth1803c251,Y1808c300,growth1808c300,Y1818c251,growth1818c251,Y191c381,Y2000c348,growth2000c348,Y2121c300,growth2121c300,Y2150c246,growth2150c246,Y2217c620,growth2217c620,Y2308c381,Y2310c792,growth2310c792,Y2518c620,growth2518c620,Y2563c251,growth2563c251,Y2570c124,growth2570c124,Y2614c32,Y2643c251,growth2643c251,Y2654c620,growth2654c620,Y2799c792,growth2799c792,Y2963c251,growth2963c251,Y2972c352,growth2972c352,Y3013c752,growth3013c752,Y3120c268,growth3120c268,Y3134c251,growth3134c251,Y3372c757,growth3372c757,Y3433c620,growth3433c620,Y3462c620,growth3462c620,Y3594c352,growth3594c352,Y3721c381,Y3827c705,growth3827c705,Y3827c826,growth3827c826,Y3852c792,growth3852c792,Y3901c616,growth3901c616,Y404c208,growth404c208,Y4067c381,Y4085c300,growth4085c300,Y4152c372,Y4206c300,growth4206c300,Y4340c792,growth4340c792,Y4352c68,growth4352c68,Y4755c246,growth4755c246,Y4802c688,growth4802c688,Y4927c752,growth4927c752,Y4941c191,growth4941c191,Y4954c352,growth4954c352,Y872c705,growth872c705,_merge,x,r2,s,sf
201106,901480,617,4733,1984693,06,0,0,0,0,1,0,0,0,0,0,0,2518993,-.0333080291748047,3079,-1.094272613525391,2106137,.0768747329711914,17991978,-.1140480041503906,46790,2.195473670959473,1339206,.1041059494018555,435913,.032689094543457,142657,.6934347152709961,2005457,-.3531169891357422,9980725,241632,.2147140502929688,1831981,-.0980815887451172,5150415,-.0972967147827148,530339,-.3975811004638672,314047,759574,-.178502082824707,112411,.4597635269165039,2278484,-.0898380279541016,404820,-.8242998123168945,169860,2803833,-.2223472595214844,812303,.2251653671264648,14109,-.9026889801025391,35193784,.0169048309326172,30545,-.1904182434082031,193490,.5668020248413086,54479,-.5563554763793945,3331412,-.2968606948852539,4641955,.0018472671508789,1849313,-.0146932601928711,6417835,-.2044906616210938,111085,-1.419205665588379,533809,324142,-.2086315155029297,14763746,-.1681709289550781,8644166,-.1917133331298828,4212576,-.0021123886108398,716062,.0254631042480469,10510477,269228,.1272163391113281,3744,11349772,-.0098915100097656,1075722,-.4082345962524414,78438,-.3786945343017578,7941169,-.0009670257568359,62889,-.1495952606201172,304450,.1706762313842773,513263,.0732927322387695,742052,.2227468490600586,386238,.2398834228515625,matched (3),10256904,.89506137,1287658.1,1668063.9
201107,901480,618,4733,1215407,07,0,0,0,0,0,1,0,0,0,0,0,903539,-1.025295257568359,26945,2.169193267822266,1884665,-.1111049652099609,19315738,.0709934234619141,41651,-.1163444519042969,694058,-.6572771072387695,267849,-.4870195388793945,169784,.1740837097167969,2087265,.039982795715332,9445164,492821,.7127304077148438,1771104,-.0337953567504883,6313703,.2036447525024414,514914,-.0295162200927734,614065,499795,-.4185600280761719,71526,-.4521007537841797,2203003,-.0336885452270508,562835,.3295440673828125,433357,2287375,-.2035818099975586,389694,-.7345113754272461,13703,-.0291986465454102,30518242,-.1425457000732422,45506,.3986425399780273,97452,-.6858663558959961,54100,-.0069818496704102,3452387,.035670280456543,3603818,-.2531414031982422,1724253,-.0700197219848633,7845550,.2008657455444336,52980,-.7403812408447266,530393,249008,-.2636966705322266,15218204,.0303173065185547,9866659,.1322765350341797,2633654,-.4697017669677734,632009,-.1248626708984375,10160718,174035,-.4363021850585938,7535,8602704,-.2771215438842773,885260,-.1948661804199219,151007,.6550178527832031,5462556,-.3741436004638672,36654,-.5398483276367188,265638,-.1363716125488281,569127,.1033153533935547,587751,-.2331161499023438,382993,-.0084371566772461,matched (3),3425009.3,.89506137,1037763.6,1483687
201108,901480,619,4733,390224,08,0,0,0,0,0,0,1,0,0,0,0,77495,-2.45610523223877,2123,-2.54096794128418,2160748,.1367044448852539,13505613,-.3578147888183594,73852,.5727386474609375,667896,-.0384225845336914,354186,.2793989181518555,130550,-.2627706527709961,767336,-1.00068473815918,7019550,193731,-.9336757659912109,1667618,-.060206413269043,7806622,.212249755859375,239537,-.7652921676635742,187592,454400,-.095219612121582,59272,-.1879243850708008,1026342,-.7638206481933594,372850,-.4118099212646484,217923,1421721,-.4755373001098633,217352,-.5838441848754883,9933,-.321751594543457,29622984,-.0297737121582031,24966,-.6003293991088867,86560,-.1185216903686523,72976,.2992963790893555,4411634,.2451791763305664,2253302,-.4695978164672852,1189243,-.3714771270751953,4654448,-.5221233367919922,29597,-.5822410583496094,250945,365947,.3850030899047852,20346308,.2904071807861328,7205209,-.314356803894043,2517948,-.0449285507202148,430104,-.3848762512207031,6444855,106253,-.493433952331543,7622,8053222,-.066004753112793,781333,-.1248798370361328,48423,-1.137351036071777,7060629,.2566165924072266,94982,.9521646499633789,390216,.3845653533935547,376226,-.4139137268066406,621951,.0565576553344727,334655,-.1349163055419922,matched (3),1936849.3,.89506137,973555.75,1439508.5
201109,901480,620,4733,1058352,09,0,0,0,0,0,0,0,1,0,0,0,1516669,2.974058151245117,8166,1.347148895263672,2929438,.3043556213378906,17637112,.2669010162353516,23189,-1.158385276794434,736557,.0978536605834961,272068,-.2637701034545898,203837,.4455642700195313,1566764,.7138423919677734,8681379,268308,.3256654739379883,1158264,-.3644742965698242,8150064,.0430536270141602,478085,.6910810470581055,336911,191971,-.8616342544555664,142696,.8785800933837891,2193423,.7594623565673828,563728,.4133949279785156,310070,3194117,.8094425201416016,465861,.7623691558837891,67550,1.91700553894043,30642272,.0338287353515625,55689,.8022680282592773,124893,.3666191101074219,83361,.1330499649047852,4570070,.035283088684082,3339776,.3935079574584961,852133,-.3333301544189453,6100789,.2705955505371094,86303,1.070191383361816,454713,196049,-.6241235733032227,17680076,-.1404609680175781,10239114,.3514108657836914,3773798,.4046382904052734,704597,.4935989379882813,9440905,218764,.7221708297729492,4636,8500841,.0540933609008789,1295021,.5052804946899414,795911,2.79951286315918,7876371,.1093330383300781,113730,.1801395416259766,152968,-.9364709854125977,473885,.2307748794555664,803481,.2560930252075195,401706,.1826200485229492,matched (3),1415571.4,.89506137,697266.69,1269076.3
201110,901480,621,4733,1296342,10,0,0,0,0,0,0,0,0,1,0,0,2246523,.3928670883178711,83168,2.320883750915527,3808172,.2623386383056641,16202575,-.0848350524902344,55413,.8711357116699219,949565,.2540178298950195,522486,.6525459289550781,198641,-.0258216857910156,1427672,-.0929670333862305,8008114,345172,.2519063949584961,1737373,.405451774597168,8134840,-.0018692016601563,560060,.1582546234130859,238745,256267,.2888755798339844,96701,-.3890933990478516,1806286,-.1941909790039063,668810,.170928955078125,166640,3274802,.0249471664428711,869248,.6237411499023438,83969,.2175798416137695,31623936,.0315341949462891,14423,-1.350958824157715,133675,.0679540634155273,89426,.0702314376831055,5000305,.089970588684082,3863423,.1456489562988281,833578,-.0220146179199219,5467160,-.1096591949462891,146961,.5323028564453125,467635,203900,.0392646789550781,21376892,.1898727416992188,12518458,.20098876953125,2702527,-.3338947296142578,508972,-.3252334594726563,8727090,421802,.6565427780151367,8479,9934356,.1558332443237305,2220027,.5389919281005859,463896,-.5398273468017578,7501787,-.0487251281738281,39410,-1.059807777404785,172956,.1228084564208984,482299,.0176000595092773,1347164,.5168027877807617,344891,-.1524925231933594,matched (3),1113915,.89506137,725951.38,1285060
201111,901480,622,4733,951881,11,0,0,0,0,0,0,0,0,0,1,0,2635869,.1598291397094727,31084,-.9841699600219727,2339265,-.4873123168945313,13591300,-.1757411956787109,38499,-.3641815185546875,744590,-.2431707382202148,242693,-.7668008804321289,176052,-.1207189559936523,692739,-.7231473922729492,6308474,161425,-.7600021362304688,2034647,.1579484939575195,8294727,.0194635391235352,331402,-.5247116088867188,117422,241292,-.060211181640625,63281,-.4240379333496094,1798597,-.0042657852172852,467540,-.3580150604248047,86741,2882711,-.1275262832641602,252624,-1.235726356506348,73705,-.1303777694702148,28500664,-.1039867401123047,26151,.5950632095336914,118466,-.1207847595214844,68468,-.2670450210571289,5251011,.0489215850830078,3279932,-.1637306213378906,936819,.1167621612548828,5014095,-.0865058898925781,67390,-.7796707153320313,391429,140788,-.3703746795654297,21599040,.0103378295898438,10734690,-.1537227630615234,4786139,.5715360641479492,629120,.2119293212890625,8014633,222861,-.6379880905151367,2191,11904771,.1809406280517578,1030957,-.7670316696166992,43138,-2.375256538391113,7433663,-.0091228485107422,59990,.4201583862304688,122831,-.3422279357910156,435363,-.1023845672607422,1285343,-.0469760894775391,360974,.0455780029296875,matched (3),1363130.9,.89506137,639796.94,1238432
201112,901480,623,4733,2072503,12,0,0,0,0,0,0,0,0,0,0,1,2867882,.0843610763549805,121155,1.360378265380859,2455679,.0485668182373047,12248866,-.1039962768554688,36993,-.0399036407470703,716832,-.0379924774169922,486516,.6954727172851563,176335,.0016059875488281,820393,.1691303253173828,6609598,294010,.5995731353759766,1353312,-.4077672958374023,8008457,-.0351219177246094,559198,.5231714248657227,167505,537576,.8010616302490234,281411,1.492230415344238,1959572,.085719108581543,1976871,1.441784858703613,135943,2055674,-.3381271362304688,313306,.2152786254882813,38310,-.6543598175048828,26336928,-.0789546966552734,16155,-.4816570281982422,98289,-.1867141723632813,85167,.2182474136352539,4689391,-.1131181716918945,2374740,-.3229341506958008,985486,.0506448745727539,4504199,-.107243537902832,176094,.9605216979980469,510976,347175,.9025745391845703,16799080,-.2513236999511719,10656701,-.0072917938232422,3432322,-.3324861526489258,587902,-.0677623748779297,7077861,453120,.7096090316772461,6974,11918798,.0011768341064453,3246075,1.14695930480957,57887,.2940893173217773,6936068,-.0692834854125977,43562,-.3199930191040039,177416,.3676872253417969,463401,.0624122619628906,2050551,.4670829772949219,311644,-.1469440460205078,matched (3),3192686.5,.89506137,588086.63,1212526.1
201201,901480,624,4733,1350374,01,0,0,0,0,0,0,0,0,0,0,0,1915012,-.4038496017456055,27113,-1.497057914733887,2049297,-.1809062957763672,14218832,.1491336822509766,30817,-.1826620101928711,555702,-.2546091079711914,338150,-.3637800216674805,100169,-.5655269622802734,932360,.1279354095458984,7256920,148898,-.6803522109985352,1767353,.2669277191162109,7204203,-.1058330535888672,377813,-.3921041488647461,72139,429012,-.2255849838256836,147455,-.6462926864624023,2247909,.1372747421264648,481495,-1.412374496459961,20677,2403092,.1561517715454102,129877,-.8805923461914063,15095,-.9313468933105469,30928962,.1607208251953125,17002,.0511007308959961,109125,.1045818328857422,39571,-.7665176391601563,2999599,-.4468240737915039,2202715,-.0751972198486328,757958,-.2625064849853516,5150116,.1340093612670898,35485,-1.601907730102539,421464,231709,-.4043474197387695,21769764,.2591972351074219,7561669,-.3430976867675781,2228888,-.4317350387573242,594030,.0103702545166016,7250584,293279,-.435032844543457,3220,8680716,-.317011833190918,2177181,-.3994159698486328,71787,.2152099609375,5868123,-.1672000885009766,41859,-.0398778915405273,163429,-.082118034362793,377833,-.2041397094726563,432080,-1.557252883911133,321831,.0321645736694336,matched (3),2208488,.89506137,579854.75,1208555
201202,901480,625,4733,2098576,02,1,0,0,0,0,0,0,0,0,0,0,437847,-1.47560977935791,21952,-.2111549377441406,1980366,-.034214973449707,16105179,.1245746612548828,46429,.4098577499389648,746971,.2957944869995117,381063,.1194753646850586,117389,.1586341857910156,1009613,.0796041488647461,8709921,195147,.2704916000366211,1768657,.000737190246582,6411775,-.1165285110473633,484435,.2485837936401367,177717,958289,.8036642074584961,132060,-.1102666854858398,1775282,-.2360410690307617,548291,.1299104690551758,98124,2655485,.0998716354370117,150645,.1483383178710938,11288,-.290623664855957,31064432,.0043697357177734,26312,.4366941452026367,116993,.0696201324462891,26386,-.4052629470825195,3607573,.1845569610595703,2760331,.2256593704223633,1178586,.4414424896240234,5070566,-.0155668258666992,120443,1.222065925598145,634329,312836,.3001976013183594,21381448,-.0179977416992188,7599978,.0050535202026367,1987077,-.114837646484375,819359,.3215923309326172,7798113,151322,-.6617145538330078,14139,6905295,-.228816032409668,2366079,.0832033157348633,131098,.6022415161132813,6214024,.0572738647460938,50455,.1867752075195313,133562,-.201812744140625,346306,-.0871295928955078,489219,.1241998672485352,347230,.0759611129760742,matched (3),1799999,.89506137,681811.63,1260651
201203,901480,626,4733,4523102,03,0,1,0,0,0,0,0,0,0,0,0,879952,.697998046875,106281,1.577228546142578,2093437,.0555248260498047,16319512,.0132198333740234,61147,.2753562927246094,1051314,.3417692184448242,318817,-.1783475875854492,129660,.0994224548339844,1068133,.0563449859619141,9348433,238304,.1997947692871094,2693770,.4207210540771484,6544224,.02044677734375,372846,-.2618179321289063,312679,397193,-.8807268142700195,250203,.6390161514282227,2147657,.1904182434082031,1041750,.6418514251708984,133599,2660081,.0017290115356445,260820,.5489044189453125,20171,.5805063247680664,28542648,-.0846633911132813,36806,.3356361389160156,159521,.3100614547729492,94510,1.275872230529785,3499717,-.0303535461425781,3176922,.1405620574951172,1311023,.1064920425415039,5381440,.0595035552978516,144856,.1845636367797852,681462,267233,-.1575584411621094,23325888,.0870399475097656,7064749,-.0730276107788086,2620935,.2768659591674805,737051,-.105865478515625,8957261,181091,.1795902252197266,175535,8106391,.1603641510009766,1181416,-.6945199966430664,152568,.1516656875610352,6540845,.0512571334838867,158439,1.144287109375,131469,-.0157947540283203,542896,.4495944976806641,695982,.352513313293457,358030,.0306291580200195,matched (3),4587667,.89506137,608622.75,1222618.3
201204,901480,627,4733,2557810,04,0,0,1,0,0,0,0,0,0,0,0,339830,-.9514226913452148,4988,-3.059051513671875,2095200,.0008420944213867,15345457,-.0615425109863281,36656,-.5117034912109375,1000865,-.0491762161254883,276455,-.1425695419311523,76234,-.5311079025268555,962234,-.1044101715087891,7445678,144953,-.4971380233764648,1720668,-.4482288360595703,5377467,-.1963653564453125,455238,.1996555328369141,152758,159513,-.912297248840332,193925,-.2548007965087891,2835977,.2780084609985352,363786,-1.052091598510742,16541,2575119,-.0324611663818359,308669,.1684389114379883,503,-3.69141149520874,28755350,.0074234008789063,72326,.6755228042602539,103730,-.430384635925293,47074,-.6969852447509766,3587277,.0247116088867188,2263037,-.3392047882080078,1031732,-.2395687103271484,5725371,.0619516372680664,84141,-.5432462692260742,379974,181512,-.3867988586425781,20868618,-.1113166809082031,7475415,.0565023422241211,2127196,-.2087259292602539,600187,-.2054157257080078,8194187,79893,-.8183116912841797,27580,7442492,-.0854463577270508,1179049,-.0020055770874023,71561,-.7570600509643555,5753215,-.1283073425292969,68199,-.8429393768310547,97201,-.3019905090332031,477745,-.1278400421142578,474195,-.3837051391601563,323201,-.1023426055908203,matched (3),1812793,.89506137,614577.25,1225593.3
