period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1007c703,growth1007c703,Y1015c124,growth1015c124,Y1206c124,growth1206c124,Y1276c440,growth1276c440,Y1321c620,growth1321c620,Y1470c484,growth1470c484,Y1618c152,growth1618c152,Y1653c124,growth1653c124,Y1674c124,growth1674c124,Y1787c484,growth1787c484,Y1829c251,growth1829c251,Y2028c32,Y2124c428,growth2124c428,Y242c616,Y243c124,growth243c124,Y251c246,growth251c246,Y2627c620,growth2627c620,Y266c124,growth266c124,Y2857c344,Y2865c344,Y3041c152,growth3041c152,Y3083c826,growth3083c826,Y3142c792,growth3142c792,Y3294c792,growth3294c792,Y330c440,growth330c440,Y3377c124,growth3377c124,Y3788c152,growth3788c152,Y3858c586,growth3858c586,Y396c208,growth396c208,Y3998c152,Y4066c300,Y4175c484,growth4175c484,Y4183c36,Y4363c152,growth4363c152,Y4682c300,growth4682c300,Y4688c484,growth4688c484,Y4924c752,growth4924c752,Y4966c124,growth4966c124,Y4981c124,growth4981c124,Y4986c203,Y5004c222,growth5004c222,Y536c705,growth536c705,Y54c428,growth54c428,Y564c372,growth564c372,Y583c752,growth583c752,Y588c208,growth588c208,Y639c376,Y660c233,Y841c381,Y987c124,_merge,x,r2,s,sf
201011,293100,610,1276,13641150,11,0,0,0,0,0,0,0,0,0,1,0,145684,-.702911376953125,4125072,-.1589822769165039,136421,-.3865146636962891,118474,1.291853904724121,18673,.6219968795776367,765426,-.4571046829223633,6828707,-.1215944290161133,23967456,-.0201740264892578,1006283,-.3392534255981445,1051101,-.1752939224243164,13496283,-.0182609558105469,3188128,59366,-.39459228515625,15525208,9130685,.0839967727661133,6526,.0227823257446289,155297,.2077569961547852,10609760,-.0392704010009766,7033161,2344664,1156867,-.1375093460083008,395040,.6768970489501953,49226,-1.720810890197754,2904146,-.2600154876708984,2933212,.0432310104370117,3535054,-.0183963775634766,548142,-.3801813125610352,1448291,-.5632686614990234,32004,.6927099227905273,78582,11961,5085082,-.066554069519043,720715,87756,-.6940240859985352,554254,-.4944047927856445,1648273,.1638860702514648,6050211,.0118827819824219,1430461,.4056816101074219,1286183,-.3670797348022461,4014,334724,-.2688350677490234,12272,-.344599723815918,720556,-.1482334136962891,215160,-.4265003204345703,1748166,.2177190780639648,32209,-.379368782043457,44000,117462,3649182208,712508,matched (3),45784128,.88018906,5068356,9416146
201012,293100,611,1276,14685608,12,0,0,0,0,0,0,0,0,0,0,1,106065,-.317387580871582,4155615,.0073766708374023,206562,.4148550033569336,33467,-1.264133453369141,5611,-1.202349662780762,551279,-.3281917572021484,7060081,.0333213806152344,20645212,-.1492118835449219,1561702,.4395132064819336,807862,-.2632026672363281,14578049,.0771026611328125,3369326,1210,-3.893101215362549,17010016,10717132,.1602039337158203,8024,.2066431045532227,130537,-.1736822128295898,12453071,.1601943969726563,9486446,2731203,1141558,-.0133218765258789,459753,.1517019271850586,234567,1.561319351196289,2737220,-.0591964721679688,3389490,.1445817947387695,3062988,-.1433382034301758,708840,.2570953369140625,1780788,.2066717147827148,13562,-.8585891723632813,86390,12954,5499871,.0784130096435547,869227,127778,.3757343292236328,676999,.200047492980957,1733182,.0502309799194336,9462622,.4472570419311523,3412253,.8693752288818359,1483351,.1426248550415039,7746,174410,-.6518974304199219,24922,.7084312438964844,993187,.3208951950073242,111733,-.6552705764770508,1785621,.0211992263793945,43978,.3114433288574219,330000,153097,4580876800,588955,matched (3),39034004,.88018906,4650316.5,9197881
201101,293100,612,1276,27957164,01,0,0,0,0,0,0,0,0,0,0,0,3829484,3.586432456970215,5206109,.225372314453125,197631,-.0441989898681641,56411,.5221042633056641,16672,1.089001655578613,936315,.5297107696533203,7922471,.1152467727661133,26124792,.2354011535644531,1050907,-.396122932434082,1534651,.641667366027832,17197648,.1652565002441406,3910144,14888,2.509934902191162,21026684,10838560,.0112648010253906,6707,-.1792850494384766,557451,1.451717376708984,12946883,.0388870239257813,16233929,6087921,1278897,.1136035919189453,440628,-.0424880981445313,120331,-.6674947738647461,2710047,-.0099773406982422,5409701,.4675140380859375,3296340,.0734224319458008,370698,-.6482419967651367,1252598,-.3518362045288086,30848,.8218002319335938,211805,2191,5926856,.0747690200805664,131308,41730,-1.119074821472168,712462,.051055908203125,1186211,-.3791952133178711,12254420,.2585372924804688,4052197,.1718864440917969,1589232,.0689477920532227,14950,361616,.7291736602783203,16313,-.4237890243530273,816001,-.196502685546875,121341,.0824928283691406,2187152,.2028341293334961,240881,1.700613975524902,433000,165130,4890255872,648566,matched (3),48677420,.88018906,4204008,8980493
201102,293100,613,1276,18979704,02,1,0,0,0,0,0,0,0,0,0,0,2834802,-.3007574081420898,3630824,-.3603734970092773,246135,.2194786071777344,12705,-1.490668296813965,14057,-.1706104278564453,1292937,.3227195739746094,7095827,-.1101961135864258,23009912,-.1269607543945313,767093,-.3148002624511719,1337546,-.1374664306640625,19321920,.1164665222167969,3051385,12553,-.1705961227416992,21791128,9803035,-.1004180908203125,6470,-.0359764099121094,469835,-.1709928512573242,13085074,.0106163024902344,7617027,2714723,1084996,-.1644210815429688,320246,-.3191118240356445,146274,.1952352523803711,2669826,-.0149526596069336,5899110,.0866079330444336,3023308,-.086461067199707,252205,-.3851451873779297,1744006,.3309650421142578,29414,-.0476016998291016,416104,28322,5738528,-.0322904586791992,17824,104915,.9219303131103516,708956,-.0049324035644531,1047636,-.1242275238037109,11726811,-.0440101623535156,2652097,-.4239082336425781,2042237,.2507944107055664,8462,225439,-.4725332260131836,7321,-.8012151718139648,762706,-.0675430297851563,103113,-.1627788543701172,1288438,-.529170036315918,55592,-1.466263771057129,91000,127809,3766433792,571277,matched (3),32144888,.88018906,3879759.8,8833352
201103,293100,614,1276,23444652,03,0,1,0,0,0,0,0,0,0,0,0,3536665,.2212114334106445,4044689,.107945442199707,303154,.2083606719970703,91318,1.972352027893066,9003,-.4455623626708984,1886073,.3775806427001953,8149232,.1384162902832031,27025336,.1608505249023438,1405933,.6058483123779297,2435205,.5991945266723633,24307472,.2295436859130859,3259967,1252,-2.305216789245606,0,10034175,.0233058929443359,10107,.4460525512695313,385167,-.198704719543457,17999534,.3188743591308594,12422806,4160540,2629529,.885228157043457,649901,.7077302932739258,164277,.1160726547241211,5468863,.7170581817626953,6701706,.1275606155395508,4395220,.3741655349731445,1079527,1.454035758972168,4748054,1.00154972076416,24036,-.2019176483154297,274529,13341,6241452,.084010124206543,187938,118292,.1200056076049805,758942,.0681314468383789,1280799,.2009477615356445,12070862,.0289173126220703,4875502,.6088724136352539,2276097,.1084165573120117,9939,325351,.3668556213378906,45130,1.81879997253418,622531,-.2030792236328125,209949,.7110385894775391,1585765,.207636833190918,73887,.2844972610473633,1213000,282780,5321643520,750914,matched (3),18171160,.88018906,6884096.5,10505539
201104,293100,615,1276,27823872,04,0,0,1,0,0,0,0,0,0,0,0,3702423,.0458040237426758,3449335,-.1592235565185547,411778,.306243896484375,30140,-1.108494758605957,15681,.5548915863037109,582803,-1.174403190612793,7168914,-.128169059753418,30151524,.1094608306884766,1360858,-.0325860977172852,1248143,-.6683740615844727,20929866,-.1496067047119141,3638272,9400,2.01596736907959,0,9892820,-.0141887664794922,7250,-.3322267532348633,434285,.1200237274169922,17726064,-.0153102874755859,9480258,3428875,2227590,-.1658840179443359,381534,-.5326194763183594,74289,-.7935914993286133,7712273,.3437414169311523,5679517,-.1654958724975586,3955623,-.1053791046142578,910445,-.170344352722168,7180606,.4136495590209961,25028,.0404424667358398,342311,7452,6688801,.0692214965820313,15452,70062,-.5237751007080078,507001,-.403411865234375,1667990,.2641353607177734,13259677,.09393310546875,5561301,.1316089630126953,2274051,-.0008993148803711,13951,434462,.2892036437988281,58091,.2524633407592773,864308,.3281354904174805,125019,-.5183982849121094,1708373,.0744743347167969,58172,-.2391328811645508,569000,485627,5476519424,559009,matched (3),32981782,.88018906,6431918.5,10214947
201105,293100,616,1276,29167380,05,0,0,0,1,0,0,0,0,0,0,0,4225699,.1321964263916016,4389592,.2410545349121094,180838,-.8228826522827148,104095,1.239451408386231,14772,-.0597162246704102,1012677,.5525035858154297,8561902,.1775674819946289,34709808,.1407871246337891,1532391,.1187143325805664,1770028,.3493385314941406,20550612,-.0182857513427734,6807445,9427,.0028676986694336,16681777,10653661,.0740947723388672,7289,.0053644180297852,684623,.4551677703857422,21637924,.1994113922119141,7422622,2271688,1591108,-.3364896774291992,381668,.0003509521484375,169576,.8253383636474609,2653839,-1.066804885864258,6907955,.1958074569702148,3347903,-.166804313659668,958356,.0512857437133789,7567412,.0524673461914063,25438,.0162487030029297,187588,31077,7963766,.1744670867919922,151017,72252,.0307788848876953,965815,.6444587707519531,1795531,.0736808776855469,14046240,.0576267242431641,5184622,-.0701351165771484,3324464,.3797454833984375,5423,418222,-.0380964279174805,897,-4.170709609985352,577481,-.4032535552978516,143179,.1356296539306641,1891529,.1018438339233398,46946,-.2144060134887695,550000,650023,4785995776,653370,matched (3),38118116,.88018906,3043301.5,8499250
201106,293100,617,1276,35484376,06,0,0,0,0,1,0,0,0,0,0,0,3241285,-.2652139663696289,4418216,.006500244140625,202695,.114100456237793,33224,-1.142031669616699,31199,.7476530075073242,1233535,.1972866058349609,8728835,.0193099975585938,29055444,-.1778163909912109,1585067,.0337972640991211,1812550,.0237388610839844,23620996,.1392440795898438,5226786,10514,.1091299057006836,5804282,12083535,.1259403228759766,6374,-.1341390609741211,514290,-.2860813140869141,20854992,-.0368537902832031,8587093,1418016,2063337,.2598934173583984,950507,.9124441146850586,119992,-.3458766937255859,4587140,.5472488403320313,5859957,-.1645317077636719,4094547,.2013216018676758,1089556,.1283054351806641,7654631,.0114593505859375,34100,.2930536270141602,306550,3108,9059461,.1289072036743164,600534,147252,.7119855880737305,764837,-.2333097457885742,1791361,-.0023250579833984,8220814,-.5356845855712891,3796656,-.3115758895874023,2105099,-.4569463729858398,8762,523167,.2238883972167969,8062,2.195860862731934,695060,.1853227615356445,85304,-.5178747177124023,1357752,-.3315553665161133,64286,.3143444061279297,1164000,1156076,4874976256,944364,matched (3),52138732,.88018906,3866802,8827668
201107,293100,618,1276,24765204,07,0,0,0,0,0,1,0,0,0,0,0,2122141,-.4235448837280273,3956178,-.1104574203491211,186881,-.0812301635742188,28791,-.1432094573974609,21757,-.3604507446289063,1595267,.2571573257446289,7685060,-.1273536682128906,26777396,-.0816478729248047,1517295,-.0436973571777344,1408455,-.2522411346435547,20438200,-.1447296142578125,4680385,6433,-.4912662506103516,3788456,12443842,.0293827056884766,5563,-.1360893249511719,427235,-.1854524612426758,14878263,-.3376922607421875,7040332,992458,1443015,-.3575897216796875,413658,-.8319559097290039,198711,.5044269561767578,5455701,.1734046936035156,2515611,-.8456258773803711,3775353,-.0811614990234375,1011292,-.0745410919189453,1915288,-1.385442733764648,20369,-.5152835845947266,126980,1027,7457628,-.1945714950561523,10080,115328,-.2443647384643555,638713,-.1802072525024414,1624923,-.0975151062011719,4034829,-.7117061614990234,2303666,-.4996194839477539,1449064,-.3734445571899414,7389,408258,-.2480010986328125,2702,-1.093169212341309,585385,-.1717281341552734,185086,.7746000289916992,1301348,-.0424299240112305,133796,.7329740524291992,1173000,877650,5298021888,744151,matched (3),46484244,.88018906,4954238.5,9355215
201108,293100,619,1276,28314148,08,0,0,0,0,0,0,1,0,0,0,0,5458272,.944706916809082,3816326,-.0359907150268555,621625,1.201865196228027,65699,.8250207901000977,9462,-.8326520919799805,1018617,-.4485950469970703,9924714,.2557497024536133,32800656,.2028903961181641,1735264,.1342296600341797,1715834,.1974058151245117,17016664,-.1832122802734375,5487256,8483,.2766227722167969,1497534,8885257,-.3368330001831055,7200,.2579431533813477,399113,-.068089485168457,7946735,-.6271400451660156,6575583,1863357,1189795,-.1929540634155273,605426,.3808927536010742,195532,-.0161275863647461,3891039,-.3379850387573242,1699846,-.3919782638549805,4847287,.2499246597290039,1284689,.239288330078125,1309604,-.3801431655883789,24240,.1739902496337891,197194,8477,8186480,.0932464599609375,562129,364206,1.14993953704834,557943,-.1351985931396484,1972747,.1939668655395508,3494313,-.1438264846801758,1296777,-.5746192932128906,1399452,-.0348367691040039,17484,545428,.2896709442138672,17741,1.881885528564453,651302,.1067028045654297,156890,-.1652765274047852,1815465,.3329410552978516,97217,-.3193702697753906,1832000,397688,5316731904,1049649,matched (3),3976430.5,.88018906,6700659.5,10386261
201109,293100,620,1276,23534998,09,0,0,0,0,0,0,0,1,0,0,0,5409371,-.0089998245239258,4241431,.1056127548217773,401996,-.4358949661254883,21470,-1.118427276611328,19094,.7020902633666992,598208,-.5322628021240234,7919254,-.2257308959960938,26650070,-.2076568603515625,1070693,-.4828529357910156,991711,-.548222541809082,16030552,-.0596961975097656,5263596,1161,-1.988782405853272,0,6990370,-.2398595809936523,6252,-.141179084777832,281639,-.3486185073852539,7125307,-.1091079711914063,5555180,895177,3434269,1.060023307800293,269445,-.8095674514770508,93654,-.7361173629760742,2954962,-.2751903533935547,2425156,.3553581237792969,3786048,-.247096061706543,474554,-.9958972930908203,1879775,.3614273071289063,24015,-.0093250274658203,1186301,2176,8115421,-.0087175369262695,16651,102144,-1.271336555480957,824217,.3901777267456055,1424569,-.3255577087402344,2791907,-.2244119644165039,1098613,-.1658334732055664,1082737,-.2565889358520508,12159,465471,-.1585206985473633,17230,-.0292263031005859,868051,.2872772216796875,140849,-.1078557968139648,1445965,-.227564811706543,50440,-.6561613082885742,1407000,300751,4763989504,705254,matched (3),19909184,.88018906,5439303.5,9620894
201110,293100,621,1276,18565244,10,0,0,0,0,0,0,0,0,1,0,0,3518988,-.4299592971801758,4606502,.0825681686401367,438832,.0876741409301758,11439,-.6296281814575195,25549,.291224479675293,975624,.4891386032104492,6815229,-.1501369476318359,24503632,-.0839710235595703,1649919,.4324197769165039,978957,-.012944221496582,14483062,-.1015167236328125,3545322,6903,1.782674312591553,0,8799433,.2301540374755859,7854,.2281217575073242,295603,.0483903884887695,12384527,.55279541015625,4846797,1167888,1580919,-.7757978439331055,547140,.7083396911621094,54537,-.5407276153564453,4175415,.3457279205322266,2481902,.0231294631958008,4123254,.0853195190429688,835062,.5651311874389648,1749034,-.0720882415771484,33415,.3303260803222656,923166,6387,7010278,-.1463890075683594,148037,57355,-.5771236419677734,538399,-.4258346557617188,1849529,.2610616683959961,4147490,.3957786560058594,1647725,.4053468704223633,1954861,.5908269882202148,9800,504544,.0806055068969727,27280,.4595022201538086,627444,-.3245954513549805,191195,.3056049346923828,1746857,.1890420913696289,47039,-.0698070526123047,673000,265828,4931693568,708873,matched (3),17422854,.88018906,4969223.5,9363159
