period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1187c757,growth1187c757,Y1201c372,growth1201c372,Y1202c600,growth1202c600,Y1360c586,growth1360c586,Y1467c124,growth1467c124,Y1526c68,growth1526c68,Y1542c826,growth1542c826,Y1611c352,growth1611c352,Y1853c586,growth1853c586,Y2003c752,growth2003c752,Y2530c233,Y2561c642,Y2631c586,growth2631c586,Y2635c586,growth2635c586,Y2773c381,Y2775c344,Y2921c586,growth2921c586,Y2926c705,growth2926c705,Y2932c268,growth2932c268,Y3029c586,growth3029c586,Y3140c152,growth3140c152,Y3254c484,growth3254c484,Y3452c36,Y3605c484,growth3605c484,Y3693c344,Y3694c344,Y3883c348,growth3883c348,Y4004c586,growth4004c586,Y4085c218,Y4160c381,Y4233c191,growth4233c191,Y4284c222,growth4284c222,Y4358c218,Y4402c752,growth4402c752,Y4403c554,Y4412c208,growth4412c208,Y4429c68,growth4429c68,Y4480c218,Y4581c372,growth4581c372,Y4617c792,growth4617c792,Y4745c586,growth4745c586,Y4820c68,growth4820c68,Y4938c233,Y4945c703,growth4945c703,Y496c348,growth496c348,Y4980c344,Y5005c268,growth5005c268,Y588c376,Y718c616,growth718c616,Y894c222,growth894c222,_merge,x,r2,s,sf
201112,901849,623,4757,3556622,12,0,0,0,0,0,0,0,0,0,0,1,911136,.3405218124389648,3939303,.4429445266723633,31666,-.3200883865356445,377102,.4089374542236328,57419,.1215934753417969,696085,.043025016784668,1292307,-.0865049362182617,11806,.975703239440918,162771,.1708164215087891,1058326,.4566717147827148,1387538,243272,254516,.2723817825317383,1529897,.380518913269043,745391,1057535,115457,-.1527776718139648,218901,3.345582962036133,256881,.8579998016357422,564343,-.0365266799926758,136033,.323298454284668,5764367,.2220077514648438,777399,308849,.6346578598022461,114560,112328,48631,.0777759552001953,383872,-.4117250442504883,137094,3803064,6527,1.124059677124023,119257,.8464012145996094,259632,346871,.1148386001586914,63095,3998693,.5027475357055664,380986,.6057004928588867,413021,2246705,.7674655914306641,31423,.7159032821655273,52077,-.2216796875,52720,-1.289694786071777,763802,929765,.3816003799438477,74475,1.001527786254883,298486,133673,.6017370223999023,260000,37441,.4203853607177734,270258,.5040702819824219,matched (3),3705439.3,.91973144,196468.41,401117.34
201201,901849,624,4757,2829941,01,0,0,0,0,0,0,0,0,0,0,0,382966,-.8667459487915039,3432908,-.1375951766967773,12757,-.9091634750366211,377868,.0020294189453125,126937,.7933149337768555,635321,-.0913410186767578,1344456,.0395603179931641,4818,-.8962488174438477,301520,.6164922714233398,884676,-.1792221069335938,2226784,120391,206274,-.2101583480834961,1219503,-.2267570495605469,633868,610685,135311,.1586780548095703,3284,-4.199558258056641,76652,-1.20933723449707,894971,.4611291885375977,73312,-.6181735992431641,15324664,.9777679443359375,1168779,226784,-.3088541030883789,64960,98112,48407,-.0046167373657227,244105,-.4527111053466797,23904,136032,2906017,6.098590850830078,87579,-.3087396621704102,294071,200776,-.5467634201049805,24877,1687174,-.8629121780395508,257439,-.3919801712036133,1215159,1444130,-.4419574737548828,21289,-.3893489837646484,50016,-.0403804779052734,18063,-1.07112979888916,501295,482407,-.6561441421508789,1729,-3.762920379638672,137921,106919,-.2233257293701172,191000,27977,-.2913837432861328,171960,-.4521150588989258,matched (3),3570583,.91973144,172187.55,389799.75
201202,901849,625,4757,2668589,02,1,0,0,0,0,0,0,0,0,0,0,787234,.7205791473388672,3466628,.0097742080688477,17368,.3085489273071289,318217,-.1718120574951172,102629,-.2125701904296875,576723,-.0967683792114258,1501000,.110142707824707,237,-3.012053966522217,140982,-.7602043151855469,863329,-.0244255065917969,2803475,147557,90734,-.8212728500366211,1273953,.0436811447143555,482412,988309,80526,-.5189962387084961,3143,-.04388427734375,110696,.3675117492675781,592838,-.411870002746582,186080,.931452751159668,10906642,-.3400917053222656,514563,216816,-.0449495315551758,31756,28951,45372,-.0647487640380859,190111,-.2499904632568359,116258,621250,6612,-6.085652351379395,50336,-.5538206100463867,246975,201759,.0048847198486328,23028,1933891,.1364784240722656,222578,-.1455049514770508,1021656,661925,-.7801103591918945,34905,.4944391250610352,19195,-.9576930999755859,57236,1.153317451477051,632345,360415,-.2915315628051758,860,-.6983661651611328,282780,138950,.2620429992675781,121000,24809,-.1201763153076172,172625,.0038595199584961,matched (3),2587861.3,.91973144,180869.69,393712
201203,901849,626,4757,2420510,03,0,1,0,0,0,0,0,0,0,0,0,372925,-.7471475601196289,2289448,-.4148712158203125,7523,-.8366641998291016,458668,.3655939102172852,91614,-.1135358810424805,559210,-.0308370590209961,1437378,-.0433111190795898,8918,3.627767086029053,69448,-.7080535888671875,487117,-.572291374206543,1463146,487013,275502,1.110662460327148,799423,-.4659900665283203,367608,416620,36357,-.7951927185058594,3699,.1628847122192383,82879,-.2894058227539063,688672,.1498432159423828,55236,-1.214561462402344,8750021,-.2203149795532227,337076,202192,-.0698308944702148,13113,62980,85582,.6345796585083008,319030,.5176773071289063,54375,1995476,241061,3.596163749694824,112598,.8051033020019531,1049667,76394,-.9711704254150391,43170,2274823,.1623687744140625,189731,-.1596708297729492,613341,425702,-.4414129257202148,9422,-1.309582710266113,129325,1.907678604125977,67381,.1631803512573242,643958,290514,-.2156047821044922,25227,3.378737449645996,252843,84791,-.4939250946044922,126000,26296,.0582103729248047,208542,.1890192031860352,matched (3),2352795.5,.91973144,216557.89,411330.31
201204,901849,627,4757,3322811,04,0,0,1,0,0,0,0,0,0,0,0,378052,.0136537551879883,3923507,.5386743545532227,18156,.8810358047485352,583171,.2401533126831055,42520,-.7676095962524414,339264,-.4997463226318359,1686129,.1596145629882813,2764,-1.171392917633057,180864,.9571666717529297,607282,.2204885482788086,3054005,493951,245148,-.1167325973510742,1252098,.4486856460571289,785495,251428,111331,1.119120597839356,4970,.2953577041625977,349852,1.440128326416016,488759,-.3428955078125,34524,-.4699602127075195,11683797,.2891473770141602,353502,358860,.5737142562866211,45945,118978,90884,.0601091384887695,338651,.0596847534179688,78882,293473,10174,-3.165214538574219,66353,-.5288352966308594,192934,122446,.471766471862793,74122,2317565,.0186147689819336,232681,.2040615081787109,754006,552692,.2610616683959961,12869,.3117742538452148,75455,-.5387916564941406,92239,.3140201568603516,719422,417042,.3615350723266602,73128,1.064296722412109,275701,26655,-1.157212257385254,100000,30408,.145289421081543,226629,.0831737518310547,matched (3),3255318.5,.91973144,126546.87,371899.72
201205,901849,628,4757,3576543,05,0,0,0,1,0,0,0,0,0,0,0,1423087,1.325551986694336,3480702,-.1197519302368164,47766,.9673137664794922,749452,.2508621215820313,187245,1.482442855834961,778535,.8306350708007813,1438581,-.158778190612793,1178,-.8528609275817871,75023,-.8799505233764648,987720,.4864063262939453,2569758,576366,273785,.1104812622070313,1044926,-.1808738708496094,924287,710743,39370,-1.039504051208496,6683,.296147346496582,195383,-.5825481414794922,777309,.4639682769775391,159944,1.533168792724609,5927546,-.678593635559082,630686,381116,.0601711273193359,119218,95063,42997,-.7484540939331055,148962,-.8212785720825195,309529,605738,10342,.0163784027099609,83359,.2281675338745117,313652,90099,-.3067607879638672,62550,1632695,-.350285530090332,280819,.1880416870117188,923879,1920247,1.245408058166504,52977,1.415036201477051,72072,-.0458707809448242,9993,-2.222497940063477,858653,484675,.1502923965454102,109666,.4052286148071289,296044,115980,1.470440864562988,67000,20837,-.3779754638671875,179473,-.2332897186279297,matched (3),3427137.8,.91973144,134871.17,374814
201206,901849,629,4757,4050553,06,0,0,0,0,1,0,0,0,0,0,0,1643104,.1437587738037109,2641122,-.2760295867919922,2713,-2.868259429931641,377588,-.6855392456054688,37022,-1.620904922485352,765871,-.0164003372192383,1555725,.0782842636108398,6069,1.639375686645508,257213,1.232110023498535,900482,-.0924692153930664,1315844,998189,242602,-.1209211349487305,1409088,.2989959716796875,1214396,305116,47578,.189366340637207,2641,-.9284095764160156,251773,.253565788269043,702226,-.1015825271606445,83936,-.6447696685791016,11224448,.638484001159668,1368153,390610,.0246057510375977,41247,57088,48776,.1261081695556641,349314,.8522796630859375,41760,422627,7338,-.3431472778320313,22821,-1.295475006103516,470603,92855,.0301294326782227,21373,2380090,.3769063949584961,257188,-.0879030227661133,869615,1070913,-.5839424133300781,85158,.4746503829956055,51751,-.3312215805053711,70361,1.951753616333008,500226,874335,.5899848937988281,335734,1.118879318237305,296657,109363,-.0587453842163086,122000,31288,.4065046310424805,207643,.1457948684692383,matched (3),4132482.8,.91973144,151582.22,381146.25
201207,901849,630,4757,4702830,07,0,0,0,0,0,1,0,0,0,0,0,2802453,.5339078903198242,3164681,.1808481216430664,5574,.720057487487793,506129,.2929887771606445,179352,1.577837944030762,565479,-.3033409118652344,1847671,.1719846725463867,12184,.696929931640625,92372,-1.024080276489258,950118,.0536556243896484,1006096,534887,258303,.0627107620239258,1302854,-.0783853530883789,1453517,440478,68719,.3676557540893555,4679,.5719270706176758,265424,.0528011322021484,734811,.0453586578369141,64087,-.2698125839233398,11349088,.0110435485839844,1273876,438784,.116297721862793,94394,131632,212538,1.471882820129395,426214,.1989707946777344,18805,637576,17146,.848698616027832,94577,1.421732902526856,242066,81664,-.1284255981445313,71035,1933244,-.2079391479492188,516244,.696772575378418,1033766,401881,-.9801101684570313,146336,.5413970947265625,69727,.2981433868408203,80278,.1318569183349609,799148,828412,-.0539531707763672,2339844,1.941520690917969,345503,200845,.6078615188598633,228000,53793,.5419082641601563,228841,.0972080230712891,matched (3),4889719,.91973144,171380.72,389444.03
201208,901849,631,4757,3534717,08,0,0,0,0,0,0,1,0,0,0,0,2304767,-.1955156326293945,3144210,-.0064897537231445,12428,.8018398284912109,424074,-.1768836975097656,3791361,3.051129341125488,350755,-.4775848388671875,1706221,-.0796451568603516,740,-2.801228523254395,171997,.6216526031494141,909242,-.0439748764038086,2323586,117683,227288,-.1279153823852539,1107704,-.1622676849365234,1128053,92729,57824,-.1726217269897461,6462,.3228540420532227,211244,-.2283153533935547,397421,-.6146173477172852,46365,-.3236970901489258,10552837,-.0727424621582031,811197,351105,-.2229213714599609,78727,85099,88462,-.8765478134155273,856362,.6977510452270508,57717,118135,12172,-.3426265716552734,73563,-.2512722015380859,356224,59880,-.3102703094482422,32277,1658215,-.1534576416015625,333280,-.437596321105957,783214,332481,-.1895732879638672,58231,-.9214878082275391,60364,-.1441946029663086,50194,-.4696006774902344,581696,780028,-.0601806640625,1088187,-.7655715942382813,320492,216765,.0762796401977539,167000,20089,-.9849710464477539,187621,-.198603630065918,matched (3),3801406.3,.91973144,126410.54,371853.34
201209,901849,632,4757,3429482,09,0,0,0,0,0,0,0,1,0,0,0,1986,-7.056612014770508,2666527,-.1647853851318359,47467,1.340082168579102,351405,-.1879692077636719,56751,-4.201807022094727,672515,.6509361267089844,895926,-.6441783905029297,2365,1.161882877349854,146836,-.1581602096557617,852650,-.0642623901367188,744332,21502,232624,.0232057571411133,1072000,-.0327634811401367,1105106,198736,39762,-.3744926452636719,4128,-.448145866394043,202047,-.0445137023925781,454283,.1337242126464844,72922,.452845573425293,8556733,-.2096767425537109,750633,229566,-.4248952865600586,80637,69608,100630,.1288776397705078,263174,-1.179877281188965,43107,760518,4066,-1.096478462219238,53055,-.326812744140625,204537,71008,.1704492568969727,32130,1518388,-.0880918502807617,324824,-.0256996154785156,783349,39098,-2.140511512756348,128548,.7918853759765625,44147,-.3128681182861328,30240,-.5067291259765625,653910,471706,-.5029745101928711,1954,-6.322389602661133,293916,79927,-.9976997375488281,125000,28309,.3430070877075195,223032,.1728906631469727,matched (3),3341038.5,.91973144,152255.92,381414.69
201210,901849,633,4757,4022570,10,0,0,0,0,0,0,0,0,1,0,0,145661,4.295159339904785,2215311,-.1853837966918945,25590,-.617833137512207,418616,.1750154495239258,96863,.5346250534057617,921642,.3151330947875977,971225,.0806999206542969,11126,1.548507213592529,64029,-.8299808502197266,995002,.1543960571289063,1846045,70086,228580,-.0175371170043945,1304437,.1962451934814453,892313,573902,71222,.582890510559082,12751,1.127817153930664,214198,.0584011077880859,617475,.3069181442260742,199140,1.004617691040039,13247440,.4370861053466797,1322392,471160,.7190074920654297,15104,119833,282989,1.033957481384277,619319,.8558053970336914,66527,559400,29664,1.987274169921875,180271,1.223132133483887,250739,402972,1.736074447631836,78042,2312628,.4207353591918945,386637,.1742029190063477,377426,107663,1.012934684753418,88204,-.3766508102416992,29180,-.4140415191650391,151677,1.612586975097656,681304,510175,.0783987045288086,216938,4.709733009338379,501021,108466,.305323600769043,325000,47758,.5229673385620117,242267,.0827255249023438,matched (3),3989162,.91973144,134895.09,374822.59
201211,901849,634,4757,3785444,11,0,0,0,0,0,0,0,0,0,1,0,142293,-.0233936309814453,2275305,.0267210006713867,60372,.8583240509033203,282248,-.3941688537597656,84059,-.1417789459228516,613101,-.4076271057128906,1520385,.4481611251831055,9537,-.1541061401367188,91017,.351710319519043,1090034,.0912189483642578,1504083,18000,177079,-.2552900314331055,928099,-.340388298034668,453508,983694,49657,-.3606624603271484,3579,-1.270526885986328,129454,-.503575325012207,337495,-.6040878295898438,104582,-.6440362930297852,20439552,.4336681365966797,394705,520193,.0990018844604492,60616,86297,385751,.309783935546875,288517,-.7638673782348633,87471,1764761,3854,-2.040822982788086,104083,-.5492725372314453,309322,528244,.2706918716430664,23853,1970997,-.1598453521728516,377448,-.0240535736083984,1176596,281070,.9595975875854492,31665,-1.024439811706543,50913,.5566349029541016,67200,-.8140792846679688,670943,506063,-.0080928802490234,2896331,2.591588020324707,425440,100000,-.0812673568725586,298000,34221,-.3333072662353516,182045,-.2857866287231445,matched (3),3728874.5,.91973144,223949.56,415269.44
201212,901849,635,4757,2911229,12,0,0,0,0,0,0,0,0,0,0,1,184227,.2582807540893555,1760956,-.2562570571899414,1797,-3.514406681060791,249062,-.1250839233398438,81768,-.0276327133178711,890177,.3728904724121094,1421968,-.0669221878051758,5892,-.4815835952758789,181231,.6887264251708984,899870,-.1917133331298828,1316167,36045,194326,.0929412841796875,1381801,.3980045318603516,470815,780135,49261,-.0080070495605469,6696,.6264266967773438,163276,.23211669921875,497221,.3874835968017578,104150,-.0041389465332031,7425938,-1.012493133544922,613153,231091,-.8113880157470703,97811,93440,15239,-3.231334686279297,381560,.2795143127441406,64623,3490103,13992,1.289374351501465,37716,-1.015104293823242,211789,322145,-.4945564270019531,19487,3955706,.696619987487793,611608,.4826583862304688,811737,174931,-.474212646484375,78606,.909235954284668,53619,.0517854690551758,156052,.8425159454345703,500462,518254,.0238037109375,1279211,-.8172006607055664,389285,222076,.7978496551513672,204000,19875,-.5433769226074219,232585,.2450017929077148,matched (3),2918485,.91973144,169081.34,388437.63
201301,901849,636,4757,2856182,01,0,0,0,0,0,0,0,0,0,0,0,1899,-4.574841499328613,2583872,.3834323883056641,8996,1.610661029815674,376929,.4143552780151367,55540,-.3867826461791992,693423,-.2497806549072266,1239540,-.1373014450073242,1643,-1.277071475982666,113633,-.4667987823486328,806458,-.1095991134643555,2237433,60629,341029,.5624303817749023,779374,-.5726518630981445,458077,479344,43828,-.1168594360351563,8302,.2149868011474609,128778,-.2373523712158203,371478,-.2915449142456055,126962,.1980552673339844,5324827,-.3325986862182617,2064180,430832,.6229066848754883,13166,72661,38917,.9375734329223633,309456,-.2094516754150391,52111,1122863,8063,-.5511999130249023,76787,.7109508514404297,565115,70891,-1.513858795166016,9021,3400705,-.1511764526367188,221042,-1.017738342285156,1520679,128884,-.3054780960083008,33255,-.8602428436279297,58309,.0838527679443359,44723,-1.249701499938965,824906,490372,-.0553007125854492,941147,-.3069000244140625,264206,61134,-1.289951324462891,116000,113,-5.169829845428467,206394,-.1194686889648438,matched (3),2872023.8,.91973144,144264.64,378295.63
