period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1090c124,growth1090c124,Y1233c792,growth1233c792,Y1273c688,growth1273c688,Y1344c348,growth1344c348,Y1500c68,growth1500c68,Y1507c484,growth1507c484,Y1606c826,growth1606c826,Y1615c152,growth1615c152,Y1714c152,growth1714c152,Y1765c484,growth1765c484,Y1827c152,growth1827c152,Y1973c124,growth1973c124,Y1990c826,growth1990c826,Y2120c372,growth2120c372,Y2142c124,growth2142c124,Y2218c752,growth2218c752,Y2295c484,growth2295c484,Y230c376,Y2695c484,growth2695c484,Y2773c251,growth2773c251,Y2845c372,growth2845c372,Y2892c826,growth2892c826,Y2899c208,growth2899c208,Y2932c498,Y3064c208,growth3064c208,Y3088c152,growth3088c152,Y3120c208,growth3120c208,Y3440c124,growth3440c124,Y3474c124,growth3474c124,Y3727c616,growth3727c616,Y3926c32,Y403c124,growth403c124,Y4138c344,Y4197c484,growth4197c484,Y4215c124,growth4215c124,Y4259c152,growth4259c152,Y4328c124,growth4328c124,Y4392c191,growth4392c191,Y4459c620,growth4459c620,Y4466c124,growth4466c124,Y4477c124,growth4477c124,Y4580c68,growth4580c68,Y4752c484,growth4752c484,Y4918c152,growth4918c152,Y4930c152,growth4930c152,Y4989c616,growth4989c616,Y592c344,Y712c233,Y717c246,growth717c246,Y841c152,growth841c152,_merge,x,r2,s,sf
201507,760429,666,3578,1959057,07,0,0,0,0,0,1,0,0,0,0,0,1546776,-.0170688629150391,164545,-.5457582473754883,117500,-.1752185821533203,69094,2.939644813537598,3386197,.6895303726196289,4768996,.1201057434082031,430414,-.2342824935913086,705697,.4020795822143555,2070193,-.0727872848510742,12791333,-.0219249725341797,25189568,-.0643711090087891,3226623,.0586309432983398,1063970,.4186735153198242,8606416,.000676155090332,2347895,.0951337814331055,4217,-3.353015899658203,7267456,-.0621843338012695,684000,77389,-.5883522033691406,1977958,-.1036844253540039,94104,-.4239463806152344,3015876,-.1268997192382813,5949768,.133601188659668,34683,28982,-1.888964653015137,1789507,.4475240707397461,900096,.1305027008056641,1295163,-.5505714416503906,13461434,-.0697593688964844,223663,.0987634658813477,143236,1615771,-.0871524810791016,1524899,452685504,-.0361595153808594,39285228,.0937747955322266,4544231,.0487689971923828,333586,-.0167951583862305,139374,-.3785686492919922,19507,.2032604217529297,24400032,-.1771068572998047,8214998,-.0874929428100586,18858736,.3685741424560547,197719,1.292082786560059,901131,.1230478286743164,6448481,.391047477722168,2730114,.0072221755981445,8425984,3699807,1600945,-.2240133285522461,258769808,-.3430671691894531,matched (3),1730671.4,.87647891,184537.44,366421.03
201508,760429,667,3578,1899809,08,0,0,0,0,0,0,1,0,0,0,0,1330402,-.1506919860839844,159112,-.0335760116577148,106000,-.1029987335205078,174,-5.984167575836182,2594759,-.2662143707275391,4497047,-.0587148666381836,304463,-.3461980819702148,535699,-.2756128311157227,1783604,-.1490058898925781,14828548,.1477851867675781,25257968,.0027122497558594,2224371,-.3719625473022461,885792,-.1832799911499023,8537592,-.0080289840698242,1907266,-.2078485488891602,468,-2.198410511016846,4777585,-.4194707870483398,779000,130729,.5242815017700195,1346493,-.3845615386962891,116307,.2118320465087891,2083670,-.3697595596313477,4811788,-.2122831344604492,37907,164633,1.737043380737305,1813700,.0134286880493164,729703,-.2098636627197266,1112241,-.1522598266601563,14170984,.0513687133789063,134640,-.5075359344482422,113550,1465371,-.0977029800415039,511031,366191392,-.2120418548583984,35702128,-.0956382751464844,3438927,-.2786998748779297,288071,-.1466941833496094,109831,-.2382183074951172,20923,.0700759887695313,23696484,-.0292587280273438,8142169,-.0089044570922852,23482178,.2192649841308594,75779,-.9590253829956055,1126346,.22308349609375,5870744,-.0938634872436523,2334367,-.1566028594970703,7859465,2852211,3877734,.8846569061279297,203956288,-.2380313873291016,matched (3),1943067.6,.87647891,170888.45,359740.44
201509,760429,668,3578,1940448,09,0,0,0,0,0,0,0,1,0,0,0,1352167,.0162277221679688,171711,.0762042999267578,130000,.2040948867797852,64959,5.92245626449585,2336200,-.1049680709838867,4896529,.0851058959960938,1616464,1.66944694519043,484890,-.0996503829956055,1937391,.0827054977416992,14547664,-.0191230773925781,21890376,-.1430950164794922,2646932,.1739273071289063,788201,-.116729736328125,9422387,.0986099243164063,2502823,.2717485427856445,836,.5801601409912109,7867674,.4988269805908203,1011000,215670,.5006227493286133,1212806,-.1045665740966797,125550,.0764713287353516,2709958,.2628021240234375,5606484,.1528549194335938,43369,316775,.6544733047485352,1382408,-.2715415954589844,949489,.2632865905761719,1197343,.0737285614013672,14393560,.0155849456787109,322337,.8729925155639648,351615,1677535,.1352167129516602,1302047,381169344,.0400886535644531,24791812,-.3646965026855469,3440740,.0005273818969727,187227,-.4308853149414063,307114,1.028276443481445,23624,.1214141845703125,25295226,.0652885437011719,8163191,.0025787353515625,27718512,.1658592224121094,389175,1.636207580566406,1234071,.0913400650024414,6056438,.0311403274536133,3114551,.2883443832397461,8166651,4280142,2483505,-.4455795288085938,221984816,.0847015380859375,matched (3),2226169.3,.87647891,220291.88,385666.72
201510,760429,669,3578,1557121,10,0,0,0,0,0,0,0,0,1,0,0,1650606,.1994342803955078,271377,.4576959609985352,97000,-.2928228378295898,8093,-2.082756996154785,2177151,-.0705080032348633,4445637,-.0966033935546875,380217,-1.447254180908203,715604,.3892049789428711,1967245,.0152921676635742,14586560,.0026702880859375,21537420,-.0162563323974609,2964150,.1131887435913086,755265,-.0426836013793945,8889845,-.0581798553466797,2435888,-.0271081924438477,721,-.1479892730712891,6600990,-.1755428314208984,701000,141330,-.4226522445678711,901786,-.2963151931762695,70698,-.5742864608764648,3315835,.2017765045166016,5202250,-.0748329162597656,34109,209443,-.4137401580810547,1763071,.243229866027832,832043,-.1320400238037109,1018863,-.1614179611206055,13805450,-.041717529296875,483990,.4064674377441406,94984,1558385,-.0736751556396484,504001,485012096,.2409305572509766,40036188,.4792709350585938,4058627,.1651582717895508,874169,1.540952682495117,275220,-.1096487045288086,17158,-.3197994232177734,25740458,.0174484252929688,8505690,.0411005020141602,25199340,-.0952835083007813,211110,-.6116495132446289,997640,-.212681770324707,4684718,-.2568159103393555,3012526,-.0333061218261719,15675285,3614901,3751705,.4125394821166992,165603280,-.2930126190185547,matched (3),1701702.4,.87647891,138396.45,345490.78
201511,760429,670,3578,940589,11,0,0,0,0,0,0,0,0,0,1,0,1628809,-.0132932662963867,182309,-.3978052139282227,315140,1.178305625915527,36922,1.517807960510254,1179435,-.6129817962646484,4997740,.1170625686645508,293696,-.2581968307495117,495047,-.3684749603271484,984352,-.6924057006835938,12018923,-.1936187744140625,19080794,-.1211090087890625,2640989,-.1154365539550781,754126,-.0015096664428711,8792025,-.0110635757446289,2208186,-.098139762878418,807,.1126842498779297,3631858,-.5974750518798828,544000,124491,-.1268634796142578,514163,-.5618371963500977,136144,.6552953720092773,2436353,-.3082075119018555,4503769,-.1441764831542969,25100,198174,-.0553064346313477,1633535,-.0763101577758789,770537,-.0767965316772461,860442,-.1689968109130859,13597621,-.0151691436767578,294062,-.4982738494873047,123339,1467452,-.0601224899291992,282916,415142080,-.1555538177490234,21212216,-.6352062225341797,4513667,.1062650680541992,202422,-1.462919235229492,184659,-.3990592956542969,10535,-.4877605438232422,21603140,-.1752243041992188,7626159,-.1091518402099609,26860422,.0638370513916016,86269,-.8949089050292969,907243,-.0949821472167969,3387666,-.3241643905639648,3010538,-.0006599426269531,10027493,2762408,844130,-1.491659164428711,245167472,.3923454284667969,matched (3),1059463.6,.87647891,189345.19,368865.69
201512,760429,671,3578,987319,12,0,0,0,0,0,0,0,0,0,0,1,1144231,-.3531169891357422,319004,.5595006942749023,353469,.1147785186767578,936,-3.674946784973145,2919112,.9062442779541016,4237465,-.1650209426879883,249519,-.1630105972290039,450442,-.0944232940673828,1460318,.3944263458251953,12381398,.0297126770019531,32644182,.5369853973388672,2472504,-.0659217834472656,734465,-.0264167785644531,9795452,.1080732345581055,2290916,.0367803573608398,1294,.4721698760986328,5012365,.3221635818481445,509000,66869,-.6214981079101563,945766,.6094551086425781,77048,-.5692844390869141,2859528,.1601543426513672,4986528,.1018257141113281,72083,210895,.0622148513793945,2116368,.2589550018310547,972064,.2323341369628906,849479,-.0128231048583984,10412485,-.2668895721435547,460361,.4482202529907227,494211,1570330,.0677576065063477,322243,412957504,-.0052757263183594,26125128,.2083187103271484,3201101,-.3436145782470703,333053,.4979467391967773,203730,.0982847213745117,17518,.5085258483886719,22088842,.0222339630126953,7832763,.0267314910888672,32030214,.176025390625,446835,1.644719123840332,677234,-.292393684387207,4239446,.2242908477783203,3451711,.1367511749267578,11572375,2337012,1608250,.6445951461791992,185811904,-.2772064208984375,matched (3),1187079.1,.87647891,205708.27,377526.41
201601,760429,672,3578,1579247,01,0,0,0,0,0,0,0,0,0,0,0,1376309,.1846733093261719,330296,.034785270690918,369579,.0445690155029297,32109,3.535276412963867,1782593,-.4932107925415039,4250735,.0031270980834961,306967,.2072057723999023,575642,.2452564239501953,1622474,.1052970886230469,12468615,.0070209503173828,35363004,.0799980163574219,3111748,.2299528121948242,1234354,.519160270690918,8663472,-.122802734375,2100174,-.0869321823120117,40010,3.43139123916626,4112282,-.1979303359985352,569000,380360,1.738382339477539,551580,-.5392084121704102,66251,-.1509780883789063,3041565,.0617160797119141,6279182,.230499267578125,0,247511,.16009521484375,2449091,.1460151672363281,1023403,.0514669418334961,721035,-.1639347076416016,11332353,.08465576171875,316502,-.3746814727783203,325045,1766911,.1179475784301758,499946,437679392,.0581417083740234,26949092,.0310535430908203,3765905,.1624927520751953,310015,-.071681022644043,98947,-.7222118377685547,22267,.2398767471313477,22212440,.0055789947509766,6520466,-.1833696365356445,24710508,-.2594509124755859,205956,-.7745275497436523,634363,-.0653953552246094,3867577,-.0918045043945313,2203611,-.4487724304199219,10822552,0,1682591,.0451879501342773,180202768,-.0306510925292969,matched (3),1410891.3,.87647891,224879.38,388305.34
201602,760429,673,3578,1340966,02,1,0,0,0,0,0,0,0,0,0,0,1313016,-.0470790863037109,294389,-.1150875091552734,99328,-1.313937187194824,43605,.306035041809082,1588676,-.1151676177978516,4671232,.0943307876586914,272944,-.1174736022949219,458437,-.2276630401611328,1562991,-.0373506546020508,11475359,-.0830135345458984,17361860,-.7113895416259766,3069235,-.0137557983398438,437915,-1.036277770996094,8734765,.0081949234008789,1926410,-.0863618850708008,5776,-1.935418128967285,4482345,.0861682891845703,337000,224890,-.5255060195922852,510468,-.077458381652832,43303,-.4252290725708008,3284348,.0767955780029297,7530902,.1817750930786133,97466,137679,-.5865306854248047,1812411,-.3010587692260742,1102890,.0748004913330078,630307,-.1344814300537109,12067719,.0628738403320313,301132,-.0497808456420898,211504,1518854,-.1512765884399414,202063,416136128,-.0504741668701172,33637328,.2216854095458984,3342170,-.1193675994873047,158470,-.6710548400878906,207107,.7386512756347656,19346,-.140620231628418,24421656,.094818115234375,6795566,.0413246154785156,19152872,-.2547760009765625,422497,.7185201644897461,612529,-.0350246429443359,3068664,-.2313852310180664,2201450,-.000981330871582,5569571,3009458,2456067,.3782272338867188,75325552,-.8722648620605469,matched (3),1455701,.87647891,196731.27,372711
201603,760429,674,3578,1856894,03,0,1,0,0,0,0,0,0,0,0,0,1775440,.3017215728759766,210802,-.3339824676513672,83935,-.1683845520019531,59840,.316502571105957,1848760,.1516141891479492,5325482,.1310806274414063,389141,.35467529296875,390332,-.1608247756958008,2590029,.5050678253173828,11952293,.0407218933105469,22577568,.2626800537109375,4441208,.3694972991943359,718700,.4954185485839844,9676488,.1023874282836914,2925219,.4177112579345703,2510,-.8334283828735352,4870968,.0831470489501953,805000,228222,.0147066116333008,467134,-.0887117385864258,44288,.0224924087524414,3204325,-.0246667861938477,7492206,-.0051507949829102,113204,297967,.7720584869384766,2789405,.4311704635620117,797132,-.3246688842773438,851794,.3011379241943359,12830579,.0612964630126953,242831,-.2151832580566406,438461,1852063,.1983432769775391,346262,533939360,.2492694854736328,28000212,-.1834239959716797,3867795,.1460638046264648,358790,.8171720504760742,291451,.3416366577148438,45032,.8448877334594727,28747928,.1630954742431641,9675766,.3533535003662109,23615614,.2094554901123047,49961,-2.134939193725586,533782,-.137608528137207,3255967,.0592470169067383,2907414,.2781476974487305,7857811,3311152,1783671,-.3198881149291992,210918000,1.029651641845703,matched (3),1631171.9,.87647891,170478.13,359545.69
201604,760429,675,3578,1415719,04,0,0,1,0,0,0,0,0,0,0,0,1401357,-.236607551574707,203190,-.0367774963378906,350985,1.430700302124023,42220,-.348780632019043,1469149,-.229832649230957,4995604,-.0639457702636719,288206,-.3002662658691406,233235,-.5149507522583008,1915127,-.301884651184082,10522687,-.1273899078369141,19885460,-.1269664764404297,3776891,-.1620244979858398,641331,-.1138982772827148,8814586,-.0932903289794922,2725420,-.0707464218139648,123,-3.015853881835938,4238675,-.139042854309082,621000,41529,-1.703926086425781,462182,-.0106582641601563,19531,-.8187112808227539,2194380,-.3786020278930664,6679263,-.1148557662963867,106474,208196,-.3585033416748047,968315,-1.058026313781738,802063,.0061664581298828,1058388,.2171573638916016,12575737,-.0200614929199219,276008,.1280641555786133,227380,1331341,-.330113410949707,151866,527321120,-.0124721527099609,27122782,-.0318374633789063,3528271,-.0918760299682617,313799,-.1339855194091797,213326,-.3120508193969727,23728,-.6407175064086914,33278800,.1463546752929688,7192857,-.2965354919433594,20704744,-.1315460205078125,3452,-2.67228889465332,488688,-.0882635116577148,3079029,-.0558757781982422,2534520,-.1372594833374023,7708601,3023698,1280441,-.3314685821533203,167266976,-.2318782806396484,matched (3),1791054.3,.87647891,142242.14,347049.19
