period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1258c757,growth1258c757,Y1273c152,growth1273c152,Y1280c752,growth1280c752,Y1363c32,Y1436c191,growth1436c191,Y1511c152,growth1511c152,Y1540c222,growth1540c222,Y1623c484,growth1623c484,Y1652c376,Y1769c124,growth1769c124,Y1771c484,growth1771c484,Y1916c586,growth1916c586,Y1967c124,Y1968c124,growth1968c124,Y1992c124,growth1992c124,Y2015c703,growth2015c703,Y2056c586,growth2056c586,Y2132c752,growth2132c752,Y2419c124,growth2419c124,Y2509c484,growth2509c484,Y2690c826,growth2690c826,Y2855c792,growth2855c792,Y2934c251,growth2934c251,Y3008c484,growth3008c484,Y3114c124,growth3114c124,Y3136c586,growth3136c586,Y3276c616,growth3276c616,Y3333c300,growth3333c300,Y3584c124,growth3584c124,Y3677c218,Y3734c124,Y3771c484,growth3771c484,Y4237c440,Y4276c68,growth4276c68,Y4285c484,growth4285c484,Y4512c348,growth4512c348,Y4634c792,growth4634c792,Y476c208,growth476c208,Y4797c818,Y4849c344,Y4935c620,growth4935c620,Y4936c348,growth4936c348,Y4951c124,growth4951c124,Y4952c752,growth4952c752,Y561c124,growth561c124,Y583c68,growth583c68,Y583c826,growth583c826,Y829c268,growth829c268,Y842c251,growth842c251,Y89c251,_merge,x,r2,s,sf
201304,841391,639,3842,67463392,04,0,0,1,0,0,0,0,0,0,0,0,429897,.7937202453613281,3180677,.1307458877563477,85605,-.3381481170654297,2306113,959806,.8610725402832031,1168337,.7291498184204102,444453,1.243314743041992,5103298,-.1742916107177734,1236000,3201933,.1280488967895508,2213204,.2263755798339844,18082,1.462216377258301,972182,19395492,.2319965362548828,9939451,.0812911987304688,1165,.8783912658691406,122086,.0054206848144531,1564333,-.0873250961303711,355333,.0284099578857422,1918873,.8146200180053711,296514,.0276556015014648,18580808,.0897197723388672,2773253,.4827747344970703,100561,.1184377670288086,5614751,-.3513469696044922,1130620,.2376117706298828,1027724,.1430578231811523,73314,.2989025115966797,130939984,.0777397155761719,74565,2605355,1508361,.0703907012939453,90771,39409,.0162191390991211,35597880,.1375923156738281,8843195,.0464286804199219,524772,-.4684267044067383,185411,.2656002044677734,462249,156075,1023715,.4681062698364258,39135,.6805782318115234,1631125,-.1521053314208984,3604042,.2187004089355469,1793225,-.209507942199707,7646,1.278059959411621,21779424,.8045768737792969,3038508,.3474626541137695,501556768,.5693912506103516,5543132,matched (3),67443944,.90353292,3543568.8,5757333
201305,841391,640,3842,73730200,05,0,0,0,1,0,0,0,0,0,0,0,333546,-.2537651062011719,2721952,-.1557445526123047,112965,.2773342132568359,3750638,668690,-.3614110946655273,927018,-.2313642501831055,240927,-.6123504638671875,8624018,.5246639251708984,2187000,4754530,.3953428268432617,3241426,.3815717697143555,24163,.2899055480957031,600225,20180344,.0396671295166016,10375508,.0429363250732422,1407,.1887388229370117,230723,.6364927291870117,1787293,.1332426071166992,418905,.1645889282226563,2351785,.2034358978271484,491640,.5056524276733398,21352048,.1390171051025391,2666698,-.039179801940918,138528,.3203086853027344,7006929,.2215023040771484,1431362,.2358608245849609,1175910,.1346950531005859,170534,.8441829681396484,117791312,-.1058254241943359,301571,4861851,1954380,.2590494155883789,269327,83829,.7547845840454102,35821232,.0062541961669922,14263840,.4780788421630859,727999,.3273353576660156,230794,.2189502716064453,494023,455493,1281427,.2245368957519531,18334,-.7582607269287109,2037602,.222503662109375,3798092,.0524425506591797,2067483,.1423158645629883,29062,1.335248947143555,21401112,-.0175228118896484,3738973,.2074441909790039,339692128,-.3896770477294922,6938294,matched (3),74416048,.90353292,2662644.5,5261148
201306,841391,641,3842,69171824,06,0,0,0,0,1,0,0,0,0,0,0,271591,-.2054834365844727,1869536,-.3756589889526367,96132,-.1613559722900391,2354732,624575,-.0682487487792969,395196,-.8525905609130859,147409,-.4912824630737305,5463789,-.4564085006713867,1423000,4632559,-.0259876251220703,2087860,-.4398736953735352,5188,-1.538474082946777,769855,18911026,-.0649642944335938,10995314,.0580215454101563,894,-.4535093307495117,112677,-.7166929244995117,1451452,-.2081375122070313,371235,-.1208086013793945,1980146,-.1720037460327148,452474,-.0830163955688477,20175790,-.0566635131835938,2808176,.0516939163208008,82244,-.5213823318481445,5953001,-.1630039215087891,1014006,-.3447179794311523,190848,-1.818320274353027,111425,-.4255828857421875,100096496,-.1627788543701172,194280,4384551,1452086,-.2970714569091797,28878,69437,-.188359260559082,32787802,-.0884838104248047,12509072,-.1312732696533203,539876,-.2989597320556641,141281,-.4907741546630859,1077852,107950,870458,-.3867101669311523,15818,-.147608757019043,1705396,-.1779766082763672,3580798,-.0589132308959961,1554267,-.2853279113769531,1252,-3.144688606262207,20566248,-.0397930145263672,3209605,-.1526632308959961,242658480,-.3363857269287109,4571967,matched (3),67412328,.90353292,2877261,5372954
201307,841391,642,3842,75292656,07,0,0,0,0,0,1,0,0,0,0,0,442208,.487483024597168,2105439,.1188335418701172,44394,-.7726173400878906,2415505,746615,.1784782409667969,415656,.05047607421875,156439,.0594549179077148,5602223,.0250215530395508,0,4733467,.0215482711791992,2907985,.3313207626342773,94045,2.897424697875977,1533218,18805006,-.0056209564208984,10460762,-.0498390197753906,1288,.3651399612426758,131191,.1521291732788086,1725175,.1727638244628906,391476,.0530891418457031,2214412,.11181640625,435869,-.037388801574707,20515886,.0167160034179688,3979433,.3486042022705078,56646,-.3728694915771484,6114094,.0267009735107422,1230414,.1934423446655273,962163,1.617707252502441,434252,1.360273361206055,102886648,.0274925231933594,304101,4296925,2176788,.4048490524291992,3964720,44938,-.4351358413696289,37492224,.1340770721435547,13692051,.0903606414794922,359759,-.4059047698974609,198084,.3379402160644531,353577,201888,955236,.0929384231567383,20080,.2385759353637695,1922434,.1197948455810547,4214863,.1630315780639648,1792119,.14239501953125,7074,1.731683731079102,19613966,-.0474090576171875,1412941,-.8204736709594727,335813888,.3249015808105469,4907550,matched (3),75469840,.90353292,2085779.1,4994044
201308,841391,643,3842,81572200,08,0,0,0,0,0,0,1,0,0,0,0,458076,.0352544784545898,3506202,.5100088119506836,282290,1.849830627441406,2040074,913307,.2015228271484375,598097,.3638944625854492,215566,.3206005096435547,6308156,.1186800003051758,1523000,4652718,-.0172061920166016,2214014,-.2726526260375977,8179,-2.442203521728516,1195103,20753094,.09857177734375,10668143,.0196304321289063,1326,.0290765762329102,132711,.0115194320678711,2355886,.3115882873535156,366326,-.0664005279541016,2595457,.1587753295898438,413324,-.0531101226806641,20756024,.0116367340087891,2940498,-.3025598526000977,57310,.0116539001464844,6027350,-.0142889022827148,1294383,.0506830215454102,1346482,.3360662460327148,172335,-.9241847991943359,110914040,.0751266479492188,408250,5316087,1998336,-.0855350494384766,99,176319,1.367011070251465,39248636,.0457839965820313,13490219,-.0148506164550781,360592,.0023126602172852,251972,.2406272888183594,513251,190593,969149,.014460563659668,41525,.7265720367431641,1955559,.0170841217041016,3899766,-.0777006149291992,1481364,-.1904354095458984,11144,.4544754028320313,19714372,.0051059722900391,2986011,.7482643127441406,389799968,.149078369140625,5005984,matched (3),82840816,.90353292,2261194.3,5069813
201309,841391,644,3842,77845240,09,0,0,0,0,0,0,0,1,0,0,0,158138,-1.063567161560059,1917937,-.6032829284667969,124448,-.8190469741821289,2954654,708915,-.2533369064331055,267745,-.8037176132202148,171326,-.2296981811523438,4523533,-.332550048828125,1323000,4257430,-.0887861251831055,1834124,-.1882410049438477,28731,1.256406784057617,1297147,20139724,-.0300006866455078,9543478,-.1114025115966797,543,-.8928132057189941,130674,-.015467643737793,1930566,-.1991033554077148,236584,-.437220573425293,1171851,-.7951774597167969,1013106,.8965444564819336,30621824,.3888759613037109,2573094,-.1334705352783203,46916,-.2001161575317383,4949120,-.1970977783203125,1089791,-.1720476150512695,887415,-.4169378280639648,82944,-.7312746047973633,96459160,-.1396350860595703,206374,4414496,1499669,-.2870712280273438,975468,155939,-.1228303909301758,33910300,-.1461982727050781,13143533,-.0260334014892578,288619,-.2226400375366211,205439,-.2041692733764648,450883,184067,906248,-.0671052932739258,26974,-.431422233581543,1697872,-.141301155090332,4386001,.1175012588500977,2096225,.3471746444702148,11816,.0585527420043945,20604988,.0441856384277344,2156793,-.3253154754638672,356295360,-.089874267578125,4989576,matched (3),75174632,.90353292,2554057.5,5207035
201310,841391,645,3842,73304768,10,0,0,0,0,0,0,0,0,1,0,0,483872,1.118352890014648,2562650,.2897920608520508,87749,-.3494081497192383,3514273,809968,.1332588195800781,672066,.9203214645385742,160809,-.0633516311645508,7653522,.5258722305297852,1307000,4076341,-.0434656143188477,1640149,-.1117792129516602,11706,-.8978748321533203,692483,17632004,-.1329784393310547,11088742,.1500720977783203,434,-.224064826965332,224027,.5390605926513672,1531782,-.2313814163208008,358175,.4147186279296875,2002332,.5357275009155273,960215,-.0536184310913086,20492290,-.4016628265380859,2506513,-.0262165069580078,76011,.4825191497802734,4783410,-.0340566635131836,950765,-.136474609375,1149807,.2590370178222656,364766,1.481090545654297,116659536,.1901397705078125,0,4945126,2029962,.3027734756469727,34204,332180,.7562122344970703,39567792,.154296875,13551150,.0305404663085938,273326,-.0544424057006836,200000,-.0268316268920898,840772,0,827799,-.0905427932739258,49586,.6088342666625977,2046574,.1867923736572266,5129631,.1566162109375,2513784,.1816511154174805,2214,-1.67465353012085,19090204,-.0763568878173828,2046679,-.0524044036865234,319570336,-.1087837219238281,5556276,matched (3),74117440,.90353292,3143444.8,5520077
201311,841391,646,3842,67650016,11,0,0,0,0,0,0,0,0,0,1,0,288377,-.5175514221191406,2110957,-.1939010620117188,79770,-.0953330993652344,3888267,577387,-.3384819030761719,371290,-.5933732986450195,138294,-.1508350372314453,6074425,-.2310791015625,476000,3242365,-.2288970947265625,2751826,.5174770355224609,40719,1.246593475341797,660031,16807170,-.0479106903076172,10038401,-.0995121002197266,40,-2.384164810180664,200463,-.1111373901367188,1442082,-.0603437423706055,419714,.1585512161254883,1881950,-.0620040893554688,892913,-.0726680755615234,19104096,-.0701465606689453,1703622,-.3861351013183594,75573,-.0057792663574219,4101779,-.1537322998046875,1208525,.2398891448974609,442330,-.9552936553955078,228462,-.4678859710693359,101833720,-.1359176635742188,271085,4246696,1564810,-.2602529525756836,257430,172925,-.6528186798095703,36213236,-.0885906219482422,12302612,-.0966587066650391,598206,.7832698822021484,88693,-.813136100769043,288191,292281,666157,-.2172451019287109,53889,.0832185745239258,1663687,-.2071313858032227,4386717,-.1564531326293945,2645343,.0510110855102539,6879,1.13367223739624,19374776,.0147953033447266,2699583,.2768793106079102,280640128,-.1299037933349609,4838782,matched (3),73893464,.90353292,1835236.9,4894701
201312,841391,647,3842,74261568,12,0,0,0,0,0,0,0,0,0,0,1,320215,.1047239303588867,3402427,.4773483276367188,83814,.0494527816772461,2394038,326988,-.5685892105102539,540154,.3748712539672852,164631,.1743249893188477,6864340,.12225341796875,966000,2806191,-.144474983215332,2772652,.0075397491455078,8895,-1.521205902099609,611544,13986325,-.1837253570556641,8114549,-.2127599716186523,1124,3.335769653320313,120750,-.5069065093994141,1244055,-.1477117538452148,343794,-.1995306015014648,1254830,-.4053077697753906,666804,-.2919931411743164,20479240,.0695095062255859,1877845,.0973682403564453,71665,-.053095817565918,4411333,.0727558135986328,1164095,-.0374565124511719,538346,.1964454650878906,20395,-2.416080474853516,81684328,-.2204799652099609,204784,5275792,1695243,.0800619125366211,5474,30924,-1.721325874328613,34247908,-.0557994842529297,9969674,-.2102642059326172,873040,.378046989440918,97150,.0910749435424805,419141,299752,678142,.0178308486938477,48234,-.1108627319335938,1735506,.0422630310058594,3951946,-.1043729782104492,1123018,-.856781005859375,13799,.6961231231689453,20132952,.0383872985839844,2764233,.0236654281616211,390787488,.3310909271240234,9116073,matched (3),76771912,.90353292,2476233.3,5169307
201401,841391,648,3842,87007160,01,0,0,0,0,0,0,0,0,0,0,0,515866,.4768543243408203,1366648,-.9121284484863281,45295,-.6154031753540039,2553368,698891,.7595710754394531,578068,.0678367614746094,173222,.0508670806884766,8788860,.2471446990966797,1275000,5098105,.597041130065918,4086164,.3878021240234375,31102,1.251782417297363,836220,14688985,.0490188598632813,9455819,.1529722213745117,7427,1.888227939605713,281908,.8478584289550781,1359324,.0886116027832031,565626,.4978904724121094,1894586,.4119997024536133,875348,.272125244140625,24432708,.1765098571777344,2300681,.2030801773071289,102398,.3568639755249023,5684195,.2535123825073242,1645332,.3459978103637695,782613,.3741369247436523,165253,2.092187881469727,106034672,.2609043121337891,349338,4692576,1702513,.0042791366577148,39891,59518,.6547460556030273,38446880,.1156520843505859,15015937,.4095630645751953,1094252,.2258443832397461,248932,.9409236907958984,1041035,275848,1218113,.5857019424438477,37674,-.2470941543579102,1937647,.1101751327514648,5031796,.2415695190429688,2057877,.6056556701660156,47223,1.230284690856934,20996764,.0420093536376953,2902537,.0488224029541016,446610816,.1335239410400391,6020753,matched (3),90814824,.90353292,2376451,5122257.5
201402,841391,649,3842,71355016,02,1,0,0,0,0,0,0,0,0,0,0,578353,.1143369674682617,2275108,.5096664428710938,89598,.6821365356445313,2260250,334060,-.7381734848022461,679287,.1613521575927734,161442,-.0704278945922852,8172814,-.0726718902587891,1175000,3223173,-.4585027694702148,2434306,-.5179443359375,25515,-.1980047225952148,550460,12109984,-.1930675506591797,7911534,-.178309440612793,1367,-1.692503452301025,195677,-.3651161193847656,1342119,-.0127382278442383,249441,-.8187103271484375,1640710,-.1438713073730469,1127002,.2526950836181641,22454844,-.0844154357910156,2256734,-.019287109375,78533,-.2653474807739258,3927171,-.3697700500488281,1175672,-.3361024856567383,903484,.143620491027832,104511,-.4581851959228516,105751176,-.0026779174804688,137832,4028362,1526701,-.1089963912963867,11682,80404,.3007850646972656,37252208,-.0315666198730469,13139378,-.1334972381591797,1078377,-.0146141052246094,297705,.1789226531982422,584755,173669,712904,-.5357112884521484,15391,-.8951864242553711,1767466,-.0919275283813477,4817803,-.0434589385986328,1558103,-.2782058715820313,2466,-2.952283382415772,20580548,-.0200214385986328,1405751,-.7250137329101563,293887072,-.4184913635253906,5319047,matched (3),73978384,.90353292,2349687.3,5109895.5
