period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1180c233,Y1247c757,growth1247c757,Y147c124,growth147c124,Y1751c586,growth1751c586,Y1967c124,Y196c757,growth196c757,Y2174c792,growth2174c792,Y2303c620,growth2303c620,Y2362c792,growth2362c792,Y2409c124,growth2409c124,Y2415c428,growth2415c428,Y2543c554,Y2560c616,growth2560c616,Y2640c620,growth2640c620,Y2723c251,growth2723c251,Y2945c124,growth2945c124,Y2967c826,growth2967c826,Y2990c620,growth2990c620,Y3025c554,Y3088c124,growth3088c124,Y3249c372,Y3363c826,growth3363c826,Y3441c484,growth3441c484,Y3486c688,growth3486c688,Y3695c300,growth3695c300,Y3761c222,growth3761c222,Y3776c300,growth3776c300,Y3860c586,growth3860c586,Y4097c484,growth4097c484,Y4130c616,growth4130c616,Y4165c442,Y4180c222,growth4180c222,Y4260c586,growth4260c586,Y4417c222,growth4417c222,Y4442c246,growth4442c246,Y4681c792,growth4681c792,Y4932c36,Y4940c440,growth4940c440,Y4945c703,growth4945c703,Y5006c554,Y57c608,Y587c484,growth587c484,Y588c752,growth588c752,Y620c807,growth620c807,Y628c251,growth628c251,Y639c348,growth639c348,Y666c620,growth666c620,Y850c826,growth850c826,Y870c826,growth870c826,Y981c222,growth981c222,_merge,x,r2,s,sf
201201,902110,624,4763,20903398,01,0,0,0,0,0,0,0,0,0,0,0,800,7752076,.7807989120483398,11324957,.0794906616210938,1707921,.1052942276000977,1673651,45027,1.39842700958252,2568512,-.315058708190918,21483,-.4763317108154297,146537,.8091278076171875,536896,.3162479400634766,75251,-.2135000228881836,282610,4148,-.5450458526611328,26509,-.4819698333740234,3126946,.3892688751220703,1236647,-.0392217636108398,825164,.1310491561889648,7824367,.0677042007446289,465617,8187400,.056971549987793,60198,912111,.3681612014770508,152241,.0105514526367188,19477,-.4188108444213867,293537,-.5064306259155273,144740,1.712352752685547,75133,.4106426239013672,243076,.1982822418212891,75295,-1.201861381530762,224012,-1.086522102355957,186658,10719,-1.184358596801758,3792007,.1207056045532227,13770,-.4964303970336914,1299237,-1.287163734436035,60321,-1.14506721496582,4730874,358750,.0095367431640625,482407,-.6561441421508789,476031,7609130,1496514,-.0119142532348633,802201,2.229877471923828,152389,.5491561889648438,4541747,.8422145843505859,191768,.836482048034668,4070796,-.7435998916625977,2915797,.407811164855957,566564,.0042839050292969,60888,-.1076440811157227,matched (3),20956676,.91959554,631619.69,1357708.8
201202,902110,625,4763,13692366,02,1,0,0,0,0,0,0,0,0,0,0,436,12689685,.4928293228149414,10144374,-.1100902557373047,1338370,-.2438240051269531,1255618,18084,-.9122343063354492,2184854,-.161778450012207,10612,-.7052764892578125,112534,-.2640218734741211,416802,-.2531929016113281,66049,-.13043212890625,56771,5093,.2052412033081055,50619,.6468429565429688,2292923,-.3102293014526367,823007,-.4071941375732422,695905,-.1703691482543945,7056444,-.1033010482788086,267303,7702945,-.0609941482543945,54675,546390,-.5124292373657227,97835,-.4421825408935547,50967,.961944580078125,274015,-.0688209533691406,22952,-1.841533660888672,56281,-.2889032363891602,223675,-.0831804275512695,633019,2.129086494445801,136877,-.4926176071166992,135096,53088,1.599933624267578,2578486,-.3856925964355469,12816,-.0717983245849609,2060193,.4610223770141602,89471,.3942337036132813,3918581,216576,-.5046844482421875,360415,-.2915315628051758,376682,6445702,1601960,.068089485168457,48466,-2.806496620178223,19355,-2.063486099243164,2634168,-.5447444915771484,16411,-2.458333969116211,3898000,-.0433750152587891,946019,-1.125635147094727,146320,-1.353794097900391,26160,-.8448047637939453,matched (3),14377888,.91959554,612727.06,1349023.4
201203,902110,626,4763,13978385,03,0,1,0,0,0,0,0,0,0,0,0,568,8741415,-.3727178573608398,10225488,.007965087890625,1733285,.2585659027099609,1744079,40011,.7941265106201172,2127862,-.0264310836791992,77487,1.988124847412109,189452,.5208797454833984,487579,.1568412780761719,35138,-.6311140060424805,114154,48127,2.245976448059082,25276,-.6944723129272461,2151974,-.0634422302246094,1097689,.2879972457885742,1033861,.3958425521850586,8795991,.2203540802001953,181299,8182845,.0604372024536133,106003,1055616,.6585464477539063,206477,.7469072341918945,18550,-1.010708808898926,110532,-.9078779220581055,31353,.3119049072265625,56117,-.0029182434082031,59665,-1.32144832611084,43301,-2.682324409484863,142789,.0422859191894531,137528,49141,-.0772571563720703,2257314,-.1330270767211914,23900,.6231842041015625,4371590,.7523269653320313,92882,.0374155044555664,2912329,280286,.257868766784668,290514,-.2156047821044922,388868,6183294,1644986,.0265035629272461,79813,.4988231658935547,9712,-.6895885467529297,3606606,.3142004013061523,193777,2.468755722045898,4621300,.1702127456665039,2382489,.9236383438110352,571339,1.362187385559082,52226,.6913490295410156,matched (3),15225336,.91959554,490976.97,1298263.5
201204,902110,627,4763,16196883,04,0,0,1,0,0,0,0,0,0,0,0,434,7708581,-.1257381439208984,10379818,.0149803161621094,2075376,.1801242828369141,1403092,6271,-1.853218078613281,2887620,.3053150177001953,14818,-1.654268264770508,317734,.5170793533325195,623586,.2460336685180664,46237,.2744970321655273,504005,2023,-3.169262409210205,23120,-.0891571044921875,1019292,-.7472772598266602,1332157,.1935930252075195,961677,-.0723772048950195,7141841,-.2083253860473633,256383,9202646,.1174516677856445,31634,451836,-.8485603332519531,202601,-.0189504623413086,22439,.1903305053710938,326615,1.083477020263672,36694,.1573028564453125,31510,-.5771341323852539,63236,.0581283569335938,323266,2.010299682617188,126325,-.1225099563598633,411747,58112,.1676778793334961,3101456,.3176956176757813,13691,-.5571393966674805,1272331,-1.234275817871094,94407,.0162858963012695,3410936,205764,-.3090801239013672,417042,.3615350723266602,266873,6415307,1200973,-.3145990371704102,100729,.2327480316162109,148598,2.727883338928223,4198928,.1520614624023438,332512,.5399675369262695,5318825,.1405763626098633,322348,-2.000269889831543,891414,.4448261260986328,116057,.7985010147094727,matched (3),16594180,.91959554,722743.94,1402422.4
201205,902110,628,4763,16632542,05,0,0,0,1,0,0,0,0,0,0,0,409,8240338,.0667076110839844,8190073,-.2369413375854492,1589085,-.2669839859008789,1258491,6437,.0261268615722656,2694674,-.0691556930541992,7612,-.6661167144775391,108090,-1.078250885009766,751577,.1866874694824219,6220,-2.006010055541992,226626,2492,.2085041999816895,40223,.5537405014038086,1240878,.196711540222168,1468643,.097538948059082,371917,-.9500083923339844,8619539,.1880617141723633,260022,9340408,.0148582458496094,5654,630748,.333587646484375,337982,.511754035949707,43352,.6585521697998047,335519,.0268964767456055,56020,.423095703125,48151,.424036979675293,109962,.5532608032226563,331650,.0256052017211914,46489,-.9996423721313477,127187,30774,-.6357011795043945,2953983,-.0487165451049805,16932,.2124662399291992,1715619,.2989234924316406,176729,.6270017623901367,3553677,356588,.5498504638671875,484675,.1502923965454102,282564,11400584,1532954,.2440643310546875,103003,.0223245620727539,67768,-.7851552963256836,2710846,-.4375677108764648,272751,-.1981163024902344,6077796,.1333894729614258,101871,-1.151924133300781,999024,.1139698028564453,62679,-.6160545349121094,matched (3),16562970,.91959554,596858.81,1341890.5
201206,902110,629,4763,17676036,06,0,0,0,0,1,0,0,0,0,0,0,1090,9259566,.1166162490844727,8463824,.0328788757324219,1813527,.1321144104003906,1809418,15184,.8581790924072266,3018850,.1135988235473633,52739,1.935629844665527,155415,.3631353378295898,656872,-.1346845626831055,138590,3.103750228881836,454814,7669,1.124100685119629,34431,-.1554813385009766,2609579,.7433691024780273,1151303,-.2434444427490234,825022,.7967395782470703,8372877,-.0290346145629883,298167,9942868,.0625057220458984,40776,1111798,.5668268203735352,120096,-1.034701347351074,32732,-.2809991836547852,159205,-.7454853057861328,79011,.3438787460327148,8042,-1.789663314819336,190828,.5512380599975586,519198,.4482049942016602,395197,2.140168190002441,127627,13866,-.7972307205200195,3034949,.0270395278930664,7881,-.7647504806518555,1581959,-.0811100006103516,202679,.1370058059692383,3781022,292806,-.1970701217651367,874335,.5899848937988281,318979,10945120,1649229,.0731115341186523,85152,-.1903209686279297,108279,.4686212539672852,3637287,.2939767837524414,199489,-.312800407409668,5241708,-.1479940414428711,199630,.6727581024169922,558216,-.5820331573486328,57902,-.0792751312255859,matched (3),19237188,.91959554,555324.31,1323939.1
201207,902110,630,4763,18693920,07,0,0,0,0,0,1,0,0,0,0,0,1056,8180608,-.1238908767700195,8063036,-.0485115051269531,1098923,-.5009422302246094,3494168,40396,.9784889221191406,1949517,-.4372940063476563,7216,-1.989054679870606,268240,.5457830429077148,801095,.1984901428222656,45605,-1.111502647399902,446870,24506,1.161731719970703,22552,-.4231338500976563,4729512,.5946331024169922,1957787,.5309209823608398,605762,-.3089227676391602,8593321,.0259876251220703,458474,9820993,-.0123329162597656,107646,852361,-.2657232284545898,156446,.2644195556640625,27458,-.1756954193115234,303329,.6446247100830078,93039,.1634311676025391,98002,2.500309944152832,390257,.7154321670532227,416151,-.2212371826171875,502891,.2409896850585938,208202,82359,1.781647682189941,2563718,-.1687355041503906,13674,.5510416030883789,1848939,.1559476852416992,108508,-.6247997283935547,4773466,413591,.3453664779663086,828412,-.0539531707763672,471623,10879806,1582522,-.0412883758544922,98211,.1426801681518555,109054,.0071325302124023,3569190,-.0188989639282227,248640,.2202472686767578,6574929,.2266159057617188,2039354,2.323923110961914,507569,-.0951128005981445,26057,-.7984647750854492,matched (3),18323712,.91959554,807112.88,1447708.9
201208,902110,631,4763,18596798,08,0,0,0,0,0,0,1,0,0,0,0,273,6826822,-.1809072494506836,709885,-2.429942131042481,973443,-.1212472915649414,0,7607,-1.669662475585938,2561304,.2729349136352539,4516,-.4686737060546875,73468,-1.295032501220703,49262,-2.788826942443848,23214,-.6752614974975586,187090,7125,-1.235308647155762,11843,-.6440868377685547,3956232,-.1785297393798828,109852,-2.880435943603516,429337,-.3442449569702148,5234582,-.4956979751586914,223715,21635,-6.117964744567871,2990,714461,-.1764822006225586,153915,-.0163106918334961,14199,-.6594867706298828,85709,-1.263859748840332,45210,-.7217006683349609,98568,.0057582855224609,43548,-2.192941665649414,279031,-.3997259140014648,302178,-.5093574523925781,81642,13504,-1.808101654052734,2447723,-.0463008880615234,9874,-.3255910873413086,1499123,-.2097311019897461,66997,-.4821758270263672,4606858,260829,-.4610118865966797,780028,-.0601806640625,297746,8100900,1534794,-.0306234359741211,26561,-1.307673454284668,36057,-1.106742858886719,3856921,.0775299072265625,195573,-.2400722503662109,6016027,-.088836669921875,2034416,-.0024242401123047,228508,-.7980613708496094,84085,1.171541213989258,matched (3),16986198,.91959554,691188.31,1386423.9
201209,902110,632,4763,18724502,09,0,0,0,0,0,0,0,1,0,0,0,90,8072909,.1676540374755859,6038454,2.140800476074219,1523942,.448216438293457,998958,40166,1.663951873779297,1815370,-.3442277908325195,40427,2.19187068939209,183440,.9150381088256836,572162,2.452269554138184,135693,1.765639305114746,546721,7175,.006993293762207,38311,1.17400074005127,4736471,.1800003051757813,1218970,2.406626701354981,399494,-.0720434188842773,6934322,.2811965942382813,587192,8886695,6.017996788024902,61179,1384867,.6618309020996094,221571,.3643426895141602,67180,1.554203987121582,133801,.4453954696655273,12660,-1.272871017456055,62651,-.4531669616699219,130098,1.094424247741699,1394011,1.608617782592773,1272251,1.437526702880859,216136,58362,1.463679313659668,2877561,.1617851257324219,19328,.6716499328613281,2071706,.3234920501708984,179524,.985661506652832,4211289,317903,.197880744934082,471706,-.5029745101928711,569715,10166723,1754365,.1337108612060547,78658,1.085664749145508,248516,1.93040657043457,3389592,-.1291589736938477,206634,.0550155639648438,6745435,.1144390106201172,5011844,.9015951156616211,335005,.3825740814208984,83181,-.0108089447021484,matched (3),17502168,.91959554,483601.97,1295492.4
201210,902110,633,4763,18492310,10,0,0,0,0,0,0,0,0,1,0,0,869,6727540,-.1823043823242188,8565542,.3495988845825195,1207247,-.2329578399658203,1313348,24234,-.5052642822265625,2069663,.1310968399047852,91997,.8222579956054688,305062,.5086269378662109,569852,-.0040454864501953,93267,-.3749284744262695,697678,4038,-.5748529434204102,35829,-.0669794082641602,2797181,-.5266799926757813,1827204,.4047813415527344,819341,.7183017730712891,5763751,-.1848955154418945,525595,10297088,.1473064422607422,44851,877064,-.4567785263061523,223058,.0066890716552734,10235,-1.881562232971191,169194,.2346925735473633,78003,1.818300247192383,35224,-.5758514404296875,26718,-1.582950592041016,895300,-.4427814483642578,376263,-1.218255043029785,202693,21408,-1.002900123596191,3554851,.2113704681396484,12142,-.4648847579956055,3112203,.4069576263427734,68186,-.9680700302124023,4932901,270282,-.1622800827026367,510175,.0783987045288086,592025,9486102,1700457,-.0312099456787109,164497,.7377834320068359,175400,-.3484382629394531,3169704,-.0670719146728516,280161,.3044147491455078,4428461,-.4208135604858398,4073599,-.2072772979736328,111686,-1.098454475402832,79133,-.0498895645141602,matched (3),18428130,.91959554,457322.66,1285913.6
201211,902110,634,4763,18279576,11,0,0,0,0,0,0,0,0,0,1,0,577,4052860,-.5067863464355469,7759488,-.0988311767578125,1097763,-.0950679779052734,988429,350,-4.237578392028809,2930736,.3478679656982422,32183,-1.050317764282227,200353,-.4204339981079102,692185,.1944770812988281,12578,-2.003517150878906,71582,4583,.1266040802001953,9511,-1.326309204101563,2104331,-.2846145629882813,1529698,-.1777172088623047,470326,-.5550746917724609,6167430,.0676937103271484,499229,9619858,-.0680313110351563,44303,939484,.0687503814697266,145988,-.4239072799682617,14120,.3217792510986328,168085,-.0065765380859375,101499,.2633018493652344,9313,-1.330316543579102,41578,.4422340393066406,236823,-1.329845428466797,61780,-1.806708335876465,151858,7507,-1.047928810119629,3076440,-.1445407867431641,21573,.5747718811035156,1585951,-.6741456985473633,45436,-.4059343338012695,3984326,260089,-.0384416580200195,506063,-.0080928802490234,431666,8477125,1737562,.0215854644775391,79957,-.7214031219482422,81983,-.7605571746826172,3030910,-.0447750091552734,205966,-.3076534271240234,4021355,-.0964336395263672,148710,-3.310283660888672,300740,.9905548095703125,79778,.0081186294555664,matched (3),16860532,.91959554,323209.75,1244545.9
201212,902110,635,4763,20854720,12,0,0,0,0,0,0,0,0,0,0,1,581,5428593,.2922573089599609,7025479,-.0993728637695313,1566095,.355311393737793,1202400,25119,4.273447036743164,1932666,-.4163532257080078,75895,.8579130172729492,205049,.0231685638427734,589214,-.1610641479492188,77625,1.819939613342285,137978,2770,-.5035066604614258,25940,1.003337860107422,2611805,.2160434722900391,1172740,-.2657270431518555,577517,.2053117752075195,6364605,.0314702987670898,376080,8967342,-.0702400207519531,3721,433963,-.7723712921142578,255519,.5597715377807617,26734,.6383438110351563,403077,.8746585845947266,37733,-.9895143508911133,50586,1.692263603210449,20436,-.7102727890014648,334463,.3452129364013672,62538,.0121946334838867,162616,31084,1.420856475830078,3417687,.1051912307739258,37458,.5517778396606445,1112030,-.3549976348876953,103640,.8246183395385742,3180614,280353,.0750255584716797,518254,.0238037109375,551624,8985948,2359841,.3061113357543945,88189,.0979928970336914,109885,.2929220199584961,2294489,-.2783527374267578,256821,.2206687927246094,4175932,.0377187728881836,2877369,2.96263313293457,488620,.4853391647338867,66940,-.1754512786865234,matched (3),19224820,.91959554,569029.31,1329745.9
