period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1161c440,growth1161c440,Y1219c826,growth1219c826,Y1233c757,growth1233c757,Y1262c616,growth1262c616,Y1273c246,growth1273c246,Y1403c218,Y1549c792,growth1549c792,Y1602c642,Y1640c372,growth1640c372,Y1663c218,Y1772c246,growth1772c246,Y1854c484,growth1854c484,Y1896c484,growth1896c484,Y1906c826,growth1906c826,Y1925c124,growth1925c124,Y2051c352,growth2051c352,Y2148c268,growth2148c268,Y2228c616,growth2228c616,Y2320c300,growth2320c300,Y2422c300,growth2422c300,Y2582c752,growth2582c752,Y2885c191,growth2885c191,Y2916c208,growth2916c208,Y2947c440,growth2947c440,Y3037c807,Y3078c642,Y3157c826,growth3157c826,Y3166c826,growth3166c826,Y3257c705,growth3257c705,Y3287c124,growth3287c124,Y3345c484,growth3345c484,Y3417c608,Y3689c233,Y3693c268,growth3693c268,Y3717c586,growth3717c586,Y3773c222,growth3773c222,Y4272c68,growth4272c68,Y4379c124,growth4379c124,Y4496c372,growth4496c372,Y4510c428,growth4510c428,Y4837c222,growth4837c222,Y4953c616,growth4953c616,Y4970c792,growth4970c792,Y4992c484,growth4992c484,Y544c124,growth544c124,Y556c246,growth556c246,Y716c752,growth716c752,Y740c124,growth740c124,Y971c218,Y982c376,_merge,x,r2,s,sf
201608,722860,679,3373,284182,08,0,0,0,0,0,0,1,0,0,0,0,4716,.0119457244873047,2067141,.2041435241699219,50135,.1011476516723633,961880,-.1771297454833984,657621,.3400030136108398,305813,243154,.5064582824707031,198822,17741308,.2597408294677734,5202189,1956146,.3510856628417969,3311643,.2855615615844727,360146,-.07757568359375,10004859,.0472488403320313,11618,-.4291677474975586,66576,.5050745010375977,1266,-.1294751167297363,1356627,.0795536041259766,8555,-1.951389312744141,1906,-1.356608390808106,935510,.0328598022460938,40542,1.351058959960938,16478,-1.754814147949219,3221,.608363151550293,37164,14744,2376903,-.1842012405395508,12623540,-1.326665878295898,1012937,-.696533203125,360635,.0722951889038086,4960813,.3993253707885742,398121,4710,10202,.1225852966308594,73304,.2732000350952148,1078388,.2868947982788086,114527,.2563514709472656,1082476,.0450925827026367,53681,-.2686166763305664,150885,.2458505630493164,22392,-.8928670883178711,4154564,-.0432291030883789,45558,-.8402833938598633,2197593,-.2750568389892578,392922,.632598876953125,92554,1.253595352172852,1692541,.323277473449707,653331,.5308036804199219,75193,190000,matched (3),142348.19,.90138924,87096.805,212190.28
201609,722860,680,3373,502869,09,0,0,0,0,0,0,0,1,0,0,0,4255,-.1028661727905273,2289605,.1022119522094727,88441,.5676164627075195,1140585,.1704072952270508,534518,-.2072639465332031,446469,219773,-.101099967956543,622701,20307592,.1350994110107422,5702200,1982633,.0134496688842773,2991871,-.1015453338623047,215771,-.5122919082641602,10450059,.0435371398925781,14645,.2315435409545898,88997,.2902584075927734,84814,4.204598426818848,1552471,.1348466873168945,104423,2.501934051513672,36309,2.94705867767334,1207518,.2552309036254883,96157,.8636436462402344,100459,1.807723045349121,6555,.710536003112793,55389,25304,2567309,.0770597457885742,136553984,2.381156921386719,1772480,.5595254898071289,246425,-.3808088302612305,4279729,-.147679328918457,857442,16805,12895,.2342557907104492,47665,-.4304180145263672,699023,-.4335393905639648,94040,-.1970911026000977,1108431,.0236940383911133,107983,.6989145278930664,193938,.2510204315185547,93295,1.427062034606934,4993631,.183955192565918,198461,1.471606254577637,2485716,.1231985092163086,296550,-.2813959121704102,77378,-.1790904998779297,1152897,-.3839530944824219,817563,.2242441177368164,190255,253000,matched (3),238986.34,.90138924,95268.531,215673.27
201610,722860,681,3373,37782,10,0,0,0,0,0,0,0,0,1,0,0,4074,-.0434694290161133,2228121,-.0272197723388672,39641,-.8024721145629883,647062,-.5668544769287109,466168,-.1368188858032227,524862,265620,.1894721984863281,607662,19993200,-.0156021118164063,6459980,1891593,-.0470066070556641,3399456,.1277170181274414,139388,-.4369564056396484,10634657,.0175094604492188,30019,.7177314758300781,65805,-.3019065856933594,888,-4.559244155883789,1266697,-.203434944152832,61625,-.5273818969726563,3189,-2.432357788085938,958619,-.2308292388916016,47112,-.7134542465209961,133689,.2857666015625,8453,.2542934417724609,76346,5469,2097409,-.2021551132202148,32721210,-1.42869758605957,1399263,-.2364339828491211,422483,.5390911102294922,3265694,-.2704181671142578,490283,13670,10630,-.1931591033935547,59182,.2164201736450195,872441,.2216119766235352,74192,-.2370634078979492,937025,-.1679906845092773,125683,.1517887115478516,194436,.0025644302368164,10353,-2.198490142822266,5551711,.1059427261352539,162796,-.1980953216552734,2391076,-.0388174057006836,103626,-1.051426887512207,37652,-.7203159332275391,1214258,.0518550872802734,434133,-.6329774856567383,49665,117000,matched (3),-114002.16,.90138924,97995.383,216891.58
201611,722860,682,3373,295019,11,0,0,0,0,0,0,0,0,0,1,0,6097,.4031715393066406,2659753,.1770744323730469,25534,-.4398527145385742,435728,-.3954238891601563,422338,-.0987405776977539,431437,335430,.2333459854125977,817108,24331148,.1963634490966797,5666330,1533143,-.2100992202758789,3549487,.043187141418457,266288,.6473169326782227,11031763,.0366611480712891,43934,.3808584213256836,73993,.1172752380371094,37406,3.740614891052246,1527282,.1870765686035156,144862,.8547143936157227,21936,1.928421020507813,979066,.0211057662963867,118242,.9202051162719727,138364,.0343723297119141,8491,.004486083984375,24911,318182,2859300,.3098735809326172,42117336,.2524356842041016,2558304,.6033992767333984,308559,-.3142356872558594,4073991,.2211513519287109,340008,5491,15398,.3705568313598633,77495,.2695960998535156,1487004,.5332231521606445,173456,.8492679595947266,1018158,.0830402374267578,74119,-.5280904769897461,272178,.3363533020019531,131219,2.539591789245606,6935396,.2225322723388672,194928,.1801328659057617,2496543,.0431632995605469,340593,1.189899444580078,48790,.2591390609741211,1321678,.0847692489624023,695187,.470829963684082,152083,404000,matched (3),427229.78,.90138924,99364.719,217513.7
201612,722860,683,3373,107630,12,0,0,0,0,0,0,0,0,0,0,1,3718,-.4946107864379883,2695668,.0134124755859375,26248,.0275793075561523,334973,-.2629680633544922,337364,-.2246427536010742,400063,172956,-.6623754501342773,738793,17005036,-.3582477569580078,4405918,1272104,-.1866474151611328,3094309,-.1372385025024414,134385,-.6838693618774414,10802610,-.0209903717041016,12527,-1.254802703857422,43200,-.5381307601928711,67,-6.324893951416016,1046555,-.377985954284668,126730,-.133723258972168,13638,-.4752683639526367,744600,-.2737522125244141,91478,-.2566347122192383,77905,-.5743980407714844,809,-2.350963592529297,62488,49611,2026564,-.3442344665527344,66299536,.4537239074707031,2144481,-.1764469146728516,86523,-1.271502494812012,3557346,-.1356086730957031,774556,4700,2351,-1.879396438598633,61117,-.2374238967895508,686041,-.7735805511474609,83613,-.7297258377075195,594339,-.5383005142211914,72726,-.0189733505249023,208935,-.2644329071044922,118872,-.098820686340332,3745276,-.6161432266235352,249991,.2487945556640625,2718341,.0851154327392578,474931,.3324813842773438,26423,-.6132907867431641,1252075,-.0541000366210938,556516,-.2224845886230469,19857,243000,matched (3),61241.668,.90138924,120083.9,227725.72
201701,722860,684,3373,216255,01,0,0,0,0,0,0,0,0,0,0,0,9221,.9082975387573242,2797964,.0372457504272461,67485,.9443149566650391,806322,.8784332275390625,411222,.1979703903198242,435413,198714,.138829231262207,672292,21386142,.2292346954345703,6936113,1856123,.3778171539306641,2957314,-.045283317565918,206564,.429901123046875,8775761,-.2077951431274414,30489,.8894796371459961,57110,.279139518737793,845,2.534643650054932,935502,-.1121759414672852,38445,-1.192830085754395,10501,-.2613897323608398,731463,-.0178003311157227,51151,-.5813169479370117,27455,-1.042942047119141,1561,.657282829284668,32228,16725,2925797,.3672246932983398,19437868,-1.226959228515625,1997517,-.0709924697875977,341809,1.373841285705566,4503038,.2357378005981445,827904,7997,9406,1.386507034301758,48908,-.2228488922119141,1222673,.5778570175170898,104315,.2212162017822266,839312,.3451328277587891,80915,.1066999435424805,232760,.1079845428466797,7597,-2.750293731689453,2905160,-.2540063858032227,316615,.2362613677978516,2232152,-.1970558166503906,275736,-.5437259674072266,167355,1.845883369445801,1075602,-.151921272277832,498272,-.1105499267578125,160989,241000,matched (3),65240.297,.90138924,100315.9,217949.86
201702,722860,685,3373,131986,02,1,0,0,0,0,0,0,0,0,0,0,98075,2.364248275756836,3715172,.2835330963134766,36168,-.6237306594848633,628950,-.2484321594238281,234540,-.5615072250366211,316108,94597,-.7422409057617188,489568,14318573,-.4011859893798828,6004905,1565375,-.1703643798828125,2549285,-.148468017578125,184938,-.1105890274047852,8313552,-.0541067123413086,2212,-2.623468399047852,47049,-.1937904357910156,46006,3.997190952301025,1556081,.5088424682617188,197899,1.638527870178223,110623,2.354657173156738,900508,.2079124450683594,53504,.0449743270874023,17621,-.4434566497802734,3245,.7317886352539063,18917,31886,3352579,.1361637115478516,87058456,1.499357223510742,3251149,.4871034622192383,269914,-.2361488342285156,3971081,-.1257143020629883,265314,11724,5292,-.5751514434814453,48242,-.0137109756469727,924216,-.2798490524291992,134333,.2529067993164063,773976,-.0810413360595703,76720,-.0532360076904297,157346,-.3915605545043945,80314,2.358190536499023,3096307,.0637216567993164,149009,-.7536792755126953,2183812,-.0218944549560547,219130,-.2297782897949219,51108,-1.186176300048828,1190586,.1015644073486328,399570,-.2207565307617188,95668,154000,matched (3),98377.281,.90138924,109793.84,222471.45
201703,722860,686,3373,52804,03,0,1,0,0,0,0,0,0,0,0,0,77637,-.2336883544921875,2449899,-.4163780212402344,30357,-.1751470565795898,1367189,.7764606475830078,509571,.7759428024291992,491200,230584,.8909893035888672,223294,21510756,.4069957733154297,5316346,1968024,.2289047241210938,3315982,.2629404067993164,116194,-.4647598266601563,8145846,-.0203790664672852,14691,1.893338203430176,49739,.0556001663208008,1045,-3.784755229949951,1268542,-.2043018341064453,122676,-.4782094955444336,31311,-1.262158393859863,772312,-.1535701751708984,17775,-1.101963043212891,29125,.5025053024291992,722,-1.502845287322998,53873,16042,3257719,-.0287027359008789,63035836,-.3228778839111328,2473605,-.2733316421508789,188292,-.3601093292236328,4228948,.0629148483276367,325179,4594,7593,.3610305786132813,89367,.6165218353271484,1291430,.334559440612793,173191,.2540731430053711,637789,-.1935338973999023,36102,-.753814697265625,166189,.0546779632568359,29408,-1.004676818847656,5656156,.602534294128418,135409,-.0957069396972656,2356868,.0762615203857422,140304,-.4458541870117188,43700,-.1565933227539063,1077918,-.0994138717651367,747925,.6269130706787109,61055,188000,matched (3),50775.949,.90138924,82882.109,210495.38
201704,722860,687,3373,113144,04,0,0,1,0,0,0,0,0,0,0,0,81638,.0502510070800781,2291999,-.0666227340698242,73829,.8887243270874023,1023256,-.2897672653198242,786148,.4335765838623047,955058,198633,-.1491565704345703,283004,17052442,-.2322597503662109,6882553,1435928,-.3152189254760742,3007338,-.0976982116699219,224649,.6592779159545898,7203951,-.1228780746459961,16960,.1436223983764648,26522,-.628814697265625,5797,1.713324069976807,1468585,.1464309692382813,118506,-.0345830917358398,90158,1.057594299316406,710522,-.0833892822265625,7329,-.8859539031982422,8425,-1.24039363861084,24777,3.535645961761475,19245,15540,2789245,-.1552562713623047,37058136,-.5312156677246094,1797388,-.3193426132202148,253469,.2972478866577148,4460353,.0532751083374023,773420,6884,5531,-.3168582916259766,45101,-.6838474273681641,752375,-.5402698516845703,139286,-.217864990234375,790715,.214930534362793,77169,.7596492767333984,129314,-.2508821487426758,24891,-.1667604446411133,4586924,-.2095346450805664,259355,.649897575378418,2265139,-.0396976470947266,278002,.6838169097900391,28452,-.4291296005249023,1647678,.4243354797363281,512838,-.3773422241210938,84675,246000,matched (3),308637.06,.90138924,118296.05,226788.05
201705,722860,688,3373,257954,05,0,0,0,1,0,0,0,0,0,0,0,86577,.0587396621704102,2391714,.0425863265991211,72347,-.0202779769897461,1434158,.3375883102416992,494373,-.4638547897338867,752435,342021,.5434131622314453,298137,25820212,.4148635864257813,6542239,1750071,.197845458984375,3990599,.2828855514526367,227147,.0110588073730469,9059691,.2292060852050781,15645,-.0807065963745117,57749,.7781314849853516,19141,1.194491386413574,1667107,.1267900466918945,70561,-.5184860229492188,87568,-.0291481018066406,878052,.2117061614990234,12646,.545501708984375,14952,.5736417770385742,1279,-2.963837146759033,83389,9945,4139684,.3948478698730469,76924616,.7303390502929688,3285588,.6032114028930664,2396938,2.246706008911133,4171841,-.0668706893920898,568554,1922,16208,1.075136184692383,78235,.5508127212524414,869187,.1443233489990234,251627,.5914182662963867,940791,.1737833023071289,86774,.1173095703125,102071,-.2365741729736328,30303,.1967401504516602,7322846,.4677896499633789,241207,-.0725421905517578,2984741,.2758769989013672,98111,-1.041528701782227,39619,.331089973449707,1666830,.0115566253662109,883762,.5442276000976563,325768,276000,matched (3),223877.28,.90138924,91292.109,213946.52
201706,722860,689,3373,222209,06,0,0,0,0,1,0,0,0,0,0,0,88330,.020045280456543,2827737,.1674661636352539,43368,-.5117521286010742,2014896,.3399896621704102,273998,-.5901699066162109,813962,215168,-.4634523391723633,169216,21946264,-.1625595092773438,5779111,2086568,.1758642196655273,3439901,-.14849853515625,654377,1.058085441589356,10224293,.1209316253662109,8054,-.6639823913574219,69513,.1854076385498047,14359,-.2874555587768555,1822644,.0891990661621094,214639,1.112479209899902,43963,-.6890668869018555,740738,-.1700592041015625,10479,-.1879673004150391,5604,-.9813642501831055,348,-1.301631450653076,43292,28998,3450449,-.1821146011352539,55562116,-.3253250122070313,2528745,-.2618227005004883,382576,-1.835020065307617,4780597,.1362085342407227,319886,1140,14448,-.1149492263793945,91437,.1559333801269531,970917,.110682487487793,83680,-1.100948333740234,1035167,.0955963134765625,48981,-.5718746185302734,160096,.4501047134399414,25644,-.1669368743896484,5951225,-.207402229309082,191678,-.2298383712768555,2041301,-.3799257278442383,259609,.9730777740478516,107353,.9968137741088867,1366861,-.1984071731567383,776152,-.1298398971557617,144705,275000,matched (3),142493.45,.90138924,102349.23,218893.19
201707,722860,690,3373,104798,07,0,0,0,0,0,1,0,0,0,0,0,87396,-.0106306076049805,2565235,-.0974264144897461,26670,-.4861822128295898,1164994,-.5478515625,295953,.0770797729492188,221862,140325,-.4274587631225586,335031,21087248,-.0399284362792969,7152058,1681318,-.2159423828125,2793666,-.2080879211425781,182841,-1.275066375732422,10454790,.0222930908203125,3243,-.9096698760986328,38200,-.5986785888671875,482,-3.394187927246094,764690,-.8685731887817383,52535,-1.407477378845215,10595,-1.422966003417969,1012245,.3122797012329102,27502,.9648857116699219,104543,2.926117897033691,478,.3174080848693848,5927,17304,2832115,-.1974811553955078,45150284,-.2075042724609375,2335762,-.0793848037719727,257385,-.3963546752929688,3604948,-.2822580337524414,426077,11618,12289,-.1618509292602539,74344,-.2069473266601563,917278,-.0568304061889648,88233,.0529813766479492,1246686,.1859264373779297,74973,.4256954193115234,162391,.0142335891723633,72177,1.034811019897461,4587923,-.2601699829101563,421943,.7890529632568359,2144827,.0494718551635742,464200,.5811386108398438,32650,-1.190277099609375,1238775,-.098393440246582,764787,-.0147504806518555,36655,193000,matched (3),114435.27,.90138924,93853.477,215051.94
