period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1320c703,growth1320c703,Y1431c620,growth1431c620,Y1436c428,growth1436c428,Y1488c807,growth1488c807,Y1703c757,growth1703c757,Y1708c300,growth1708c300,Y1782c442,Y1787c703,growth1787c703,Y1973c372,growth1973c372,Y2057c608,Y2075c688,growth2075c688,Y2544c752,growth2544c752,Y2554c818,Y2647c705,growth2647c705,Y2731c124,growth2731c124,Y2758c600,Y2908c442,Y2952c616,growth2952c616,Y2962c440,growth2962c440,Y3146c152,growth3146c152,Y3478c484,growth3478c484,Y3490c757,growth3490c757,Y3553c620,growth3553c620,Y3606c32,Y3643c381,Y3697c440,growth3697c440,Y3721c381,Y3841c68,growth3841c68,Y3970c498,Y3973c352,growth3973c352,Y4086c372,growth4086c372,Y415c372,growth415c372,Y415c440,growth415c440,Y4187c222,growth4187c222,Y4206c376,Y4255c642,Y4279c484,growth4279c484,Y4292c703,growth4292c703,Y4299c608,Y4327c352,growth4327c352,Y4329c222,growth4329c222,Y4511c792,growth4511c792,Y4532c442,Y4541c251,growth4541c251,Y4612c218,Y4740c124,growth4740c124,Y4807c352,growth4807c352,Y4867c348,growth4867c348,Y621c752,growth621c752,Y948c484,growth948c484,_merge,x,r2,s,sf
201606,730640,677,3410,1001386,06,0,0,0,0,1,0,0,0,0,0,0,19567,.5589132308959961,2800946,-.0086040496826172,91221,.1979999542236328,26266,-1.102564811706543,135162,-1.01817512512207,96875,.220952033996582,1140381,9119,-.3601884841918945,272825,-.3981523513793945,8217699,16445,-1.385152816772461,8059,-1.520526885986328,173715,132480,.170954704284668,329813,-.8531894683837891,4688,25740,29242,-.6258916854858398,15396,-.1814441680908203,250982,-.4898481369018555,337374,-.6395978927612305,414658,-.0958852767944336,1036267,.7464122772216797,1824702,924178,123652,-.6754665374755859,660400,13634,-2.585073471069336,9824,98434,-.4015903472900391,16053,-.3984432220458984,36192,-.7015800476074219,25306,-.9192419052124023,5544,-.9403848648071289,14379000,2138350,51850,-2.910426139831543,1091918,-.5622520446777344,1161615,35769,.1311969757080078,1279209,-.2921171188354492,545770,-.0870637893676758,1666769,1147371,-.1056156158447266,248687,3867594,-.7068548202514648,12674,1.218863487243652,18650,-1.545427322387695,1263604,-.4626102447509766,260845,-.2734889984130859,matched (3),962137.31,.8257944,216987.83,526885.25
201607,730640,678,3410,1173203,07,0,0,0,0,0,1,0,0,0,0,0,7676,-.9357452392578125,3069282,.091486930847168,119418,.2693443298339844,36444,.3275022506713867,363173,.9884052276611328,48721,-.6873111724853516,1381664,122012,2.593759536743164,179101,-.4208812713623047,10462363,34975,.7546119689941406,34697,1.459863662719727,539612,107591,-.208094596862793,394398,.1788349151611328,4299,44775,32986,.1204767227172852,42128,1.00660514831543,227217,-.0994758605957031,482125,.3570108413696289,483506,.1536092758178711,848106,-.2003746032714844,1558245,1198119,133055,.0732917785644531,553117,73534,1.685181617736816,56467,345523,1.255672454833984,32303,.6992645263671875,99852,1.014850616455078,41623,.4976110458374023,21947,1.375913619995117,18139000,1803373,1943466,3.623872756958008,1120103,.0254850387573242,1617071,26504,-.2997856140136719,1522120,.1738624572753906,421709,-.2578821182250977,1674781,1226229,.0664701461791992,296647,3206219,-.1875400543212891,11921,-.0612506866455078,36272,.6652002334594727,732720,-.5449600219726563,500797,.6522741317749023,matched (3),1333942.9,.8257944,216013.16,526484.56
201608,730640,679,3410,1270753,08,0,0,0,0,0,0,1,0,0,0,0,3959,-.6621074676513672,1639759,-.6268949508666992,40659,-1.077409744262695,69441,.6447000503540039,208478,-.5550451278686523,17085,-1.047908782958984,706460,15857,-2.040508270263672,256923,.3608264923095703,7694273,1360,-3.247148990631104,8387,-1.419970512390137,384056,129286,.183690071105957,435097,.0982084274291992,15568,59510,19702,-.5153627395629883,19793,-.7553844451904297,292026,.2509374618530273,434174,-.1047582626342773,632275,.2682609558105469,955519,.1192493438720703,2237376,1099492,225149,.5259990692138672,451589,84467,.1386127471923828,83742,935556,.9960823059082031,152900,1.554623603820801,61602,-.4829940795898438,57213,.3181285858154297,20984,-.0448703765869141,18718000,1861360,1950831,.0037822723388672,902991,-.2154636383056641,1499186,42060,.4618015289306641,1748747,.1387948989868164,624926,.3933172225952148,2358758,991746,-.2122316360473633,269344,3080683,-.0399417877197266,16941,.3514347076416016,72528,.6929264068603516,1189232,.4842996597290039,422063,-.171046257019043,matched (3),987401.81,.8257944,276517.22,554063.25
201609,730640,680,3410,1468245,09,0,0,0,0,0,0,0,1,0,0,0,9423,.867161750793457,2658813,.4833307266235352,63340,.4432973861694336,83421,.1834230422973633,124895,-.5123605728149414,61693,1.283968925476074,1147216,25053,.4573822021484375,321864,.2253532409667969,9663933,41369,3.41504716873169,13831,.5002298355102539,391005,120674,-.068934440612793,333217,-.2667751312255859,20438,76511,19931,.0115566253662109,51101,.9484758377075195,367756,.2305765151977539,480381,.1011343002319336,343206,-.6109933853149414,988254,.0336847305297852,2122898,1172896,186068,-.1906499862670898,569656,94035,.1073064804077148,52646,266075,-1.257363319396973,207957,.3075475692749023,63927,.0370473861694336,69879,.1999835968017578,5694,-1.304347038269043,17622000,2109368,965683,-.7031745910644531,957275,.0583782196044922,2117476,48267,.1376504898071289,1249958,-.3357887268066406,672770,.0737705230712891,1805938,1183808,.1770248413085938,289209,5050564,.494349479675293,98515,1.760472297668457,96714,.287785530090332,1382047,.1502580642700195,216802,-.6661701202392578,matched (3),1668501.3,.8257944,334461.47,585140
201610,730640,681,3410,699608,10,0,0,0,0,0,0,0,0,1,0,0,34493,1.297603607177734,1514579,-.5627422332763672,75851,.1802539825439453,100879,.1900215148925781,235402,.6338214874267578,45647,-.3012323379516602,714859,13774,-.5982112884521484,113773,-1.039924621582031,5857986,23668,-.5584077835083008,65528,1.555564880371094,569712,119790,-.0073518753051758,198183,-.5196027755737305,31149,32653,66787,1.209231376647949,21562,-.8628711700439453,354257,-.0373973846435547,619011,.2535438537597656,387874,.122349739074707,918984,-.0726709365844727,2076506,1154708,174716,-.0629501342773438,593074,61452,-.4254112243652344,427,134021,-.6857814788818359,37689,-1.707962989807129,6574,-2.274620056152344,23562,-1.087129592895508,8630,.4158315658569336,13954000,1625067,483694,-.6913833618164063,1038296,.0812454223632813,1712606,45972,-.0487155914306641,1196061,-.0440769195556641,554858,-.1926918029785156,1778534,1079534,-.0922069549560547,205509,3483461,-.3714742660522461,6811,-2.671669960021973,16397,-1.774659156799316,848913,-.4873638153076172,291095,.2946653366088867,matched (3),257101.69,.8257944,250635,541610.81
201611,730640,682,3410,1006386,11,0,0,0,0,0,0,0,0,0,1,0,41488,.1846475601196289,1565048,.0327787399291992,75947,.0012645721435547,44528,-.8178033828735352,274033,.1519536972045898,62202,.3094491958618164,1284434,74222,1.68427848815918,226863,.6901416778564453,7757603,8445,-1.030550003051758,14029,-1.541351318359375,689189,82464,-.3733787536621094,310169,.4479265213012695,11775,32852,9512,-1.948953628540039,32396,.4071016311645508,316446,-.1128702163696289,583883,-.0584220886230469,511496,.2766590118408203,556110,-.5023021697998047,2272204,1023388,172519,-.0126543045043945,650290,89591,.3769989013671875,13812,174436,.2635612487792969,168558,1.49791145324707,75420,2.439949989318848,34118,.3701896667480469,6590,-.2696914672851563,18383000,2009218,1290445,.9812898635864258,1831628,.5676240921020508,1183492,56567,.2073936462402344,1342426,.1154451370239258,586062,.0547142028808594,1826460,1432894,.2831668853759766,261575,4819961,.3247394561767578,9679,.3514194488525391,70471,1.458102226257324,637220,-.2868423461914063,282218,-.0309696197509766,matched (3),563896.13,.8257944,258892.73,545481.25
201612,730640,683,3410,1595400,12,0,0,0,0,0,0,0,0,0,0,1,8694,-1.562770843505859,1330280,-.1625270843505859,7120,-2.367128372192383,61132,.3169174194335938,137413,-.6902570724487305,105385,.5272331237792969,453608,50382,-.3874263763427734,231360,.0196285247802734,8374397,70455,2.121399879455566,18349,.2684488296508789,223429,70800,-.1525030136108398,370165,.1768312454223633,51166,41404,22987,.8823747634887695,6454,-1.613334655761719,235998,-.2933292388916016,696484,.1763439178466797,340625,-.4065570831298828,404887,-.3173580169677734,1790286,1722809,258999,.4063167572021484,373844,27759,-1.171694755554199,28775,117141,-.3981790542602539,69851,-.880915641784668,79121,.0479059219360352,52158,.4244527816772461,8655,.2725839614868164,16849000,1450013,2203634,.535120964050293,930591,-.6771402359008789,1442573,41530,-.3090095520019531,1449479,.076725959777832,620701,.0574235916137695,2599269,877064,-.4908714294433594,201856,5812318,.1872138977050781,20873,.768498420715332,1910,-3.608097553253174,1153056,.5930566787719727,194331,-.3731164932250977,matched (3),1605311.5,.8257944,248622,540682.19
201701,730640,684,3410,2109653,01,0,0,0,0,0,0,0,0,0,0,0,24495,1.035835266113281,2518861,.6384172439575195,69990,2.285445213317871,26974,-.8181619644165039,418054,1.112619400024414,116302,.0985698699951172,2765942,12070,-1.428911209106445,348625,.4100217819213867,8114234,16073,-1.477832794189453,11828,-.4391050338745117,269360,118022,.511012077331543,452379,.2005720138549805,8029,57455,52040,.8170833587646484,12514,.6621484756469727,540646,.8289413452148438,1051481,.4119100570678711,471860,.3259000778198242,374140,-.0789785385131836,2201218,1931343,117777,-.7880315780639648,735342,50508,.59857177734375,223268,104489,-.1142969131469727,35482,-.6773386001586914,30042,-.9683818817138672,14046,-1.31194019317627,11803,.3102169036865234,17262000,1833395,3404786,.4350738525390625,1817154,.6692066192626953,2083881,42886,.0321292877197266,1532574,.0557441711425781,491042,-.2343196868896484,1354165,1210201,.3219614028930664,222029,4951548,-.1602792739868164,26068,.2222518920898438,61450,3.471120357513428,1274564,.1001882553100586,445279,.8291378021240234,matched (3),2284294.5,.8257944,245953.91,539460.5
201702,730640,685,3410,1158805,02,1,0,0,0,0,0,0,0,0,0,0,7856,-1.137190818786621,1709747,-.3874607086181641,15222,-1.52561092376709,43761,.4838695526123047,152007,-1.011684417724609,53332,-.7796535491943359,922338,31635,.9635410308837891,302570,-.1416845321655273,8071336,1346,-2.480003833770752,39694,1.210729598999023,1090337,66716,-.5704259872436523,577084,.2434673309326172,7737,38127,11450,-1.514022827148438,46752,1.318008422851563,108406,-1.606881141662598,940297,-.1117591857910156,469000,-.0060796737670898,310133,-.1876287460327148,1365345,1365133,168986,.36102294921875,561257,28599,-.5687599182128906,90665,191715,.6069278717041016,139516,1.36915397644043,27550,-.0865936279296875,27708,.6793842315673828,3611,-1.184369087219238,16874000,1918450,2595759,-.2713031768798828,1165311,-.4442834854125977,1117248,36148,-.170924186706543,1425557,-.0723857879638672,476429,-.0302114486694336,1731840,866023,-.334630012512207,190225,4079595,-.1937026977539063,30840,.1681041717529297,41319,-.3969011306762695,1185203,-.0726900100708008,167802,-.9759159088134766,matched (3),1065354.8,.8257944,270693.16,551179.75
201703,730640,686,3410,1462590,03,0,1,0,0,0,0,0,0,0,0,0,8854,.1195917129516602,2356629,.3208866119384766,135534,2.186480522155762,40562,-.0759115219116211,268267,.5680561065673828,38995,-.3131027221679688,325003,43580,.3203344345092773,552663,.6024360656738281,10049166,94017,4.246338367462158,18834,-.7455358505249023,756506,117721,.5678730010986328,573679,-.0059175491333008,20885,64244,75292,1.883383750915527,114940,.8995532989501953,123161,.1276092529296875,502365,-.6268692016601563,486230,.0360784530639648,443806,.3583860397338867,1967524,2260323,213568,.2341394424438477,629251,73767,.9475393295288086,360141,361096,.6331338882446289,20285,-1.928297996520996,32504,.1653604507446289,20373,-.3075113296508789,1532,-.8574109077453613,17001000,2292295,3659519,.3434534072875977,1169754,.0038061141967773,2220912,48762,.2993297576904297,1785274,.2250089645385742,580107,.1968936920166016,2207698,1262642,.377049446105957,253052,4619546,.1242990493774414,21019,-.3833856582641602,24200,-.5349702835083008,1686216,.3525724411010742,228024,.3066654205322266,matched (3),1924687.9,.8257944,296216.78,564153.13
201704,730640,687,3410,2589379,04,0,0,1,0,0,0,0,0,0,0,0,28306,1.162203788757324,2072908,-.1282796859741211,209832,.4370851516723633,66208,.4899692535400391,365162,.3083581924438477,50741,.263300895690918,658894,127313,1.072050094604492,207992,-.9772491455078125,12425143,14248,-1.886858940124512,90743,1.572367668151856,860368,127502,.0798139572143555,632556,.0976982116699219,7200,22297,36932,-.7122955322265625,16704,-1.92876148223877,317477,.9469127655029297,1143018,.8221006393432617,494796,.0174646377563477,539229,.1947536468505859,1624210,1707786,264745,.2148122787475586,618132,395018,1.678019523620606,159502,278050,-.2613430023193359,61351,1.106729507446289,28325,-.1376180648803711,65673,1.170477867126465,2803,.6041164398193359,17771000,1626091,2835907,-.2549705505371094,1047894,-.110011100769043,2240979,33869,-.3644504547119141,1309819,-.3096828460693359,770575,.2839250564575195,1820244,1554933,.208226203918457,261581,3490649,-.2802085876464844,46223,.788050651550293,36613,.4140510559082031,1344047,-.226801872253418,275910,.1906242370605469,matched (3),2552678.3,.8257944,271199.19,551428.44
201705,730640,688,3410,2437822,05,0,0,0,1,0,0,0,0,0,0,0,28457,.0053205490112305,2346932,.1241559982299805,150425,-.3328428268432617,43210,-.4267292022705078,128878,-1.041474342346191,99392,.672337532043457,1163057,67287,-.6376819610595703,286261,.3194046020507813,11321322,3330,-1.453644752502441,4327,-3.043156623840332,846352,103451,-.2090339660644531,329658,-.6517124176025391,26077,13990,84259,.8248176574707031,117536,1.951095581054688,158356,-.6955595016479492,629787,-.5960454940795898,374323,-.279026985168457,989075,.6066293716430664,2025605,2434623,399302,.4109506607055664,894830,60568,-1.875164031982422,90888,318198,.1348733901977539,21104,-1.067148208618164,71391,.9244270324707031,23637,-1.021875381469727,7964,1.044241428375244,17484000,2136107,7536224,.9773597717285156,1704065,.4862337112426758,1684325,32332,-.046442985534668,1565765,.1784858703613281,745825,-.0326461791992188,1782272,949212,-.4935550689697266,241023,6143547,.5653142929077148,36869,-.2261066436767578,151763,1.421916961669922,1020048,-.2758350372314453,228769,-.1873617172241211,matched (3),2356539.8,.8257944,373884.22,608534.06
201706,730640,689,3410,950799,06,0,0,0,0,1,0,0,0,0,0,0,17117,-.5083217620849609,2000147,-.1598882675170898,49118,-1.11923885345459,44386,.0268526077270508,246496,.6484794616699219,103942,.0447607040405273,649078,117029,.5534553527832031,286791,.0018501281738281,8694626,28155,2.134753227233887,4028,-.0716047286987305,484555,95676,-.0781307220458984,237701,-.3270425796508789,8157,17102,49833,-.5252180099487305,33605,-1.252069473266602,27434,-1.753062248229981,497223,-.2363433837890625,375554,.0032835006713867,960941,-.0288572311401367,1894075,770554,312559,-.2449245452880859,699384,105686,.5567054748535156,25318,89030,-1.273700714111328,29526,.3358087539672852,53151,-.2950353622436523,35154,.3969259262084961,4735,-.5199499130249023,18606000,2127921,2746305,-1.009465217590332,1410766,-.1888837814331055,1059277,13505,-.8729972839355469,1257048,-.219609260559082,697475,-.0670242309570313,1578228,1299447,.3140621185302734,358155,4678239,-.2724800109863281,42599,.1444597244262695,76245,-.6883687973022461,947182,-.0741138458251953,312330,.3113470077514648,matched (3),1418058,.8257944,234122.91,534170.25
201707,730640,690,3410,1484567,07,0,0,0,0,0,1,0,0,0,0,0,22407,.2693014144897461,2249743,.1175956726074219,106092,.77008056640625,67411,.4178838729858398,453192,.6089696884155273,107822,.0366487503051758,1019857,167443,.3582210540771484,342587,.1777715682983398,12990716,56131,.6899633407592773,47899,2.475824356079102,676216,100718,.0513572692871094,361383,.4189243316650391,33765,41405,123118,.9044656753540039,68651,.7143611907958984,127458,1.536003112792969,946448,.6436777114868164,415444,.1009454727172852,1205259,.226536750793457,2881345,1406661,130930,-.8701305389404297,843396,16233,-1.87342643737793,37853,424222,1.561284065246582,217230,1.995684623718262,25318,-.7416210174560547,56099,.4673795700073242,7690,.4849386215209961,23637000,2401461,6930407,.9256629943847656,1691654,.1815738677978516,1763648,43499,1.169677734375,1593095,.236912727355957,1394739,.6929960250854492,3235823,942892,-.3207426071166992,386899,4966933,.059880256652832,22665,-.6310091018676758,47750,-.4679727554321289,1524249,.4757661819458008,352887,.1220874786376953,matched (3),1245747.9,.8257944,275539.09,553575.75
