period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1082c554,Y1108c484,growth1108c484,Y1267c124,growth1267c124,Y1471c600,growth1471c600,Y1497c703,growth1497c703,Y1570c703,growth1570c703,Y1652c218,Y1688c600,growth1688c600,Y1735c428,growth1735c428,Y1814c600,growth1814c600,Y1844c807,growth1844c807,Y1845c608,Y2498c752,growth2498c752,Y2637c246,growth2637c246,Y2788c300,growth2788c300,Y2788c344,Y2809c268,growth2809c268,Y2885c348,growth2885c348,Y2911c222,growth2911c222,Y2952c203,Y2982c222,growth2982c222,Y3147c440,growth3147c440,Y3451c616,growth3451c616,Y3516c352,growth3516c352,Y3542c440,growth3542c440,Y3587c352,growth3587c352,Y3719c218,Y3732c600,growth3732c600,Y3733c705,growth3733c705,Y3915c600,growth3915c600,Y3936c152,growth3936c152,Y4044c642,Y40c32,Y4132c208,growth4132c208,Y4174c586,growth4174c586,Y4291c608,Y4538c68,growth4538c68,Y4577c757,growth4577c757,Y4694c251,growth4694c251,Y4719c152,growth4719c152,Y4764c616,growth4764c616,Y4790c300,growth4790c300,Y4809c36,Y4970c428,growth4970c428,Y4987c586,growth4987c586,Y5027c440,growth5027c440,Y519c372,growth519c372,Y528c616,growth528c616,Y660c554,Y969c620,growth969c620,_merge,x,r2,s,sf
201310,901580,645,4739,6394009,10,0,0,0,0,0,0,0,0,1,0,0,13918,318359,-.2474994659423828,1351858,1.755329132080078,1191931,.2792577743530273,90935,-.1821565628051758,1625039,.2057456970214844,0,737279,-.0646123886108398,162767,.1302099227905273,28621,2.885387897491455,90969,2.288167953491211,70739,136688,.4111804962158203,873410,.0504903793334961,396541,.6564626693725586,0,440480,.3765907287597656,109048,.4297990798950195,164082,1.05791187286377,42561,239559,.0501956939697266,56778,-.3034219741821289,877364,.3853797912597656,92742,.0084238052368164,15199,1.269381523132324,40382,.9509849548339844,0,189118,-1.610031127929688,903613,.3182554244995117,98787,1.427533149719238,4157040,-.0167579650878906,193605,0,131701,.2948722839355469,9332,1.109494209289551,399124,128393,1.130631446838379,533590,1.146986961364746,1073505,.2164897918701172,268565,.2856521606445313,155945,.1000194549560547,504713,.5364112854003906,3870583,114150,.9086322784423828,686095,-.2399778366088867,49853,.2376251220703125,317047,-.1668624877929688,4116000,.0956172943115234,2222123,17915,.121586799621582,matched (3),6157401.5,.92209238,560504.69,1007091.4
201311,901580,646,4739,5496724,11,0,0,0,0,0,0,0,0,0,1,0,653,338959,.0626993179321289,171839,-2.062676429748535,1167799,-.0204534530639648,39104,-.8439197540283203,1859904,.1349925994873047,694904,520139,-.3488702774047852,167332,.0276594161987305,25376,-.1203365325927734,41056,-.7955818176269531,55990,107727,-.2381010055541992,702094,-.2183380126953125,485184,.2017488479614258,142593,273054,-.4781961441040039,48710,-.8059043884277344,182678,.1073589324951172,41509,379857,.4609956741333008,32421,-.5603427886962891,670479,-.2689294815063477,12689,-1.989085197448731,86982,1.744472503662109,98923,.8959579467773438,81987,112866,-.516169548034668,1036148,.1368646621704102,30870,-1.163181304931641,1345827,-1.12779426574707,20888,0,93011,-.3478164672851563,4785,-.667963981628418,343064,72097,-.577082633972168,473060,-.1204051971435547,1109597,.0330677032470703,173711,-.435699462890625,183943,.1651229858398438,351431,-.3619766235351563,3560044,107669,-.0584516525268555,456040,-.4084358215332031,45272,-.0963897705078125,509714,.4748001098632813,2983022,-.3219451904296875,1986611,7363,-.8891716003417969,matched (3),5603228.5,.92209238,446406.97,948339
201312,901580,647,4739,4317683,12,0,0,0,0,0,0,0,0,0,0,1,7415,516467,.4211330413818359,98989,-.5515499114990234,830383,-.3409891128540039,220310,1.72881031036377,2511930,.3005266189575195,737798,532982,.0243921279907227,135428,-.2115392684936523,14813,-.538299560546875,129793,1.151003837585449,198674,162733,.412510871887207,650338,-.0765752792358398,292129,-.5073328018188477,134391,184608,-.3914346694946289,126806,.9567747116088867,82281,-.7975845336914063,63346,284308,-.2897367477416992,24650,-.2740287780761719,664412,-.009089469909668,28595,.8124961853027344,697,-4.826671600341797,13978,-1.956856727600098,42633,396718,1.257023811340332,369132,-1.032111167907715,60137,.6668405532836914,6388965,1.557563781738281,63026,0,60628,-.4279603958129883,5903,.2099752426147461,420298,19323,-1.316717147827148,246308,-.6526393890380859,758177,-.3808345794677734,139491,-.2193927764892578,74154,-.9084815979003906,429490,.2005853652954102,3330764,95603,-.1188573837280273,802980,.5657501220703125,30648,-.3901214599609375,377492,-.3003005981445313,3800833,.242283821105957,1783892,941,-2.057279586791992,matched (3),4627814,.92209238,533230.44,992170.56
201401,901580,648,4739,3450666,01,0,0,0,0,0,0,0,0,0,0,0,504,147542,-1.252899169921875,224783,.8201274871826172,786080,-.0548286437988281,54220,-1.401985168457031,1211275,-.7293777465820313,342092,654136,.2048273086547852,198158,.3806247711181641,16201,.0895681381225586,1092,-4.777929782867432,129192,108000,-.4099798202514648,428790,-.4165248870849609,234658,-.2190656661987305,26948,89653,-.7222881317138672,20227,-1.835639953613281,60812,-.3023538589477539,26838,211799,-.2944202423095703,17782,-.3265905380249023,274547,-.8837804794311523,34934,.2002286911010742,505,-.3222270011901856,3724,-1.322687149047852,30148,29089,-2.612865447998047,300343,-.2062292098999023,22945,-.9635248184204102,1826303,-1.252278327941895,50670,0,145011,.8720531463623047,3615,-.4903688430786133,906135,49949,.94970703125,285382,.1472454071044922,1133766,.4023828506469727,156064,.1122655868530273,210487,1.043279647827148,377578,-.1288213729858398,2131782,180833,.6373701095581055,442243,-.596470832824707,20067,-.4234905242919922,411701,.0867481231689453,4076172,.0699377059936523,1398653,32126,3.530478477478027,matched (3),4180296.8,.92209238,580696.63,1018467.6
201402,901580,649,4739,3991887,02,1,0,0,0,0,0,0,0,0,0,0,12511,451860,1.119259834289551,386918,.5430765151977539,1148997,.3795862197875977,121094,.8035173416137695,1189128,-.0184535980224609,529172,194876,-1.210951805114746,141655,-.3356704711914063,57548,1.267546653747559,4905,1.502244472503662,232297,60656,-.5769128799438477,832179,.6630802154541016,270260,.1412553787231445,51746,122837,.3149118423461914,21945,.0815210342407227,82593,.3061380386352539,33807,211833,.0001602172851563,10975,-.4825668334960938,74310,-1.306877136230469,108821,1.13624382019043,15266,3.408825397491455,786,-1.555596351623535,72958,370574,2.544692993164063,635792,.7499465942382813,45750,.6900920867919922,4701077,.9454975128173828,155251,0,98405,-.3877182006835938,8043,.7997102737426758,801656,5156,-2.270841598510742,206779,-.3221778869628906,457017,-.9085798263549805,283687,.5976057052612305,308945,.3837394714355469,288632,-.2686252593994141,2722793,80105,-.8142356872558594,10664246,3.182792663574219,64501,1.167604446411133,446828,.0818758010864258,3301413,-.2108078002929688,1906345,53704,.5138216018676758,matched (3),4400192,.92209238,429625.91,940556.25
201403,901580,650,4739,3154101,03,0,1,0,0,0,0,0,0,0,0,0,0,247331,-.6026449203491211,289202,-.2910871505737305,836392,-.3175477981567383,101008,-.1813678741455078,1563545,.2737360000610352,313704,477621,.896453857421875,320540,.8166122436523438,4490,-2.550766944885254,58566,2.479899406433106,113553,54406,-.1087436676025391,493183,-.5231666564941406,82982,-1.180761337280273,103619,63959,-.6526165008544922,14600,-.4075183868408203,73690,-.1140575408935547,18412,177223,-.1783895492553711,6806,-.4778156280517578,71171,-.0431594848632813,99905,-.085484504699707,14277,-.0669784545898438,17946,3.128165245056152,97280,166183,-.8019638061523438,237045,-.9866218566894531,41587,-.0954046249389648,2644890,-.5751619338989258,13349,0,158240,.4750213623046875,7249,-.1039390563964844,688565,2295,-.8094282150268555,236915,.1360511779785156,435691,-.0477867126464844,43198,-1.882077217102051,166520,-.6180477142333984,434365,.4087333679199219,2434345,95963,.1806240081787109,4012716,-.9774284362792969,53553,-.186009407043457,345813,-.2562751770019531,3381515,.0239734649658203,0,37424,-.361175537109375,matched (3),3480406.3,.92209238,372993.88,916074.25
201404,901580,651,4739,5486132,04,0,0,1,0,0,0,0,0,0,0,0,4594,424735,.5407381057739258,478147,.5027933120727539,900814,.0742015838623047,356410,1.260882377624512,1663226,.061802864074707,603066,348089,-.3163585662841797,102748,-1.137727737426758,17815,1.378188133239746,122976,.7418346405029297,213561,41134,-.2796401977539063,522113,.0570030212402344,38855,-.7587871551513672,80989,31484,-.7087621688842773,32758,.8081254959106445,64362,-.1353435516357422,23653,105928,-.5146493911743164,21181,1.135300636291504,306435,1.459919929504395,138972,.330052375793457,44907,1.145943641662598,92599,1.640911102294922,114495,352368,.7515869140625,867416,1.297268867492676,43572,.0466270446777344,3342267,.2340192794799805,136499,0,204889,.2583551406860352,18846,.9554376602172852,1119702,25510,2.408337593078613,209580,-.1225957870483398,448927,.0299272537231445,253095,1.767970085144043,177727,.0651330947875977,898494,.7268342971801758,2367577,85397,-.1166515350341797,2039056,-.6769809722900391,55252,.0312328338623047,440820,.2427387237548828,2616243,-.2565841674804688,1010649,12110,-1.128280639648438,matched (3),5248571,.92209238,540682.81,996195.56
201405,901580,652,4739,3974085,05,0,0,0,1,0,0,0,0,0,0,0,4438,341289,-.2187356948852539,1128907,.8590869903564453,584876,-.4318990707397461,65082,-1.700433731079102,1370762,-.1933917999267578,468766,340875,-.0209426879882813,255984,.9128360748291016,25154,.3449764251708984,2300,-3.979080200195313,143303,41058,-.0018491744995117,957356,.6062917709350586,29778,-.2660665512084961,128987,21860,-.3648214340209961,13810,-.8637542724609375,83905,.2651615142822266,57812,248083,.8510036468505859,21842,.0307292938232422,81075,-1.329630851745606,21988,-1.843775749206543,329487,1.992942810058594,11301,-2.103386878967285,70039,807015,.8286657333374023,937562,.0777645111083984,34100,-.2451171875,2116482,-.4568939208984375,27380,0,170864,-.1816005706787109,18524,-.0172338485717773,698962,20492,-.2190361022949219,135210,-.4382762908935547,459825,.0239849090576172,265439,.0476207733154297,155722,-.132176399230957,562979,-.4674777984619141,2616888,74602,-.1351432800292969,8723395,1.453520774841309,86029,.4427804946899414,405382,-.0838069915771484,2597152,-.00732421875,934620,16337,.2994012832641602,matched (3),2781203.8,.92209238,385863.84,921389.5
201406,901580,653,4739,2926562,06,0,0,0,0,1,0,0,0,0,0,0,551,319338,-.0664796829223633,987536,-.1337928771972656,639178,.0887832641601563,80436,.2118139266967773,1332477,-.0283269882202148,416295,258696,-.2758626937866211,139348,-.6081409454345703,23370,-.0735635757446289,692,-1.201078414916992,87585,20483,-.6953897476196289,396755,-.8808565139770508,24761,-.1844997406005859,66782,26993,.2109193801879883,8326,-.5060091018676758,68077,-.20904541015625,44757,210900,-.162379264831543,14414,-.4156341552734375,42582,-.6439428329467773,89216,1.400564193725586,5495,-4.093697547912598,10480,-.0754222869873047,12367,339058,-.8671703338623047,336683,-1.024141311645508,12534,-1.000852584838867,3860332,.6009979248046875,32719,0,114848,-.3972587585449219,3909,-1.555785179138184,693641,42913,.739140510559082,175095,.2584991455078125,588751,.2471580505371094,190304,-.3327627182006836,218651,.3394041061401367,411382,-.3137197494506836,2419689,73318,-.0173616409301758,669165,-2.567732810974121,38927,-.7929964065551758,258741,-.4490022659301758,2057147,-.2330951690673828,823738,15934,-.0249776840209961,matched (3),2631688.3,.92209238,291984.84,886184.44
201407,901580,654,4739,7543814,07,0,0,0,0,0,1,0,0,0,0,0,552,159505,-.6941747665405273,623713,-.4595222473144531,833011,.2648639678955078,327610,1.404361724853516,1284498,-.0366716384887695,444585,421797,.4888706207275391,192768,.3245134353637695,14765,-.4591941833496094,3878,1.723488807678223,291671,27568,.2970600128173828,485597,.2020597457885742,104879,1.443536758422852,158280,90133,1.205708503723145,15419,.6162166595458984,145616,.7603330612182617,25224,254452,.1877288818359375,30775,.7585029602050781,85526,.6973886489868164,19662,-1.512372970581055,14602,.9773197174072266,15596,.3975458145141602,104607,439001,.2583303451538086,1372617,1.405332565307617,85212,1.916697502136231,4474751,.1476974487304688,128385,0,137543,.1803274154663086,6995,.581913948059082,1515016,99151,.8374691009521484,241957,.3234310150146484,840448,.355931282043457,102755,-.6162748336791992,225619,.0313711166381836,497695,.190464973449707,3799647,122739,.515254020690918,332588,-.6991262435913086,20124,-.6597757339477539,292701,.1233234405517578,3607230,.561619758605957,1113181,17002,.064875602722168,matched (3),6218674,.92209238,495419.75,972372.56
201408,901580,655,4739,5990465,08,0,0,0,0,0,0,1,0,0,0,0,1503,882618,1.710817337036133,212126,-1.078510284423828,1070760,.2510776519775391,65310,-1.612678527832031,1074619,-.1784019470214844,106608,467279,.1024026870727539,268428,.3310947418212891,5595,-.9703865051269531,56888,2.685765266418457,108114,4203,-1.880857467651367,834989,.5420398712158203,48113,-.7792549133300781,241304,272248,1.105427742004395,14922,-.0327634811401367,58315,-.9151134490966797,31546,206479,-.2089138031005859,13789,-.8028316497802734,60700,-.3428773880004883,96674,1.592657089233398,15287,.0458440780639648,3812,-1.408860206604004,41305,209051,-.7419233322143555,292382,-1.546413421630859,64049,-.2854938507080078,1633117,-1.007960319519043,1332779,0,275780,.6956672668457031,14442,.724945068359375,606895,17197,-1.751909255981445,190074,-.2413463592529297,871492,.0362720489501953,154622,.4086360931396484,179111,-.2308416366577148,272809,-.6012153625488281,2509382,112745,-.0849313735961914,6937025,3.037723541259766,93048,1.531203269958496,289563,-.0107784271240234,2836011,-.2405414581298828,1307745,1799,-2.246099948883057,matched (3),5888470,.92209238,464381.22,956931.31
201409,901580,656,4739,5616209,09,0,0,0,0,0,0,0,1,0,0,0,226,289658,-1.114192008972168,210646,-.0070009231567383,1162497,.0822010040283203,45125,-.3697090148925781,1014527,-.0575437545776367,532984,239647,-.667759895324707,132037,-.7095003128051758,14288,.9375467300415039,2150,-3.275617122650147,223035,43501,2.336985588073731,586513,-.3532238006591797,161273,1.20954704284668,187627,590526,.7742996215820313,120090,2.085404396057129,58989,.0114917755126953,24810,247060,.1794319152832031,17457,.2358694076538086,431406,1.961106300354004,4644,-3.035768508911133,6789,-.8116989135742188,2204,-.5478806495666504,86856,387119,.6161537170410156,826180,1.038751602172852,46174,-.3272314071655273,1324591,-.2093868255615234,187536,0,206223,-.2906455993652344,7511,-.6537723541259766,385363,16527,-.0397396087646484,359103,.6361961364746094,662092,-.2748022079467773,59343,-.9576492309570313,171988,-.0405817031860352,550942,.7028579711914063,2286803,74692,-.4117555618286133,8170598,.1636695861816406,31890,-1.070823669433594,246960,-.1591463088989258,2360883,-.1833629608154297,1564430,2784,.4366579055786133,matched (3),6203381,.92209238,509238.25,979485.19
201410,901580,657,4739,6750436,10,0,0,0,0,0,0,0,0,1,0,0,16256,540906,.6245450973510742,603989,1.053377151489258,1101685,-.0537290573120117,436220,2.268710136413574,1368002,.2989282608032227,403526,457461,.6465253829956055,260788,.6806259155273438,21765,.4208831787109375,83571,3.660229206085205,146465,51492,.1686429977416992,1096215,.6254234313964844,384496,.8688344955444336,132295,454295,-.2622671127319336,567888,1.553683280944824,113877,.6577672958374023,45916,336316,.3084201812744141,19707,.1212329864501953,851932,.6804571151733398,116515,3.222443580627441,2067,-1.189205646514893,19410,2.175514698028565,109053,582498,.4085931777954102,494007,-.5142631530761719,65020,.3422775268554688,975925,-.3054733276367188,281123,0,117386,-.5634908676147461,12764,.5302600860595703,791559,19417,.1611537933349609,563636,.4507989883422852,1324206,.6931638717651367,247393,1.427643775939941,109735,-.4493560791015625,499803,-.0974159240722656,2334494,84241,.1203088760375977,1018298,-2.082409858703613,50948,.4685134887695313,263440,.0645990371704102,2956532,.2249813079833984,2072428,17069,1.813374996185303,matched (3),7499233,.92209238,529532.75,990188.19
