period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1101c251,growth1101c251,Y1131c152,growth1131c152,Y1242c68,growth1242c68,Y1316c752,growth1316c752,Y1357c152,growth1357c152,Y1485c68,growth1485c68,Y1615c352,growth1615c352,Y1745c152,growth1745c152,Y1759c152,growth1759c152,Y1802c352,growth1802c352,Y1814c757,growth1814c757,Y1896c203,Y1990c620,growth1990c620,Y201c124,growth201c124,Y2035c757,growth2035c757,Y2043c68,Y2091c348,growth2091c348,Y2190c152,Y2394c440,growth2394c440,Y2445c372,growth2445c372,Y2790c233,Y2835c344,Y2889c222,growth2889c222,Y2894c428,growth2894c428,Y3134c191,growth3134c191,Y3338c484,growth3338c484,Y3354c32,Y3732c36,Y3762c268,growth3762c268,Y3828c222,growth3828c222,Y382c268,growth382c268,Y3949c352,growth3949c352,Y4041c600,growth4041c600,Y4081c807,growth4081c807,Y4209c372,growth4209c372,Y437c152,growth437c152,Y4439c600,growth4439c600,Y4514c600,growth4514c600,Y4627c484,growth4627c484,Y4680c428,growth4680c428,Y4845c440,growth4845c440,Y4975c233,Y538c268,growth538c268,Y541c208,growth541c208,Y542c372,growth542c372,Y581c376,Y684c484,growth684c484,Y890c348,growth890c348,Y891c826,growth891c826,Y905c826,growth905c826,_merge,x,r2,s,sf
201108,901811,619,4747,539359,08,0,0,0,0,0,0,1,0,0,0,0,230822,-1.506139755249023,104132,1.634890556335449,426515,.8621854782104492,415517,4.932579040527344,119146,-.771601676940918,134202,.5731887817382813,10473,-.8265419006347656,490160,-.0206317901611328,3608820,.2790489196777344,11499,.0082082748413086,259956,-.7027740478515625,106913,202540,-.1952714920043945,21223228,.1333541870117188,257483,-.1431493759155273,493512,691031,.1909675598144531,423680,19194,-.3411645889282227,26656,-1.695711135864258,69062,1138942,15143,-.6870527267456055,63401,2.239789009094238,346139,.4681510925292969,227310,.2922887802124023,4493784,4057447,13490,-.3553028106689453,26751,.4211759567260742,11269,-2.718273162841797,70751,-.8401393890380859,288318,.3183813095092773,36589,.0963840484619141,1990779,.3723554611206055,109719,2.18450927734375,11410608,.0846538543701172,26328,-1.339504241943359,101536,.3834705352783203,173091,.114445686340332,36006,1.387350082397461,20869,178399,-.5006351470947266,24512,-.3579263687133789,1266162,-.2059364318847656,2675000,346517,.6273698806762695,345638,.0993871688842773,1106152,.1237878799438477,1387512,-1.149426460266113,matched (3),755263.56,.90635246,107859.96,182106.77
201109,901811,620,4747,250536,09,0,0,0,0,0,0,0,1,0,0,0,870360,1.32726001739502,17279,-1.796167373657227,44134,-2.268417358398438,2942,-4.950433731079102,297672,.9156427383422852,121925,-.0959396362304688,9409,-.1071338653564453,263497,-.6206903457641602,3729268,.0328311920166016,13021,.124302864074707,275425,.0578031539916992,155215,148919,-.3075351715087891,18566900,-.1337165832519531,172625,-.3998317718505859,47368,700673,.0138568878173828,659376,23222,.1905021667480469,141135,1.666703224182129,58688,768446,3223,-1.547225952148438,17228,-1.302943229675293,262865,-.2751998901367188,112464,-.7036819458007813,1444229,3077899,5950,-.8185567855834961,26587,-.0061492919921875,24425,.7735509872436523,47883,-.3904056549072266,112721,-.93914794921875,23082,-.4606943130493164,1515351,-.2728796005249023,56385,-.6657190322875977,13807220,.1906490325927734,32647,.2151193618774414,146052,.3635492324829102,136140,-.2401342391967773,15797,-.8238658905029297,7381,74691,-.8706626892089844,27774,.1249370574951172,1254229,-.0094699859619141,1930000,448911,.2588930130004883,286678,-.1870317459106445,897068,-.2095108032226563,1332051,-.0407924652099609,matched (3),736225.06,.90635246,97703.188,176281.06
201110,901811,621,4747,502951,10,0,0,0,0,0,0,0,0,1,0,0,872771,.0027656555175781,24107,.3330106735229492,163856,1.311758041381836,75081,3.23947811126709,218602,-.3087396621704102,141703,.1503267288208008,4020,-.8503847122192383,202288,-.2643499374389648,5348444,.3605937957763672,13565,.0409297943115234,535836,.6655130386352539,128795,341311,.8293914794921875,21538080,.1484432220458984,329931,.6477622985839844,290199,602941,-.1502218246459961,1144829,8760,-.9749040603637695,96512,-.3800497055053711,66926,1587131,4952,.429478645324707,22333,.2595291137695313,285160,.0814094543457031,321618,1.050731658935547,290402,3436263,21019,1.262035369873047,35853,.2990045547485352,106186,1.469585418701172,899040,2.932566642761231,43999,-.9407491683959961,26563,.1404666900634766,3299774,.7782068252563477,105324,.6248378753662109,10550170,-.2690505981445313,64267,.6772937774658203,137784,-.0582752227783203,167332,.2062959671020508,20495,.2603616714477539,44668,120273,.4764041900634766,7223,-1.346829414367676,1766325,.3423805236816406,2511000,466269,.037938117980957,346885,.1906328201293945,796137,-.1193609237670898,1670376,.2263288497924805,matched (3),794696.06,.90635246,97141.227,175970.23
201111,901811,622,4747,849122,11,0,0,0,0,0,0,0,0,0,1,0,592845,-.3867397308349609,35704,.3927602767944336,454740,1.020737648010254,266470,1.266694068908691,424253,.6630773544311523,95404,-.3956127166748047,3923,-.0244255065917969,408107,.7018375396728516,7847349,.3833703994750977,8710,-.4430208206176758,256071,-.7383737564086914,123088,122900,-1.021422386169434,23670180,.0943927764892578,321575,-.0256528854370117,435686,718536,.1753959655761719,737773,16189,.6141357421875,159101,.4998722076416016,73948,1727563,18568,1.321648597717285,68398,1.119277954101563,248817,-.1363325119018555,195180,-.4994421005249023,1974339,4848003,7567,-1.02163028717041,19371,-.6156501770019531,2403,-3.788474082946777,365608,-.8997659683227539,145111,1.193331718444824,52748,.6860065460205078,1061206,-1.13444709777832,120166,.1318330764770508,11028875,.0443763732910156,34467,-.6230440139770508,69293,-.6873435974121094,122467,-.3121376037597656,28109,.3159084320068359,14857,166806,.3270673751831055,23872,1.195435523986816,2046155,.1470613479614258,2926000,472622,.0135335922241211,269168,-.253657341003418,1746713,.7857198715209961,5096071,1.115421295166016,matched (3),922396.63,.90635246,95290.688,174955.47
201112,901811,623,4747,1594860,12,0,0,0,0,0,0,0,0,0,0,1,725240,.2015695571899414,114382,1.164280891418457,285568,-.465245246887207,146313,-.5995140075683594,137156,-1.129210472106934,105242,.0981416702270508,8391,.7603034973144531,347896,-.1596260070800781,8780899,.1124029159545898,5185,-.518702507019043,366113,.357487678527832,107870,161876,.2754592895507813,20130546,-.1619777679443359,571823,.5755987167358398,480488,573313,-.2257843017578125,910803,31,-6.258100032806397,176118,.1016149520874023,34186,1987425,22694,.2006607055664063,4360,-2.752871513366699,215719,-.1427412033081055,263201,.2989950180053711,714387,2734161,14987,.6833868026733398,36359,.629664421081543,80650,3.513401031494141,460726,.2312421798706055,81572,-.5760126113891602,59353,.117976188659668,648869,-.4919309616088867,64344,-.6246309280395508,12733883,.1437492370605469,168838,1.588936805725098,82481,.1742238998413086,178686,.3777885437011719,68983,.8977699279785156,3927,478967,1.054800033569336,1832,-2.56729793548584,1132183,-.5918149948120117,2979000,549813,.1512823104858398,323584,.1841230392456055,622309,-1.032053947448731,1386753,-1.301505088806152,matched (3),1535484.3,.90635246,112834.38,185096.45
201201,901811,624,4747,574486,01,0,0,0,0,0,0,0,0,0,0,0,220443,-1.190863609313965,14935,-2.035836219787598,315460,.0995512008666992,97742,-.403416633605957,91371,-.4061908721923828,79403,-.2817258834838867,8137,-.0307378768920898,394091,.1246786117553711,9346515,.0624246597290039,1882,-1.013434886932373,312984,-.1567897796630859,94878,165522,.022273063659668,12186844,-.5018806457519531,644645,.1198701858520508,260284,809531,.3450231552124023,472969,9110,5.683141231536865,66188,-.9786558151245117,61170,1637175,81600,1.279728889465332,6788,.4426841735839844,163182,-.2791099548339844,168976,-.4431610107421875,1018212,4546759,5662,-.9734058380126953,17177,-.7498703002929688,1656,-3.885714054107666,281578,-.4923944473266602,51253,-.4647121429443359,16141,-1.302140235900879,380588,-.533513069152832,21097,-1.1151123046875,8958333,-.3516826629638672,79460,-.7536859512329102,64965,-.2387189865112305,163177,-.090794563293457,23690,-1.068806648254395,19912,257390,-.6210393905639648,18132,2.292269706726074,1587118,.3377723693847656,3333000,213375,-.9465274810791016,205680,-.4531373977661133,277913,-.8061285018920898,1001350,-.3256158828735352,matched (3),672370.88,.90635246,91562.438,172953.13
201202,901811,625,4747,1057491,02,1,0,0,0,0,0,0,0,0,0,0,622070,1.037413597106934,45632,1.116902351379395,702110,.8000583648681641,97421,-.0032892227172852,101740,.1074924468994141,96273,.1926517486572266,3989,-.7128810882568359,451596,.1362056732177734,5979814,-.4466142654418945,10184,1.688482761383057,302565,-.0338563919067383,82505,167540,.0121183395385742,14694405,.1871089935302734,758348,.1624422073364258,435020,409309,-.6819839477539063,975987,7849,-.14898681640625,144967,.7840070724487305,84158,614982,18999,-1.457443237304688,9880,.3753566741943359,220697,.3019247055053711,191730,.1263313293457031,1638208,3596205,14961,.9716691970825195,38799,.8148231506347656,4263,.9455676078796387,471507,.5155248641967773,88577,.5470981597900391,13303,-.1933727264404297,94765,-1.390317916870117,4660,-1.510115623474121,11047262,.2095985412597656,71264,-.1088619232177734,68071,.0467023849487305,171842,.0517396926879883,25542,.0752716064453125,18064,199881,-.2528696060180664,18805,.0364446640014648,1420760,-.1107282638549805,2028000,267513,.2261171340942383,158952,-.2577190399169922,853368,1.121882438659668,1743791,.554713249206543,matched (3),952603.81,.90635246,80241.594,167235.81
201203,901811,626,4747,1432311,03,0,1,0,0,0,0,0,0,0,0,0,461309,-.2989845275878906,72716,.4659519195556641,262683,-.9831418991088867,129251,.2827138900756836,380972,1.320304870605469,146955,.422938346862793,5433,.3089504241943359,1236851,1.007535934448242,2873682,-.7327957153320313,3821,-.9803056716918945,373147,.2096767425537109,173672,174988,.0434951782226563,18954604,.2545795440673828,1813574,.871912956237793,478925,1324536,1.174346923828125,1051243,38230,1.583233833312988,144922,-.000309944152832,104433,982746,69673,1.299427032470703,27939,1.039510726928711,392325,.5752992630004883,483708,.9253931045532227,1377416,4138598,30077,.6983137130737305,34110,-.1288042068481445,3119,-.3124599456787109,264249,-.5790424346923828,112816,.2418861389160156,23536,.5705413818359375,413759,1.473883628845215,111143,3.171802520751953,7758039,-.3534536361694336,193341,.9980640411376953,103749,.4214229583740234,265777,.4360818862915039,19284,-.2810487747192383,51603,472659,.860651969909668,5927,-1.154604911804199,1883979,.2821941375732422,3405000,348102,.2633275985717773,398314,.9186382293701172,1143601,.2927465438842773,701446,-.9106731414794922,matched (3),1184734.1,.90635246,117787.99,188157.16
201204,901811,627,4747,1298496,04,0,0,1,0,0,0,0,0,0,0,0,2038649,1.485974311828613,66796,-.0849180221557617,314550,.1801948547363281,284286,.7882251739501953,123086,-1.129842758178711,114764,-.247248649597168,36009,1.891277313232422,450699,-1.009524345397949,2921344,.0164499282836914,9242,.8832464218139648,302806,-.2088804244995117,127053,238599,.3100671768188477,17514932,-.0789928436279297,461509,-1.368553161621094,237780,677751,-.6700372695922852,884309,26013,-.3850240707397461,148708,.0257883071899414,69877,998698,17142,-1.402281761169434,15879,-.5650262832641602,335011,-.1579265594482422,207586,-.8459348678588867,1062515,3698170,10044,-1.096785545349121,40992,.1837863922119141,72934,3.152042388916016,167758,-.4543685913085938,53044,-.7546367645263672,26952,.1355266571044922,332746,-.2179040908813477,112749,.0143461227416992,6820443,-.1288051605224609,82970,-.8459758758544922,21745,-1.562590599060059,169164,-.4517889022827148,10874,-.5729007720947266,20993,324875,-.374934196472168,18861,1.157578468322754,1655804,-.1290988922119141,3747000,261133,-.2874660491943359,385541,-.0325927734375,1291224,.1214084625244141,1275723,.5981245040893555,matched (3),1393880.6,.90635246,83035.383,168594.13
201205,901811,628,4747,1180317,05,0,0,0,1,0,0,0,0,0,0,0,323626,-1.8404541015625,63710,-.04730224609375,124474,-.9270458221435547,118388,-.8760137557983398,116282,-.0568647384643555,94635,-.1928501129150391,3186,-2.425002098083496,645549,.3593015670776367,2736708,-.0652875900268555,16500,.5796022415161133,291236,-.0389585494995117,63549,255850,.0698070526123047,18227912,.0398998260498047,345175,-.2904500961303711,153967,523147,-.2589178085327148,231462,30059,.144566535949707,104977,-.3482427597045898,77565,706370,15523,-.0992088317871094,3932,-1.395849227905273,263433,-.2403650283813477,436377,.7429599761962891,551295,4047969,37662,1.321676254272461,31313,-.269343376159668,17646,-1.419046401977539,111168,-.4114799499511719,46453,-.1326799392700195,28762,.064997673034668,655921,.6786613464355469,13276,-2.139205932617188,8387395,.2068061828613281,67087,-.212489128112793,71724,1.193442344665527,194815,.1411819458007813,16860,.4385690689086914,31359,174179,-.623356819152832,2008,-2.239956855773926,1887196,.1308050155639648,3586000,187711,-.3301258087158203,299327,-.2531108856201172,478780,-.9921045303344727,1042013,-.2023591995239258,matched (3),1160265.6,.90635246,90856.828,172580.61
201206,901811,629,4747,1229406,06,0,0,0,0,1,0,0,0,0,0,0,433061,.291290283203125,85621,.2955894470214844,290423,.8472414016723633,1008105,2.141860008239746,248739,.7603855133056641,151736,.4721145629882813,14956,1.546346664428711,622017,-.0371332168579102,4313215,.4549274444580078,14676,-.1171474456787109,351245,.1873502731323242,83987,265864,.0383930206298828,15367424,-.1707038879394531,207951,-.506749153137207,224344,625686,.1789865493774414,1388079,20676,-.3741893768310547,101741,-.03131103515625,84776,1115603,4493,-1.239802360534668,9980,.9314355850219727,253125,-.0399150848388672,208347,-.7393007278442383,1296344,4235565,7532,-1.609490394592285,24785,-.2337942123413086,55312,1.142480850219727,91083,-.1992721557617188,123363,.976689338684082,75024,.9587526321411133,1627111,.9085206985473633,51820,1.361818313598633,8896618,.0589418411254883,109235,.4875106811523438,116946,.488886833190918,139238,-.3358659744262695,53957,1.163243293762207,21921,123718,-.3420782089233398,34547,2.845181465148926,1449981,-.2635412216186523,2021000,205199,.089076042175293,320841,.0694093704223633,1357407,1.04209041595459,2317269,.7992353439331055,matched (3),1089099.8,.90635246,80785.609,167497.52
201207,901811,630,4747,867385,07,0,0,0,0,0,1,0,0,0,0,0,72918,-1.781542778015137,8914,-2.262308120727539,253021,-.1378660202026367,447297,-.8126049041748047,181936,-.312748908996582,107589,-.3438234329223633,7047,-.7525110244750977,350193,-.5744829177856445,4192656,-.0283489227294922,8802,-.5112342834472656,309872,-.1253252029418945,88297,92559,-1.05513858795166,18976808,.210968017578125,251946,.1919116973876953,140981,494148,-.2360143661499023,116669,1931,-2.370934963226318,81845,-.2176027297973633,32160,1205596,2439,-.6109318733215332,5115,-.6684064865112305,166550,-.4185876846313477,156019,-.2892274856567383,339152,3045610,15520,.7229690551757813,23107,-.070103645324707,41895,-.2778234481811523,52725,-.5466814041137695,129797,.0508413314819336,15436,-1.58110523223877,553400,-1.07848072052002,79093,.4228477478027344,7230304,-.2073907852172852,41203,-.9749898910522461,234908,.6974811553955078,203660,.3802671432495117,30548,-.5688886642456055,8623,96475,-.2487211227416992,33486,-.031193733215332,1582364,.0873689651489258,2510000,252484,.2073678970336914,351372,.0908994674682617,333694,-1.403107643127441,1993887,-.150303840637207,matched (3),668763.44,.90635246,64330.223,160210.73
