period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1602c344,Y1619c792,growth1619c792,Y1679c208,growth1679c208,Y1771c600,growth1771c600,Y2011c428,growth2011c428,Y2057c222,growth2057c222,Y2115c251,growth2115c251,Y2129c586,growth2129c586,Y2136c428,growth2136c428,Y2222c124,growth2222c124,Y2318c300,growth2318c300,Y2554c688,growth2554c688,Y259c124,growth259c124,Y2714c554,Y2740c428,growth2740c428,Y2933c344,Y3004c688,growth3004c688,Y3012c642,Y3070c752,growth3070c752,Y3182c352,growth3182c352,Y319c688,Y3258c620,growth3258c620,Y3371c484,growth3371c484,Y343c208,Y3478c484,growth3478c484,Y3539c352,growth3539c352,Y3760c233,Y3829c705,growth3829c705,Y3889c152,Y3916c300,growth3916c300,Y4321c807,growth4321c807,Y4329c222,growth4329c222,Y4373c268,growth4373c268,Y4380c251,growth4380c251,Y4384c218,Y4459c124,growth4459c124,Y446c152,Y4503c152,growth4503c152,Y452c372,growth452c372,Y4545c807,Y4581c268,growth4581c268,Y4625c233,Y5039c208,growth5039c208,Y621c757,growth621c757,Y644c246,growth644c246,Y652c352,growth652c352,Y685c757,growth685c757,Y740c620,growth740c620,Y873c440,growth873c440,Y961c300,_merge,x,r2,s,sf
201212,293339,635,1296,24136040,12,0,0,0,0,0,0,0,0,0,0,1,267430,3845968,-.4480724334716797,139408,-1.640468597412109,76217,-.8638238906860352,1517,-3.366021633148193,1365836,-.356165885925293,1151929,-.3610477447509766,89952,-.3108329772949219,29002,-.1959238052368164,94316,.4799337387084961,14118,-1.191205024719238,79209,-.1349706649780273,7801918,.0585460662841797,661763,9323,-.4215316772460938,2128364,45707,-.3921394348144531,71145,21005,-2.355260848999023,12568,.1496658325195313,12708,216192,.0036745071411133,1134703,-.2324762344360352,606475,455618,.1323556900024414,1241,-1.690211772918701,28182,68471,.3032302856445313,558548,151718,1.048247337341309,1252,-3.560173988342285,1233501,-.0853605270385742,236297,-.151179313659668,15907650,.0189895629882813,661585,363207,-.152618408203125,207266,6821,2.992950916290283,10377,-.6588869094848633,895,13710162,-.035614013671875,130304,163790,-.1198558807373047,891695,-.317601203918457,1277549,-.1766080856323242,27983,-.8731555938720703,38366,-1.150286674499512,15622,.207392692565918,157974,-.1375856399536133,20438,matched (3),24328518,.819305,2235818.3,4661735.5
201301,293339,636,1296,26386022,01,0,0,0,0,0,0,0,0,0,0,0,69442,4076237,.0581493377685547,202722,.3744306564331055,121644,.4675140380859375,13140,2.158926486968994,2107496,.4337339401245117,1932049,.5171432495117188,85957,-.0454282760620117,25836,-.115595817565918,135746,.3641347885131836,678,-3.036058902740479,84208,.0612001419067383,5335787,-.3799324035644531,965244,11700,.2271041870117188,2494551,34686,-.2759160995483398,65964,680704,3.478366851806641,2866,-1.478237152099609,4998,182796,-.1677961349487305,1421702,.2254838943481445,863162,1172802,.94549560546875,7072,1.740225315093994,70918,45896,-.4000320434570313,315571,384843,.930811882019043,2024,.4803333282470703,1655561,.2942838668823242,115546,-.7154207229614258,16229937,.0200557708740234,696770,527596,.3733577728271484,258060,32428,1.559016227722168,198693,2.952169418334961,16161,8070818,-.529881477355957,1467075,357274,.7799186706542969,1114623,.2231473922729492,872369,-.3814868927001953,166,-5.127364635467529,83256,.7747488021850586,6983,-.805201530456543,148373,-.0627002716064453,87803,matched (3),25212350,.819305,2432306,4759097.5
201302,293339,637,1296,29080298,02,1,0,0,0,0,0,0,0,0,0,0,239273,5393956,.2801046371459961,372489,.6083717346191406,69051,-.5662527084350586,7568,-.551732063293457,2110482,.0014152526855469,1848164,-.0443878173828125,164678,.6501445770263672,34961,.302464485168457,95178,-.355036735534668,15053,3.100184917449951,22980,-1.298666000366211,7577073,.3506898880004883,1061776,14228,.1956233978271484,833067,36679,.0558681488037109,81674,219173,-1.133265495300293,31873,2.408842086791992,8548,240322,.2736091613769531,870823,-.4901714324951172,1063403,905029,-.2591838836669922,3916,-.5910720825195313,2525,36645,-.2251014709472656,12368,88955,-1.464705467224121,3489,.5445394515991211,934715,-.5716533660888672,215857,.6249475479125977,14156225,-.1367015838623047,912369,447218,-.1652851104736328,143424,5940,-1.69731330871582,289765,.3773088455200195,20229,11604088,.363102912902832,1904860,147443,-.8850622177124023,829093,-.2959384918212891,1044363,.1799497604370117,44864,5.599402904510498,134932,.4828510284423828,18323,.9646787643432617,161579,.0852642059326172,131777,matched (3),27348326,.819305,2170830,4630917.5
201303,293339,638,1296,24887064,03,0,1,0,0,0,0,0,0,0,0,0,174879,3547605,-.41900634765625,660140,.5722446441650391,12374,-1.719247817993164,18923,.9164485931396484,1444245,-.3793296813964844,713733,-.9514398574829102,156019,-.0540142059326172,40260,.1411256790161133,74917,-.2393674850463867,6728,-.8052988052368164,75561,1.190316200256348,10415240,.3181438446044922,683118,71293,1.611586570739746,1627582,66262,.5914125442504883,67016,66780,-1.188458442687988,2244,-2.653499126434326,8790,194389,-.2121191024780273,1544109,.5727643966674805,808344,618285,-.3810176849365234,8685,.7965269088745117,82983,24384,-.4073495864868164,73633,272046,1.117840766906738,4811,.3212900161743164,1017781,.0851383209228516,131420,-.4962177276611328,13188316,-.0708236694335938,689847,515787,.1426477432250977,96063,5202,-.1326665878295898,268145,-.0775423049926758,12886,19448672,.5164203643798828,1335098,190843,.2580099105834961,560369,-.3917369842529297,980470,-.0631303787231445,16393,-1.006780624389648,111816,-.1879167556762695,45896,.9182214736938477,139857,-.144373893737793,314124,matched (3),25554120,.819305,2562634.8,4827006.5
201304,293339,639,1296,34464948,04,0,0,1,0,0,0,0,0,0,0,0,329497,6798506,.6504297256469727,369610,-.5800037384033203,32152,.9548768997192383,49919,.9700241088867188,1293037,-.1105928421020508,1113480,.4447364807128906,73760,-.7491617202758789,54343,.299957275390625,144160,.6545429229736328,7507,.10955810546875,122890,.4863491058349609,7282791,-.3577566146850586,736225,25675,-1.021281242370606,1833989,44759,-.3923234939575195,71851,237380,1.268259048461914,6010,.9851651191711426,9149,647645,1.203481674194336,1708875,.1013879776000977,1308868,1372677,.7975692749023438,4779,-.5973663330078125,15331,74256,1.113591194152832,536388,370061,.3076972961425781,5313,.0992517471313477,1604088,.454930305480957,500453,1.337115287780762,14673846,.1067352294921875,867884,568836,.0978984832763672,113901,12388,.8676853179931641,199579,-.2953176498413086,46209,23233398,.1778125762939453,865363,335222,.5633420944213867,982504,.5615091323852539,1197547,.1999988555908203,2677,-1.81215763092041,165666,.3931188583374023,54760,.1765813827514648,135961,-.0282516479492188,106412,matched (3),37622264,.819305,2071259.5,4585085.5
201305,293339,640,1296,22029348,05,0,0,0,1,0,0,0,0,0,0,0,243303,5640732,-.1866884231567383,499482,.3011226654052734,30477,-.053502082824707,30004,-.5090713500976563,1179988,-.0914888381958008,786501,-.347651481628418,30988,-.8672161102294922,21078,-.9470863342285156,206530,.3595218658447266,2108,-1.270096778869629,52070,-.8587007522583008,6142955,-.1702079772949219,690156,12179,-.7458038330078125,1788470,24001,-.6231975555419922,75555,263786,.1054754257202148,10856,.5912923812866211,5852,242884,-.9807586669921875,1037696,-.4988327026367188,1069340,484794,-1.040794372558594,10785,.8139247894287109,636,53173,-.3339681625366211,59384,395141,.0655746459960938,3938,-.2994842529296875,999998,-.4725570678710938,122234,-1.409576416015625,14217341,-.0316047668457031,1039081,498677,-.1316337585449219,28303,17126,.3238697052001953,289695,.3726186752319336,10369,22596228,-.0278072357177734,691629,473155,.344630241394043,764520,-.2508563995361328,1052063,-.1295223236083984,15426,1.751357078552246,61172,-.9962835311889648,21161,-.9507999420166016,267690,.6774616241455078,131318,matched (3),27245688,.819305,1810219.6,4473230.5
201306,293339,641,1296,26845116,06,0,0,0,0,1,0,0,0,0,0,0,249202,5149612,-.0910930633544922,232707,-.7637910842895508,84509,1.019885063171387,20660,-.3731307983398438,1981222,.5182094573974609,800018,.0170402526855469,21114,-.3836641311645508,33542,.4645681381225586,249464,.188868522644043,25378,2.488142967224121,109536,.7436647415161133,2847774,-.768768310546875,729184,10705,-.129002571105957,1318435,24815,.0333528518676758,54354,68333,-1.35074520111084,219,-3.903400897979736,7266,178985,-.3052816390991211,1146367,.0995950698852539,894161,543887,.1150178909301758,13939,.2565345764160156,1319,58922,.1026639938354492,121334,317743,-.2180004119873047,7567,.6531238555908203,920694,-.0826253890991211,153831,.2299175262451172,11846874,-.1823978424072266,938590,504908,.0124177932739258,126877,29673,.5496397018432617,242161,-.1792259216308594,15870,16012922,-.3443870544433594,251211,98350,-1.570890426635742,404784,-.635894775390625,1062433,.0098085403442383,57764,1.320311546325684,54118,-.122523307800293,29576,.334803581237793,253498,-.054473876953125,117940,matched (3),28069814,.819305,2111628.8,4603463
201307,293339,642,1296,30583316,07,0,0,0,0,0,1,0,0,0,0,0,425601,4792751,-.0718164443969727,367797,.4577512741088867,90779,.0715703964233398,6256,-1.194659233093262,833948,-.8652982711791992,853784,.0650444030761719,20646,-.0224142074584961,23217,-.3679132461547852,258831,.0368614196777344,106778,1.436869621276856,139394,.2410507202148438,8362147,1.077178001403809,784289,16688,.4439792633056641,1489296,15870,-.4470176696777344,58298,137561,.6996746063232422,6880,3.447302341461182,7500,223888,.2238435745239258,824190,-.3299522399902344,924704,565960,.0397815704345703,6687,-.7345256805419922,64955,71888,.1988945007324219,2700323,307474,-.0328521728515625,1583,-1.564475059509277,1385040,.408355712890625,364923,.8638315200805664,13862524,.1571254730224609,1368172,472923,-.0654439926147461,244301,27465,-.0773248672485352,197976,-.2014570236206055,4468,20527796,.248382568359375,293097,165789,.5221824645996094,1054754,.9577093124389648,1332159,.2262392044067383,1206,-3.869056701660156,119165,.789341926574707,35978,.1959438323974609,277488,.0904216766357422,30090,matched (3),30147232,.819305,3647489,5480608.5
201308,293339,643,1296,26347978,08,0,0,0,0,0,0,1,0,0,0,0,245412,3192384,-.406336784362793,157338,-.8491353988647461,51664,-.5636672973632813,36263,1.757257461547852,1827955,.7847824096679688,801914,-.0626764297485352,95153,1.527964591979981,36915,.4637336730957031,278540,.0733861923217773,31026,-1.235926628112793,108432,-.2511806488037109,6932350,-.1875171661376953,552922,18490,.1025400161743164,1470564,28574,.5880670547485352,37228,252165,.6060161590576172,11204,.4876518249511719,7882,79025,-1.0413818359375,1144477,.3283023834228516,1174208,214713,-.9692211151123047,3241,-.7242832183837891,6083,42939,-.5153284072875977,81143,36415,-2.13340950012207,7554,1.562755584716797,1239724,-.11083984375,273988,-.2866020202636719,12622831,-.0936832427978516,891925,536516,.126164436340332,194523,6510,-1.439573287963867,239820,.1917428970336914,8013,15310104,-.2932662963867188,276435,74642,-.7980117797851563,1108309,.0495281219482422,714800,-.6225528717041016,12610,2.34718132019043,57636,-.7263612747192383,13267,-.9976272583007813,241414,-.1392641067504883,23304,matched (3),25845396,.819305,2414360.3,4749950.5
201309,293339,644,1296,32993596,09,0,0,0,0,0,0,0,1,0,0,0,254755,4450948,.3323497772216797,210017,.288792610168457,16156,-1.162469863891602,13643,-.9775714874267578,1130718,-.4803457260131836,1073633,.2918014526367188,36125,-.968501091003418,41944,.1277170181274414,94392,-1.08210563659668,138913,1.499022483825684,123617,.1310644149780273,7072584,.0200271606445313,518703,19597,.0581464767456055,1564752,44859,.4510269165039063,39964,260280,.0316743850708008,25231,.811802864074707,10000,137965,.5572357177734375,791009,-.3693943023681641,1346920,104509,-.7200288772583008,6652,.7190351486206055,60600,276229,1.8614501953125,122929,213915,1.770597457885742,5575,-.3037853240966797,1143734,-.0805902481079102,374455,.3123874664306641,14929725,.1678485870361328,1169332,463988,-.145237922668457,38173,118137,2.898506164550781,188869,-.238835334777832,10897,15930629,.0397300720214844,710968,18460,-1.397097587585449,1048333,-.0556344985961914,1270596,.5752382278442383,82375,1.876791954040527,87043,.4122552871704102,21462,.4810037612915039,353120,.3802938461303711,169600,matched (3),29201994,.819305,3228882,5211389
201310,293339,645,1296,27810976,10,0,0,0,0,0,0,0,0,1,0,0,0,3016690,-.3889570236206055,190264,-.0987758636474609,80369,1.604337692260742,9537,-.3580474853515625,1078179,-.0475788116455078,1085968,.0114240646362305,34938,-.0334100723266602,17541,-.8717947006225586,77335,-.1993093490600586,59105,-.8545322418212891,122868,-.0060768127441406,7565015,.0673084259033203,594663,19605,.0004081726074219,0,74392,.505824089050293,52904,118453,-.7872409820556641,14582,-.5482854843139648,10651,184332,.289738655090332,990459,.2248592376708984,1187345,362501,1.243753433227539,5838,-.130528450012207,3463,74282,-1.313362121582031,72157,158657,-.2988338470458984,5473,-.0184650421142578,1796966,.4518013000488281,261094,-.360590934753418,15188520,.0171852111816406,0,570977,.2074899673461914,78601,5595,-3.049972534179688,178908,-.0541810989379883,40622,15147003,-.0504398345947266,54390,588327,3.461676597595215,723990,-.3701791763305664,743617,-.5357151031494141,824,-4.604866981506348,149389,.5401506423950195,57465,.9848918914794922,179187,-.6783771514892578,32580,matched (3),21892220,.819305,1827959.9,4480439
201311,293339,646,1296,20289334,11,0,0,0,0,0,0,0,0,0,1,0,168583,6005614,.6885337829589844,368575,.6612310409545898,63295,-.2388219833374023,12497,.2703094482421875,888427,-.1935768127441406,828757,-.2702999114990234,110166,1.14841365814209,73289,1.429869651794434,95743,.2135200500488281,44747,-.2782917022705078,113328,-.0808248519897461,6934364,-.0870447158813477,965554,30928,.4558773040771484,1782357,22978,-1.174811363220215,35717,288386,.8897829055786133,15974,.0911741256713867,7534,156098,-.1662540435791016,810608,-.200383186340332,1098128,333233,-.0841846466064453,3004,-.6644439697265625,7381,64797,-.1366090774536133,147739,250344,.4560918807983398,1345,-1.403432846069336,1252339,-.3610868453979492,305819,.1581125259399414,14014943,-.0804157257080078,1409429,505309,-.1221790313720703,112429,19029,1.224091529846191,77432,-.8374719619750977,58974,14190225,-.0652503967285156,200608,143692,-1.409610748291016,1152431,.4648513793945313,1220379,.4953908920288086,270,-1.115748405456543,79882,-.626002311706543,37094,-.4377202987670898,166825,-.0714855194091797,7231,matched (3),17311906,.819305,1670342.6,4418477
201312,293339,647,1296,26817750,12,0,0,0,0,0,0,0,0,0,0,1,212361,3591793,-.514042854309082,267522,-.3204421997070313,101854,.475733757019043,25093,.6971006393432617,1100650,.2142038345336914,992041,.1798372268676758,179879,.49029541015625,26232,-1.027430534362793,55581,-.5438261032104492,32492,-.3200302124023438,143570,.236536979675293,7520605,.0811576843261719,630959,29056,-.0624370574951172,1893419,46621,.7075138092041016,48924,89167,-1.173789024353027,23583,.3895635604858398,13052,79870,-.6700839996337891,745791,-.0833396911621094,1100647,477403,.3595190048217773,8539,1.044699668884277,80033,105546,.4878873825073242,6703,258506,.0320825576782227,5401,1.390190124511719,1262217,.0078563690185547,315117,.0299501419067383,15987957,.1317119598388672,1207308,501624,-.0073184967041016,201173,5718,-1.20234489440918,294483,1.335821151733398,248070,21251012,.4038524627685547,193011,67384,-.7572641372680664,617396,-.6241178512573242,1027357,-.1721725463867188,1541,1.741765022277832,237452,1.089414596557617,48737,.2729835510253906,128199,-.2633609771728516,34284,matched (3),23647740,.819305,1616580.3,4398434.5
201401,293339,648,1296,35263940,01,0,0,0,0,0,0,0,0,0,0,0,277845,5268810,.383152961730957,340957,.2425546646118164,70580,-.3667936325073242,10568,-.8647584915161133,1452056,.2770795822143555,1113995,.1159429550170898,64668,-1.023017883300781,47910,.6023445129394531,114911,.7263174057006836,102638,1.150214195251465,128475,-.111088752746582,6990741,-.0730600357055664,910799,15898,-.603032112121582,1579948,38289,-.1968889236450195,75616,799140,2.193025588989258,3313,-1.962672233581543,9703,152216,.6449003219604492,1341533,.587122917175293,782518,1484734,1.134629249572754,1563,-1.698037147521973,7638,53298,-.6832485198974609,20132,186721,-.3253030776977539,3037,-.575714111328125,1288049,.020258903503418,80237,-1.367959022521973,14940226,-.067779541015625,1224510,640590,.2445383071899414,301750,9763,.5349798202514648,380044,.25506591796875,403179,11471981,-.6164970397949219,481220,147416,.7828502655029297,666374,.0763397216796875,612779,-.5167398452758789,2590,.51922607421875,78309,-1.10930347442627,29347,-.5072488784790039,173626,.3033199310302734,16615,matched (3),27960182,.819305,1935819.4,4525515.5
