period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1036c484,growth1036c484,Y1085c752,growth1085c752,Y1574c124,growth1574c124,Y1603c36,Y1625c620,Y1753c428,growth1753c428,Y1760c620,growth1760c620,Y1800c703,growth1800c703,Y1816c124,growth1816c124,Y1835c757,growth1835c757,Y1973c372,growth1973c372,Y2171c826,growth2171c826,Y2195c616,growth2195c616,Y2369c124,growth2369c124,Y2425c348,growth2425c348,Y2738c352,growth2738c352,Y2758c792,growth2758c792,Y2766c124,growth2766c124,Y2819c208,growth2819c208,Y2850c251,growth2850c251,Y2899c705,growth2899c705,Y2927c440,growth2927c440,Y3007c124,growth3007c124,Y3142c442,Y3419c32,Y3422c757,growth3422c757,Y3501c600,growth3501c600,Y3588c352,growth3588c352,Y3628c124,growth3628c124,Y3762c152,growth3762c152,Y3949c208,growth3949c208,Y4174c757,growth4174c757,Y4266c203,Y4286c300,growth4286c300,Y4288c203,Y4292c703,growth4292c703,Y4352c705,growth4352c705,Y4375c428,growth4375c428,Y4471c616,growth4471c616,Y4604c352,growth4604c352,Y4611c218,Y4680c752,growth4680c752,Y4763c218,Y4989c826,growth4989c826,Y5006c208,growth5006c208,Y5028c32,Y575c600,growth575c600,Y577c554,Y665c352,growth665c352,Y712c152,growth712c152,_merge,x,r2,s,sf
201011,840390,610,3789,1089273,11,0,0,0,0,0,0,0,0,0,1,0,1731329,.0872869491577148,159911,-.1735744476318359,3548132,.0807857513427734,144508,5520,181227,.0541934967041016,2231116,-.2291345596313477,393155,-.2695751190185547,815802,.4791126251220703,410082,.1968708038330078,130844,-.3033857345581055,210607,.8025798797607422,400938,.102421760559082,497335,.3800945281982422,198523,-.0509510040283203,28538,.3782615661621094,312600,.0416555404663086,1346193,-.4885187149047852,1387861,.1438636779785156,954291,-.5689964294433594,1012443,-.1330757141113281,18297,-.5282497406005859,18129,-.7473363876342773,11428,276792,471338,-.1110687255859375,62211,-.3245010375976563,4366328,.3248872756958008,830612,-.618290901184082,83115,-.6339101791381836,3189959,-.0717344284057617,1660382,-.0544710159301758,1191891,477739,.6231412887573242,173005,3972365,1.810051918029785,2671067,-.1965103149414063,556906,-.6502494812011719,824118,-.3328447341918945,331467,-.0338754653930664,1503888,5213805,-.1080942153930664,697180,7074831,-.0667190551757813,545625,-.1626567840576172,577185,699938,.6898126602172852,1673193,588467,.1640338897705078,349840,-.0328912734985352,matched (3),1497579.9,.79757988,227130.89,445653.75
201012,840390,611,3789,1006468,12,0,0,0,0,0,0,0,0,0,0,1,1972917,.1306238174438477,113230,-.3451957702636719,3469891,-.0222978591918945,67526,2193,164611,-.096165657043457,2171259,-.0271949768066406,271759,-.369288444519043,502058,-.4854564666748047,393817,-.040471076965332,58707,-.8014469146728516,102192,-.7231407165527344,268692,-.4002408981323242,409706,-.1938238143920898,163513,-.1940116882324219,17433,-.4928722381591797,160572,-.6661815643310547,634111,-.7528114318847656,1268143,-.0902099609375,584813,-.4896764755249023,783463,-.2563982009887695,6592,-1.020879745483398,67306,1.311736106872559,6451,335613,336178,-.3379344940185547,177692,1.049519538879395,4226021,-.0326614379882813,619461,-.2933130264282227,207929,.9169721603393555,3062515,-.040771484375,1206035,-.3197097778320313,760302,247820,-.6563615798950195,268203,2416381,-.4970903396606445,2285217,-.1560173034667969,523395,-.0620603561401367,721704,-.1326990127563477,200749,-.5014734268188477,1718191,6380438,.2019262313842773,283713,6103246,-.1477222442626953,504286,-.0787887573242188,317690,543048,-.2537937164306641,124102,374094,-.4530143737792969,74479,-1.546958923339844,matched (3),1121984.1,.79757988,221672.19,442896.56
201101,840390,612,3789,1339457,01,0,0,0,0,0,0,0,0,0,0,0,2106933,.0657205581665039,177675,.4505348205566406,5404784,.4431610107421875,168500,111846,219176,.286290168762207,2451197,.1212692260742188,374294,.3201265335083008,3024875,1.795909881591797,530082,.2971458435058594,140436,.8721933364868164,79473,-.2514362335205078,374386,.3317222595214844,677986,.5036869049072266,200854,.2056856155395508,40841,.8513221740722656,231458,.3656558990478516,639637,.0086765289306641,1394223,.0947837829589844,537406,-.0845375061035156,1011299,.2552671432495117,6991,.0587663650512695,115980,.5441684722900391,7001,1495880,633465,.6335639953613281,42356,-1.433940887451172,5087975,.1856193542480469,809631,.2677288055419922,66302,-1.142976760864258,2401179,-.2432765960693359,1624239,.2977008819580078,937364,184769,-.2935962677001953,298983,461147,-1.656309127807617,2324786,.0171670913696289,315696,-.5055570602416992,818947,.1264047622680664,277154,.3225183486938477,1863885,6032802,-.0560245513916016,778005,7816581,.2474260330200195,672262,.2875051498413086,445527,313156,-.5504961013793945,1291804,354150,-.0547866821289063,495536,1.895123481750488,matched (3),-239790.53,.79757988,423904.16,571588.63
201102,840390,613,3789,1032472,02,1,0,0,0,0,0,0,0,0,0,0,1897656,-.1046142578125,148938,-.1764259338378906,4107825,-.2743911743164063,151422,2477,163841,-.2909784317016602,1926494,-.2408742904663086,214794,-.5553627014160156,635192,-1.560697555541992,420843,-.2307720184326172,152261,.0808439254760742,160247,.701298713684082,325154,-.1409893035888672,395278,-.5395374298095703,102504,-.6726770401000977,30820,-.2815227508544922,109355,-.7497987747192383,392806,-.4875850677490234,1354459,-.028935432434082,304891,-.5668001174926758,1051010,.0385160446166992,3345,-.737156867980957,38950,-1.09113883972168,3603,227158,505861,-.2249431610107422,62171,.3837785720825195,3408332,-.4006567001342773,829350,.0240640640258789,32425,-.7152900695800781,6234072,.9540700912475586,1373569,-.1676263809204102,1275922,199548,.0769481658935547,108223,706227,.4262199401855469,2812312,.1903791427612305,190399,-.5056571960449219,634794,-.2547197341918945,256224,-.078521728515625,1409276,5670968,-.0618524551391602,593860,5815543,-.2957124710083008,614628,-.0896310806274414,119479,325173,.0376558303833008,638882,336575,-.0508995056152344,163865,-1.106597900390625,matched (3),263575.53,.79757988,156378.83,414093.19
201103,840390,614,3789,1440256,03,0,1,0,0,0,0,0,0,0,0,0,3415460,.5876922607421875,276998,.6204805374145508,6161891,.4054899215698242,181934,67145,175393,.0681324005126953,2803332,.3751068115234375,562018,.9618549346923828,807922,.2405376434326172,466079,.1020956039428711,218047,.3591146469116211,65102,-.9007606506347656,261433,-.2181205749511719,753878,.6456413269042969,76701,-.2899866104125977,68676,.8012361526489258,162328,.39501953125,335809,-.156773567199707,1564710,.1442985534667969,382425,.2265787124633789,1320287,.2280979156494141,9045,.9947452545166016,69480,.5787601470947266,10947,641689,702334,.3281469345092773,96750,.4422416687011719,5693148,.5130405426025391,873117,.051426887512207,116018,1.274815559387207,4601499,-.3036479949951172,1897137,.3229331970214844,1051143,266499,.2893161773681641,247138,896118,.2381353378295898,3052696,.0820178985595703,172034,-.1014299392700195,549431,-.1444168090820313,335049,.2682247161865234,1853543,7395252,.2654790878295898,921423,6562471,.1208324432373047,650967,.0574417114257813,564169,574089,.5684270858764648,2112468,523349,.4414281845092773,391369,.8706083297729492,matched (3),645323,.79757988,202886.67,433799.28
201104,840390,615,3789,765218,04,0,0,1,0,0,0,0,0,0,0,0,2701945,-.234339714050293,529386,.6477069854736328,4749238,-.2603988647460938,137806,15716,48515,-1.28515625,2210231,-.2377119064331055,262324,-.7619533538818359,631732,-.2460002899169922,406969,-.1356182098388672,107924,-.7032833099365234,79399,.1985301971435547,255814,-.0217275619506836,1049645,.3309764862060547,51486,-.3986053466796875,68117,-.0081729888916016,74775,-.7751359939575195,267496,-.2274379730224609,1546940,-.0114221572875977,435007,.1288290023803711,1225771,-.07427978515625,3500,-.9494485855102539,136604,.6760473251342773,4333,183130,536881,-.2686319351196289,170851,.5686607360839844,4911167,-.1477518081665039,860896,-.0140962600708008,54274,-.7597007751464844,3201820,-.3626623153686523,1291684,-.3843994140625,955266,96617,-1.014616012573242,225324,1141062,.2416419982910156,3486157,.1327743530273438,137900,-.2211637496948242,563946,.0260753631591797,295027,-.1272096633911133,1972605,5576432,-.2822895050048828,952249,7246597,.0991649627685547,564928,-.1417608261108398,193007,304676,-.6335353851318359,1273279,440696,-.1718931198120117,306151,-.2455720901489258,matched (3),1960636.1,.79757988,223769.31,443949.91
201105,840390,616,3789,1504109,05,0,0,0,1,0,0,0,0,0,0,0,2546375,-.0593013763427734,254528,-.7323064804077148,5795951,.1991748809814453,174086,124042,271160,1.720836639404297,2860456,.2578840255737305,362366,.3230743408203125,713248,.1213645935058594,408282,.0032205581665039,192631,.5793485641479492,84931,.0673532485961914,327874,.2481794357299805,1182410,.1191034317016602,251286,1.585282325744629,56634,-.1846179962158203,327966,1.478426933288574,456713,.5349512100219727,1550398,.0022335052490234,839728,.6577157974243164,1566083,.2450084686279297,3025,-.1458520889282227,168050,.2071752548217773,8508,31179,533949,-.0054759979248047,280362,.4952898025512695,5250653,.0668401718139648,704571,-.2003841400146484,98285,.5938262939453125,3171057,-.0096540451049805,2030609,.4523897171020508,1171719,226364,.8513898849487305,157839,955514,-.1774654388427734,3163972,-.0969715118408203,249324,.5922250747680664,851108,.4115800857543945,435949,.3904590606689453,1828708,6166455,.1005754470825195,887838,7527588,.0380430221557617,650252,.1406621932983398,438053,426668,.336756706237793,1706143,444267,.0080699920654297,493628,.4777030944824219,matched (3),960479.13,.79757988,241203.86,452988
201106,840390,617,3789,1719251,06,0,0,0,0,1,0,0,0,0,0,0,3184065,.2234878540039063,212856,-.1787948608398438,4718171,-.2057380676269531,190455,225735,165910,-.4912643432617188,3624533,.2367448806762695,733141,.7046833038330078,2008704,1.035415649414063,395776,-.0311098098754883,306587,.4647254943847656,143054,.5213832855224609,547498,.5127286911010742,1596918,.3005208969116211,201403,-.2212839126586914,29058,-.6673154830932617,218021,-.4083185195922852,1423367,1.136725425720215,2054247,.2813968658447266,1925747,.829991340637207,1639259,.0456666946411133,10515,1.245891571044922,81727,-.7208766937255859,6302,161431,755707,.3473529815673828,120745,-.8424005508422852,5514973,.0491142272949219,1578617,.8067150115966797,106437,.0796823501586914,4276445,.2990570068359375,1439102,-.3443164825439453,1224491,272854,.1867923736572266,683977,1654937,.5492696762084961,3540166,.1123456954956055,272820,.0900583267211914,1097667,.2544031143188477,498053,.1331806182861328,1886969,7353966,.1761150360107422,1039636,8890621,.1664218902587891,659215,.0136890411376953,647697,757567,.5741062164306641,123087,718714,.4810380935668945,255110,-.6600866317749023,matched (3),1413201.1,.79757988,254518.97,460215.94
201107,840390,618,3789,1379719,07,0,0,0,0,0,1,0,0,0,0,0,2891598,-.096348762512207,123640,-.5432424545288086,5678178,.1852092742919922,174518,94192,112270,-.390538215637207,2828644,-.2479286193847656,308530,-.8655195236206055,1198805,-.5161647796630859,321717,-.2071752548217773,89438,-1.231955528259277,149722,.045557975769043,592408,.0788373947143555,844841,-.6366825103759766,126522,-.4648914337158203,51214,.5667190551757813,172574,-.2337656021118164,6302966,1.487995147705078,1991882,-.0308294296264648,2347740,.1981391906738281,1369080,-.1801061630249023,8140,-.2560129165649414,21926,-1.315711975097656,4308,27288,623367,-.1925182342529297,96658,-.2225017547607422,4812311,-.1362886428833008,955286,-.502293586730957,83831,-.2387504577636719,4037967,-.0573806762695313,1979902,.3190279006958008,975116,168871,-.479802131652832,272414,639284,-.9511699676513672,3431888,-.0310630798339844,494023,.5937700271606445,1011966,-.0812911987304688,291826,-.5345487594604492,1881314,5758619,-.244542121887207,1150539,7142635,-.2189149856567383,381719,-.5463647842407227,434890,445086,-.5318450927734375,26301,680910,-.0540332794189453,377139,.3909187316894531,matched (3),2229966.3,.79757988,290886.97,481283.75
201108,840390,619,3789,1476998,08,0,0,0,0,0,0,1,0,0,0,0,2443098,-.1685428619384766,151978,.2063617706298828,5490798,-.0335569381713867,245914,41676,176111,.4502077102661133,3864588,.3120584487915039,351733,.1310539245605469,687030,-.5567026138305664,439716,.3124561309814453,122759,.3166770935058594,22914,-1.877032279968262,342826,-.5469732284545898,1040858,.2086515426635742,31641,-1.38596248626709,29976,-.5356159210205078,91614,-.6332416534423828,6933263,.0953102111816406,1838787,-.0799732208251953,2986112,.2405195236206055,2252058,.4977054595947266,1219,-1.898758888244629,87110,1.379498481750488,8477,260760,553720,-.1184759140014648,182897,.6377439498901367,6382369,.2823619842529297,1307967,.3142185211181641,146620,.5590410232543945,5305031,.272913932800293,1956570,-.0118541717529297,1115799,406854,.8793191909790039,373377,762417,.1761445999145508,3447518,.0045442581176758,606070,.2044134140014648,1113423,.0955438613891602,399814,.3148422241210938,1906565,6314893,.0922136306762695,1617264,9387512,.2732992172241211,411242,.0744972229003906,595042,285993,-.4422998428344727,24422,533323,-.2443027496337891,470167,.2204742431640625,matched (3),2067598.3,.79757988,258443.45,462397.94
201109,840390,620,3789,1800259,09,0,0,0,0,0,0,0,1,0,0,0,2414297,-.0118589401245117,144966,-.047236442565918,6485669,.1665210723876953,94993,130602,207124,.1622028350830078,2680865,-.3657159805297852,392828,.110499382019043,860887,.2255849838256836,437427,-.005218505859375,298299,.8878726959228516,140639,1.814448356628418,619390,.5915126800537109,1319948,.2375469207763672,68602,.7738676071166992,54750,.6023807525634766,276328,1.10400390625,5040836,-.3187589645385742,1541648,-.1762542724609375,2166682,-.320775032043457,2402845,.0648097991943359,353,-1.239318370819092,18896,-1.528221130371094,19619,605681,714855,.2554197311401367,407409,.8008947372436523,5064499,-.2312841415405273,1260657,-.0368404388427734,163884,.1113147735595703,6090526,.1380786895751953,2151516,.0949792861938477,890754,50495,-2.086579322814941,924656,1051377,.3213624954223633,3924272,.1295261383056641,478738,-.2358417510986328,1086854,-.0241518020629883,402899,.007685661315918,2315821,6616466,.0466508865356445,1480965,8932007,-.0497398376464844,582264,.3477420806884766,756999,873299,1.116311073303223,38143,451877,-.1657180786132813,1138739,.8845882415771484,matched (3),712398.81,.79757988,292471.97,482243.38
201110,840390,621,3789,1393816,10,0,0,0,0,0,0,0,0,1,0,0,3060270,.2370948791503906,261113,.5884542465209961,4839612,-.292759895324707,110397,91054,61218,-1.218875885009766,2186842,-.2036809921264648,557725,.350494384765625,566683,-.4181623458862305,653110,.4008350372314453,78545,-1.334424018859863,70447,-.6913356781005859,519954,-.1749954223632813,1300901,-.0145349502563477,56318,-.1973075866699219,12427,-1.482906341552734,422837,.4253988265991211,3369136,-.4029159545898438,1759412,.1321277618408203,1572489,-.3205375671386719,1666616,-.3658590316772461,29219,4.416106700897217,17657,-.0678176879882813,7799,127837,751230,.0496330261230469,71389,-1.741673469543457,5151540,.0170402526855469,1186971,-.0602283477783203,113988,-.3630657196044922,3398677,-.583348274230957,2062151,-.0424232482910156,1081705,163663,1.175934791564941,809120,570005,-.6122102737426758,3229315,-.194911003112793,228381,-.740138053894043,860992,-.2329578399658203,384154,-.0476417541503906,1735471,5600313,-.1667394638061523,1009968,6900063,-.2581110000610352,670127,.1405429840087891,528983,514628,-.528834342956543,166928,544712,.1868476867675781,1400205,.2066974639892578,matched (3),1981488.6,.79757988,234336.28,449368.78
