period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1101c381,Y1626c600,growth1626c600,Y1666c124,growth1666c124,Y1696c348,growth1696c348,Y1723c348,growth1723c348,Y1745c36,Y1890c620,growth1890c620,Y1956c826,growth1956c826,Y199c807,growth199c807,Y2057c757,growth2057c757,Y2100c251,growth2100c251,Y2118c348,growth2118c348,Y2120c442,Y2124c705,growth2124c705,Y2146c246,growth2146c246,Y2217c251,growth2217c251,Y2223c757,growth2223c757,Y2408c251,growth2408c251,Y2419c208,growth2419c208,Y2420c381,Y2563c703,growth2563c703,Y2754c705,growth2754c705,Y2864c208,growth2864c208,Y2c381,Y3015c826,growth3015c826,Y3157c757,growth3157c757,Y3158c251,growth3158c251,Y3208c381,Y3263c251,growth3263c251,Y3277c251,growth3277c251,Y3348c826,growth3348c826,Y3415c381,Y3474c300,growth3474c300,Y3550c757,growth3550c757,Y3577c642,Y3595c124,growth3595c124,Y3811c620,growth3811c620,Y3823c620,growth3823c620,Y3876c442,Y3902c586,growth3902c586,Y3903c484,growth3903c484,Y4190c124,growth4190c124,Y4466c381,Y4480c826,growth4480c826,Y4541c757,growth4541c757,Y4604c620,growth4604c620,Y4919c752,growth4919c752,Y539c381,Y661c792,growth661c792,Y976c246,growth976c246,_merge,x,r2,s,sf
201111,841191,622,3823,18274556,11,0,0,0,0,0,0,0,0,0,1,0,939946,115830,.321223258972168,517511,-.4666385650634766,2867392,.1251220703125,87545,-.8543968200683594,618779,3071681,.1939859390258789,12892425,.0122356414794922,160249,-.638702392578125,2860838,.2262592315673828,3837039,-.0434694290161133,33863,1.12889289855957,867435,11615,.679041862487793,833030,.7275333404541016,3172904,.0992155075073242,166882,1.980880737304688,4915555,.1352033615112305,107350,.3772459030151367,1233406,143504,-.2726554870605469,390205,-.0782356262207031,5473886,-.2693328857421875,5004536,3756744,-.0652799606323242,1989842,.2072677612304688,10939990,.4779586791992188,20272836,32742674,-.0777626037597656,2201156,-.1156902313232422,6837244,.0292196273803711,1860981,227836,.0209159851074219,1291424,-.0512065887451172,863526,1582926,-.0142602920532227,6359597,-.2506542205810547,11469687,.4419622421264648,612284,1226021,1.115035057067871,639293,.3626394271850586,11138666,.0049533843994141,25556708,41721220,-.0874710083007813,1345703,.3318262100219727,16942442,.0328178405761719,230642,.286564826965332,54067768,677857,.2581281661987305,57599,.8869762420654297,matched (3),20354152,.86831218,1249650,2418473
201112,841191,623,3823,16545348,12,0,0,0,0,0,0,0,0,0,0,1,345975,57717,-.6965713500976563,538616,.0399723052978516,1543116,-.6195993423461914,81815,-.067692756652832,307881,2527183,-.1951198577880859,7597365,-.5288381576538086,140377,-.1323966979980469,1714556,-.5119600296020508,1777373,-.7695646286010742,8448,-1.388393402099609,765858,6828,-.5312662124633789,335485,-.9094924926757813,2401240,-.2786617279052734,72825,-.829228401184082,4149237,-.1694803237915039,72155,-.39727783203125,611743,110506,-.2612924575805664,361996,-.0750389099121094,5440080,-.006195068359375,5143632,4128920,.0944633483886719,1079085,-.6119413375854492,6805346,-.4747161865234375,14763551,19872984,-.4993171691894531,2220938,.0089473724365234,4431606,-.4336223602294922,1034130,40341,-1.731257438659668,1106272,-.1547489166259766,420230,1218196,-.2619047164916992,4052083,-.4507341384887695,9589832,-.1790046691894531,521717,80795,-2.719614028930664,413778,-.4350337982177734,12424856,.1092758178710938,17820856,35290512,-.1673946380615234,861725,-.445734977722168,11757493,-.3653316497802734,224557,-.0267372131347656,50210896,324822,-.7356595993041992,24974,-.8356704711914063,matched (3),15449812,.86831218,1382140.6,2489518
201201,841191,624,3823,20597208,01,0,0,0,0,0,0,0,0,0,0,0,393319,90329,.447906494140625,1435262,.9800996780395508,3387782,.7863712310791016,108054,.2781705856323242,706019,2342818,-.0757503509521484,11288086,.3959455490112305,270601,.6563138961791992,3201197,.6243705749511719,2348258,.2785377502441406,17770,.7435817718505859,1039136,7756,.1274347305297852,476724,.3513603210449219,2857993,.1741342544555664,87990,.1891641616821289,4829064,.151728630065918,112945,.4480838775634766,1191764,202719,.60675048828125,467829,.2564687728881836,9065040,.5106315612792969,3874662,5146483,.2202978134155273,1641949,.4197702407836914,8331558,.2023420333862305,20179058,43324564,.77935791015625,2178429,-.0193262100219727,7634647,.5439348220825195,1608092,151685,1.324438095092773,1175128,.0603809356689453,733427,1795128,.3877058029174805,7264701,.5837955474853516,11366754,.1699886322021484,654877,214596,.976841926574707,383482,-.0760364532470703,8931888,-.3300704956054688,25652598,40466128,.1368503570556641,1239741,.3637208938598633,16174314,.3189334869384766,331658,.3899745941162109,63080608,517583,.4658927917480469,417361,2.816116333007813,matched (3),21196242,.86831218,1134614.6,2361088
201202,841191,625,3823,17531488,02,1,0,0,0,0,0,0,0,0,0,0,885730,52076,-.5507545471191406,1059019,-.3040046691894531,3005868,-.1196088790893555,58040,-.6214990615844727,611839,1578879,-.3946399688720703,11151968,-.0121307373046875,64981,-1.42655086517334,2347742,-.3100709915161133,2160286,-.0834331512451172,3584,-1.601032257080078,814387,10158,.2697954177856445,370457,-.2522001266479492,2393888,-.1772003173828125,32603,-.9928188323974609,4707400,-.025517463684082,141669,.226593017578125,1074053,156171,-.260869026184082,381085,-.2050800323486328,7000323,-.2584686279296875,4097919,2284193,-.8123006820678711,1459756,-.11761474609375,9117829,.0901803970336914,12522070,30256234,-.3590183258056641,1310948,-.5078535079956055,6893026,-.1021871566772461,1689392,44552,-1.225149154663086,1028335,-.1334362030029297,540143,1665327,-.0750551223754883,6671085,-.0852441787719727,5097472,-.8019475936889648,615273,393083,.6052637100219727,414815,.0785398483276367,5560642,-.4739141464233398,23741510,41696692,.0299568176269531,1087374,-.1311368942260742,15615529,-.0351581573486328,140558,-.8584842681884766,57943628,414383,-.2223796844482422,28987,-2.66710376739502,matched (3),12977596,.86831218,1155657.9,2371272.3
201203,841191,626,3823,18035086,03,0,1,0,0,0,0,0,0,0,0,0,1201265,22042,-.8597545623779297,1216839,.1389141082763672,2816737,-.0649871826171875,136868,.8578853607177734,206234,2317863,.3839311599731445,12064483,.0786495208740234,111631,.5411043167114258,2391873,.0186233520507813,2289053,.0578975677490234,54573,2.72305965423584,1000926,28103,1.017614364624023,581372,.450653076171875,2492903,.0405282974243164,197500,1.801334381103516,4943907,.0490207672119141,36633,-1.352543830871582,1454750,201685,.2557554244995117,407496,.0670089721679688,8003608,.1339359283447266,4641762,2476814,.0809602737426758,1745618,.1788396835327148,8943466,-.0193080902099609,16374613,30629396,.0122585296630859,2019872,.4322843551635742,6758193,-.0197544097900391,1504571,242067,1.692557334899902,1124550,.089442253112793,740122,2051412,.2085065841674805,6778782,.0160150527954102,7736715,.4172325134277344,580078,816443,.7309360504150391,399812,-.0368385314941406,6214023,.1110944747924805,26969088,42050312,.0084438323974609,1317618,.1920604705810547,17297008,.1022682189941406,251241,.5807924270629883,72843960,966685,.8470821380615234,54494,.6312427520751953,matched (3),18539438,.86831218,1151510.5,2369253.8
201204,841191,627,3823,19445400,04,0,0,1,0,0,0,0,0,0,0,0,1181026,140930,1.855314254760742,1204596,-.0101127624511719,2807297,-.00335693359375,132963,-.0289468765258789,526435,3149114,.3064746856689453,11684127,-.0320339202880859,392100,1.256318092346191,2792505,.1548614501953125,1446175,-.4592161178588867,48410,-.1198329925537109,1084299,7799,-1.281880378723145,577759,-.0062332153320313,3283445,.2754459381103516,71597,-1.01468563079834,5524144,.1109724044799805,81591,.8007688522338867,960273,150939,-.2898311614990234,362699,-.1164579391479492,8104988,.0125875473022461,4010172,3728519,.4090375900268555,1661151,-.0495986938476563,12268300,.3160953521728516,16952814,33056496,.0762577056884766,1980420,-.0197257995605469,7249851,.070225715637207,1688974,99228,-.8917942047119141,1303983,.1480398178100586,655827,1615850,-.2386665344238281,5764755,-.1620349884033203,6762304,-.134613037109375,825020,574610,-.3512649536132813,509452,.2423419952392578,8698514,.3363437652587891,27695032,44459200,.0557060241699219,1391447,.0545186996459961,13178181,-.2719707489013672,645056,.9429244995117188,55924600,859562,-.1174497604370117,224399,1.415335655212402,matched (3),22122118,.86831218,1021778.1,2308986.3
201205,841191,628,3823,18535144,05,0,0,0,1,0,0,0,0,0,0,0,936462,77954,-.5921449661254883,1465898,.196324348449707,3053476,.0840587615966797,270871,.7115716934204102,524266,3501551,.1060857772827148,11435038,-.0215492248535156,113850,-1.236635208129883,2260708,-.2112607955932617,2052033,.3499088287353516,27893,-.55133056640625,871941,15617,.6943645477294922,362670,-.4656639099121094,1994355,-.4985723495483398,107214,.4037742614746094,6199596,.1153554916381836,85264,.0440340042114258,1138387,125880,-.1815471649169922,347524,-.0427398681640625,8216472,.0136613845825195,4159328,3327892,-.1136713027954102,1986513,.1788702011108398,11247260,-.0868930816650391,14287193,27859032,-.1710605621337891,1231900,-.4747514724731445,6205007,-.1556243896484375,1612028,150079,.4137411117553711,1346359,.0319805145263672,939270,1597878,-.0111846923828125,6198149,.0724878311157227,5881657,-.1395254135131836,577960,225304,-.9362411499023438,385191,-.2795963287353516,8819345,.0137958526611328,30111776,44093012,-.008270263671875,885829,-.4515752792358398,15372650,.1540279388427734,705326,.0893230438232422,67969264,820468,-.0465478897094727,66695,-1.213295936584473,matched (3),19533332,.86831218,1214199.8,2400347.5
201206,841191,629,3823,18010344,06,0,0,0,0,1,0,0,0,0,0,0,860975,78738,.0100069046020508,1135011,-.2558259963989258,2826517,-.077235221862793,114262,-.8631477355957031,347516,2071133,-.5251102447509766,10168308,-.1174068450927734,30651,-1.312216758728027,3093890,.313751220703125,1912482,-.070429801940918,8593,-1.177427291870117,809380,11254,-.32763671875,590062,.4867343902587891,1857906,-.0708713531494141,25259,-1.445644378662109,5707998,-.082615852355957,22835,-1.317458152770996,1006752,212403,.5231571197509766,321392,-.0781717300415039,8579558,.0432415008544922,3248656,3057074,-.0848808288574219,1791253,-.1034650802612305,11804177,.0483283996582031,15115325,27744614,-.0041160583496094,2072427,.5201635360717773,5715318,-.0822067260742188,1815005,118458,-.236602783203125,1022357,-.2752923965454102,1076626,1602366,.0028047561645508,5639699,-.0944194793701172,4881016,-.1864852905273438,823447,213893,-.0519742965698242,556189,.3673686981201172,8297418,-.0610036849975586,26237974,41540700,-.0596275329589844,1259370,.3518428802490234,15111559,-.0171318054199219,279179,-.9268074035644531,63139720,467614,-.5622320175170898,51595,-.2567052841186523,matched (3),17308002,.86831218,921393.56,2266352.3
201207,841191,630,3823,19688312,07,0,0,0,0,0,1,0,0,0,0,0,848996,184222,.8500156402587891,1557798,.3166313171386719,3275406,.1473960876464844,397265,1.246109008789063,895912,2127794,.0269899368286133,11824059,.1508598327636719,309951,2.313749313354492,2318792,-.2883825302124023,2030852,.060053825378418,9225,.0709686279296875,899557,20579,.6035480499267578,479801,-.2068557739257813,3364059,.5936985015869141,46552,.6113872528076172,4295604,-.284276008605957,72992,1.162055015563965,1357738,212522,.0005598068237305,420049,.2677097320556641,11201485,.2666645050048828,3021569,3418707,.1118040084838867,1960752,.0904121398925781,13118808,.1055927276611328,18575176,25680440,-.0773124694824219,1503254,-.3210887908935547,6080553,.061945915222168,1962885,121255,.0233373641967773,1385146,.3036947250366211,1430663,1945733,.194157600402832,5868708,.0398035049438477,7968289,.490117073059082,460724,1078785,1.618114471435547,225742,-.9017152786254883,8146987,-.0182962417602539,27799196,43648184,.0494880676269531,1324699,.0505733489990234,13517344,-.1114845275878906,392621,.3409919738769531,71383856,720990,.4329824447631836,198301,1.34636116027832,matched (3),21950280,.86831218,1305222,2447650.3
201208,841191,631,3823,17753284,08,0,0,0,0,0,0,1,0,0,0,0,411779,53231,-1.241500854492188,112419,-2.628795623779297,2690874,-.1965751647949219,138198,-1.055915832519531,554255,1521805,-.3351888656616211,11568830,-.0218219757080078,98980,-1.141496658325195,1774056,-.2677783966064453,1265928,-.4726495742797852,39965,1.466087341308594,856084,10268,-.6952390670776367,403645,-.1728363037109375,800556,-1.43559741973877,43077,-.077580451965332,2716232,-.4583463668823242,131440,.588200569152832,600148,118978,-.5801067352294922,334242,-.2285060882568359,11273807,.0064353942871094,3628575,2546181,-.2946681976318359,1228401,-.4676141738891602,8031666,-.4906539916992188,13441240,16907772,-.4179553985595703,785974,-.648463249206543,4556779,-.2884798049926758,1447204,134342,.1024923324584961,1092427,-.2374038696289063,1171688,163468,-2.476777076721191,3908345,-.4065208435058594,7892390,-.0095710754394531,434025,124648,-2.158097267150879,308497,.3123188018798828,2838740,-1.054287910461426,20730518,43579884,-.0015659332275391,785401,-.5227460861206055,10254634,-.2762451171875,419901,.067173957824707,52289488,448564,-.474574089050293,122413,-.4823856353759766,matched (3),17694946,.86831218,1219892.6,2403232
201209,841191,632,3823,19336424,09,0,0,0,0,0,0,0,1,0,0,0,1137145,131613,.9052257537841797,1050360,2.234654426574707,2296932,-.1582918167114258,169054,.2015304565429688,652029,2653728,.5560684204101563,11821459,.0216026306152344,107492,.0824985504150391,2573693,.3720741271972656,1517000,.1809291839599609,25225,-.4601688385009766,979161,8630,-.1737880706787109,414028,.0253982543945313,1120419,.3361520767211914,37829,-.129913330078125,4099442,.4116048812866211,63718,-.7240829467773438,1105132,133065,.1118984222412109,289445,-.1438999176025391,10812556,-.0417747497558594,4319319,3544931,.3309240341186523,1729539,.3421411514282227,11874502,.3910007476806641,28910636,23987742,.3497695922851563,1071769,.3101415634155273,5978244,.2715110778808594,1900261,157174,.1569652557373047,1370067,.2264575958251953,1018976,1661457,2.318833351135254,5850685,.4034452438354492,3626410,-.7776556015014648,535331,319957,.942692756652832,538285,.556675910949707,8665676,1.116009712219238,25330172,44892600,.0296764373779297,1295169,.5002021789550781,13961746,.3085918426513672,266419,-.4549484252929688,66409436,247994,-.592646598815918,32206,-1.335247993469238,matched (3),21335440,.86831218,830263.69,2230857.3
201210,841191,633,3823,20265974,10,0,0,0,0,0,0,0,0,1,0,0,633170,138745,.0527715682983398,1238808,.1650171279907227,2549897,.1044778823852539,118751,-.3531894683837891,525454,4233717,.4671144485473633,11950773,.0108795166015625,351016,1.183415412902832,2824715,.0930652618408203,1579818,.0405750274658203,34083,.3009634017944336,889316,15833,.6068515777587891,434564,.0484094619750977,2404004,.763432502746582,80913,.7602977752685547,4844712,.1670370101928711,93841,.3871345520019531,1314772,202013,.4174947738647461,416862,.3647899627685547,9705395,-.1080265045166016,4181222,3176535,-.1097278594970703,1923636,.1063623428344727,15168150,.2448043823242188,23928766,28129540,.1592769622802734,631821,-.5284595489501953,6246398,.0438776016235352,2256230,126938,-.2136545181274414,1265459,-.0794248580932617,918734,1896601,.1323680877685547,6265743,.0685386657714844,7517922,.7290458679199219,562695,333516,.0415048599243164,396941,-.3045997619628906,10182938,.1613445281982422,27099132,50548072,.11865234375,1603191,.2133541107177734,17197204,.2084255218505859,285324,.0685548782348633,59379144,756401,1.115167617797852,97175,1.104361534118652,matched (3),20056502,.86831218,1270274.8,2429194.3
