period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1112c757,growth1112c757,Y1232c484,growth1232c484,Y1439c826,growth1439c826,Y1447c440,growth1447c440,Y1627c428,growth1627c428,Y1651c372,growth1651c372,Y1680c616,growth1680c616,Y1682c484,growth1682c484,Y1725c440,growth1725c440,Y1756c251,growth1756c251,Y191c642,Y1956c208,growth1956c208,Y1998c752,growth1998c752,Y2081c124,growth2081c124,Y2105c300,growth2105c300,Y2128c191,growth2128c191,Y2206c191,growth2206c191,Y2337c36,Y2361c152,growth2361c152,Y2425c484,growth2425c484,Y2560c586,growth2560c586,Y2636c807,growth2636c807,Y2925c222,growth2925c222,Y3117c703,growth3117c703,Y3131c191,growth3131c191,Y3176c251,growth3176c251,Y3218c381,Y3312c208,growth3312c208,Y3546c372,growth3546c372,Y3574c381,Y3752c428,growth3752c428,Y3754c124,growth3754c124,Y3828c554,Y3833c620,growth3833c620,Y4022c826,growth4022c826,Y4027c688,growth4027c688,Y4039c218,Y4138c68,growth4138c68,Y4318c203,Y4447c381,Y4614c36,Y4992c376,Y5014c348,growth5014c348,Y57c484,Y665c705,growth665c705,Y666c381,Y711c344,Y752c348,growth752c348,Y767c233,Y885c300,growth885c300,_merge,x,r2,s,sf
201210,841290,633,3831,24168948,10,0,0,0,0,0,0,0,0,1,0,0,654518,-.8084678649902344,157330,-.2367420196533203,386837,-.1467609405517578,1062519,-.1998748779296875,306069,.3824911117553711,4397301,-.0566310882568359,35564032,.0534133911132813,33174408,.240692138671875,3080546,.1548442840576172,1905167,-.0801906585693359,1002110,1633751,-.2416248321533203,4136410,.1352138519287109,1709432,.5050544738769531,2975885,-.201451301574707,743284,.3866519927978516,87064,-.5470800399780273,9722,414084,-.0909852981567383,60835,1.5167236328125,13077,-1.125596046447754,1271601,-.1339740753173828,116282,.1196403503417969,2169171,.2961463928222656,363322,-.1223526000976563,11221861,-.0353450775146484,11034063,328554,.9311666488647461,141070,.6525287628173828,633533,57209,.6706953048706055,9398456,.1429901123046875,405385,24427,-.8550872802734375,1678812,-.352992057800293,69048,-.3870086669921875,2451115,16026,.6226825714111328,2028355,11530409,76568272,507000,188512,.1392107009887695,21547528,2113400,-.4499530792236328,14099326,5424305,414571,-.0629110336303711,212864,43450,1.048015594482422,matched (3),28309654,.90652418,4292490.5,8478778
201211,841290,634,3831,13581141,11,0,0,0,0,0,0,0,0,0,1,0,1975954,1.104907989501953,92829,-.5275859832763672,294008,-.2743968963623047,828488,-.2487955093383789,166100,-.6112203598022461,5608990,.2433795928955078,35346660,-.0061302185058594,29054222,-.1326141357421875,2066348,-.3993244171142578,2137684,.1151533126831055,1020136,1877763,.1392030715942383,2645775,-.446864128112793,1351588,-.2348814010620117,2619644,-.12750244140625,548010,-.3047847747802734,74543,-.1552677154541016,17698,711050,.5406732559204102,80705,.2826347351074219,1100,-2.475544452667236,919037,-.3247051239013672,116623,.0029277801513672,1737804,-.2217226028442383,309166,-.1614103317260742,7360694,-.4217090606689453,18754984,142096,-.8381986618041992,115860,-.196873664855957,170009,40011,-.3575572967529297,8337719,-.1197547912597656,407182,78315,1.165050506591797,2166229,.2549009323120117,49388,-.3350944519042969,4014305,11570,-.3257970809936523,2006415,8892819,70863936,250000,165032,-.1330223083496094,21196192,3873414,.6058387756347656,11511693,4330203,219166,-.6374149322509766,158156,1847,-3.158048152923584,matched (3),16685698,.90652418,4255593,8460158
201212,841290,635,3831,17065568,12,0,0,0,0,0,0,0,0,0,0,1,3042,-6.476291656494141,292520,1.147773742675781,341209,.1488885879516602,652427,-.2389030456542969,86036,-.6578245162963867,5894414,.0496349334716797,24645460,-.3606109619140625,21887420,-.2832527160644531,802691,-.9455680847167969,2344231,.0922346115112305,1216792,1520648,-.2109451293945313,3331287,.2303943634033203,1189956,-.1273641586303711,1926390,-.3073911666870117,183886,-1.091977119445801,29190,-.9375495910644531,10602,254763,-1.026409149169922,43015,-.6292514801025391,14704,2.592809200286865,1002228,.0866537094116211,215313,.6131467819213867,1063254,-.4912881851196289,327869,.0587358474731445,4280173,-.5421609878540039,17719040,145042,.0205211639404297,61791,-.6286249160766602,33684,31912,-.2261724472045898,7771084,-.0703802108764648,236164,54276,-.3666572570800781,1929563,-.1156940460205078,103225,.7372035980224609,3636697,11808,.0203619003295898,2262336,9123057,53721104,323000,164120,-.0055418014526367,23018424,2943191,-.2746419906616211,10339544,4759843,117506,-.6233396530151367,84019,10384,1.72670316696167,matched (3),9976385,.90652418,4423159.5,8545673
201301,841290,636,3831,20491652,01,0,0,0,0,0,0,0,0,0,0,0,1331974,6.081902503967285,314772,.0733156204223633,444130,.2636222839355469,1064626,.4896793365478516,87636,.0184259414672852,6151143,.042633056640625,33886516,.3184242248535156,23983910,.0914707183837891,1782494,.7977991104125977,2615676,.1095647811889648,1422649,1918561,.2324390411376953,2138122,-.4434309005737305,1270522,.0655117034912109,3850368,.6925210952758789,405043,.789677619934082,43697,.4034528732299805,34970,382435,.4062252044677734,84565,.6759719848632813,10035,-.3820409774780273,1167385,.1525411605834961,174535,-.2099676132202148,2306815,.7745342254638672,532838,.4856033325195313,8067490,.6338491439819336,17029408,308826,.7557544708251953,86453,.3358430862426758,462263,56503,.5713119506835938,10070623,.2592134475708008,410459,57036,.0496006011962891,2117108,.0927572250366211,144895,.3390979766845703,4035737,26117,.7938089370727539,1992181,10939107,65409972,359000,203683,.2159671783447266,23625456,3493836,.1715059280395508,15043385,4225875,321567,1.006716728210449,137464,50056,1.572876930236816,matched (3),15620683,.90652418,4759512.5,8724514
201302,841290,637,3831,14132796,02,1,0,0,0,0,0,0,0,0,0,0,331277,-1.391462326049805,105432,-1.093782424926758,287851,-.4336748123168945,1172266,.0963153839111328,107080,.2003841400146484,5482957,-.1149940490722656,34302624,.0122051239013672,24798980,.0334205627441406,2036950,.1334400177001953,2599822,-.0060796737670898,1285515,1627246,-.1646862030029297,1881343,-.1279420852661133,1013568,-.2259511947631836,3091015,-.2196693420410156,247957,-.4907379150390625,24453,-.5805263519287109,2774,226458,-.5239992141723633,40544,-.735133171081543,10341,.0300378799438477,1202748,.0298423767089844,187224,.0701808929443359,1471690,-.4494562149047852,464768,-.1366796493530273,12533400,.4405555725097656,11473030,129609,-.868255615234375,124965,.3684329986572266,355002,65903,.1538906097412109,8016720,-.228093147277832,228520,95520,.5156526565551758,1285830,-.4986467361450195,61682,-.8540172576904297,2884482,4839,-1.685877799987793,2041824,9489726,57587376,391000,140682,-.3700628280639648,18771626,2179157,-.4720621109008789,13061068,2450968,242812,-.280919075012207,125067,17433,-1.054778099060059,matched (3),1773135.1,.90652418,3649514,8172095.5
201303,841290,638,3831,14568048,03,0,1,0,0,0,0,0,0,0,0,0,189,-7.468963623046875,141301,.2928256988525391,424845,.3892812728881836,1278682,.0868911743164063,230548,.7668828964233398,5156657,-.0613555908203125,39953456,.1524925231933594,27832134,.1153888702392578,2346376,.14141845703125,2175696,-.1780939102172852,1163637,1489693,-.0883188247680664,2770432,.3870172500610352,1316666,.2616262435913086,3108412,.0056123733520508,379646,.4259834289550781,51202,.7390251159667969,16371,302482,.2894620895385742,120235,1.087060928344727,838,-2.512853622436523,1177060,-.0215892791748047,197346,.0526523590087891,1278593,-.1406517028808594,582035,.2249927520751953,13999811,.1106452941894531,18261674,243218,.6294355392456055,92057,-.3056259155273438,411374,48341,-.3099040985107422,7567133,-.0577154159545898,621931,99464,.0404605865478516,1954077,.4185142517089844,72814,.1659164428710938,3161698,58361,2.489939689636231,2247824,10504211,61228996,232000,256653,.6012229919433594,20611628,2912632,.2901182174682617,13637856,4996300,348333,.3608713150024414,118258,19038,.0880727767944336,matched (3),20149018,.90652418,4020546.5,8344398.5
201304,841290,639,3831,26704900,04,0,0,1,0,0,0,0,0,0,0,0,829306,8.386597633361816,247007,.5585250854492188,500374,.1636314392089844,1391472,.0845327377319336,176387,-.2677783966064453,4400011,-.1586818695068359,36878812,-.080078125,29872096,.0707321166992188,2474143,.0530223846435547,2298094,.0547313690185547,1210985,1705064,.1350326538085938,2310406,-.18157958984375,1506390,.134613037109375,4577847,.3871173858642578,420277,.1016750335693359,142261,1.021884918212891,31738,379971,.2280731201171875,93522,-.251251220703125,1724,.7213845252990723,1243766,.0551242828369141,136446,-.3690299987792969,1946163,.4200992584228516,818729,.341221809387207,8942997,-.4481716156005859,19375480,252064,.0357246398925781,106574,.1464319229125977,299921,56533,.1565446853637695,8062677,.0634307861328125,243309,58868,-.5244979858398438,2080431,.0626564025878906,247828,1.224826812744141,2805359,33146,-.5657262802124023,2513958,11404306,56520976,266000,480834,.6277971267700195,24343528,3297173,.1240091323852539,15330989,4551416,431444,.2139787673950195,165390,20303,.0643310546875,matched (3),36343020,.90652418,3716362,8202167
201305,841290,640,3831,30492716,05,0,0,0,1,0,0,0,0,0,0,0,1272105,.4278392791748047,280731,.1279802322387695,704111,.3415803909301758,1892937,.3077669143676758,254475,.3665218353271484,8470527,.6549863815307617,41238932,.1117458343505859,30206568,.0111351013183594,2901168,.1592187881469727,3249706,.3464841842651367,1093744,1511819,-.1202898025512695,2394212,.0356302261352539,1491729,-.0097799301147461,3630645,-.2318181991577148,485024,.1432838439941406,320279,.8115291595458984,13409,432057,.1284627914428711,270388,1.061660766601563,8173,1.556189060211182,1635260,.2736577987670898,141987,.0398073196411133,1840571,-.0557832717895508,1115206,.3090419769287109,9806317,.0921554565429688,19587618,412828,.4933481216430664,113757,.0652246475219727,641778,66396,.1608114242553711,8231559,.0207300186157227,372135,104853,.5772609710693359,1867679,-.1078777313232422,115782,-.7610254287719727,2842686,6533,-1.624055862426758,2685458,14373203,62240352,263000,638650,.2838344573974609,26031098,3914287,.1715669631958008,21038020,6358653,516063,.1790914535522461,239609,34167,.5204916000366211,matched (3),34885044,.90652418,3998693,8333891
201306,841290,641,3831,26661648,06,0,0,0,0,1,0,0,0,0,0,0,1142809,-.1071844100952148,208508,-.297419548034668,135455,-1.648296356201172,1385599,-.3119964599609375,237048,-.0709400177001953,6302916,-.2955808639526367,36354128,-.1260738372802734,26026518,-.1489429473876953,2942231,.0140552520751953,2877062,-.1217947006225586,1514511,1923391,.2407770156860352,4462137,.6225738525390625,957301,-.443572998046875,3375630,-.0728292465209961,438766,-.1002321243286133,278494,-.139796257019043,64294,511197,.1681976318359375,82003,-1.19310188293457,4087,-.6930255889892578,1644158,.005427360534668,122160,-.1504039764404297,1776044,-.0356874465942383,652338,-.5362319946289063,8562075,-.1356840133666992,13500234,409096,-.0090808868408203,89330,-.2417268753051758,337836,59839,-.1039791107177734,7820592,-.0512151718139648,188921,41822,-.9191360473632813,1952481,.0444040298461914,183103,.4583396911621094,4320026,6966,.0641756057739258,1774009,10285310,56237636,345000,439817,-.3729982376098633,22229192,3721412,-.0505294799804688,17930104,5501267,536355,.0385675430297852,223989,25093,-.3086709976196289,matched (3),24766294,.90652418,4380696.5,8523772
201307,841290,642,3831,31693272,07,0,0,0,0,0,1,0,0,0,0,0,1941201,.5298175811767578,361385,.5499658584594727,317785,.8527355194091797,1633366,.1645097732543945,430192,.5959692001342773,6611605,.0478143692016602,41007036,.1204357147216797,30744096,.1665821075439453,3541935,.1855049133300781,3173653,.098114013671875,1381627,1303998,-.3886556625366211,4520940,.013092041015625,1494891,.4456901550292969,3754589,.1063976287841797,470369,.0695514678955078,346270,.2178230285644531,34505,372123,-.317530632019043,193869,.8604269027709961,53163,2.5655517578125,1829435,.1067781448364258,213727,.5593681335449219,1493443,-.173304557800293,691708,.0586013793945313,9286002,.0811643600463867,11864162,359648,-.1288242340087891,114306,.2465410232543945,472437,134467,.809661865234375,11039221,.3446941375732422,403928,136440,1.182461738586426,2537790,.2621927261352539,229186,.2244844436645508,4599709,24639,1.263289451599121,2285390,11714356,63933472,0,566717,.2535018920898438,26711220,4286381,.1413393020629883,19840424,8235466,464065,-.1447715759277344,300251,9105,-1.013765335083008,matched (3),43108156,.90652418,4411191.5,8539485
201308,841290,643,3831,30203212,08,0,0,0,0,0,0,1,0,0,0,0,28618,-4.217025756835938,393854,.0860366821289063,505133,.4634466171264648,1491710,-.0907192230224609,240601,-.5810918807983398,5118892,-.2558889389038086,39874412,-.0280094146728516,27564264,-.1091785430908203,2677583,-.2797584533691406,2214265,-.3599634170532227,1317198,1908015,.3806285858154297,4796336,.0591325759887695,1289464,-.1478261947631836,2365690,-.461909294128418,194358,-.8838157653808594,128572,-.9907302856445313,13731,260368,-.3571281433105469,151037,-.2496576309204102,35438,-.4055776596069336,1032607,-.5719203948974609,142301,-.4067554473876953,1903174,.2424392700195313,278457,-.9099006652832031,7774318,-.1776819229125977,10614525,204788,-.5631504058837891,147171,.252716064453125,257136,41340,-1.179488182067871,8343033,-.2800273895263672,960141,77577,-.5646133422851563,1453343,-.5574274063110352,94037,-.8908452987670898,3241826,14468,-.5323915481567383,1805021,6280363,58069528,308000,449220,-.2323474884033203,20081620,4111359,-.0416889190673828,19605164,4979411,431957,-.0716991424560547,288348,2564,-1.267255306243897,matched (3),31399012,.90652418,4544631.5,8609174
201309,841290,644,3831,32446454,09,0,0,0,0,0,0,0,1,0,0,0,1642562,4.049976348876953,176220,-.8042469024658203,601724,.1749773025512695,1845610,.212885856628418,421717,.5611944198608398,5970937,.153965950012207,40007064,.0033206939697266,28288196,.0259246826171875,3264647,.1982364654541016,3160232,.3557252883911133,1343129,2124655,.1075468063354492,5468810,.1312084197998047,1773430,.3186883926391602,3068478,.2601118087768555,336520,.5489559173583984,26926,-1.563396453857422,13931,268596,.0311117172241211,127287,-.1710805892944336,41397,.1554231643676758,1804019,.5579299926757813,148287,.0412054061889648,2395239,.2299594879150391,540772,.6637344360351563,7638874,-.0175752639770508,12909198,213822,.0431690216064453,252070,.538111686706543,1264816,58027,.3390779495239258,8773616,.0503225326538086,695803,234849,1.107671737670898,2170056,.4008865356445313,153700,.4913139343261719,3254231,17253,.1760463714599609,2072098,11089505,51549368,228000,244176,-.609623908996582,21021176,3220818,-.2441186904907227,17517742,4111026,441836,.022613525390625,270591,50589,2.982165813446045,matched (3),30356142,.90652418,3773766.8,8228336
201310,841290,645,3831,27944836,10,0,0,0,0,0,0,0,0,1,0,0,676477,-.8871135711669922,493310,1.029404640197754,268432,-.8072013854980469,1761832,-.0464553833007813,153263,-1.012178421020508,5710424,-.0446100234985352,43319148,.0795383453369141,32456720,.1374626159667969,2768658,-.1647882461547852,3315511,.0479660034179688,1205247,2126176,.0007152557373047,7455048,.3098306655883789,1152751,-.4307641983032227,2778516,-.0992650985717773,254667,-.2787008285522461,19295,-.3332462310791016,28669,319985,.1750659942626953,226960,.5783290863037109,17648,-.8525857925415039,2296857,.2415246963500977,131211,-.1223430633544922,2130362,-.1171913146972656,310110,-.5560712814331055,7875756,.0305395126342773,15308604,160035,-.2897520065307617,194529,-.2591257095336914,676356,41924,-.3250503540039063,9691753,.0995264053344727,455159,191817,-.2024011611938477,1879861,-.1435546875,68406,-.8095417022705078,0,6263,-1.013326644897461,2034797,12133957,61489020,268000,228634,-.0657663345336914,18798036,2596395,-.2155113220214844,15522443,0,428708,-.0301628112792969,221993,79794,.455714225769043,matched (3),27701162,.90652418,4460797.5,8565215
