period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1073c554,Y1084c752,growth1084c752,Y1135c705,growth1135c705,Y1148c344,Y1273c348,growth1273c348,Y1323c208,growth1323c208,Y1358c792,growth1358c792,Y1369c372,growth1369c372,Y1613c752,Y1735c251,growth1735c251,Y1846c251,growth1846c251,Y1871c251,growth1871c251,Y2043c752,growth2043c752,Y2102c233,Y2137c792,growth2137c792,Y2138c233,Y2346c705,growth2346c705,Y2647c124,growth2647c124,Y2753c616,growth2753c616,Y2934c616,growth2934c616,Y2999c208,growth2999c208,Y3073c372,growth3073c372,Y3114c300,growth3114c300,Y3146c251,growth3146c251,Y3169c826,growth3169c826,Y3182c620,growth3182c620,Y3187c208,growth3187c208,Y3209c752,growth3209c752,Y3228c752,growth3228c752,Y3332c348,growth3332c348,Y3516c124,growth3516c124,Y3570c642,Y3768c757,growth3768c757,Y3981c428,growth3981c428,Y398c381,Y4267c251,growth4267c251,Y426c203,Y4282c251,growth4282c251,Y4349c222,growth4349c222,Y4538c372,growth4538c372,Y4632c208,growth4632c208,Y463c752,growth463c752,Y4739c554,Y4800c376,Y483c484,growth483c484,Y4884c32,Y4988c344,Y5037c620,growth5037c620,Y570c348,growth570c348,Y970c620,growth970c620,_merge,x,r2,s,sf
201106,841199,617,3824,10716006,06,0,0,0,0,1,0,0,0,0,0,0,13487,1596492,.4011621475219727,316,-1.89108943939209,821104,1857879,.0717353820800781,364750,-.7076272964477539,2849980,-.0555887222290039,1654646,-.243316650390625,11726,7237337,-.1452436447143555,1746243,-.3203716278076172,1031433,-.0627508163452148,1335091,.2845420837402344,370505,32097,-.031102180480957,486084,453473,.2631540298461914,1148319,-.9816370010375977,7292,-.4434967041015625,184629,.2420625686645508,1365234,-.1572399139404297,87040,1.185531616210938,277588,.5451192855834961,418360,-.5931520462036133,7292975,-.8482847213745117,4028060,-.1667051315307617,334636,-.2154598236083984,1023318,-.3979101181030273,844273,-.0722875595092773,253344,.1450061798095703,7054542,-.0052938461303711,89712,608097,-.3346242904663086,1819606,.5185012817382813,786146,34638288,-.0883541107177734,113406,23879648,-.3235530853271484,44490,.3694076538085938,78720,-.0626678466796875,238711,-.7720499038696289,8820,-.9170618057250977,1009560,1214000,957975,-.7038173675537109,193154,236107,55889,-.4421501159667969,149333,-.0455284118652344,206242,-.1786766052246094,matched (3),13648329,.90674543,2415769.5,2850780
201107,841199,618,3824,13328342,07,0,0,0,0,0,1,0,0,0,0,0,112892,828182,-.6563310623168945,19353,4.114860534667969,404240,1120537,-.5056276321411133,626404,.5407829284667969,817580,-1.24871826171875,3547729,.762721061706543,102430,7432985,.0266742706298828,2257021,.2565793991088867,1149507,.1083841323852539,1125415,-.1708478927612305,505274,9910090,5.732545852661133,583412,565462,.220707893371582,1532392,.2885303497314453,19107,.9632768630981445,195175,.0555486679077148,870689,-.4497966766357422,135536,.4428701400756836,301641,.083099365234375,487715,.1533889770507813,20556260,1.036253929138184,7647430,.6410846710205078,367469,.0935955047607422,1993180,.6666812896728516,700049,-.1873264312744141,270174,.0643177032470703,4802118,-.3846149444580078,184192,703191,.145294189453125,2049163,.1188116073608398,398008,34659024,.0005989074707031,105340,33634896,.3425369262695313,31432,-.347437858581543,124061,.4548768997192383,141584,-.5223608016967773,18286,.7291145324707031,816627,1119000,1128169,.1635293960571289,226911,196523,31086,-.5866098403930664,202235,.3032522201538086,291147,.3447780609130859,matched (3),12297086,.90674543,1208943.5,1937149.6
201108,841199,619,3824,11954330,08,0,0,0,0,0,0,1,0,0,0,0,61303,3091533,1.31718921661377,5645,-1.232077598571777,1696,985852,-.128056526184082,521382,-.1835126876831055,2881673,1.259777069091797,1984514,-.5809335708618164,87291,4408966,-.5222873687744141,1524517,-.3923683166503906,406567,-1.039339065551758,982166,-.1361465454101563,409048,27227,-5.897099494934082,426962,432827,-.2673053741455078,1020689,-.4063520431518555,23515,.2075834274291992,132689,-.3858890533447266,1351555,.4397258758544922,100798,-.2961187362670898,847643,1.033222198486328,385310,-.2356834411621094,5376256,-1.341174125671387,5006258,-.4236812591552734,350270,-.0479345321655273,1282824,-.4406681060791016,474725,-.3884143829345703,212190,-.2415838241577148,4137476,-.1489706039428711,148988,753953,.0697011947631836,1297317,-.4571332931518555,380219,25544022,-.3051548004150391,116508,21707456,-.4379081726074219,89347,1.044700622558594,93202,-.2860040664672852,161631,.1324234008789063,224439,2.507468223571777,1401194,1173000,1081896,-.0418806076049805,237781,190249,68259,.7865514755249023,253455,.2257556915283203,160873,-.5932130813598633,matched (3),13638083,.90674543,820105.81,1721504.5
201109,841199,620,3824,13607323,09,0,0,0,0,0,0,0,1,0,0,0,4840,704717,-1.478626251220703,68986,2.503133773803711,147214,1448039,.3844585418701172,932105,.580963134765625,3491343,.1919155120849609,2667932,.295928955078125,57635,6330868,.3617973327636719,1205274,-.2349710464477539,903298,.7983036041259766,438859,-.8055820465087891,539219,16652,-.4916791915893555,370964,64497,-1.903718948364258,1185700,.1498556137084961,10136,-.8415451049804688,153756,.1473588943481445,1486857,.0954093933105469,65749,-.4272747039794922,147904,-1.745896339416504,570519,.3924989700317383,23816056,1.488368034362793,7758904,.4381523132324219,425204,.1938648223876953,1724307,.2957611083984375,713819,.4078941345214844,270883,.2442045211791992,5793639,.336674690246582,313129,687011,-.0929794311523438,1182947,-.0922889709472656,433700,35443128,.3275260925292969,62447,18894024,-.1388092041015625,43543,-.7187786102294922,229789,.9023914337158203,209139,.2576828002929688,93161,-.8792753219604492,950130,1008000,1468481,.3055133819580078,250643,228545,26470,-.9472970962524414,288137,.1282501220703125,357246,.7978086471557617,matched (3),11635976,.90674543,1010693.1,1820028.9
201110,841199,621,3824,14067178,10,0,0,0,0,0,0,0,0,1,0,0,164411,777665,.0984992980957031,15,-8.433609008789063,199428,1012613,-.3576755523681641,647088,-.3649635314941406,2702301,-.2561826705932617,2728786,.0225534439086914,22478,6336119,.000828742980957,912641,-.2781190872192383,1607399,.576319694519043,149395,-1.077584266662598,367088,8792154,6.269084930419922,389250,200578,1.134584426879883,2276165,.6521587371826172,14614,.3658866882324219,170450,.1030750274658203,1517487,.020390510559082,158825,.8819589614868164,414977,1.031659126281738,231261,-.9029998779296875,12467181,-.6472606658935547,4486067,-.5478639602661133,512481,.1866950988769531,1924021,.1095924377441406,719154,.0074462890625,204452,-.2813539505004883,8830165,.421412467956543,118040,794371,.1452007293701172,1103405,-.0696077346801758,764370,31774798,-.1092567443847656,75671,21298068,.1197700500488281,69527,.4679660797119141,136151,-.5233964920043945,131550,-.4636116027832031,13596,-1.924553871154785,2083245,1438000,2332408,.462672233581543,281850,285423,54787,.7274408340454102,253917,-.1264286041259766,188410,-.6398038864135742,matched (3),13545507,.90674543,855007.44,1738402.1
201111,841199,622,3824,13498081,11,0,0,0,0,0,0,0,0,0,1,0,725,2389462,1.122528076171875,63683,8.353622436523438,32334,1140466,.1189022064208984,673855,.0405330657958984,3284868,.1952228546142578,3040275,.1080913543701172,73758,6196380,-.0223007202148438,931189,.0201196670532227,930172,-.5470027923583984,151366,.0131063461303711,348362,199637,-3.785114288330078,347278,221883,.1009464263916016,909627,-.9172124862670898,13098,-.1095199584960938,181791,.0644159317016602,1698431,.1126499176025391,92545,-.5401077270507813,169396,-.8959836959838867,190489,-.1939525604248047,20840296,.5137901306152344,5218005,.1511383056640625,197511,-.9534702301025391,1658021,-.1487922668457031,659120,-.0871706008911133,178777,-.1341934204101563,5309004,-.5087690353393555,95682,754341,-.0517063140869141,477662,-.8372535705566406,1191423,28971828,-.0923480987548828,111091,22774284,.0670166015625,59282,-.1594095230102539,107586,-.2354736328125,491337,1.317742347717285,12336,-.0972537994384766,1457199,1006000,1513275,-.4326248168945313,239493,252394,3459,-2.762473106384277,86501,-1.076851844787598,162638,-.1470937728881836,matched (3),11574049,.90674543,999781.63,1813992.3
201112,841199,623,3824,14235005,12,0,0,0,0,0,0,0,0,0,0,1,66102,2151432,-.1049346923828125,3113,-3.018330574035645,140456,1195599,.047210693359375,682237,.0123615264892578,2331392,-.3428611755371094,2719667,-.1114387512207031,27992,4772472,-.2611007690429688,903697,-.02996826171875,1317478,.3481044769287109,398823,.9688167572021484,375549,552945,1.018757820129395,350166,457006,.7225465774536133,1014847,.1094589233398438,23615,.5894222259521484,182270,.0026311874389648,1380421,-.2073163986206055,18228,-1.624736785888672,301496,.5765180587768555,203616,.0666418075561523,15996572,-.2645149230957031,5514597,.0552835464477539,256938,.2630405426025391,1281249,-.2577896118164063,218890,-1.102335929870606,262526,.3842105865478516,6013570,.1246147155761719,206691,396383,-.6434640884399414,535416,.1141414642333984,478727,23769500,-.1979217529296875,3743,22843648,.0030403137207031,93832,.4592008590698242,78846,-.3107948303222656,64445,-2.031317710876465,53494,1.467047691345215,2259604,542000,1556712,.0282993316650391,289184,268458,8755,.928645133972168,88787,.0260839462280273,166692,.0246210098266602,matched (3),15143959,.90674543,715177.06,1674061.8
201201,841199,624,3824,16051321,01,0,0,0,0,0,0,0,0,0,0,0,69697,3875230,.5884714126586914,15707,1.618518829345703,150171,1492489,.2217979431152344,727455,.0641756057739258,2763740,.1701192855834961,2849449,.0466165542602539,91755,7897473,.5036783218383789,1585612,.5622310638427734,1048931,-.2279472351074219,419761,.0511684417724609,339518,8992140,2.788847923278809,531234,304132,-.4072341918945313,1576949,.4407539367675781,38440,.4872169494628906,113927,-.4699306488037109,1947248,.3440284729003906,100134,1.703550338745117,80463,-1.32096004486084,309101,.4174318313598633,21432860,.2925510406494141,9707030,.5654525756835938,404714,.4543466567993164,2751759,.7644052505493164,584945,.9829483032226563,281303,.0690822601318359,8825978,.3836803436279297,253197,883660,.801692008972168,705589,.2759885787963867,760376,29759924,.2247600555419922,210326,24588812,.0736179351806641,42245,-.7980203628540039,57478,-.3160934448242188,197472,1.119784355163574,84721,.4597940444946289,2381608,1269000,1387382,-.1151571273803711,298255,215751,42285,1.574807167053223,131941,.3961153030395508,296552,.5760746002197266,matched (3),14850276,.90674543,786275.81,1705647.8
201202,841199,625,3824,11993191,02,1,0,0,0,0,0,0,0,0,0,0,61633,649219,-1.786589622497559,4775,-1.190711975097656,107720,988758,-.4117507934570313,373909,-.6655397415161133,2443647,-.1230926513671875,2630584,-.0799198150634766,36102,7000614,-.1205453872680664,1374357,-.1429843902587891,1222030,.1527414321899414,484686,.1438150405883789,410975,340426,-3.273908615112305,485678,45822,-1.892698287963867,976441,-.4793329238891602,13922,-1.015628814697266,160128,.3404150009155273,1480916,-.2737560272216797,17888,-1.722378730773926,84991,.05474853515625,208542,-.3935270309448242,14875894,-.3651828765869141,4100144,-.8618288040161133,364996,-.1032943725585938,1274992,-.7693004608154297,570391,-.0251960754394531,267680,-.0496406555175781,7414273,-.1742925643920898,68620,834409,-.0573492050170898,910354,.2548007965087891,764916,29805824,.0015411376953125,84885,19592560,-.2271404266357422,90417,.7609462738037109,45095,-.2426309585571289,205078,.0377941131591797,58119,-.3768701553344727,1441811,907000,1031068,-.2968235015869141,182635,160690,16214,-.95855712890625,118381,-.1084470748901367,178401,-.5081882476806641,matched (3),11099516,.90674543,833051,1727709
201203,841199,626,3824,14521435,03,0,1,0,0,0,0,0,0,0,0,0,68774,594032,-.0888376235961914,66651,2.636075973510742,118809,1223112,.2127037048339844,620143,.5059375762939453,2698575,.0992317199707031,2846567,.0789079666137695,31801,7854951,.1151466369628906,1965180,.3575983047485352,1319836,.0769939422607422,710900,.383030891418457,359899,508388,.4010467529296875,476424,335472,1.990774154663086,3141331,1.168487548828125,22463,.4783992767333984,183792,.1378316879272461,1652250,.1094770431518555,40044,.8058490753173828,248443,1.072668075561523,413997,.6857175827026367,27062960,.5984230041503906,4509551,.0951747894287109,478523,.270817756652832,1028437,-.214900016784668,602362,.0545368194580078,150650,-.5748329162597656,8275431,.1098842620849609,235420,864678,.0356340408325195,1168773,.2498760223388672,574455,32455120,.0851535797119141,84407,18871080,-.0375194549560547,31122,-1.066516876220703,78055,.5486421585083008,228034,.1061038970947266,34996,-.5072593688964844,3140767,1182000,1643871,.4664592742919922,233704,192621,22116,.3104267120361328,8145,-2.676504135131836,350336,.6748590469360352,matched (3),15247716,.90674543,746348.56,1687613.9
201204,841199,627,3824,15742421,04,0,0,1,0,0,0,0,0,0,0,0,45421,604070,.0167570114135742,13944,-1.564420700073242,198278,1298971,.0601739883422852,341106,-.5977573394775391,2310414,-.1552972793579102,3059019,.0719804763793945,43106,6455435,-.1962213516235352,1573188,-.2224798202514648,1034099,-.2439765930175781,1209074,.5310783386230469,515595,9040825,2.878261566162109,626274,327876,-.0229024887084961,3187079,.0144577026367188,18956,-.1697492599487305,157185,-.1563816070556641,1307079,-.2343435287475586,81367,.7089910507202148,310926,.2243413925170898,601806,.3740768432617188,11204746,-.8818283081054688,4424859,-.0189590454101563,203024,-.8573799133300781,2018998,.6745615005493164,808818,.2947158813476563,231862,.4311838150024414,7768451,-.0632200241088867,121062,575990,-.4062671661376953,913523,-.2464008331298828,765936,31050514,-.0442428588867188,114733,22791096,.1887397766113281,86043,1.016931533813477,167102,.7611904144287109,359020,.453883171081543,58150,.5077924728393555,1568347,1525000,1698566,.0327301025390625,25652,250837,28164,.2417430877685547,104006,2.54704475402832,681830,.6658868789672852,matched (3),16735088,.90674543,740625.88,1685090.9
201205,841199,628,3824,13911724,05,0,0,0,1,0,0,0,0,0,0,0,1034,595213,-.0147705078125,17117,.2050228118896484,118103,789913,-.4974040985107422,453038,.283782958984375,2736870,.1693887710571289,2210732,-.3247709274291992,14656,6107515,-.0554027557373047,1614931,.0261878967285156,961797,-.0724821090698242,1019181,-.1708555221557617,482836,56861,-5.068896293640137,490381,113375,-1.061934471130371,2262932,-.3424434661865234,9062,-.7380304336547852,152506,-.0302190780639648,1659283,.238591194152832,16624,-1.588122367858887,279401,-.1069068908691406,421743,-.3555393218994141,15626681,.3326435089111328,3804803,-.1509742736816406,183637,-.1003637313842773,1360865,-.3944807052612305,554544,-.3774280548095703,161883,-.3592691421508789,8958189,.1424980163574219,177924,803615,.3330297470092773,911199,-.0025472640991211,497428,29451480,-.0528697967529297,39211,22095096,-.0310153961181641,53618,-.4729623794555664,155289,-.0733165740966797,290988,-.2100954055786133,24440,-.8668050765991211,1303233,1324000,1217710,-.3328123092651367,93782,255059,69309,.9005298614501953,30809,-1.216642379760742,277017,-.900700569152832,matched (3),12955761,.90674543,864455.5,1743068.5
201206,841199,629,3824,13991081,06,0,0,0,0,1,0,0,0,0,0,0,4974,440013,-.3021154403686523,75083,1.478522300720215,180013,1779832,.8123512268066406,382030,-.1704769134521484,1856301,-.3882293701171875,2227560,.0075826644897461,55954,7531696,.2096004486083984,1692826,.0471067428588867,938874,-.0241222381591797,1061766,.0409345626831055,363442,73582,.2577905654907227,386502,20105,-1.729732513427734,936320,-.8824586868286133,11198,.2116451263427734,505169,1.197689056396484,1575232,-.0519838333129883,129044,2.04930591583252,279956,.0019845962524414,367738,-.1370248794555664,8905212,-.5623435974121094,2227172,-.5355310440063477,185260,.0087995529174805,1433500,.0519981384277344,674763,.1962156295776367,135206,-.1800737380981445,8035116,-.1087474822998047,199976,869885,.0792407989501953,960806,.0530109405517578,610931,30789372,.0444240570068359,93006,22793976,.0311412811279297,81046,.4131326675415039,204542,.2754859924316406,317559,.0873813629150391,3182,-2.038710594177246,1240874,1234000,1008068,-.1889362335205078,110264,272131,8004,-2.158633232116699,134016,1.470152854919434,412629,.3984699249267578,matched (3),14723664,.90674543,590969.75,1624884.5
