period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1755c124,growth1755c124,Y1771c818,Y1903c381,Y1909c251,growth1909c251,Y1911c251,growth1911c251,Y1911c381,Y1927c251,growth1927c251,Y2133c251,growth2133c251,Y2408c124,growth2408c124,Y2735c251,growth2735c251,Y2768c251,growth2768c251,Y2768c381,Y2771c124,growth2771c124,Y2771c208,growth2771c208,Y2771c381,Y2774c381,Y2775c251,growth2775c251,Y2805c381,Y2809c124,growth2809c124,Y2809c381,Y2813c381,Y2817c124,growth2817c124,Y2817c381,Y2830c251,growth2830c251,Y2843c208,growth2843c208,Y2854c251,growth2854c251,Y2858c251,growth2858c251,Y2882c124,growth2882c124,Y2882c246,growth2882c246,Y2882c381,Y2886c124,growth2886c124,Y2887c124,growth2887c124,Y2888c124,growth2888c124,Y2891c124,growth2891c124,Y2977c124,growth2977c124,Y2982c124,growth2982c124,Y2984c124,growth2984c124,Y2985c124,growth2985c124,Y3010c376,Y3011c251,growth3011c251,Y3235c586,growth3235c586,Y338c124,growth338c124,Y3495c586,growth3495c586,Y3603c124,growth3603c124,Y3984c600,growth3984c600,Y4638c826,growth4638c826,Y4918c124,growth4918c124,Y5014c348,growth5014c348,Y651c381,Y674c620,growth674c620,_merge,x,r2,s,sf
201204,830210,627,3750,20653824,04,0,0,1,0,0,0,0,0,0,0,0,4613816,-.0286655426025391,244392,32483698,50389968,.1587638854980469,10717922,-.3980827331542969,14081945,2182273,-.1043739318847656,907533,.3450450897216797,2194723,.2071456909179688,22783198,.0247573852539063,37024312,-.3830280303955078,25804220,7375229,-.1922063827514648,1984540,-.2289981842041016,14010278,3575049,913351,-.0134515762329102,3525218,5592799,-.1265220642089844,12389878,8922480,2547792,-.4910011291503906,11344275,90120096,-.2557640075683594,1426432,-.1122589111328125,1234754,-.0344362258911133,43148864,-.1748332977294922,282534,-.1036567687988281,288235,.7149238586425781,857636,101497,-.5608835220336914,4764265,.0484647750854492,1783339,.6333074569702148,13860,2.06596851348877,4834814,-.0613183975219727,7916751,.224146842956543,7083313,.1006965637207031,15939779,-.0840702056884766,139000,3483244,-.0153293609619141,9582142,-.2395820617675781,16005447,.2188816070556641,26679,.3830595016479492,581549,.0175342559814453,343343,.0880126953125,14841197,.3511543273925781,3721748,.3119020462036133,287708,.2803544998168945,1688869,414979,.2470617294311523,matched (3),20067040,.92455167,602476.5,1465723.8
201205,830210,628,3750,21880836,05,0,0,0,1,0,0,0,0,0,0,0,5658952,.2041835784912109,721463,50274108,69135712,.3162803649902344,15172307,.3475551605224609,17404948,5535348,.9307870864868164,1496287,.5000123977661133,1924556,-.1313600540161133,19148828,-.1737823486328125,45618388,.2087364196777344,32067932,9453387,.2482461929321289,2120966,.0664844512939453,18005070,3487867,3475334,1.336325645446777,4902689,7425193,.2833986282348633,24466738,15698370,3959531,.4408988952636719,18738008,94024792,.0424156188964844,2110940,.3919572830200195,1849660,.4041299819946289,41824520,-.0311717987060547,691317,.8948001861572266,322027,.1108589172363281,3567747,477113,1.547724723815918,8338178,.5597019195556641,4573299,.9417476654052734,3150,-1.48160457611084,3807252,-.2389354705810547,13269698,.5165014266967773,12668759,.5813980102539063,16462725,.0322818756103516,77000,3705088,.0617427825927734,14419030,.4086494445800781,23223702,.3722438812255859,42203,.4586143493652344,643833,.1017436981201172,418417,.197749137878418,17413934,.1598644256591797,4148716,.1086053848266602,683815,.8657417297363281,2157492,689386,.507573127746582,matched (3),23508954,.92455167,748040.69,1531317.5
201206,830210,629,3750,22484812,06,0,0,0,0,1,0,0,0,0,0,0,5211004,-.0824661254882813,408885,58553928,67331744,-.0264396667480469,28139884,.6177158355712891,17217976,15601897,1.036237716674805,1258450,-.1731061935424805,2201657,.1345148086547852,22181204,.1470050811767578,78742272,.545867919921875,53199376,12010469,.2394046783447266,2301790,.0818157196044922,22537944,3944738,5304210,.4228105545043945,10036583,13520392,.5993213653564453,43175080,18109402,11503775,1.066550254821777,38709348,120120416,.2449359893798828,2440704,.1451530456542969,2682844,.3718757629394531,53211124,.24078369140625,1725465,.9146528244018555,870958,.9949588775634766,5866652,1714295,1.279003143310547,13981188,.5168685913085938,11466668,.9192094802856445,447369,4.955981254577637,5180145,.3079252243041992,25861996,.6672916412353516,10296306,-.2073554992675781,19912082,.1902275085449219,202000,3278756,-.1222429275512695,18564780,.252716064453125,36503960,.4522476196289063,35132,-.1833791732788086,663670,.0303459167480469,664099,.4619522094726563,12942531,-.2967510223388672,4833236,.1527166366577148,288499,-.8629961013793945,3757261,835594,.1923418045043945,matched (3),22995572,.92455167,821726.88,1568631.1
201207,830210,630,3750,23508564,07,0,0,0,0,0,1,0,0,0,0,0,5677988,.0858249664306641,663240,74053520,58743576,-.1364498138427734,41785096,.3953514099121094,25336240,16159639,.035125732421875,1737854,.3227701187133789,2443867,.1043710708618164,29756920,.2938156127929688,113491008,.3655433654785156,88326704,12777056,.0618724822998047,5292475,.8325986862182617,36951892,9857148,8899893,.5175390243530273,16893362,25346340,.6284351348876953,73265248,38678952,21772924,.6379909515380859,76726800,128791768,.0697021484375,4011905,.4969797134399414,4097648,.4235353469848633,57693072,.0808696746826172,2355453,.3112373352050781,1863127,.7604179382324219,7208288,2572958,.4060544967651367,21294440,.4207324981689453,16179869,.3443222045898438,707175,.4578943252563477,5999033,.1467657089233398,53515904,.7272052764892578,7479883,-.3195676803588867,31882228,.4707221984863281,383000,3836072,.1569852828979492,31096514,.5158290863037109,16139966,-.8161220550537109,27745,-.2360563278198242,719288,.0804767608642578,748860,.1201210021972656,15419030,.1750831604003906,4371983,-.1002988815307617,371738,.2534980773925781,3711979,993895,.1734886169433594,matched (3),22982672,.92455167,709422.25,1512827.9
201208,830210,631,3750,22512908,08,0,0,0,0,0,0,1,0,0,0,0,4372657,-.2612266540527344,483455,68366160,44583492,-.27581787109375,42334132,.0130538940429688,18630540,13701851,-.1649875640869141,765849,-.8194208145141602,555512,-1.481446266174316,25018400,-.1734504699707031,110893360,-.0231533050537109,84961600,686117,-2.924357414245606,5117951,-.0335311889648438,25684480,8276244,4022374,-.7941675186157227,19011866,3779881,-1.902942657470703,77414144,41918672,2768193,-2.062472343444824,73163424,112320488,-.1368408203125,4472978,.1087884902954102,2826840,-.3712539672851563,51092340,-.1215019226074219,85253,-3.318865776062012,820049,-.8206472396850586,5064123,16510,-5.048845291137695,3637769,-1.767075538635254,1345822,-2.486762046813965,11352,-4.13188362121582,184161,-3.483543395996094,7599415,-1.951908111572266,192398,-3.660406112670898,3264703,-2.278880119323731,286000,5308762,.3249092102050781,28160204,-.0991859436035156,57383976,1.268466949462891,35052,.2337770462036133,10550,-4.222136497497559,69350,-2.379385948181152,17541792,.1289844512939453,3108168,-.3411836624145508,281046,-.2796716690063477,2316965,914034,-.0837640762329102,matched (3),22347622,.92455167,1195974.5,1793243.8
201209,830210,632,3750,20878172,09,0,0,0,0,0,0,0,1,0,0,0,3397881,-.2522182464599609,370627,60586296,39994688,-.1086177825927734,35154800,-.1858329772949219,14746621,12716879,-.0746002197265625,705298,-.0823650360107422,1535566,1.016763687133789,23537638,-.0610103607177734,98373032,-.1198024749755859,78417296,11684817,2.83499813079834,3757747,-.3089351654052734,19463176,4162903,2449632,-.4959344863891602,15425691,23185900,1.813852310180664,67317832,33933352,22403666,2.091031074523926,49429512,92345896,-.1958160400390625,4406912,-.0148801803588867,2346816,-.1860990524291992,47702996,-.0686416625976563,1484782,2.857399940490723,690076,-.1725625991821289,2925835,876176,3.971600532531738,10204456,1.031453132629395,7246375,1.683496475219727,297637,3.266480445861816,3903240,3.053751945495606,52709336,1.936721801757813,5569227,3.365446090698242,25614026,2.059971809387207,118000,5624027,.0576896667480469,21775712,-.2571144104003906,5192167,-2.402614593505859,33201,-.0542526245117188,555639,3.963993072509766,137101,.6815519332885742,14781907,-.1711826324462891,3080447,-.0089588165283203,164014,-.5385665893554688,1901662,494165,-.6149988174438477,matched (3),21717840,.92455167,585674.81,1458898
201210,830210,633,3750,19654896,10,0,0,0,0,0,0,0,0,1,0,0,3784289,.1077060699462891,364794,49763800,42678440,.0649471282958984,26882712,-.2682762145996094,17199060,9682963,-.2725620269775391,798355,.1239328384399414,1665088,.0809793472290039,20382920,-.1439037322998047,90228472,-.0864219665527344,61115168,10063054,-.1494197845458984,2935886,-.2468099594116211,19209460,3477343,1439582,-.531585693359375,9976331,16895738,-.3164825439453125,38222976,15547977,13739349,-.4889621734619141,23711282,88769920,-.0394935607910156,3981850,-.1014280319213867,1856878,-.2341632843017578,44725660,-.0644454956054688,831954,-.5792455673217773,161941,-1.449569702148438,1730978,284991,-1.123108863830566,7457780,-.3135662078857422,4787774,-.4144353866577148,325721,.0901660919189453,3328190,-.1593780517578125,35299988,-.4009113311767578,5547555,-.0038995742797852,19592970,-.2679691314697266,139000,4303631,-.2675886154174805,40081288,.6101150512695313,7766501,.4026689529418945,35450,.0655431747436523,463570,-.1811609268188477,229441,.514927864074707,16090333,.0848140716552734,3704311,.184422492980957,188512,.1392107009887695,1437221,381015,-.2600307464599609,matched (3),19555892,.92455167,449477.66,1409751.3
201211,830210,634,3750,17888176,11,0,0,0,0,0,0,0,0,0,1,0,3975770,.0493602752685547,232892,50398788,43260684,.0135498046875,21999288,-.2004737854003906,15956018,6532774,-.3935365676879883,473558,-.5222787857055664,2054262,.2100381851196289,19010828,-.0696887969970703,79718120,-.1238479614257813,59754376,10790061,.0697536468505859,2494866,-.1627740859985352,15793038,1995139,1580525,.0934047698974609,4721820,11035734,-.4259223937988281,24135496,9212877,7300021,-.6323862075805664,17451864,94340848,.0608673095703125,2381056,-.5142021179199219,1142231,-.4859132766723633,39864448,-.1150627136230469,391228,-.7544870376586914,149934,-.0770368576049805,1735744,192246,-.3936824798583984,5105695,-.3789005279541016,2281924,-.7410469055175781,149003,-.782073974609375,3412857,.025120735168457,14855245,-.8655300140380859,10448468,.6330986022949219,12480378,-.4510135650634766,77000,2636359,-.4900608062744141,11085442,-1.285276412963867,12716562,.4930849075317383,32366,-.0910148620605469,463302,-.0005788803100586,139527,-.4973878860473633,16854414,.0463943481445313,3770499,.0177106857299805,165032,-.1330223083496094,1020711,276796,-.3195571899414063,matched (3),19511568,.92455167,487724.59,1422407.8
201212,830210,635,3750,19934722,12,0,0,0,0,0,0,0,0,0,0,1,3888812,-.0221147537231445,252449,58521656,45139696,.0425186157226563,25785128,.1587867736816406,15933747,5168961,-.2341594696044922,818371,.5470418930053711,1759846,-.1546897888183594,22062492,.1488704681396484,104780232,.2733669281005859,71938592,9741371,-.1022434234619141,3236567,.2602777481079102,20687652,1958042,2002836,.2368068695068359,6587236,10351963,-.0639629364013672,26008950,10239283,7510226,.0283880233764648,22164668,106386376,.1201629638671875,2661164,.1112194061279297,1441167,.2324695587158203,50988544,.2461166381835938,1297726,1.199078559875488,779897,1.648966789245606,3257651,286434,.3987331390380859,5118409,.0024862289428711,2949057,.2564659118652344,40525,-1.302047729492188,5998206,.5639104843139648,11906329,-.2212810516357422,14269183,.3116455078125,16664593,.2891292572021484,213000,3174582,.1857776641845703,11793422,.0619087219238281,15762795,.2147464752197266,32345,-.0006494522094727,466474,.0068235397338867,122878,-.1270656585693359,14968068,-.1186943054199219,3266634,-.1434478759765625,164120,-.0055418014526367,1049385,270282,-.0238151550292969,matched (3),19303700,.92455167,535966.81,1439662.8
201301,830210,636,3750,22014088,01,0,0,0,0,0,0,0,0,0,0,0,4730693,.1959676742553711,317651,66168992,55869740,.2132606506347656,37063860,.3628444671630859,21226956,6657248,.2530345916748047,953680,.1530122756958008,2138424,.1948423385620117,31443860,.3543243408203125,125505024,.18048095703125,89741648,13182375,.3024997711181641,5434606,.5182743072509766,34055256,5215141,2359776,.1640024185180664,9165358,13585043,.2717933654785156,38499004,15093281,10259079,.3118972778320313,30750012,149463712,.3399772644042969,4454682,.5151920318603516,1572648,.0873079299926758,65389360,.2487583160400391,1266290,-.0245218276977539,1223995,.4507131576538086,2659886,566516,.6819972991943359,6058678,.1686487197875977,5419695,.6085548400878906,48277,.1750364303588867,8023893,.2909631729125977,12091392,.0154228210449219,14223465,-.0032081604003906,32681828,.6735324859619141,341000,4661842,.3842344284057617,16583088,.3408412933349609,17631116,.1120128631591797,98114,1.109670639038086,958789,.7204685211181641,801815,1.875685691833496,20895328,.3336067199707031,2899322,-.1192827224731445,203683,.2159671783447266,1530339,363368,.2959499359130859,matched (3),22957510,.92455167,735318.81,1525143.4
201302,830210,637,3750,20874742,02,1,0,0,0,0,0,0,0,0,0,0,3944678,-.1817045211791992,319896,60657208,53232688,-.0483493804931641,31512052,-.1622714996337891,16649602,2719144,-.8953895568847656,1149609,.1868486404418945,1669367,-.247624397277832,23643332,-.2851219177246094,83058192,-.4128036499023438,56414588,12952293,-.017608642578125,3667192,-.3933610916137695,22657452,3800569,1353146,-.5561342239379883,6164190,7971155,-.5331401824951172,23081708,7532486,6990933,-.3835487365722656,13768240,128219136,-.1533145904541016,2803907,-.4629421234130859,1431577,-.0939846038818359,67405920,.0303726196289063,562900,-.8107452392578125,303864,-1.393295288085938,1163369,216083,-.9638433456420898,5325174,-.1290464401245117,2322527,-.8473844528198242,33877,-.3542194366455078,5326638,-.409703254699707,8934838,-.3025360107421875,9780796,-.3744716644287109,31290718,-.0434970855712891,146000,4334822,-.0727300643920898,14801983,-.1136226654052734,17938286,.01727294921875,49874,-.6766300201416016,634970,-.4120931625366211,372469,-.7667236328125,14194567,-.3866653442382813,2818980,-.028101921081543,140682,-.3700628280639648,1113860,231666,-.4501190185546875,matched (3),20318208,.92455167,644102.19,1483319.3
201303,830210,638,3750,15318121,03,0,1,0,0,0,0,0,0,0,0,0,3403607,-.1475315093994141,213950,48445328,48961412,-.0836410522460938,22536760,-.3352222442626953,13476428,2073436,-.2711095809936523,1223633,.0624027252197266,1362241,-.2033138275146484,21510050,-.0945606231689453,52403600,-.4605655670166016,35234816,7244475,-.5810337066650391,3457564,-.0588617324829102,17340374,1783756,1169573,-.1457939147949219,3141644,5176649,-.4316720962524414,13587970,4494748,2597664,-.9900007247924805,9312638,116041752,-.0997905731201172,2381448,-.1633052825927734,765304,-.6262588500976563,47464524,-.3507499694824219,613729,.086451530456543,156315,-.6647071838378906,547729,128089,-.5229368209838867,4924993,-.0781230926513672,2185977,-.0605926513671875,12781,-.9747762680053711,3559566,-.4030818939208984,8913345,-.0024089813232422,8475350,-.1432590484619141,18511644,-.5249233245849609,121000,3924475,-.0994482040405273,11309368,-.2691287994384766,14875574,-.1872177124023438,21653,-.834355354309082,266594,-.8678503036499023,161363,-.8364973068237305,13252251,-.0686931610107422,2006811,-.3398284912109375,256653,.6012229919433594,1498483,301858,.2646598815917969,matched (3),14759629,.92455167,623314.5,1474411.5
