period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1046c642,Y1107c484,Y1150c616,growth1150c616,Y1192c484,growth1192c484,Y1203c208,growth1203c208,Y1233c792,growth1233c792,Y1490c218,Y1496c826,growth1496c826,Y1525c600,growth1525c600,Y1603c703,growth1603c703,Y1731c124,growth1731c124,Y1751c372,growth1751c372,Y1789c124,growth1789c124,Y2135c124,growth2135c124,Y2299c246,growth2299c246,Y2378c381,Y2545c757,growth2545c757,Y2739c428,growth2739c428,Y2754c124,growth2754c124,Y2755c208,growth2755c208,Y2830c152,growth2830c152,Y3060c616,growth3060c616,Y3145c757,growth3145c757,Y3276c300,growth3276c300,Y3370c124,growth3370c124,Y3370c348,growth3370c348,Y3412c620,growth3412c620,Y3423c616,growth3423c616,Y3482c440,growth3482c440,Y3520c440,growth3520c440,Y3749c300,growth3749c300,Y3755c372,growth3755c372,Y3770c484,growth3770c484,Y3917c218,Y3955c600,growth3955c600,Y4256c372,growth4256c372,Y4279c251,growth4279c251,Y4493c191,growth4493c191,Y4604c208,growth4604c208,Y4611c826,growth4611c826,Y4755c152,growth4755c152,Y4845c826,growth4845c826,Y495c222,growth495c222,Y4990c381,Y576c152,growth576c152,Y581c246,growth581c246,Y679c792,growth679c792,Y821c372,growth821c372,Y868c608,Y954c826,growth954c826,_merge,x,r2,s,sf
201204,400912,627,1809,672821,04,0,0,1,0,0,0,0,0,0,0,0,229512,274620,173197,1.059918403625488,1316280,-.4173574447631836,32971,-.509211540222168,233314,.1580657958984375,300666,6238065,-.3974752426147461,163210,-.6061573028564453,172712,-.7150754928588867,23366500,-.0958366394042969,969076,.0654020309448242,941837,-.1149358749389648,503609,-.3577213287353516,18769,-.4237489700317383,720541,68136,.1224222183227539,14788,-.7929782867431641,4355164,-.0472726821899414,1832914,-.3095989227294922,11835852,-.1057491302490234,132786,-.6218910217285156,229176,-.11151123046875,402310,-.9473018646240234,30096646,.2123394012451172,3701997,-.1159038543701172,2667020,-.2928581237792969,1699933,-.0878772735595703,20975,-.7320461273193359,5740,-2.288443565368652,151402,-.6607160568237305,998394,-.0035839080810547,1354457,-.0635480880737305,137525,1639587,-.1797046661376953,840392,.0610713958740234,11748559,.0392131805419922,45769,-.2167387008666992,14336366,-.0063972473144531,35858208,.0034656524658203,5988408,.1521034240722656,1400570,.3503141403198242,3744536,-.4084300994873047,757789,2093894,-.171417236328125,1095526,-.5271291732788086,366354,.4567289352416992,7858,-1.019964218139648,990793,285507,.0065507888793945,matched (3),801869.31,.78198528,115143.43,259135.72
201205,400912,628,1809,1214392,05,0,0,0,1,0,0,0,0,0,0,0,466932,283015,189600,.0904865264892578,1487874,.1225385665893555,127161,1.349825859069824,156664,-.3982820510864258,416651,7484515,.1821670532226563,163902,.0042304992675781,390618,.8161048889160156,26050542,.1087360382080078,1637451,.5245523452758789,879483,-.0684976577758789,616342,.2020015716552734,49864,.9770927429199219,866212,67647,-.0072031021118164,69049,1.541000366210938,4825141,.10247802734375,2124496,.1476278305053711,13088528,.1006031036376953,233302,.5635948181152344,183072,-.2246103286743164,2373395,1.774853706359863,25622730,-.1609344482421875,4723272,.2436294555664063,3465759,.2619695663452148,1824197,.0705509185791016,69097,1.192179679870606,101659,2.874164581298828,215405,.3525819778442383,982084,-.0164709091186523,1572503,.1492681503295898,400431,1151291,-.3535604476928711,967907,.1412677764892578,19619170,.5127754211425781,39397,-.1499176025390625,17922888,.2232799530029297,32841224,-.0878868103027344,5553836,-.0753364562988281,1388621,-.0085678100585938,6798164,.5963554382324219,1200849,2486799,.171971321105957,1132338,.033050537109375,440592,.1845188140869141,23841,1.109873771667481,1054104,167215,-.5349864959716797,matched (3),1158608.4,.78198528,167359.13,286185.94
201206,400912,629,1809,1027844,06,0,0,0,0,1,0,0,0,0,0,0,101346,158977,135128,-.3386936187744141,768851,-.6602067947387695,33908,-1.321803092956543,240070,.4268274307250977,606323,7593677,.0144796371459961,222890,.3074102401733398,292119,-.2905693054199219,23390432,-.1077117919921875,1254520,-.2663869857788086,706279,-.2193241119384766,803565,.2652559280395508,26042,-.6495885848999023,1009921,53241,-.2394742965698242,11826,-1.76451587677002,4236275,-.1301555633544922,1607925,-.278590202331543,15639207,.1780452728271484,159926,-.3776226043701172,377739,.7243242263793945,979220,-.885319709777832,23046070,-.1059837341308594,3434329,-.3186807632446289,2851391,-.195124626159668,1757329,-.0373449325561523,42953,-.4754047393798828,75429,-.298431396484375,142759,-.4113626480102539,911062,-.0750656127929688,1358876,-.1460103988647461,342957,985335,-.1556568145751953,632933,-.4247713088989258,10532237,-.6220664978027344,23487,-.517242431640625,12111728,-.3919048309326172,29307352,-.1138458251953125,5769433,.0380849838256836,1382938,-.0041007995605469,5213064,-.2654848098754883,962473,1649412,-.4105777740478516,1197724,.0561380386352539,248221,-.5738000869750977,19132,-.2200441360473633,1138784,228204,.3109598159790039,matched (3),991598.75,.78198528,115630.27,259352.41
201207,400912,630,1809,1339091,07,0,0,0,0,0,1,0,0,0,0,0,197748,220410,147389,.0868520736694336,1026095,.2886180877685547,65867,.6639871597290039,362479,.4120359420776367,602140,7711557,.0154037475585938,180223,-.2124834060668945,195764,-.4002513885498047,23557612,.0071220397949219,1786468,.3534870147705078,854287,.1902570724487305,548134,-.382537841796875,58619,.8113479614257813,692400,99336,.6236801147460938,21465,.5961236953735352,6079805,.3612880706787109,2362066,.3845920562744141,16301109,.0414505004882813,98182,-.4878883361816406,377260,-.0012693405151367,1135607,.1481657028198242,20027684,-.140380859375,5086031,.3926763534545898,3598089,.2325963973999023,1803301,.0258235931396484,54733,.2423601150512695,10099,-2.01075553894043,187392,.2720451354980469,675899,-.2985677719116211,1577022,.1488800048828125,475701,1353940,.3177919387817383,799938,.2341699600219727,19329256,.6071796417236328,39912,.5302295684814453,12270574,.0130290985107422,31610956,.0756645202636719,6095173,.0549230575561523,1507002,.085911750793457,5855702,.1162481307983398,826431,2436964,.3903341293334961,1214249,.013702392578125,655616,.9712562561035156,23232,.1941680908203125,920187,384807,.5225019454956055,matched (3),1205740.9,.78198528,134887.42,268491.94
201208,400912,631,1809,710854,08,0,0,0,0,0,0,1,0,0,0,0,94583,302698,81304,-.5948801040649414,919657,-.1095142364501953,80563,.2014017105102539,234677,-.4347562789916992,316023,7241264,-.0629243850708008,176883,-.018707275390625,347193,.5729713439941406,20062372,-.1606044769287109,1372922,-.2632989883422852,5254,-5.091278076171875,252193,-.7763252258300781,16058,-1.294851303100586,324384,72734,-.3116998672485352,23874,.1063661575317383,59015,-4.634936332702637,2025850,-.1535472869873047,20124148,.2106876373291016,168433,.5397148132324219,265113,-.352778434753418,969234,-.1584157943725586,20045258,.0008773803710938,4122529,-.2100305557250977,2436152,-.3899831771850586,1289103,-.3356723785400391,143973,.9671592712402344,2844,-1.26722526550293,78901,-.8650083541870117,1084090,.4724531173706055,1444678,-.087651252746582,419847,1243518,-.0850744247436523,638209,-.2258691787719727,2169752,-2.187006950378418,38082,-.0469350814819336,14285519,.1520423889160156,31531256,-.0025253295898438,7152629,.1599826812744141,1882849,.2226638793945313,5504542,-.0618429183959961,718196,2356476,-.0335855484008789,1364372,.1165685653686523,264002,-.9096183776855469,5837,-1.381313323974609,533436,375730,-.0238714218139648,matched (3),998581.94,.78198528,113799.83,258541.5
201209,400912,632,1809,859835,09,0,0,0,0,0,0,0,1,0,0,0,208301,58897,122294,.4082326889038086,1952144,.7526826858520508,60851,-.2806110382080078,212805,-.097834587097168,492452,6099932,-.1715183258056641,261798,.392085075378418,354146,.0198287963867188,22288412,.1052207946777344,2041363,.3966760635375977,1186067,5.419408798217773,786724,1.137682914733887,40460,.9241065979003906,910339,89557,.2080669403076172,52502,.7880611419677734,4827257,4.404241561889648,1538316,-.2753009796142578,17455576,-.1422615051269531,144392,-.1540060043334961,791257,1.093466758728027,243315,-1.382149696350098,20501706,.0225162506103516,3810434,-.0787239074707031,3499103,.362086296081543,1380331,.0683765411376953,91090,-.4577779769897461,69502,3.196144104003906,252868,1.164673805236816,947522,-.1346464157104492,1443963,-.0004949569702148,195876,1297067,.0421609878540039,656725,.028599739074707,5070516,.8488302230834961,28025,-.3066444396972656,14492082,.0143566131591797,35256476,.1116714477539063,5537199,-.2559909820556641,1844286,-.0206937789916992,5737660,.041478157043457,1294590,3142759,.287933349609375,1335307,-.0215330123901367,367312,.3302545547485352,27395,1.546143531799316,1138114,386965,.0294637680053711,matched (3),1028542.7,.78198528,116025.49,259528.84
201210,400912,633,1809,829483,10,0,0,0,0,0,0,0,0,1,0,0,108646,362643,95638,-.2458572387695313,918603,-.7538299560546875,20719,-1.077377319335938,265895,.2227258682250977,356009,6085178,-.0024213790893555,262102,.0011606216430664,186948,-.6388788223266602,22705032,.0185203552246094,1911227,-.0658721923828125,631076,-.6309719085693359,477192,-.4999589920043945,5825,-1.938155174255371,1026918,88063,-.0168228149414063,22800,-.8340911865234375,7221075,.4027261734008789,2272240,.3900775909423828,16979158,-.0276718139648438,144946,.0038290023803711,828965,.0465555191040039,732123,1.101592063903809,17284972,-.1706714630126953,3768921,-.0109539031982422,3440683,-.0168361663818359,1456238,.0535335540771484,62398,-.3783149719238281,1523,-3.82067346572876,208609,-.1924066543579102,861254,-.0954608917236328,1532436,.0594673156738281,287066,1022574,-.2377824783325195,714783,.0847139358520508,4649921,-.0865926742553711,148648,1.668483734130859,13537072,-.0681705474853516,34849240,-.0116176605224609,7023819,.2378177642822266,1659438,-.1056127548217773,4780770,-.1824493408203125,1095940,4247922,.3013296127319336,1258154,-.0595149993896484,167791,-.7834920883178711,5934,-1.529662132263184,954757,316148,-.2021236419677734,matched (3),1007915.8,.78198528,104405.66,254546.36
201211,400912,634,1809,1530164,11,0,0,0,0,0,0,0,0,0,1,0,213111,223429,53136,-.5877161026000977,955525,.0394077301025391,42384,.7157192230224609,280537,.0536041259765625,351718,6621938,.0845317840576172,224003,-.157073974609375,413335,.7934274673461914,21767906,-.0421504974365234,1531680,-.2213802337646484,859890,.3093776702880859,643855,.2995548248291016,19024,1.183542251586914,642901,159242,.592371940612793,13176,-.5483627319335938,7246259,.0034809112548828,2235099,-.0164804458618164,10928725,-.4405918121337891,246658,.531641960144043,652577,-.2392492294311523,1192183,.4875926971435547,19750688,.1333503723144531,3667564,-.0272617340087891,4060405,.1656122207641602,1491582,.0239810943603516,72583,.1511974334716797,8332,1.699421405792236,294852,.3460121154785156,1247564,.3705587387084961,1317596,-.1510505676269531,417368,2240888,.7845497131347656,469361,-.4206066131591797,5590596,.1842355728149414,58801,-.9274215698242188,10961308,-.2110595703125,35197984,.0099563598632813,5765991,-.1973295211791992,1718285,.0348472595214844,3996166,-.1792669296264648,1070176,3071571,-.3242416381835938,1423536,.1234979629516602,116347,-.3661422729492188,9994,.5212869644165039,647194,397013,.2277584075927734,matched (3),1419938.5,.78198528,102491.48,253767.23
201212,400912,635,1809,1000164,12,0,0,0,0,0,0,0,0,0,0,1,97857,161225,40496,-.2716512680053711,520640,-.6072025299072266,58067,.3148269653320313,89591,-1.141450881958008,393252,3965342,-.5127954483032227,244577,.0878705978393555,263443,-.4504213333129883,18521174,-.1615219116210938,1206014,-.239044189453125,950464,.1001462936401367,525480,-.2031612396240234,2507,-2.026614189147949,524831,44925,-1.265430450439453,9198,-.3594112396240234,5297079,-.3133296966552734,1793328,-.2202119827270508,12438886,.1294326782226563,103634,-.8671369552612305,284926,-.8286991119384766,1490012,.2229976654052734,15140714,-.2658004760742188,1521097,-.8800954818725586,3760173,-.076817512512207,777032,-.6521110534667969,27881,-.9567852020263672,58615,1.950886726379395,232399,-.2380180358886719,864142,-.3672103881835938,1250330,-.0524005889892578,405102,1607098,-.3324422836303711,542195,.1442527770996094,1675427,-1.205018043518066,36241,-.4839677810668945,12096022,.0985050201416016,25157060,-.3358497619628906,5851924,.0147933959960938,1524453,-.1196908950805664,3914672,-.0206031799316406,846382,3332912,.0816574096679688,1192500,-.1770915985107422,772987,1.893685340881348,3802,-.9664583206176758,847143,185616,-.760289192199707,matched (3),894392.88,.78198528,116414.61,259703.05
201301,400912,636,1809,867170,01,0,0,0,0,0,0,0,0,0,0,0,206675,303847,113220,1.028129577636719,494637,-.051234245300293,47730,-.1960372924804688,260411,1.06700611114502,470652,7573405,.6470508575439453,411137,.5193958282470703,331723,.2304630279541016,22844604,.2098007202148438,1253969,.0389928817749023,788146,-.1872673034667969,612472,.1531906127929688,17911,1.966327667236328,758227,84031,.6261911392211914,26631,1.063089370727539,5404722,.0201177597045898,2570883,.3601760864257813,15425408,.2151889801025391,136868,.2781515121459961,354809,.2193498611450195,1073922,-.3274669647216797,19134642,.2341136932373047,5740740,1.328156471252441,3705381,-.014678955078125,1110366,.3569631576538086,16699,-.5125961303710938,1375,-3.752536296844482,181442,-.2475194931030273,853860,-.0119705200195313,1472232,.1633720397949219,307714,2548649,.4611330032348633,749833,.3242254257202148,6167426,1.303214073181152,34619,-.0457887649536133,14101026,.1533699035644531,35784176,.3523674011230469,5536476,-.0554122924804688,1899418,.2199115753173828,4226402,.0766191482543945,1106944,2815571,-.1686811447143555,1255553,.0515241622924805,213323,-1.287454605102539,17196,1.509149551391602,817680,134242,-.32403564453125,matched (3),843759.81,.78198528,146235.98,274368.88
201302,400912,637,1809,1137562,02,1,0,0,0,0,0,0,0,0,0,0,388375,261097,285911,.9263477325439453,1227122,.9086027145385742,56455,.1678838729858398,129596,-.6978397369384766,257051,4253287,-.5769510269165039,310147,-.2818794250488281,443976,.2914705276489258,20292088,-.1184844970703125,1467991,.1575813293457031,808977,.026087760925293,478471,-.2469072341918945,34200,.6468105316162109,820536,99641,.1703882217407227,28598,.0712614059448242,5115421,-.0550136566162109,2281330,-.1194906234741211,16085467,.041900634765625,152950,.1110935211181641,362741,.0221090316772461,4086040,1.336259841918945,22364572,.1559772491455078,5857749,.020176887512207,2906929,-.2426891326904297,2472274,.8004484176635742,80024,1.566977500915527,12982,2.245110034942627,300028,.5029401779174805,844380,-.011164665222168,1329291,-.1021347045898438,176229,2908012,.1319065093994141,890160,.1715507507324219,9831062,.4662647247314453,54986,.4626760482788086,11032343,-.2454166412353516,34636616,-.0325946807861328,5631948,.0170974731445313,1874135,-.0134000778198242,4200514,-.0061445236206055,842085,4036277,.3601579666137695,1406978,.1138677597045898,44252,-1.572907447814941,23783,.3242940902709961,1342838,434531,1.174622535705566,matched (3),1383244.5,.78198528,152480.75,277747.53
