period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1270c616,growth1270c616,Y1344c586,growth1344c586,Y1485c752,growth1485c752,Y1576c792,growth1576c792,Y1656c600,growth1656c600,Y1757c484,growth1757c484,Y1860c208,growth1860c208,Y1916c372,growth1916c372,Y2002c203,Y2088c152,growth2088c152,Y2107c68,growth2107c68,Y2364c124,growth2364c124,Y2897c620,growth2897c620,Y2902c68,growth2902c68,Y290c268,growth290c268,Y3046c688,growth3046c688,Y3089c792,growth3089c792,Y3694c203,Y3726c428,growth3726c428,Y3841c152,growth3841c152,Y3887c757,growth3887c757,Y3927c705,growth3927c705,Y393c124,growth393c124,Y3955c703,growth3955c703,Y4192c372,growth4192c372,Y4230c251,growth4230c251,Y4256c792,growth4256c792,Y4264c792,growth4264c792,Y4272c268,growth4272c268,Y4277c586,growth4277c586,Y4316c586,growth4316c586,Y4325c688,growth4325c688,Y4437c372,growth4437c372,Y4476c792,growth4476c792,Y4579c68,growth4579c68,Y4580c705,growth4580c705,Y4686c344,Y4890c208,growth4890c208,Y4950c300,growth4950c300,Y5002c124,growth5002c124,Y5004c600,growth5004c600,Y507c484,growth507c484,Y560c757,growth560c757,Y585c124,Y597c203,Y653c251,growth653c251,Y677c703,growth677c703,Y6c124,Y785c608,Y939c36,_merge,x,r2,s,sf
201307,760612,642,3584,40315408,07,0,0,0,0,0,1,0,0,0,0,0,1307100,.707118034362793,320019,-.0747346878051758,1476176,.3958530426025391,1765488,.3592128753662109,747679,.1630306243896484,398518,.1320819854736328,324266,.0455207824707031,139613,-.2055225372314453,201638,145994,1.09852409362793,240277,.6397333145141602,1647607,-.4087343215942383,1919022,.0596599578857422,38276,.303339958190918,21770,-2.6376953125,307814,.1012668609619141,11227199,.0020942687988281,160082,13152,.1476202011108398,333683,.3256235122680664,8116288,.42510986328125,193270,1.503679275512695,22955120,.2160148620605469,1107868,-.6618919372558594,19334384,-.0239982604980469,1252436,-1.05162239074707,2679652,.2918376922607422,3986601,.221278190612793,63897,-.0859231948852539,907383,.1192092895507813,108551,-1.119097709655762,53068,.7576713562011719,449710,.0995168685913086,5335117,.0737094879150391,5908048,.2300300598144531,26992332,.1429462432861328,1019712,62928,.4035358428955078,120772,.1400299072265625,74332,-.6463413238525391,16955,2.5954909324646,21061,.0400094985961914,322764,.4688863754272461,329233,796700,359896,-.4259614944458008,308171,-.8921184539794922,0,64628,344923,matched (3),42615796,.92066038,6278327,13512298
201308,760612,643,3584,41210608,08,0,0,0,0,0,0,1,0,0,0,0,3792608,1.065242767333984,303694,-.0523605346679688,994898,-.3945703506469727,1227110,-.3637657165527344,287701,-.9550514221191406,518771,.2637100219726563,346300,.0657415390014648,258993,.6179275512695313,357958,180672,.2131175994873047,105235,-.8255958557128906,3116158,.6372766494750977,1924126,.0026559829711914,42277,.0994205474853516,391310,2.888967514038086,56075,-1.702805519104004,11570719,.0301380157470703,138534,93178,1.957937240600586,182865,-.6014432907104492,8195319,.0096902847290039,211423,.0897722244262695,22706204,-.0109024047851563,675290,-.4950504302978516,22920290,.1701374053955078,2412531,.6555862426757813,4641781,.5494117736816406,2545886,-.4484596252441406,76412,.1788673400878906,4379072,1.574027061462402,872942,2.084649085998535,56835,.068577766418457,801584,.5779867172241211,2764587,-.6574192047119141,6381440,.0770778656005859,8806014,-1.1201171875,1668802,148074,.8557205200195313,63835,-.6376028060913086,138433,.6218442916870117,24932,.3855886459350586,30960,.3852729797363281,291271,-.1026678085327148,283197,748294,404025,.11566162109375,388033,.2304353713989258,0,24434,430500,matched (3),40456604,.92066038,5861832,13323883
201309,760612,644,3584,33620336,09,0,0,0,0,0,0,0,1,0,0,0,241612,-2.753476142883301,136448,-.8000764846801758,799455,-.2187099456787109,1325161,.0768728256225586,608847,.7496452331542969,179547,-1.061025619506836,326826,-.0578775405883789,191233,-.3033084869384766,135390,189708,.048802375793457,72418,-.3737411499023438,3033904,-.0267505645751953,1921642,-.0012912750244141,33567,-.2306995391845703,281416,-.3296661376953125,110255,.6761054992675781,15060387,.2635898590087891,132890,16053,-1.758615493774414,873920,1.564240455627441,11001019,.2944250106811523,139245,-.4176254272460938,26094198,.1390743255615234,1481244,.7854957580566406,22654822,-.0116500854492188,5562178,.8353128433227539,4544239,-.0212383270263672,3338963,.2711811065673828,59493,-.2502803802490234,3028073,-.3689098358154297,215747,-1.397763252258301,35745,-.4637413024902344,899455,.115199089050293,5198291,.6314382553100586,7642128,.1802825927734375,16192361,.6091041564941406,1104162,105022,-.3435420989990234,81770,.2476081848144531,113277,-.2005500793457031,6259,-1.382131576538086,88988,1.055805206298828,283912,-.0255899429321289,192676,841005,375292,-.0737724304199219,761666,.6744174957275391,8840,60640,381431,matched (3),36159956,.92066038,5006321,12970275
201310,760612,645,3584,33412896,10,0,0,0,0,0,0,0,0,1,0,0,166444,-.3726739883422852,107918,-.2345724105834961,1312800,.4959878921508789,1266772,-.0450620651245117,424758,-.3600473403930664,412176,.8310136795043945,749426,.8298788070678711,145669,-.27215576171875,192202,187780,-.0102148056030273,169125,.8481826782226563,2918758,-.038691520690918,1685966,-.1308412551879883,51473,.4275140762329102,486093,.5465660095214844,169791,.4317722320556641,15989492,.0598640441894531,114160,18617,.1481790542602539,113365,-2.042376518249512,5232234,-.7431497573852539,45575,-1.116875648498535,20516244,-.2404956817626953,580067,-.9374942779541016,26780132,.1672878265380859,4274999,-.2632055282592773,2487239,-.602686882019043,2910920,-.1371908187866211,43053,-.3234272003173828,1028904,-1.079432487487793,159038,-.3049631118774414,89061,.9129104614257813,650161,-.3245687484741211,4138131,-.2280855178833008,9952629,.2641611099243164,16250028,.0035552978515625,0,86133,-.198277473449707,119773,.381688117980957,100466,-.1200170516967773,7770,.2162494659423828,21379,-1.426092147827148,197471,-.363072395324707,275146,1229380,299127,-.2268362045288086,479924,-.4618806838989258,0,129456,138549,matched (3),35716336,.92066038,6831454.5,13778010
201311,760612,646,3584,35365536,11,0,0,0,0,0,0,0,0,0,1,0,165849,-.0035810470581055,276092,.9393625259399414,1245924,-.0522851943969727,2148335,.5282211303710938,367167,-.1457033157348633,431628,.0461130142211914,326448,-.8310365676879883,187962,.2549028396606445,233765,188342,.0029888153076172,188529,.1086139678955078,2232841,-.2678842544555664,1306891,-.2546882629394531,22575,-.8242149353027344,645789,.2840728759765625,193648,.131474494934082,18141152,.126251220703125,201782,20846,.1130876541137695,337431,1.09074878692627,8145585,.4426374435424805,214121,1.547182083129883,26216468,.2451705932617188,1272815,.7858428955078125,42488724,.461578369140625,3201508,-.2891616821289063,5921086,.8673467636108398,4142552,.3528423309326172,61418,.3552713394165039,960729,-.0685567855834961,568922,1.274600028991699,72152,-.2105464935302734,779549,.1814956665039063,4509025,.0858364105224609,7810090,-.2424211502075195,17456084,.07159423828125,1824713,99069,.1399240493774414,61586,-.6651639938354492,127332,.2369785308837891,8296,.0655040740966797,14006,-.4229230880737305,260028,.2751979827880859,203078,1092779,2278728,2.03050422668457,929027,.6605100631713867,14792,27575,215996,matched (3),45869756,.92066038,5488745.5,13164009
201312,760612,647,3584,41927652,12,0,0,0,0,0,0,0,0,0,0,1,1447969,2.166839599609375,113615,-.8879184722900391,1669854,.2928590774536133,1763119,-.1976089477539063,361090,-.0166893005371094,197383,-.7824172973632813,459505,.3418788909912109,373171,.6857967376708984,276833,190425,.0109987258911133,109055,-.5473995208740234,2311724,.0347194671630859,2458458,.6318836212158203,85462,1.331229209899902,752906,.1534671783447266,125452,-.4341192245483398,15513984,-.1564407348632813,145469,20998,.0072650909423828,454122,.2970046997070313,8524148,.0454273223876953,168943,-.2369804382324219,25442788,-.0299549102783203,1574665,.2128114700317383,44162596,.0386390686035156,5225271,.4898843765258789,2874306,-.7227087020874023,3257531,-.2403421401977539,56107,-.0904426574707031,4860172,1.621136665344238,272221,-.7371282577514648,76332,.0563173294067383,710532,-.0927019119262695,4637825,.0281648635864258,13006080,.5100011825561523,17524710,.0039234161376953,1583506,133864,.3010082244873047,132696,.7676267623901367,173357,.3085556030273438,6842,-.1926937103271484,89887,1.859066963195801,317917,.2010002136230469,184942,1313503,481199,-1.555091857910156,645514,-.3640909194946289,0,66382,687189,matched (3),48085916,.92066038,7582194.5,14165256
201401,760612,648,3584,31151948,01,0,0,0,0,0,0,0,0,0,0,0,322314,-1.502390861511231,297045,.9610681533813477,1496443,-.1096458435058594,1153316,-.424443244934082,652458,.5916194915771484,330414,.5151996612548828,441660,-.0396089553833008,314350,-.1715297698974609,159627,310494,.4889059066772461,137717,.2333488464355469,3260832,.3439884185791016,1611998,-.4220600128173828,26907,-1.155685424804688,587761,-.24761962890625,67428,-.6208629608154297,14336950,-.0789012908935547,152675,26431,.2301101684570313,111413,-1.405121803283691,7702810,-.101318359375,129985,-.2621421813964844,23092534,-.096923828125,637320,-.9045257568359375,22554586,-.6719379425048828,3339135,-.4477949142456055,2304833,-.2208032608032227,3464672,.0616483688354492,51365,-.0883035659790039,942544,-1.640246391296387,238144,-.1337394714355469,60912,-.2256622314453125,660869,-.0724582672119141,4364485,-.0607452392578125,10086738,-.2541961669921875,15731644,-.1079387664794922,1422238,57603,-.8432502746582031,87749,-.4135808944702148,78709,-.7895956039428711,11455,.5153465270996094,33077,-.9997148513793945,222039,-.3589372634887695,183945,1111266,360822,-.2878961563110352,500338,-.2547626495361328,0,77681,592594,matched (3),35858324,.92066038,6324772.5,13533940
201402,760612,649,3584,24981812,02,1,0,0,0,0,0,0,0,0,0,0,150000,-.7648916244506836,105139,-1.038599967956543,760657,-.6766633987426758,1159364,.0052299499511719,519803,-.2272968292236328,285144,-.1473512649536133,378266,-.154942512512207,251294,-.2238836288452148,135898,188387,-.4996662139892578,43892,-1.143468856811523,2602314,-.225581169128418,1648815,.0225820541381836,24754,-.083399772644043,497229,-.1672697067260742,332230,1.594767570495606,14204016,-.0093154907226563,122828,131221,1.60234546661377,295733,.9762125015258789,8459298,.0936813354492188,118708,-.0907526016235352,21830060,-.0562210083007813,1417124,.7991123199462891,16030665,-.3414363861083984,2651899,-.2304353713989258,2193707,-.0494146347045898,3096050,-.1124906539916992,44352,-.1467990875244141,1857102,.6781892776489258,214612,-.1040430068969727,44209,-.3205013275146484,484315,-.3108205795288086,3782515,-.1431112289428711,7215672,-.334965705871582,14319441,-.09405517578125,1420641,70905,.2077665328979492,61573,-.3542566299438477,98961,.228968620300293,1009,-2.429466724395752,17169,-.6557321548461914,173233,-.2482147216796875,181971,1073861,277579,-.2622785568237305,391950,-.2441501617431641,18309,25091,14018,matched (3),37466228,.92066038,5268721.5,13073799
201403,760612,650,3584,26390396,03,0,1,0,0,0,0,0,0,0,0,0,402668,.9874773025512695,442179,1.436430931091309,1574801,.7277011871337891,1234295,.0626287460327148,276996,-.6294469833374023,405824,.3529253005981445,490994,.260833740234375,307229,.2009696960449219,170447,72116,-.9602222442626953,110075,.9194297790527344,2793337,.070836067199707,1696600,.0285701751708984,39277,.4616518020629883,294220,-.5247230529785156,118206,-1.033398628234863,16691156,.1613540649414063,163603,6562,-2.995587348937988,272665,-.0812129974365234,10236309,.190673828125,275176,.8407449722290039,23412236,.0699710845947266,1882204,.2838144302368164,19073372,.1737899780273438,3023650,.1311883926391602,2210437,.0075969696044922,3383719,.0888481140136719,108035,.8902978897094727,613338,-1.107855796813965,88199,-.8892364501953125,71442,.4799575805664063,725273,.403813362121582,3977266,.0502052307128906,6792470,-.0604410171508789,16475038,.140228271484375,1691682,47006,-.4110651016235352,136161,.793614387512207,165372,.5134716033935547,50567,3.914339542388916,91460,1.672796249389648,345494,.6903371810913086,197904,1295832,302402,.0856513977050781,776570,.6837530136108398,149004,52179,130394,matched (3),32423442,.92066038,5252894,13067429
201404,760612,651,3584,36223040,04,0,0,1,0,0,0,0,0,0,0,0,504559,.2255725860595703,502105,.1270952224731445,1203433,-.2689504623413086,1475885,.1787576675415039,815123,1.079336166381836,336608,-.1870012283325195,540664,.0963659286499023,230328,-.2880887985229492,292541,116113,.476287841796875,122492,.1068840026855469,2802072,.0031223297119141,1472822,-.1414461135864258,13851,-1.042281150817871,767859,.9592781066894531,378306,1.163274765014648,14207786,-.1610889434814453,113622,16110,.8981447219848633,324728,.1747446060180664,10055537,-.0178165435791016,79583,-1.240611076354981,29611640,.2349090576171875,1884183,.0010509490966797,20082448,.0515537261962891,4313477,.3552799224853516,2602451,.1632633209228516,3477877,.0274467468261719,297390,1.012588500976563,952965,.4406614303588867,90805,.029118537902832,60953,-.158782958984375,779904,.0726222991943359,4068272,.0226240158081055,5702673,-.1748800277709961,20271074,.2073478698730469,942026,29655,-.4606447219848633,167226,.2055082321166992,159961,-.0332679748535156,8230,-1.815513610839844,115537,.2336883544921875,373921,.0790691375732422,333835,1344688,430963,.3542652130126953,654430,-.1711225509643555,75289,136055,273364,matched (3),50674004,.92066038,5642198.5,13228726
201405,760612,652,3584,31801402,05,0,0,0,1,0,0,0,0,0,0,0,287550,-.5622882843017578,202169,-.9097061157226563,968356,-.2173337936401367,1174670,-.2282705307006836,788742,-.0328998565673828,242908,-.3262357711791992,431545,-.2254257202148438,190162,-.1916275024414063,159831,87534,-.282536506652832,158431,.2572736740112305,2405741,-.152501106262207,1525100,.0348796844482422,27424,.6830606460571289,156072,-1.593288421630859,40814,-2.226678848266602,13718460,-.0350475311279297,152213,10748,-.4047212600708008,114682,-1.040824890136719,8451362,-.1737957000732422,120506,.4148998260498047,20679112,-.3590431213378906,1932654,.0253992080688477,18799044,-.0660400390625,1484490,-1.066673278808594,2663193,.0230722427368164,3128076,-.1060037612915039,55505,-1.678570747375488,625341,-.4212808609008789,93534,.0296106338500977,28625,-.7558231353759766,525738,-.3943681716918945,3892034,-.0442867279052734,7296349,.2464399337768555,26934784,.2842235565185547,1603134,43306,.3786602020263672,116190,-.3641195297241211,148354,-.0753288269042969,5886,-.3352088928222656,24588,-1.547331809997559,189760,-.67828369140625,242364,1049073,349520,-.2094621658325195,629532,-.038787841796875,6459,22747,137232,matched (3),39735280,.92066038,6516267,13624483
201406,760612,653,3584,36436144,06,0,0,0,0,1,0,0,0,0,0,0,179397,-.4717950820922852,356770,.5679874420166016,909463,-.0627450942993164,1406354,.1800136566162109,260894,-1.106325149536133,474252,.6690559387207031,434846,.0076198577880859,222106,.155278205871582,349801,113037,.2556877136230469,198897,.2274675369262695,2140616,-.116765022277832,1521729,-.0022134780883789,53040,.6596279144287109,326414,.737849235534668,29995,-.3079938888549805,14773760,.0741100311279297,117785,75502,1.949440002441406,172707,.4094333648681641,8922275,.0542221069335938,120273,-.0019359588623047,23766652,.1391582489013672,2880302,.3990011215209961,20419546,.0826854705810547,4911964,1.196602821350098,2252870,-.1673212051391602,3646992,.1534843444824219,116251,.7392778396606445,604294,-.034235954284668,181738,.664240837097168,56046,.6718931198120117,685911,.2659454345703125,4765684,.2025089263916016,7603747,.0412664413452148,14178793,-.6416702270507813,721448,58975,.3088226318359375,123769,.0631904602050781,70723,-.7408304214477539,6602,.1147956848144531,8282,-1.088173866271973,333391,.5635557174682617,296371,1114485,448888,.2502126693725586,668399,.0599088668823242,232142,72099,213779,matched (3),41510884,.92066038,4775185,12882825
