period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1494c620,growth1494c620,Y1500c608,Y1575c440,growth1575c440,Y1610c620,growth1610c620,Y1674c752,growth1674c752,Y1713c372,growth1713c372,Y1764c752,growth1764c752,Y1789c484,growth1789c484,Y2051c688,growth2051c688,Y2093c191,growth2093c191,Y2549c484,growth2549c484,Y2620c484,growth2620c484,Y2622c826,growth2622c826,Y2645c428,growth2645c428,Y2902c352,growth2902c352,Y3046c372,growth3046c372,Y3108c440,growth3108c440,Y3238c484,growth3238c484,Y3308c222,growth3308c222,Y3319c246,growth3319c246,Y3340c484,growth3340c484,Y3462c246,growth3462c246,Y3482c152,growth3482c152,Y3606c246,growth3606c246,Y3837c705,growth3837c705,Y3844c203,Y403c484,growth403c484,Y4118c348,growth4118c348,Y4165c642,Y4169c703,growth4169c703,Y4197c428,growth4197c428,Y4257c484,growth4257c484,Y4277c36,Y4315c152,growth4315c152,Y4386c222,growth4386c222,Y4390c703,growth4390c703,Y4495c191,growth4495c191,Y4610c440,growth4610c440,Y4823c32,Y4884c348,growth4884c348,Y4987c218,Y5034c68,growth5034c68,Y539c826,growth539c826,Y580c620,growth580c620,Y658c428,growth658c428,Y666c203,Y666c208,growth666c208,Y677c251,growth677c251,Y847c484,growth847c484,Y857c620,growth857c620,_merge,x,r2,s,sf
201411,293499,658,1315,29639820,11,0,0,0,0,0,0,0,0,0,1,0,1108680,-.2204093933105469,4612038,123622,-.3056507110595703,73574,.3450498580932617,1745576,-.202641487121582,364303,.0731515884399414,4177502,.1265830993652344,1135488,-.0914583206176758,988873,-.1661596298217773,1487425,-.0128879547119141,12584375,.0384254455566406,759715,-.1825933456420898,787507,-.0169048309326172,13793,.5409765243530273,11826,-.7800350189208984,340261,.4168186187744141,1468810,-.072357177734375,3191925,-.0244359970092773,107691,.5114536285400391,477967,.1240606307983398,12073820,-.1534843444824219,5165791,-.1696414947509766,613404,-.2771997451782227,2919482,-.2557449340820313,720557,.3376455307006836,5022110,207598,-.4122657775878906,112133,.1141262054443359,1058626,3522267,.1717252731323242,2875699,.032872200012207,12531823,-.3023548126220703,3979658,8454651,-.2441520690917969,7650,-.2805976867675781,164933,-2.025336265563965,85340,-.0069475173950195,462452,.1427783966064453,131899,25213,-.2697839736938477,59910,2543,-1.769425392150879,42049728,-.2725048065185547,1734187,.4523191452026367,268237,.0450038909912109,7200489,4840057,.0806360244750977,13004500,.1459293365478516,125678600,.3090000152587891,177413,-.1580181121826172,matched (3),25240196,.89497519,1083122.4,2261144.8
201412,293499,659,1315,23958620,12,0,0,0,0,0,0,0,0,0,0,1,1060154,-.0447559356689453,2614078,115496,-.0679931640625,69641,-.0549383163452148,1330111,-.2718219757080078,433327,.1735067367553711,3748304,-.1084098815917969,1104429,-.0277347564697266,1101138,.1075334548950195,1609279,.078740119934082,11910314,-.0550518035888672,935919,.2085847854614258,1054511,.2919597625732422,52246,1.331802368164063,10075,-.160243034362793,83064,-1.410101890563965,1016691,-.3678998947143555,2987796,-.0660877227783203,103819,-.036616325378418,391330,-.1999902725219727,11105251,-.0836219787597656,3995697,-.256840705871582,567141,-.0784158706665039,2341773,-.2204980850219727,532481,-.3024768829345703,3423853,291702,.3401298522949219,62350,-.5869226455688477,1833103,3488081,-.0097532272338867,4295822,.4013471603393555,15565639,.2167930603027344,4334547,15436341,.6020069122314453,6379,-.1816940307617188,421079,.937281608581543,65235,-.2686471939086914,354979,-.2644844055175781,335952,16032,-.4527730941772461,109795,2436,-.0429873466491699,51074716,.1944370269775391,1515306,-.1349210739135742,391958,.3792839050292969,6560940,4153792,-.1529045104980469,7264508,-.5822944641113281,206485168,.4965000152587891,247710,.3337783813476563,matched (3),23791122,.89497519,1267119.4,2354827.8
201501,293499,660,1315,16566291,01,0,0,0,0,0,0,0,0,0,0,0,907400,-.1555862426757813,1694748,85923,-.2957839965820313,128502,.6125907897949219,1873542,.3425683975219727,322663,-.2948846817016602,3157485,-.1715278625488281,900777,-.2038259506225586,807562,-.3100795745849609,1104122,-.3767356872558594,9425513,-.2339839935302734,653454,-.3592567443847656,557499,-.6373710632324219,8788,-1.782576560974121,11914,.1676568984985352,102192,.2072420120239258,959240,-.0581674575805664,2939583,-.0162687301635742,43682,-.8657131195068359,350844,-.1092100143432617,12799453,.1419849395751953,4671933,.1563549041748047,603836,.0626945495605469,2661874,.1281223297119141,352518,-.4124460220336914,3442016,221515,-.275242805480957,64881,.0397911071777344,815980,2684177,-.2619771957397461,3024302,-.3509626388549805,12804348,-.1952800750732422,3041142,8727814,-.5702095031738281,2382,-.9850711822509766,595264,.3461847305297852,45649,-.3570146560668945,162948,-.7786273956298828,64626,73534,1.523161888122559,145131,431,-1.732004165649414,44905204,-.1287364959716797,1011595,-.4040889739990234,297379,-.2761478424072266,6410436,4738662,.1317329406738281,3800839,-.6477794647216797,77140160,-.9846038818359375,110121,-.8106794357299805,matched (3),16262473,.89497519,1086819,2262918
201502,293499,661,1315,17152640,02,1,0,0,0,0,0,0,0,0,0,0,1100747,.1931610107421875,1852448,106863,.2180957794189453,88840,-.3691072463989258,1901991,.015070915222168,490258,.4183235168457031,3104130,-.0170421600341797,1140901,.2363157272338867,815576,.0098743438720703,1092248,-.0108127593994141,9836637,.0426921844482422,877033,.2942724227905273,424242,-.2731571197509766,52859,1.794240951538086,11148,-.0664539337158203,220179,.7675876617431641,1015334,.0568323135375977,2708293,-.0819482803344727,45951,.0506391525268555,339609,-.0325469970703125,12643165,-.0122871398925781,3985206,-.1589841842651367,607479,.0060148239135742,2664738,.0010747909545898,497744,.3449840545654297,3641285,213854,-.0351972579956055,93511,.3655242919921875,1859102,3176621,.1684436798095703,2118825,-.3558187484741211,13480350,.0514488220214844,2369627,9631555,.0985298156738281,6968,1.07338809967041,489096,-.196446418762207,88993,.6675758361816406,270617,.5072736740112305,141142,69162,-.0612964630126953,106360,3028,1.949549198150635,31029560,-.3696136474609375,1200404,.1711301803588867,391691,.2754659652709961,8175621,4251711,-.108433723449707,3841108,.0105390548706055,107208416,.3291511535644531,242168,.7880516052246094,matched (3),18689452,.89497519,750714.94,2122073.3
201503,293499,662,1315,17908342,03,0,1,0,0,0,0,0,0,0,0,0,773754,-.3524904251098633,2989741,149310,.334477424621582,105671,.1734933853149414,1947948,.0238752365112305,437739,-.1133089065551758,3842922,.2134990692138672,1419354,.2183837890625,1499900,.6092596054077148,1269456,.1503505706787109,9949440,.0114040374755859,906158,.0326690673828125,480905,.1253652572631836,3824,-2.626331329345703,13340,.1795072555541992,124065,-.5736360549926758,1094710,.0752716064453125,2955715,.0874214172363281,104975,.8261470794677734,270302,-.2282552719116211,18129008,.3603973388671875,5387529,.3014984130859375,874304,.3641109466552734,4288110,.4757404327392578,347680,-.3588027954101563,3039838,240815,.1187362670898438,57478,-.4866762161254883,1514820,2741642,-.1472616195678711,2197041,.036250114440918,19424858,.3653202056884766,3462919,14541501,.4119625091552734,7841,.1180381774902344,267464,-.6035737991333008,55183,-.4779024124145508,309441,.1340627670288086,137822,45124,-.427037239074707,234565,2240,-.3014264106750488,44901528,.3695316314697266,1157147,-.0367012023925781,301153,-.2628545761108398,7138062,4317439,.0153408050537109,4366768,.1282625198364258,47765440,-.8084735870361328,166384,-.3753328323364258,matched (3),16012698,.89497519,935644.88,2194323
201504,293499,663,1315,19266676,04,0,0,1,0,0,0,0,0,0,0,0,991571,.2480363845825195,3384574,70840,-.745600700378418,62229,-.5295095443725586,1433852,-.3064126968383789,815778,.6225194931030273,4162066,.0797786712646484,1745889,.207061767578125,1256956,-.1767053604125977,1434978,.1225614547729492,11689459,.1611709594726563,957861,.0554895401000977,333697,-.3654356002807617,15151,1.37677001953125,22014,.500910758972168,197856,.4667339324951172,870900,-.2287178039550781,3216477,.0845460891723633,121150,.1433067321777344,229538,-.1634712219238281,12748317,-.3521137237548828,4243768,-.2386350631713867,532616,-.4956274032592773,3296459,-.2629976272583008,284755,-.1996536254882813,3386295,240107,-.0029449462890625,107783,.6287174224853516,2178064,2864432,.0438137054443359,3018834,.3177595138549805,13684891,-.3502616882324219,2828742,13763862,-.0549602508544922,4652,-.5220699310302734,986060,1.304732322692871,95530,.5487852096557617,296400,-.0430574417114258,274130,50216,.1069192886352539,142287,404,-1.71281623840332,46701760,.0393104553222656,1070482,-.0778484344482422,408152,.304020881652832,7732490,4912019,.129023551940918,4702575,.0740871429443359,111759304,.8500461578369141,190109,.1332988739013672,matched (3),18993306,.89497519,1371608.5,2412660.8
201505,293499,664,1315,19162744,05,0,0,0,1,0,0,0,0,0,0,0,958901,-.0335025787353516,4404968,46041,-.4308919906616211,148698,.8710966110229492,1485818,.0356016159057617,293886,-1.020950317382813,3903746,-.0640745162963867,1152176,-.4156112670898438,1245525,-.0091361999511719,1330426,-.0756511688232422,9765181,-.1798648834228516,823273,-.1514148712158203,462684,.3268108367919922,2387,-1.848029613494873,16322,-.2991647720336914,107945,-.6059169769287109,868307,-.0029821395874023,3066823,-.0476446151733398,74255,-.4895238876342773,328493,.3584470748901367,11496659,-.1033439636230469,5441879,.2486724853515625,809882,.4190874099731445,2639769,-.2221565246582031,453738,.4658908843994141,3549133,218420,-.0946645736694336,53609,-.6984033584594727,3867835,2409479,-.1729593276977539,1619882,-.6225175857543945,14709259,.0721855163574219,4317139,12935321,-.0620841979980469,8042,.5473814010620117,726085,-.3060503005981445,78252,-.1995058059692383,221644,-.2906379699707031,63765,30329,-.5042295455932617,158161,4633,2.439545154571533,41073160,-.1284275054931641,1002498,-.0656137466430664,231451,-.5672712326049805,7518351,4762479,-.0309171676635742,4124777,-.1310977935791016,74313248,-.4080581665039063,165446,-.1389522552490234,matched (3),20395670,.89497519,748205.81,2121187
201506,293499,665,1315,14353017,06,0,0,0,0,1,0,0,0,0,0,0,1146641,.1788043975830078,1784329,119000,.9495916366577148,31495,-1.552088737487793,1567996,.0538330078125,453567,.4339513778686523,5429519,.3299140930175781,1139319,-.0112218856811523,641652,-.6632661819458008,1309595,-.0157804489135742,10612040,.0831661224365234,749195,-.0942888259887695,433919,-.0641870498657227,14303,1.790432453155518,22010,.2989835739135742,135490,.2272758483886719,917027,.0545921325683594,2992021,-.0246925354003906,17108,-1.467959403991699,446671,.307307243347168,12742463,.1028842926025391,4757920,-.1343135833740234,368444,-.7875995635986328,3762730,.3544530868530273,393372,-.1427640914916992,3686544,216540,-.0086450576782227,35531,-.411311149597168,1405224,2716539,.1199474334716797,2343534,.3693065643310547,14672822,-.0024814605712891,3607923,15940497,.2089004516601563,10897,.3038091659545898,542059,-.292292594909668,70335,-.1066646575927734,380049,.5392284393310547,66029,49004,.47979736328125,154337,1700,-1.002576351165772,37985032,-.0781612396240234,959341,-.0440034866333008,223742,-.03387451171875,8649317,5115718,.0715494155883789,9117904,.7932281494140625,65275344,-.1296749114990234,148369,-.108942985534668,matched (3),14886762,.89497519,664344.63,2093078
201507,293499,666,1315,15428786,07,0,0,0,0,0,1,0,0,0,0,0,1152180,.0048189163208008,3530152,74271,-.4714031219482422,3895875,4.817844390869141,1273366,-.208134651184082,523622,.1436271667480469,3937595,-.3212804794311523,1114632,-.0219058990478516,1265508,.6791830062866211,1674855,.2460079193115234,9704648,-.0893840789794922,896319,.1792974472045898,347160,-.2230720520019531,38811,.9982337951660156,18142,-.193267822265625,237114,.5596427917480469,1243617,.3046426773071289,3599565,.1848640441894531,42024,.8986949920654297,307556,-.3731651306152344,13850294,.0833663940429688,4273047,-.1074838638305664,1047705,1.045068740844727,2440816,-.4328126907348633,398537,.0130443572998047,4808739,282243,.2649936676025391,110350,1.133251190185547,2285914,3041649,.113041877746582,4139167,.5688343048095703,14869574,.0133209228515625,5002197,17844758,.1128463745117188,6113,-.5780696868896484,866155,.46868896484375,75813,.0749998092651367,322450,-.1643524169921875,88699,70042,.3571939468383789,345561,3284,.6584334373474121,55904432,.3864498138427734,305420,-1.144558906555176,268385,.1819286346435547,10174833,5099394,-.0031957626342773,7680521,-.1715536117553711,91471672,.3374137878417969,158367,.0652132034301758,matched (3),16101959,.89497519,1355460,2403517
201508,293499,667,1315,10678619,08,0,0,0,0,0,0,1,0,0,0,0,735958,-.4482383728027344,3192331,73950,-.0043315887451172,2125576,-.6058750152587891,1480259,.1505527496337891,344334,-.4191579818725586,3724054,-.0557575225830078,1055129,-.0548610687255859,1128769,-.1143465042114258,1063167,-.4544744491577148,9118702,-.0622768402099609,794727,-.1202974319458008,276081,-.229090690612793,31117,-.2209491729736328,8938,-.7079172134399414,203271,-.1540002822875977,1273958,.024104118347168,3002319,-.1814279556274414,73438,.5582008361816406,266210,-.1443719863891602,11593774,-.1778392791748047,3947394,-.0792713165283203,431321,-.8875055313110352,2451948,.0045509338378906,290703,-.3154983520507813,3471738,275509,-.0241479873657227,18711,-1.774544715881348,1570610,2467301,-.2092752456665039,14193882,1.232316017150879,13981405,-.0615882873535156,3240124,14834556,-.1847496032714844,6613,.0786199569702148,943381,.0854063034057617,41927,-.5923395156860352,272491,-.1683425903320313,73907,143070,.714238166809082,113989,1978,-.5069756507873535,41179092,-.3057117462158203,674140,.7917499542236328,211847,-.2365579605102539,9826639,4548630,-.1142959594726563,5842439,-.2735385894775391,39147684,-.8486881256103516,133108,-.1737546920776367,matched (3),13589764,.89497519,1297356.8,2371235.3
201509,293499,668,1315,21929496,09,0,0,0,0,0,0,0,1,0,0,0,867978,.1649932861328125,4942237,87374,.1668081283569336,7296920,1.233409881591797,1551479,.0469913482666016,519959,.4121379852294922,4228428,.1270170211791992,1108013,.0489044189453125,944299,-.1784400939941406,1356491,.2436494827270508,9229878,.0121173858642578,692859,-.1371726989746094,372781,.3002967834472656,21750,-.3581409454345703,12082,.3014049530029297,285771,.3406505584716797,1317100,.0333042144775391,3244319,.0775203704833984,67891,-.0785379409790039,265957,-.000950813293457,11051875,-.0478668212890625,4250651,.0740165710449219,1041576,.8816375732421875,3213905,.2706031799316406,489781,.5216560363769531,4323611,302771,.0943565368652344,135574,1.980405807495117,1162451,2788793,.1224842071533203,8876562,-.469395637512207,17820792,.2426376342773438,3632993,23044456,.4404659271240234,12457,.6332454681396484,1593231,.5240497589111328,80018,.6463212966918945,378802,.3294076919555664,85764,120038,-.1755256652832031,289568,4096,.7279248237609863,40802576,-.009185791015625,798288,.1690311431884766,212325,.002253532409668,8009074,4798400,.0534563064575195,11202008,.650944709777832,73690600,.6325340270996094,198738,.4008264541625977,matched (3),21238668,.89497519,813372.31,2145040
